Time,User,Message
0.0,151ef21434b215511e48bacfc57abd9e392678ab,clicking circle widepeepohappy 
3.0,460c2ba90a9277b54d58f63a7c7b88859037086f,click the circles pogu 
4.0,332a44fb1c9fc378a48608133c14192ac15a612e,shutthefuckupweebs nam 
4.0,29a48059d086bec88b3a9af5a461ce8d191da544,ty a45fe9f2e683f96c62ab534796d6d69c15636a2e 
5.0,6c62c7184eeea9cc4766829e0876d00c5eab56d7,marina & the diamonds 
6.0,13876f6604afac1ff53b4e1c26e262f157b2a5ca,strawberry 
7.0,2bed946a1dd9f1c22e8f2de76b8486dfd1705930,isnt that one chick who did that one song 
10.0,238f1348a8733c6ba51f2c05c03e9355a2c83df2,surefour i got a 100 on my exam all thanks to the power of popoga powerupr 
16.0,6a53c9f573278cd00324689c1dec8e894cee736f,oh its ayaya time 
17.0,685daee692b950773bc4205c048e280ffd93cbd7,i love marina shes so good 
17.0,535763fbfc965fd900e7407faa8fd684f5fb9f3a,one day people will figure it out lmao 
21.0,a962773050a95fe5e5b64c8b2df3351aca137c05,marina and the diamonds 
22.0,4d596182830b2337198fc0e690b1fb45beb1b2ec,058c150ffb9713e1240d668f9735f1a3e76f81eb until last night i never knew what your sub alert was from 
25.0,13b6fa3ef928d6d0761855e1fc80193ef93fe261,yes kodokuu :) 
25.0,bf7f88f88d4ec2b9b9601705458531be2d53d682,did he win rialto i was afk 
26.0,39ae9429c2c549f9d4b8ba8212a1e8f7e6d08b79,popoga 
28.0,1937e4a033f44dac5c13e50c70e4ed5619d2ba56,derrekdoge lunegasm valeooh aceofgasm georgeayaya ml7unicorn 
33.0,2bed946a1dd9f1c22e8f2de76b8486dfd1705930,13b6fa3ef928d6d0761855e1fc80193ef93fe261 good i didnt wanna go anyway lulw 
41.0,29a4197d7c1093c4932445c01d5976af6c6b8f28,pogu wtf 
41.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,what the f 
44.0,2bed946a1dd9f1c22e8f2de76b8486dfd1705930,ppoverheat 
50.0,1937e4a033f44dac5c13e50c70e4ed5619d2ba56,pphop 
58.0,4c4a1dcfecd5d681cfb48b2945071f1e5a2faa75,685daee692b950773bc4205c048e280ffd93cbd7 yeah so the story goes he didn't know about her and when he started listen to her songs immediately fell in love 
59.0,460c2ba90a9277b54d58f63a7c7b88859037086f,ayaya clap 
65.0,13876f6604afac1ff53b4e1c26e262f157b2a5ca,wtfffffff 
65.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,what the f 
68.0,55bb3bb4d84933df73c5242ef765c4667c5613ec,how do u do this 
69.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,jakescreepin thanks for the prime sub welcome back for 5 months <3 
72.0,685daee692b950773bc4205c048e280ffd93cbd7,4c4a1dcfecd5d681cfb48b2945071f1e5a2faa75 as he should 
75.0,c13e8aeef311cb4e8463dd7559fcb5da3329ec97,brain power rising exponentially 
76.0,ef272bb337f8ef480be344b31ad148b46fecf2df,ayaya senpai 
77.0,2bed946a1dd9f1c22e8f2de76b8486dfd1705930,ppoverheat ppoverheat 
79.0,238f1348a8733c6ba51f2c05c03e9355a2c83df2,ppoverheat 
82.0,29a48059d086bec88b3a9af5a461ce8d191da544,how the fuck 
86.0,a5176017001b5accbb7a2b0d747333bb8606513f,ppoverheat 
88.0,1937e4a033f44dac5c13e50c70e4ed5619d2ba56,s4 is korean where it counts pepelaugh 
95.0,29a4197d7c1093c4932445c01d5976af6c6b8f28,are you using a mouse 
97.0,29a4197d7c1093c4932445c01d5976af6c6b8f28,what the fuck 
97.0,08d2b8877ebc1b5cdc907089fea60bed2a52d774,nigga has some weird fingers omg 
100.0,fc36ce9a047fc62207a8c8d131f20404522a2574,good lord how long has surefour been a robot because humans should not be able to do this 
110.0,29a48059d086bec88b3a9af5a461ce8d191da544,apm insane 
111.0,308b05c60094f9f38503ec903ae7d1ffa5f9295d,we were still impressed dw 
111.0,7a8544d5abcbe559d71e5839265caefb0fb7ad81,cmonbruh 
111.0,80d89ef420299e213761309bcc76692844d28345,wtf 
111.0,aee50474e4d8ffe4825c149568d7343de8a02363,he misses 2 and he says oh god 
111.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,what the f 
117.0,75cfae75bdad90964704e249da0a83eacc5b92af,wtf i can only do the 5 star of that map 
127.0,45f03539df6d03d46cffa7e2bed8c4379f33f1cd,s4's not warmed up state is thousands of times better than i could be after playing osu for years sad me 
127.0,67b4179e16395aa18527ad81c35980599cd6409f,should add song requests for bits :3 
131.0,9b1ead1fdd799c0c7cbc49d50293fa789f2b9082,what is this 
141.0,292c9da507d3a8bc6d301b78fbcc429bd23c2457,did s4 reach top 500 yet 
143.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,hey chat check your posture feelsgoodman 
151.0,c40e9cd3fd7723e773a502088fb1f896501ed389,you should have two accounts in queue at the same time and just play the one that gets in first 
154.0,460c2ba90a9277b54d58f63a7c7b88859037086f,it's called osu 9b1ead1fdd799c0c7cbc49d50293fa789f2b9082 
155.0,ac24c4ed44a5f74d6af18fa68171578238fe3fe3,uptime 
155.0,53188c15f1fec304bd1d749d2f747576c53770ce,thanks bot 
163.0,4c4a1dcfecd5d681cfb48b2945071f1e5a2faa75,292c9da507d3a8bc6d301b78fbcc429bd23c2457 i can check his account 
168.0,39ae9429c2c549f9d4b8ba8212a1e8f7e6d08b79,red keys 
172.0,2bed946a1dd9f1c22e8f2de76b8486dfd1705930,sureayaya clap 
173.0,45f03539df6d03d46cffa7e2bed8c4379f33f1cd,i wonder if there's an osu for ps4 :d 
174.0,1937e4a033f44dac5c13e50c70e4ed5619d2ba56,peepopog 
177.0,56635e754b85ce890616ea717fdaef5e088ccd9a,do you know who cookieze is if not watch a video of him playing osu 
193.0,aee50474e4d8ffe4825c149568d7343de8a02363,he misses 2 and he says oh god i get 2 clicks correctly and i be like oh god i'm amazing 
194.0,21826d7c7ac3bc1321e3c5685cc14bc84e2998da,45f03539df6d03d46cffa7e2bed8c4379f33f1cd this shit would be impossible with a controller lul 
195.0,39ae9429c2c549f9d4b8ba8212a1e8f7e6d08b79,no :pouting_face: 
196.0,065e91e9290027ad69b92a2049de875c1ab474ea,sens 
196.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,065e91e9290027ad69b92a2049de875c1ab474ea 400 dpi 9 sens 30 zoom subject to change 
197.0,798f0bfd660f4d38f92e31e1852668d486b87e23,early stream today pog 
198.0,b397fa9322ca408da4248cbce9fe9184bf9ce157,uptime 
206.0,1937e4a033f44dac5c13e50c70e4ed5619d2ba56,just do this for 9 hrs a day and you can be gm too chat pepelaugh 
211.0,449b80db6ba1b60c3070f3bf9ec4244fc999670e,pog 
211.0,1a03896ed296f34c29fc88f7fa03bda2b8cc29db,самая быстрая рука на диком западе 
221.0,9b1ead1fdd799c0c7cbc49d50293fa789f2b9082,oh okay thank you foobs 
233.0,ef272bb337f8ef480be344b31ad148b46fecf2df,sourpls 
236.0,2bed946a1dd9f1c22e8f2de76b8486dfd1705930,osu doesnt help with aim 
240.0,168e3a005474a0414bf8b949b3f04da1a29bc212,wtf 
240.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,what the f 
243.0,2bed946a1dd9f1c22e8f2de76b8486dfd1705930,he said it himself 
245.0,637eeb1689948585d6df59b6eb20a2dea8b571cf,i tried this and couldn't beat the third level 
246.0,4fe9519c461a8b55ffe007a029626e30af2541e4,poggers monkax 
250.0,45f03539df6d03d46cffa7e2bed8c4379f33f1cd,21826d7c7ac3bc1321e3c5685cc14bc84e2998da but if i could do it that means i could hit stuff in overwatch i play on ps4 and am a potato 
253.0,39ae9429c2c549f9d4b8ba8212a1e8f7e6d08b79,1a03896ed296f34c29fc88f7fa03bda2b8cc29db english only pls 
256.0,5b0e0fa363654f816500ace9b83ee7dcc4176446,this isnt that bad 
261.0,5b0e0fa363654f816500ace9b83ee7dcc4176446,its at least a constant beat 
266.0,03b634263ed026d89b80a113bf865fc6b56660fa,i imagine this is how lucio djs 
280.0,3f85b26c82f76a7eaed5c1dff53400ca2a2f8319,chat what's the queue estimate 
287.0,21826d7c7ac3bc1321e3c5685cc14bc84e2998da,45f03539df6d03d46cffa7e2bed8c4379f33f1cd oh that sounds rough i forgot u cant even hacve 2 apps open at the same time on ps4 lul 
289.0,7582c83f97136c6922ae4da71d6f59b631692f8d,name of the game 
290.0,c13e8aeef311cb4e8463dd7559fcb5da3329ec97,637eeb1689948585d6df59b6eb20a2dea8b571cf you sound like one of those ads for mobile games 
292.0,55bb3bb4d84933df73c5242ef765c4667c5613ec,teach me your secrets 
299.0,c6895d54a280746ce248345e83fdcde06b899756,fucking weebs 
305.0,3f85b26c82f76a7eaed5c1dff53400ca2a2f8319,lsu 7582c83f97136c6922ae4da71d6f59b631692f8d 
306.0,13876f6604afac1ff53b4e1c26e262f157b2a5ca,lelelelellelele 
314.0,3f85b26c82f76a7eaed5c1dff53400ca2a2f8319,i mean osu 
315.0,7582c83f97136c6922ae4da71d6f59b631692f8d,thanks buddy 
320.0,13876f6604afac1ff53b4e1c26e262f157b2a5ca,arent there any non weeb songs in osu 
331.0,45f03539df6d03d46cffa7e2bed8c4379f33f1cd,21826d7c7ac3bc1321e3c5685cc14bc84e2998da you can sort of if it's two big apps one will be suspended in the background 
331.0,873061f59f6a97f092ab4dd14239d8df43c099c2,chat which gold gun should i get mccree genji or widow 
334.0,1937e4a033f44dac5c13e50c70e4ed5619d2ba56,weebs only 
337.0,1937e4a033f44dac5c13e50c70e4ed5619d2ba56,weebs rise 
338.0,637eeb1689948585d6df59b6eb20a2dea8b571cf,lol it's cause i'm a noob 
340.0,227f05a8215fc2d181d9130d8b7f55b7d3fc9d99,873061f59f6a97f092ab4dd14239d8df43c099c2 torb 
341.0,2bed946a1dd9f1c22e8f2de76b8486dfd1705930,yes but s4 prefers the weeb songs sureayaya 
343.0,53188c15f1fec304bd1d749d2f747576c53770ce,weebs rulz 
344.0,c0ec5cb564b54952e4da83bfcbeae7771d8f574d,pepehands 
349.0,13876f6604afac1ff53b4e1c26e262f157b2a5ca,mcree 
350.0,1937e4a033f44dac5c13e50c70e4ed5619d2ba56,franhypers franhypers franhypers franhypers franhypers 
350.0,227f05a8215fc2d181d9130d8b7f55b7d3fc9d99,weeb songs best songs 
353.0,080e6a29ce589d52b1f718cebbe3ad5e1bcb1c46,does osu sound none weeb sunakolul 
359.0,13876f6604afac1ff53b4e1c26e262f157b2a5ca,nah 
360.0,53d8600e7bb227e53fde1b0feffc4fbbc460de8d,pepejam pepejammy pepejam pepejammy pepejam pepejammy pepejam pepejammy 
364.0,cb0ca912ef04b54fabc4292c2d4502fbdf37aa67,vohiyo vohiyo vohiyo 
