Time,User,Message
0.0,52662dfce2be42ac5543470a4c1b23f88960da2e,check the leaderboards 
1.0,9a17f51223c97bf6f8bc5165a6227659a582193b,this guy is a pro 
3.0,36ab7ef5ea82479650710a8fae0332e28e726c90,i really want this game on switch now atpfeelsbeardman 
6.0,197a24a0917558f9cbd8a75fb57bddc655bcc9d7,happy thursday aris atpquan 
7.0,739857490c6a4efed517d6d5fce964218613fbac,frawress topaz 
7.0,0db8b2f07e5d31eb4796ba2048bb1e0478bac8db,:hundred_points: 
9.0,72c12e09595ada6ecec30ae934bb5a3131e52fef,atprtsd2 
11.0,17c667f826d223cde09782616567b4ab920926b6,atpokubo 
11.0,6942cee728f29a018fa0a65d888e21f636830a39,ease dick gotem 
12.0,6e340cb3f58e2835a185f0612272b896f0ea7443,fbbf65bf04f590a8cf96f0fe872c087a71b4b5d4 atprtsd 
13.0,4884dd06412de27ed36cce4f3c555e35305ed006,atpcap 
14.0,a98b981f76dc251ac98a1800cd428425d9fcee78,make em 
24.0,3608dcd4562c24e04b82b4dffa3f56bb2bf7a87c,77777777777777777777777777777777777 
26.0,7013d05a00d5e6be4f0ca130db327fb46691cb3e,atpchar atpchar atpchar atpchar 
28.0,52662dfce2be42ac5543470a4c1b23f88960da2e,7 red names 
28.0,24f8a818df639635bc0f6b14f5db86b2c4b73aed,7777 
28.0,4884dd06412de27ed36cce4f3c555e35305ed006,craft 
31.0,fc539577f7a0cd9808620a7c9a2e3fedfad90925,7777777777777777777777777 
33.0,fbbf65bf04f590a8cf96f0fe872c087a71b4b5d4,red names are always inferior 
33.0,1d9dab36ce77929259fbccf8cfc164fcaa800bcd,05bb6ed84ca017c6f022af6fbe80ae0a4f0957ea hit the blizzard tip line for crusader strats 
35.0,09c5826c47fa975b31225731a3bdf7e6a05ed5c4,gem of ease nuts 
40.0,197a24a0917558f9cbd8a75fb57bddc655bcc9d7,shoot those mfs 
41.0,43fec5968986fa0302edf58322547f17bc848c7a,thats a lot of money you got there 
42.0,d8b5e2c0062bc8a859c7b1a9f5893045ba6a3d87,atprtsd3 atprtsd2 atprtsd1 atprtsd 
46.0,4227b6f26dc19e1b1840a4bbc8fdab3e7c500fc9,18 billion wow 
48.0,309a6191291ef96e6b9e61a5a2d3625741689445,fhaew 
48.0,24f8a818df639635bc0f6b14f5db86b2c4b73aed,all those rubys he's melting are red names atpfeelsbeardman 
49.0,0db8b2f07e5d31eb4796ba2048bb1e0478bac8db,atpold 
49.0,9dd8ac1a59c6d0a8d6cf98b9121b9e9e19390822,atporo atpquan atporo atpquan atporo atpquan 
50.0,197a24a0917558f9cbd8a75fb57bddc655bcc9d7,atplaw atpshh 
51.0,b0a8d22fb3dd257cdf2c58a35fc69e261c752734,essence 
63.0,7013d05a00d5e6be4f0ca130db327fb46691cb3e,atpold atpold atpold 
65.0,1f0b0ba266af43b7621a8aac3e3e79aec3683eda,24f8a818df639635bc0f6b14f5db86b2c4b73aed narosad 
67.0,17c667f826d223cde09782616567b4ab920926b6,atpstude 
70.0,6942cee728f29a018fa0a65d888e21f636830a39,fuckin red names lul 
77.0,7774ee7a433ec2137f6c8134a74e03e141d973e1,damn youdontsay 
79.0,4884dd06412de27ed36cce4f3c555e35305ed006,notekbird 
79.0,9a17f51223c97bf6f8bc5165a6227659a582193b,pogchamp 
80.0,fbbf65bf04f590a8cf96f0fe872c087a71b4b5d4,this is some pro lvl math strats 
82.0,309a6191291ef96e6b9e61a5a2d3625741689445,fhaehey 
82.0,fc445c30b3a0413107599fe598f1da427629b65a,evomindblown 
82.0,6e340cb3f58e2835a185f0612272b896f0ea7443,sheeet i'm a red name tonight 
83.0,b0a8d22fb3dd257cdf2c58a35fc69e261c752734,speedrun strats too good 
84.0,93553cd5c846b12c8473129ee172636fb18aab32,narowow 
88.0,e24a61162f3c488308b779b1a3ba13350dabacc8,pogchamp 
89.0,891548662fa3b3b428d751f12e8ee49b1b40e8f0,this feels like homework 
89.0,17c667f826d223cde09782616567b4ab920926b6,atpseed 
92.0,79711274df956aef4cd5ea48be473acbc8ee7b2e,topassez 
92.0,197a24a0917558f9cbd8a75fb57bddc655bcc9d7,dayum 
94.0,7fc84f8d9751efa474642306c3d77012f3208b14,ultrabuff ring 
95.0,8cacdbe8d8cf4558542522a911ddcf423fdc2b97,pogchamp 
95.0,ce74bde5654763bc58274cb4e57b5532b7472e90,kreygasm 
96.0,3e4a68188e4418689597b31a4cf91fa97b00228a,aris when the fuck did you become such a diablo 3 afficianado all these recipes in your fuckin head 
96.0,3608dcd4562c24e04b82b4dffa3f56bb2bf7a87c,500 intt kreygasm 
97.0,811080220cb0bf95d8674d36d6eab86fb64d767a,what day do 
98.0,09c5826c47fa975b31225731a3bdf7e6a05ed5c4,damn 
99.0,4884dd06412de27ed36cce4f3c555e35305ed006,damn notekrogan 
100.0,197a24a0917558f9cbd8a75fb57bddc655bcc9d7,thats a dank ass item tokynice tokynice tokynice tokynice 
100.0,301abde84b9d3478fbc5de18f71f7e2b5842bbb8,decent 
100.0,e7f2f477631d7520b9241379ca81142471ff49de,atpgasm atpgasm 
101.0,aac06b70248eaa4da62b557fd4fa222f452fea83,what am i looking at 
102.0,36ab7ef5ea82479650710a8fae0332e28e726c90,rp god atpchar 
102.0,7013d05a00d5e6be4f0ca130db327fb46691cb3e,atpchar atpchar atpchar atpchar atpchar 
102.0,52662dfce2be42ac5543470a4c1b23f88960da2e,dat int 
103.0,43fec5968986fa0302edf58322547f17bc848c7a,500 int so good 
104.0,197a24a0917558f9cbd8a75fb57bddc655bcc9d7,good shit aris 
104.0,cd394094eab945eef394ad015b4dda5392efb785,that ring makes my loins tender 
106.0,ca789289474a35316b1b458e223f214cd1d37866,atpgasm 
106.0,75496e222448a04ecbd1cc68b829584ce82178a9,atpchar atpchar atpchar atpchar atpchar 
107.0,550c1526ee6fd48a49ccd8781a95c7a11e245ee6,650 int lul 
107.0,c11b6774f5de794e2d5a4f9192299b4058a762fd,just like minecraft 
107.0,e24a61162f3c488308b779b1a3ba13350dabacc8,:) 
110.0,fbbf65bf04f590a8cf96f0fe872c087a71b4b5d4,damn we're good 
111.0,1d9dab36ce77929259fbccf8cfc164fcaa800bcd,that's some nice casino engineering you got there 
113.0,082608dec354fef0ea03fa206c6c2941180a36c6,:) 
113.0,b0a8d22fb3dd257cdf2c58a35fc69e261c752734,kreygasm 
113.0,17c667f826d223cde09782616567b4ab920926b6,atpgasm 
113.0,ce74bde5654763bc58274cb4e57b5532b7472e90,damn +400k 
116.0,bdd5a72c13e99a57bd75aad3dc7ef0a994090ecb,atpchar atpchar atpchar atpchar atpchar 
116.0,69ffd0d05033a4ab97d331ab3e95df1eb5e6e5ce,hey bud why no code vein 
117.0,3608dcd4562c24e04b82b4dffa3f56bb2bf7a87c,pffff my ring has 1 billion damage 
118.0,be6aa14f154392392ab740b4b3ccd426e4e162e2,alkguku 
123.0,fbbf65bf04f590a8cf96f0fe872c087a71b4b5d4,how long have you been playing aris 
124.0,cf1a6c67822f1243f1ff1789314af87eb522510d,lol not that long on console 
125.0,320cc88a49e08eb3b07e12b153f4c3743f542890,nice wangs 
126.0,2832ea88239279a7adf7ca4c3e51c3c8979bfcf5,i only got 1 primal and it was shitty atpfeelsbeardman 
129.0,2a994a27518d6fa832987df4360198b38bc4bd07,always lucky feelsgoodman 
131.0,730ff72cd81fcad96c43ffb5132663d4838cbaa4,seemsgood 
131.0,8510207a9ee82e21f38b3605289fcd3380142e6c,fbbf65bf04f590a8cf96f0fe872c087a71b4b5d4 since december 2018 
133.0,af2b4a9625ff4ac854a65941bce1abde6adee48e,seemsgood 
134.0,17c667f826d223cde09782616567b4ab920926b6,atptoiler 
135.0,b0a8d22fb3dd257cdf2c58a35fc69e261c752734,2832ea88239279a7adf7ca4c3e51c3c8979bfcf5 same lul 
137.0,2a994a27518d6fa832987df4360198b38bc4bd07,damn that guy got shot atprtsd 
138.0,a954d651c55a9dd900d1272b7268002cbbc15e6b,he can't locate a boat oar but he can do diablo trigonometry 
140.0,309a6191291ef96e6b9e61a5a2d3625741689445,casino chat fhaelove 
141.0,79711274df956aef4cd5ea48be473acbc8ee7b2e,hey bud atpcap 
142.0,36361cdb97050aeb8d2ec9fb693a4a170ec57144,good job everyone atamgoo 
145.0,52662dfce2be42ac5543470a4c1b23f88960da2e,duck season 
148.0,505e7b4f81ea610cba3dacc2ca11b3c9446c1a8b,i mean you gotta do another rift now with your big boy primal 
149.0,9bb3f1368d516283bf58a7d30d9cfbfcada36ca3,top 15 here we come 
151.0,6e340cb3f58e2835a185f0612272b896f0ea7443,69ffd0d05033a4ab97d331ab3e95df1eb5e6e5ce what happened 
156.0,3e4a68188e4418689597b31a4cf91fa97b00228a,when's the blizzard sponsorship you going to be streaming from blizzcon this year lul 
159.0,36ab7ef5ea82479650710a8fae0332e28e726c90,don't get your hopes up this is the best season they've ever had 
161.0,fbbf65bf04f590a8cf96f0fe872c087a71b4b5d4,damn 
163.0,9a17f51223c97bf6f8bc5165a6227659a582193b,this is some good shit 
164.0,301abde84b9d3478fbc5de18f71f7e2b5842bbb8,we said play season :) 
165.0,36ab7ef5ea82479650710a8fae0332e28e726c90,s18 will surely be traysh 
166.0,891548662fa3b3b428d751f12e8ee49b1b40e8f0,lets see this bird in action 
166.0,bfe35b25c75c6809045515d744a4eecc17f2b1d0,dont get addicted 
170.0,a98b981f76dc251ac98a1800cd428425d9fcee78,05bb6ed84ca017c6f022af6fbe80ae0a4f0957ea you ever get your interceptor 
173.0,1d9dab36ce77929259fbccf8cfc164fcaa800bcd,05bb6ed84ca017c6f022af6fbe80ae0a4f0957ea hit the blizzard tip line 
176.0,4dedc79d92d894a69becb6f3f258ff6e1bc21b49,when is the best time to augement items 
176.0,17c667f826d223cde09782616567b4ab920926b6,atpsuspect its that time 
176.0,2779eafc9ee277a7b761720eef2dd4d10b80a60c,gn chat and aris later :waving_hand: forsenhappy 
183.0,2a994a27518d6fa832987df4360198b38bc4bd07,someone say bird atpbird 
186.0,6942cee728f29a018fa0a65d888e21f636830a39,3e4a68188e4418689597b31a4cf91fa97b00228a he didn't even go to combo breaker lul 
191.0,6e340cb3f58e2835a185f0612272b896f0ea7443,atpbird 
201.0,06864d3927c74ef6d79742c0588222b44294bacc,atpcop 
201.0,ea0e1fad7cccfa8329eea5516d8edd3800fc3382,but have you played the main story 
205.0,bab2c494beebe5af82c9fccd4e3638dad0ed1422,what car does aris have now 
215.0,dd5ed2446f57e9a69ef6bc5506479a8dc745577d,atpgasm atpquan atpquan 
216.0,309a6191291ef96e6b9e61a5a2d3625741689445,rbeegun rbeer rbeegun rbeer 
218.0,36ab7ef5ea82479650710a8fae0332e28e726c90,lets see the crush 
219.0,1d9dab36ce77929259fbccf8cfc164fcaa800bcd,i'm easy 
219.0,d697aaa152471aae9432ec5216ae0f3dbf9c8599,fkn blizzard crack games 
221.0,d8b5e2c0062bc8a859c7b1a9f5893045ba6a3d87,time to rip bong in celebration 
224.0,7dc10f08192792a525c260d415ad97ad1f73d534,s18 will be focus and restraint community buff atprtsd atprtsd 
226.0,197a24a0917558f9cbd8a75fb57bddc655bcc9d7,damn that armor looks sick 
228.0,f52396c807160010e844fdf82ee9f97712196263,whats the point of playing this game in 2019 
228.0,676cdc7423633f6d77242c810aa7d50a8bc36018,:) 
228.0,1d9dab36ce77929259fbccf8cfc164fcaa800bcd,hitting my bong 
230.0,e24a61162f3c488308b779b1a3ba13350dabacc8,youre character looks cool 
232.0,2a994a27518d6fa832987df4360198b38bc4bd07,:) 
232.0,36ab7ef5ea82479650710a8fae0332e28e726c90,hahahaha 
232.0,6942cee728f29a018fa0a65d888e21f636830a39,green names atpsuspect 
233.0,891548662fa3b3b428d751f12e8ee49b1b40e8f0,aris car is pretty cool 
235.0,0db8b2f07e5d31eb4796ba2048bb1e0478bac8db,i'm finna rip bong 
236.0,feec4f9671663724efb61bbf5c187cd5d38bca44,rip bong 
236.0,a51e3314884d08045490bcc3457fb47532bd72d8,:) 
238.0,d6e2b5890c0596da47ccb588525b14bdd7c10a59,drug talk 
238.0,48939d30ddaa9cd8ecb5c853d44540eda15328a7,naroehehe 
238.0,2a994a27518d6fa832987df4360198b38bc4bd07,atprtsd4 
238.0,931d9ed80eb533ea917609eaf62083c1bf7a368f,stoners lul 
239.0,4884dd06412de27ed36cce4f3c555e35305ed006,lul 
239.0,212d5989473641f4a91940116e50f92a39e81781,lol 
240.0,2739a2b455029a1140dea6f323b10e9dcee3629e,atpbigot 
240.0,8ef75fc9d1ed55528671516127d8fcca360c3e54,atpsuspect 
241.0,05d31f8d2b46fb46d64b2694424c3ca24b69e332,rip my bong 
243.0,212d5989473641f4a91940116e50f92a39e81781,seems good 
243.0,082608dec354fef0ea03fa206c6c2941180a36c6,atpsuspect 
244.0,79711274df956aef4cd5ea48be473acbc8ee7b2e,e-legal 
244.0,309a6191291ef96e6b9e61a5a2d3625741689445,for u arnis rbeeb 
244.0,75da89040136c64522e581545eb5c917092e30a5,rip 2 bongs 
245.0,40d74b325c073143b3ee5705496109b0d5011f1c,atpsuspect 
245.0,ba2ffe841140e602686ac0375874b93e659f7b64,wutface 
246.0,d6e2b5890c0596da47ccb588525b14bdd7c10a59,lul 
246.0,72c12e09595ada6ecec30ae934bb5a3131e52fef,rip bong biblethump 
246.0,db4cdcb89ec6493aa73dedc1a37fdbe2e4c248f7,atpsuspect 
246.0,75496e222448a04ecbd1cc68b829584ce82178a9,atpsuspect atpsuspect atpsuspect atpsuspect 
247.0,d8b5e2c0062bc8a859c7b1a9f5893045ba6a3d87,no prepositions in this club 
248.0,93553cd5c846b12c8473129ee172636fb18aab32,trihard 
249.0,4884dd06412de27ed36cce4f3c555e35305ed006,notekbust 
249.0,48939d30ddaa9cd8ecb5c853d44540eda15328a7,fuckin stoners atpbutthash narodesu 
250.0,7dc10f08192792a525c260d415ad97ad1f73d534,atpsuspect 
250.0,358e7f8158a053018dda5af032e768515d8c6530,rip bong or nah 
251.0,4ffec0542ffe5335890cb96a793ffa717f151256,atpbigot 
251.0,6942cee728f29a018fa0a65d888e21f636830a39,rip bong :( 
253.0,739857490c6a4efed517d6d5fce964218613fbac,bongrippers rip bongs at anything to celebratre 
255.0,dbe916018ee882796812a03dcbd73fb8b8af124e,rip in peace bong :( 
256.0,48fa472652e2434ff45264644d0d9b6449ef1a61,what character is the cheapest shit this season 
256.0,a98b981f76dc251ac98a1800cd428425d9fcee78,call him tasty steve 
257.0,2501bbdaae5091855a374ffde00cf4d4101e1738,cal riftken lul 
257.0,301abde84b9d3478fbc5de18f71f7e2b5842bbb8,he jiggles 
259.0,9a17f51223c97bf6f8bc5165a6227659a582193b,arisette lol 
259.0,a18009ba71d7f4a7d7591e285fa4aebb5fc4137f,atplaw 
260.0,feec4f9671663724efb61bbf5c187cd5d38bca44,perma-archon wizard is fun too 
260.0,3f02b0c186287786e440eb9e9bd535c16d7fa06e,my favorite class seizure man 
261.0,1d9dab36ce77929259fbccf8cfc164fcaa800bcd,witcher 3 doctor 
261.0,d6e2b5890c0596da47ccb588525b14bdd7c10a59,thats cool 
262.0,7774ee7a433ec2137f6c8134a74e03e141d973e1,lul lul 
262.0,d82a44f0be3110596d2ca6975ab3c207a4ef0e20,i did too much atpsuspect 
262.0,36ab7ef5ea82479650710a8fae0332e28e726c90,i used to use the handle dr ape it was misinterpreted though lmao 
265.0,4ffec0542ffe5335890cb96a793ffa717f151256,dr niguar atpcarl 
265.0,4227b6f26dc19e1b1840a4bbc8fdab3e7c500fc9,[pogchamp 
266.0,309a6191291ef96e6b9e61a5a2d3625741689445,its happening tho 
267.0,d28e09c466cb80fad175fbf76bab22cab5fd3d32,atpgasm 
270.0,47e68e7b6f7adc386cfe59690bab2a0b871b2f3f,atpcop 
272.0,550c1526ee6fd48a49ccd8781a95c7a11e245ee6,that looks like hammerdin baee 
275.0,f239f44a93f0c9d2aeb1192ca9669780e0589bc5,kreygasm 
275.0,cf1a6c67822f1243f1ff1789314af87eb522510d,you wanna get real about this game you play it on pc 
276.0,9031ecf906f882dd8ca23b847078fe530ebd7faa,level deez nuts 
276.0,197a24a0917558f9cbd8a75fb57bddc655bcc9d7,captain arisette tokynice tokynice 
277.0,97f53b974e197452073a002810e497b78e6c64d7,wassup chatroom 
278.0,75496e222448a04ecbd1cc68b829584ce82178a9,atporo atpquan 
278.0,8510207a9ee82e21f38b3605289fcd3380142e6c,hol up chat cmonbruh 
280.0,6dd9364836678714ab05f96022e16ccbadab88c4,lul 
280.0,7dc10f08192792a525c260d415ad97ad1f73d534,arcadeghost hol up atpcarl 
284.0,9999d8e162693db65d96dd3b83bce0a2ea99ed7e,armenian mowhawks 
285.0,f3419adb9a23cc2b92b6774c863409852cc318d8,she a hoe 
285.0,24f8a818df639635bc0f6b14f5db86b2c4b73aed,sexy ass character 
286.0,550c1526ee6fd48a49ccd8781a95c7a11e245ee6,if so gogok + trapped + eso 
286.0,a18009ba71d7f4a7d7591e285fa4aebb5fc4137f,atprtsd 
287.0,36361cdb97050aeb8d2ec9fb693a4a170ec57144,arisette naroblush 
288.0,0db8b2f07e5d31eb4796ba2048bb1e0478bac8db,metal as af 
290.0,fbbf65bf04f590a8cf96f0fe872c087a71b4b5d4,candlehawk 
291.0,9a17f51223c97bf6f8bc5165a6227659a582193b,how long have you been streaming aris sir 
294.0,a71db1f37188d80feb9a35554edd8f7b039b98d0,4ffec0542ffe5335890cb96a793ffa717f151256 atpcarl 
295.0,309a6191291ef96e6b9e61a5a2d3625741689445,fuck rbeesleep 
298.0,40d74b325c073143b3ee5705496109b0d5011f1c,atpcarl 
298.0,ee3cc3e9b6f5a4784948ccdee1b677a6bc0e1c07,whoah cmonbruh atpcarl atpholup 
301.0,97f53b974e197452073a002810e497b78e6c64d7,one of these days i'm gonna sub i swear 
304.0,dd5ed2446f57e9a69ef6bc5506479a8dc745577d,appreciate the double thanks 05bb6ed84ca017c6f022af6fbe80ae0a4f0957ea atpgasm 
304.0,301abde84b9d3478fbc5de18f71f7e2b5842bbb8,05bb6ed84ca017c6f022af6fbe80ae0a4f0957ea are you lon on both chars are any sets good this season 
310.0,0db8b2f07e5d31eb4796ba2048bb1e0478bac8db,i heard it be do 
310.0,9bcfb0706c99733735402b9a3313918ff9bd87de,its not good for necro 
312.0,550c1526ee6fd48a49ccd8781a95c7a11e245ee6,you're trolling = 
315.0,75496e222448a04ecbd1cc68b829584ce82178a9,atpcarl 
317.0,9bcfb0706c99733735402b9a3313918ff9bd87de,i mean crusader 
318.0,4ffec0542ffe5335890cb96a793ffa717f151256,7dc10f08192792a525c260d415ad97ad1f73d534 a71db1f37188d80feb9a35554edd8f7b039b98d0 i'm totally black sadscoots 
318.0,b1176eb8643b9a6fa3f9a0e44823734bb1c6c1ae,its good for everyone that uses crits 
320.0,550c1526ee6fd48a49ccd8781a95c7a11e245ee6,gogok + trapped + eso 
324.0,234b60c73bdb53260943c2efad0471839075b80d,you talk to mike ross at all aris 
324.0,36ab7ef5ea82479650710a8fae0332e28e726c90,noob 
327.0,a98b981f76dc251ac98a1800cd428425d9fcee78,i don tthink pain enhancer is ever good 
327.0,7e90c8946b83ba341f061f63445753a6a2e3b7fe,is it good or nah 
330.0,ee3cc3e9b6f5a4784948ccdee1b677a6bc0e1c07,soggysmile kyosb 
334.0,5c0fceb46c076cdce9134364ca14d880b0786e74,dh 
