Time,User,Message
0.0,55b9d89ea8f799da3e4854a8bac8c8cb4877f424,abomb211013 you allso want to keep the bovine bardiche and use it in cube ; 
4.0,fe9110039278dff664a3c9cdee478be660caa801,don't you guys have hype 
8.0,2e95378374bc7dcc3744fd6b015a28e8f85491d0,diablo immortal dlc confirmed 
18.0,320222e27e6ffe86c738ae40f4bee7d84af62da3,so i look at builds and i'm not sure how to wear the nilfurs boots cause they use the firebird boots for the 6pc bonus do i drop halo of arlyse to cube rorg 
36.0,55b9d89ea8f799da3e4854a8bac8c8cb4877f424,cube rorg - almost always 
46.0,5353b927414cf7025bbd140070eecf216267deda,076eb652fac09729e33398752d3d648a51707c6d blizzard didn't already said there won't be any major anouncment this year at blizzcon 
47.0,6b03fa6e5c08cf74ea77fb985972b020f2677ee9,55b9d89ea8f799da3e4854a8bac8c8cb4877f424 what does that do 
72.0,872c4b24b51725ded7a841e0ac8abfc38554381d,96fa94a34564a1fe0adf7c135bd15a0da45db569 heeere kitty kitty kitty coolcat 
72.0,bc2df61fe17b2cf16bf85d6370cb5c3ad2149e96,no major releases 5353b927414cf7025bbd140070eecf216267deda 
78.0,706438133b8e4602aac63f675df67bdfbbaf20e6,tierlist 
80.0,55b9d89ea8f799da3e4854a8bac8c8cb4877f424,abomb211013 well as in diablo 2 there is no cow lelvel 
87.0,5353b927414cf7025bbd140070eecf216267deda,076eb652fac09729e33398752d3d648a51707c6d i must have misunderstood then 
89.0,9269f552556e630e9fbb8f31db27e14c1f9a09ae,yeah there's 0 chance they announce d4 this year they have to pump diablo immortal 
101.0,4da5a2cdeb7eb575ba944e495a1a5d5ec034b050,d4 will be free to play but no auto pickup of gold unless you pay $99 
114.0,90af475d1d57db0e5955e4318b6646b834abf59d,lol 4da5a2cdeb7eb575ba944e495a1a5d5ec034b050 
116.0,fe9110039278dff664a3c9cdee478be660caa801,warcraft was biggest 
129.0,fe9110039278dff664a3c9cdee478be660caa801,least bood 
129.0,872c4b24b51725ded7a841e0ac8abfc38554381d,4da5a2cdeb7eb575ba944e495a1a5d5ec034b050 don't give them ideas 
145.0,d3d5bb058e6e6133a58d3e60091350a265ad5e2c,greatest crossover in history is smp live with callmecarson ant venom captain sparkles voiceoverpete gumball voice guy 
148.0,76781c4a7bd165df83b9179d59271ee7432590ed,don't you have phones 
163.0,3e126797f6c1782ac37d30b0e6496ff19da9ebc4,blizzards big new announcement will be no phones needed 
166.0,6b03fa6e5c08cf74ea77fb985972b020f2677ee9,55b9d89ea8f799da3e4854a8bac8c8cb4877f424 sorry i haven't played diablo 1 or 2 so i'm not exactly sure what that means is it similar to puzzle rings or rainbow goblins and opens up a portal or something different 
209.0,96fa94a34564a1fe0adf7c135bd15a0da45db569,this blizzcon they will announce stuff and things and other stuff - this is all we know for sure kappa 
216.0,d65fe8f798fa410ed29d8b6f3b931218b48ebf1e,tier 
216.0,55b9d89ea8f799da3e4854a8bac8c8cb4877f424,abomb211013 not sure i want to give you spoilers just add one into the cube and have fun :d - and no it's not like the goblin or puzzle ring portal 
224.0,0f7f0cfa3d60fe86413f5fefab1941a059c7babc,076eb652fac09729e33398752d3d648a51707c6d oh sheepdip it's 10:00 already i should've taken my meds at 8:00 whoops :person_shrugging_light_skin_tone: :male_sign: 
230.0,83105b0e4d0b6f4374d90177da4891042375cf45,they also announced the release time for wow classic if i recall correctly 
239.0,8127f477241a191b0f7d0be5063bc5484fb0df7c,when do the tickets go on sale 
241.0,0f7f0cfa3d60fe86413f5fefab1941a059c7babc,time flies 
247.0,96fa94a34564a1fe0adf7c135bd15a0da45db569,i love stuff things i'm not so sure about kappa 
247.0,55b9d89ea8f799da3e4854a8bac8c8cb4877f424,wow classic will be august 27th 
251.0,f6b90cdbb4eedcf967a5746aaefe79488e334b91,wow classic releases 8 aug this year 
256.0,f6b90cdbb4eedcf967a5746aaefe79488e334b91,27th* 
282.0,6b03fa6e5c08cf74ea77fb985972b020f2677ee9,55b9d89ea8f799da3e4854a8bac8c8cb4877f424 alright i'll make sure to lookout for that thanks for the help again man 
288.0,83105b0e4d0b6f4374d90177da4891042375cf45,yea that is why i said the release time not the firt announcment 
