Time,User,Message
0.0,7b499cfadef018cfd2a87d583d6801c34553725c,a good vibee ya know 
14.0,f28840ce672506b5a35afb2b7b1f1a82c80482cf,no don't try for d3 shoot for gc 
32.0,316e157268fb177052c3ef629456d10751e373d0,you said roanoke m 
39.0,7b499cfadef018cfd2a87d583d6801c34553725c,unxtedlove unxtedlove 
49.0,5293aa86728b4ab0070bed7dec39033a0ba8af9f,can girls play this because people say i'm not aloud like fortnite 
59.0,5293aa86728b4ab0070bed7dec39033a0ba8af9f,but i do anyway 
82.0,316e157268fb177052c3ef629456d10751e373d0,ok cool i'm like between flower mound and lewisville 
99.0,7b499cfadef018cfd2a87d583d6801c34553725c,817 
121.0,7b499cfadef018cfd2a87d583d6801c34553725c,lmao 
125.0,7b499cfadef018cfd2a87d583d6801c34553725c,funniest story 
127.0,316e157268fb177052c3ef629456d10751e373d0,yea i've heard of it 
137.0,7b499cfadef018cfd2a87d583d6801c34553725c,i was in feeds stream right 
143.0,7b499cfadef018cfd2a87d583d6801c34553725c,and he was playing with a friend 
150.0,7b499cfadef018cfd2a87d583d6801c34553725c,and i just randomly said 817 
153.0,7b499cfadef018cfd2a87d583d6801c34553725c,and they were like 
155.0,7b499cfadef018cfd2a87d583d6801c34553725c,moe wtf 
159.0,7b499cfadef018cfd2a87d583d6801c34553725c,and yeah 
176.0,7b499cfadef018cfd2a87d583d6801c34553725c,i dont know why 
184.0,7b499cfadef018cfd2a87d583d6801c34553725c,i just thought of it 
206.0,5293aa86728b4ab0070bed7dec39033a0ba8af9f,but my 2 bros say i can well my younger one :index_pointing_up: 
215.0,7b499cfadef018cfd2a87d583d6801c34553725c,i swear to god it just popped up in my head 
222.0,7b499cfadef018cfd2a87d583d6801c34553725c,pinky promise 
237.0,f28840ce672506b5a35afb2b7b1f1a82c80482cf,unxtedking unxtedking unxtedking unxtedking unxtedking unxtedking unxtedking unxtedking unxtedking unxtedking unxtedking unxtedking unxtedking unxtedking 
240.0,7b499cfadef018cfd2a87d583d6801c34553725c,thank you for the raid 974d34d5e5a9403d82e8d0ad780fbcbd5e75ff99 
252.0,316e157268fb177052c3ef629456d10751e373d0,are you going in vacation this summer 
258.0,18230b55555f63910fb84946a72a2d3f14540b87,stop scoring 
264.0,077136bc77ebb5223c6719a8328bc286eaa9a6ce,so hoodlum415 
279.0,03e9b3a1934d5c90299c610b3d9c7d85eb55bb5b,so hoodlum415 
320.0,3ede1bce9a4d4342bf362e06a7ce9305781a041a,11-1:flushed_face: :face_with_tears_of_joy:disrespectful 
338.0,18230b55555f63910fb84946a72a2d3f14540b87,lol 
380.0,3ede1bce9a4d4342bf362e06a7ce9305781a041a,i'm a dude:face_with_tears_of_joy: 
383.0,f28840ce672506b5a35afb2b7b1f1a82c80482cf,broette 
386.0,3ede1bce9a4d4342bf362e06a7ce9305781a041a,i'll follow 
392.0,18230b55555f63910fb84946a72a2d3f14540b87,thanks bro 
401.0,18230b55555f63910fb84946a72a2d3f14540b87,what's up 
415.0,af63467b6a2c1a1867eb6b209f63edbf6e1f453e,this game ain't fair bro hahah 
433.0,316e157268fb177052c3ef629456d10751e373d0,i play ice hockey for the flower mound high school if you have heard of that school 
475.0,7b499cfadef018cfd2a87d583d6801c34553725c,i did too 
478.0,18230b55555f63910fb84946a72a2d3f14540b87,is it solo standard 
478.0,7b499cfadef018cfd2a87d583d6801c34553725c,obviously 
495.0,f28840ce672506b5a35afb2b7b1f1a82c80482cf,18230b55555f63910fb84946a72a2d3f14540b87 just standard 
541.0,3ede1bce9a4d4342bf362e06a7ce9305781a041a,dude it looked u was barely trying :face_with_tears_of_joy: 
543.0,7b499cfadef018cfd2a87d583d6801c34553725c,his name is king bot 
548.0,7b499cfadef018cfd2a87d583d6801c34553725c,uptime 
573.0,281f4e02b250177ac690c2091c31fe4e60327ee9,hey i'am franch i don't understand everything but i try 
580.0,281f4e02b250177ac690c2091c31fe4e60327ee9,french sorry 
580.0,7b499cfadef018cfd2a87d583d6801c34553725c,why do you like king bot but not unxted bot 
592.0,7b499cfadef018cfd2a87d583d6801c34553725c,bonjour mon ami 281f4e02b250177ac690c2091c31fe4e60327ee9 
603.0,8c3607dcf40f253e28effe549061d7710036ef07,lul 
605.0,8c3607dcf40f253e28effe549061d7710036ef07,nice 
614.0,8c3607dcf40f253e28effe549061d7710036ef07,my french is broken too lol 
617.0,281f4e02b250177ac690c2091c31fe4e60327ee9,not bad 
642.0,38a8080058fca4441709a16678bc0d7c56f80ec8,8c3607dcf40f253e28effe549061d7710036ef07 u cant even speak baguette 
651.0,7b499cfadef018cfd2a87d583d6801c34553725c,je parle un peu francais 281f4e02b250177ac690c2091c31fe4e60327ee9 
