Time,User,Message
0.0,9d42c70e3456d56f4a319b5650dd56c7267c817a,just scratched my head and some of your packets flew out 07c10fe52479fe1e6798aa84710eff2e414dd0e3 
4.0,51becc4ac3ed5a635b48b6666eb25b663b68bf2f,07c10fe52479fe1e6798aa84710eff2e414dd0e3 u are handsome i want your kids stop playing video games 
31.0,01c9c25b814cb5d2db53df6ac8b1378d1d4f1294,we have a no life in chat 
102.0,9c7cdd3efe00754acc911ab791dec878528d55dc,tmem as a non sub scum i think u should get this fucking bread 
102.0,9d42c70e3456d56f4a319b5650dd56c7267c817a,yes fight me cunt 
110.0,c90251724e5651667a7ae3666c0394bac2273bd3,i cheated on my girlfriend told her about it and she still won't leave me im so confused notlikethis 
205.0,b6364733d975c945ec07ce31d5a82ba28b2a6d37,because she wanna cheat back on u so u know how it feels 
218.0,de68474da69cc31b257d41863ab6be1caf0ad7f2,mate your haircut is shit 
259.0,c90251724e5651667a7ae3666c0394bac2273bd3,b6364733d975c945ec07ce31d5a82ba28b2a6d37 no that's not true its cause i look like thor lul 
284.0,24300545ffe3c87708be7f74afc3d2c644099af9,what haircut hes just wearing a jewish hat 
291.0,a848276118ae693551221801bc97e55cd39b40aa,the 2xp is over 
298.0,978d9e1618405a9328c6da810f7fd035444a5e43,what did those mannequins do to u 
335.0,978d9e1618405a9328c6da810f7fd035444a5e43,hahaha 
402.0,c90251724e5651667a7ae3666c0394bac2273bd3,lul lul smg vs smg 
407.0,a848276118ae693551221801bc97e55cd39b40aa,followage 
452.0,7396b7b42adc4143ce55be13c4d289a50e541d22,nazi mods or no 
537.0,c90251724e5651667a7ae3666c0394bac2273bd3,7396b7b42adc4143ce55be13c4d289a50e541d22 he is one of the devs kappa 
538.0,7396b7b42adc4143ce55be13c4d289a50e541d22,you've still got a shit haircut 
563.0,e747ce44bd0ee9608fd0df934d36aae6013b35c8,hi 
568.0,beea14d5531200c16aea17be7f1dfe86aa1e337a,lmao 
600.0,22ef62c9278cc5d86c6106fbf6a342b6bc45b040,dam 2 years 
601.0,c90251724e5651667a7ae3666c0394bac2273bd3,lul 
603.0,d8ceec490fc42d7fcc46640d67fd59f191e55023,oooof that looks cleaaannnn 
