Time,User,Message
0.0,fa48ae9b78608905214b956b03a83ad095023079,kapp 
1.0,468354a6ef92219abe680850af7121cb8f6a5420,1080p sucks on mobile :( 
2.0,18ba3f316a1f9db68e510049a1e88185b74731de,kapp 
4.0,c1b5e6b84128b8ef9fa5fd5aa797ee146d062a74,the same way metsa farms you 
6.0,784faf7d976325340f4f163c0d5fc12987f464c3,jessiemald frtyok 
7.0,0d01104b16e95c3310cbe43fe1bf148ed77493da,only one you are faming in 6mans is me 
7.0,41a08a7d1bf47be48955b21671e41dffa1433988,but never beats fruity kappapride 
9.0,0f01fcf567276e7908c4fe93b3af037a2e3d07c3,5head 
10.0,9b4f36fd7365ac0e1ba3530aa95a7e2387377347,5head 
13.0,1bcf08fc87cc74bd308a4c7208f2d1262bbbf4ba,медуза медузаа :) 
14.0,f43a9ad81b0796c8a3386a3cc1c9e7441a269910,fa48ae9b78608905214b956b03a83ad095023079 that is super common c3 most people are so afraid to put themselves in long recovery because it usually ends in confusion and conceding a goal 
15.0,6acfc8261a91121eb96d3b32797a5505924eb09f,7fb798f58a6a59f3989abbb3c10d1c69ec921c7f when you want to play :) 
16.0,672fe6b58f337223833951738edd65affd507d8d,medusaaaa 
20.0,498d695377fd665e78d83c50280abbaf77cf9c1f,jessiehandsup 
23.0,4ae94feb59eb6fd649a3f240904ae7c6208bd309,tea made 
24.0,6acfc8261a91121eb96d3b32797a5505924eb09f,eng 1bcf08fc87cc74bd308a4c7208f2d1262bbbf4ba 
35.0,41de0d7424e990a51e22de538693c53c1772f564,pepegaphone pads jessie 
36.0,7fb798f58a6a59f3989abbb3c10d1c69ec921c7f,6acfc8261a91121eb96d3b32797a5505924eb09f not now and probably not later frtyok 
39.0,41a08a7d1bf47be48955b21671e41dffa1433988,e013a57d70a261c41cf7012bb9731c7ad9d97f7b streaming today 
41.0,1bcf08fc87cc74bd308a4c7208f2d1262bbbf4ba,i wanna sing :c 
42.0,f43a9ad81b0796c8a3386a3cc1c9e7441a269910,c0ac2790c6d1fffb081935441d8ed4ca24965991 cant hear you your mmr is way too low 
44.0,600d4ee2168df7bed58a53e9268b3e18c685dc64,well imma head out guys cya xqcarm1 jessiemald xqcarm2 
