Time,User,Message
0.0,7e29e19b9dad862ccc06ea99ae7ba4bb28f610c5,i need to resub shit i forgot it ranb out 
6.0,c0400d2b59ddf1dafdff37f0e4bf160353d7770b,are they making ranked exactly like this or is this only for the test servers 
10.0,89953132c7b4ba72b04cc73bfac7d1448a669f20,i like to make arts about siege more then playing it i don't know why pokerface 
14.0,b44c52c47884565645c69cc66dd13ca638709605,77a3e8e60e3bba7130e2189c1d744f2840c73b83 you have to embrace your spidey sense my guy 
26.0,313236ee2834aa96ae4d684ebd284be92ef45faf,جوووون يعني چي 
27.0,d8ad193ae46ebdd1197d6c7736d8da2e08904038,e74c950c6130cba279913e0e80b0f65c42058675 but you also couldn't see very well because they made your screen red as hell 
35.0,884835e5ec19119bd7ffa5d85bb1f342a178d928,aye my fav streamer 
35.0,a4ada992e752098335565c212a0ddb05d5454c3a,d70e6c01c8935a7dba105f01dcc3c074432f1261 77a3e8e60e3bba7130e2189c1d744f2840c73b83 my friends all have fancy headsets and tell me the wrong way they he things mines cheap and works great lmao 
37.0,ebd7d53494ec41d6ff70171f66336ef767ebdd5b,qual foi manos 
38.0,2f824204540d8715329583d72561ad66d5e055d5,does nook's ability make her steps quiet 
39.0,1f32d2f15023a3409164536463c34fbb3539850a,cooking some chorizo n watching the stream lol 
52.0,a4ada992e752098335565c212a0ddb05d5454c3a,hear things* 
58.0,f84c4e3502b6e4403ac2f56ef30b24cd0dd9a24f,2f824204540d8715329583d72561ad66d5e055d5 yes but only when walking still make noise when running 
63.0,b44c52c47884565645c69cc66dd13ca638709605,what do you guys think of the sound from first person perspective that nokk makes when using her ability i get creeped out hehe 
79.0,fce23333acdbeaceeac238c72bf9f694802d50ee,haha 
79.0,30eb5879ce5475ada39064496fd3322ea6c0d82b,yikes 
80.0,3a4ab15c1fc1d0b8c96d954625592c7cb3222d5f,am i the only one that thinks the new sight needs readjustments 
80.0,f4116f5d1eb7bbfedb9cea86976c4fc192b43a1a,oof 
80.0,d6fd5e8e810b0e9eee41c3945baaab1cbdd793d2,oops 
80.0,efdef95b1f48af5d411308aa97004d3806c90d3f,how 
82.0,b44c52c47884565645c69cc66dd13ca638709605,noo so close 
82.0,ba55fcd407ffb791efd66bbbe6467e3f52ccd3d8,olololololololol 
83.0,89953132c7b4ba72b04cc73bfac7d1448a669f20,lul 
83.0,1742137ccbdc10c7e3af9e79866345121abfdec8,nooooooooooooo 
83.0,00643b007b2ed3d73275443cd5074fe85efb8efd,lul 
84.0,7ff21765e57d691c226848a331a34e7b82197eda,mahfrost lulw 
85.0,1069c4966b493dc36da4f6c980fc8cf13ac3dac3,zfgnodude 
86.0,e93d6321d4c082c989262919e48e0da14ce907de,thats dumb 
87.0,a35f158e3bfa9a3fd7bba6ab707ea70dc0ae2074,mahfrost 
88.0,33adfa591d54655fe45104177b1aaca204f5be5c,lulw 
88.0,cfd47b6f4ea2eef1f47f844f10d92a10e1a8f725,daaaang that was unfortunate 
88.0,c31b63797a62ac3f99a75a7829a3839480d6d1c7,ahahahhaahhahaha 
90.0,99e2aed36d84f605b12a225a7edc2712d907938f,pepelaugh 
90.0,92f8c2e929c0b487affd18da9d0b8fb191ac490b,unfortunate 
90.0,4a52f8afb58ec82fc9cc814574e79c794910332e,facepalm hahahah 
91.0,2532962a045848633aa5bfb088a3fb2a5fcc1b5e,kixhi 
91.0,a7847ec871d96050a84517451b83529bafd22643,07ff53bf004c202c4e13c8f37e42b45a764d7be9 how long have you been playing pc for 
91.0,b44c52c47884565645c69cc66dd13ca638709605,unfortunate 
92.0,7f4fa933b246f6d1403793c15f7da324df69a966,lulw 
94.0,fce23333acdbeaceeac238c72bf9f694802d50ee,knife is broken 
94.0,a35f158e3bfa9a3fd7bba6ab707ea70dc0ae2074,mahfrost mahfrost mahfrost 
95.0,d4a06bbb8591d98d201b4ea583e4bbf5d9318e22,unlucky 
96.0,ed9da92ccfa4a54deac7722867b4fc3e19a23ddd,lul 
96.0,bf9d0d91f6f3d0fc5bf9fbfdc691d539217f4c66,mat1bingbong 
96.0,f84c4e3502b6e4403ac2f56ef30b24cd0dd9a24f,chat you saw nothing 
97.0,7dec2413f0ad6a4bb7fe303d1324d1131d19ee30,lul 
97.0,8dbc14688e19773a6d0307ee9d8eb007fcd2fe67,mahoof mahoof 
99.0,c769f7513ef69a8c9762cc8f6f98b6426d2b431f,frost got a nerf as well 
99.0,ba55fcd407ffb791efd66bbbe6467e3f52ccd3d8,lololololololol 
106.0,c31b63797a62ac3f99a75a7829a3839480d6d1c7,shroud4head shroud4head shroud4head 
106.0,a7847ec871d96050a84517451b83529bafd22643,07ff53bf004c202c4e13c8f37e42b45a764d7be9 thats going on gamesprout kapp 
106.0,89953132c7b4ba72b04cc73bfac7d1448a669f20,feelsbadman 
108.0,303357f356a30d17eace0554ac2d20a24180fef1,mahfrost 
108.0,b44c52c47884565645c69cc66dd13ca638709605,honestly though after vaults and stuff like that i feel like those knifes can be really difficult to hit though 
108.0,d4a06bbb8591d98d201b4ea583e4bbf5d9318e22,that's was the biggest piece of unluck 
113.0,cfd47b6f4ea2eef1f47f844f10d92a10e1a8f725,did the knife push your body away from hjer 
114.0,d4a06bbb8591d98d201b4ea583e4bbf5d9318e22,feelsbadman 
121.0,96944a04f9a4fedc242dfb5073038284d22a329e,that would of neem the ultimate teabag 
121.0,d70e6c01c8935a7dba105f01dcc3c074432f1261,a4ada992e752098335565c212a0ddb05d5454c3a yeah i've gotten to the point where i just tell them to be quiet unless they physically see them on a cam lul 
123.0,501a431c5da74e99e70a603fd4166579d908ce73,can u play with pulse please 
127.0,a7847ec871d96050a84517451b83529bafd22643,gj 
128.0,efdef95b1f48af5d411308aa97004d3806c90d3f,if you try to knife while falling it also seems desynced 
131.0,89953132c7b4ba72b04cc73bfac7d1448a669f20,you can destroy frost traps with just two shots now 
132.0,2532962a045848633aa5bfb088a3fb2a5fcc1b5e,kixrekt 
138.0,a4ada992e752098335565c212a0ddb05d5454c3a,people always crouch under my knife matrix style smh 
139.0,a435421635ea487ee42c446b81ddfe57d5a91ae5,poggers 
139.0,af6874f30a2f309d82ba48c5092430580d19657d,ricardoflick 
145.0,61a43ca37f554ad7b2de96ba7556b8cce971f383,wp 
147.0,cfd47b6f4ea2eef1f47f844f10d92a10e1a8f725,nt 
148.0,b44c52c47884565645c69cc66dd13ca638709605,trying to like look around and aim the knife when your body is moving so fast is difficult oftentimes 
149.0,cfd47b6f4ea2eef1f47f844f10d92a10e1a8f725,on the knife 
150.0,27fb8b7667f4bf6dfb7dcdf490dc5420a7000f72,mahgg mahwp 
153.0,ea3dd3cad3661345fbcbc07649d7b51b5fdda4bb,is there a new ranking system in the ts 07ff53bf004c202c4e13c8f37e42b45a764d7be9 
158.0,d9cf83c91ee9d32ba81669a75140781239a8becb,yo so my badge is even cooler now nice 
159.0,1069c4966b493dc36da4f6c980fc8cf13ac3dac3,mahgg mahgg mahwp mahwp mahgg mahwp 
161.0,7d2276dc8c108cc8c9d647306eee0eb1c70de54a,mahgg 
161.0,c12ceb535ee68215f94319d51f190a8e3b15b167,is there a new pistol reload animation in ts 
161.0,501a431c5da74e99e70a603fd4166579d908ce73,kgamin2krimit kgamin2krimit kgamin2krimit kgamin2krimit 
163.0,29e5f7b4c15e150a5059369493503aed09fe2d5e,rank lock 
164.0,9e7d1aa38a924012abcf3bbf280d812176ae77a3,when the games last shorter than the que kappa 
164.0,b44c52c47884565645c69cc66dd13ca638709605,whoa 
168.0,7e29e19b9dad862ccc06ea99ae7ba4bb28f610c5,what did they do to pulse that every one want to see 
168.0,053b86387f337a412a961281785da1d7228b4edf,tried to knife before falling off the counter maybe 07ff53bf004c202c4e13c8f37e42b45a764d7be9 
170.0,b44c52c47884565645c69cc66dd13ca638709605,what is that plat 2 color 
173.0,b44c52c47884565645c69cc66dd13ca638709605,i had no idea 
178.0,9cd0e010d0719169a4412befc3cf3c546b127a49,what is ranked lock 
179.0,b44c52c47884565645c69cc66dd13ca638709605,mahdog 
182.0,d4a06bbb8591d98d201b4ea583e4bbf5d9318e22,lmao i'm tripped out by the colors 
187.0,cfd47b6f4ea2eef1f47f844f10d92a10e1a8f725,yeah i don tlike the new plat symbol 
189.0,1069c4966b493dc36da4f6c980fc8cf13ac3dac3,9cd0e010d0719169a4412befc3cf3c546b127a49 2 factor i believe 
189.0,b44c52c47884565645c69cc66dd13ca638709605,did you guys catch the roaming brook 
192.0,8dbc14688e19773a6d0307ee9d8eb007fcd2fe67,mahreplay mahreplay 
200.0,1069c4966b493dc36da4f6c980fc8cf13ac3dac3,9cd0e010d0719169a4412befc3cf3c546b127a49 maybe i'm wrong i don't know 
207.0,77a3e8e60e3bba7130e2189c1d744f2840c73b83,replay mrdestructoid 
207.0,b44c52c47884565645c69cc66dd13ca638709605,first of all that frost mat shouldn't be triggered 
214.0,30eb5879ce5475ada39064496fd3322ea6c0d82b,what are those legs wutface 
218.0,fb8163b7bb1faccaccd53cfa876cf0410ba4a2c0,word 
222.0,dc8f5de4e48a994edb40538c5cff27050a9f4d07,hi 07ff53bf004c202c4e13c8f37e42b45a764d7be9 why do you think r6 doesn't let you to select maps i feel like it could make learning maps for new players so much easier 
225.0,9cd0e010d0719169a4412befc3cf3c546b127a49,1069c4966b493dc36da4f6c980fc8cf13ac3dac3 mahthink 
230.0,f84c4e3502b6e4403ac2f56ef30b24cd0dd9a24f,so close pepehands 
231.0,61a43ca37f554ad7b2de96ba7556b8cce971f383,games broken 
