Time,User,Message
0.0,6e2b0f728223e2bec40ce862e66ed8c18b2e9a52,no mercy 
0.0,463d3f11d7032e96c7539f631c36ec3f12ee55af,randoms are letting daddy down 
1.0,aca56aa3f041522bdddd80a1e42ac76ef8ecfed0,excuse me? jason? 
1.0,e744df4ed0988fc818c123c024c497126d72fb22,fbrun kappawealth fbblock 
3.0,73e7b634ee8e9ae3a64e2a4d7934addf44cb8587,oorrrr maybe you could play rocket league 
5.0,6a4d66a67e832004ddd28a12e5bc81db64dccc0a,fortnite is betta 
6.0,46ee7b15d7a7651dae8fe6341fb4f9d8374a8408,“ can't get any worse “ 
7.0,8520992adae89ad73ba0a672cd5a278e1eadfa6d,speedyrocket2 speedyrocket2 speedyrocket1 
7.0,a5388e92bf012931eaaadf98018ded15d6824f03,this is the curse of sub natica 
7.0,4ae0ae701ff3528e73fbe4c7bba9066497634083,mike 
10.0,c5049012054e0ba3fca072bee159e1f567c1b81b,speedyreeee speedyreeee 
11.0,1f9e2aa504f9b8899082f93ca2a91f6be4fff091,lmaooo wow 
11.0,6620ea8b690d25eb14f07255ab1a9f083263e5eb,speedyrocket1 speedyrocket2 
13.0,d90c453b1b13d3dae55724ce69f162eafa325e7a,where is the crew swf 
13.0,e744df4ed0988fc818c123c024c497126d72fb22,holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent 
14.0,c5049012054e0ba3fca072bee159e1f567c1b81b,sc 
14.0,f1a2767af0ec13bb5d41124ecbdd5202b449f09d,lol rip 
15.0,9355bc0259b6d729ee179a4f9ee66555e3211ecc,lmao 
15.0,8925b111b2ef46d1b7bf91104ede7478c764c492,he dc'ed cause he got so mad he shit himself 
16.0,00a4be5e523ef313766d0453d48cc45efe9ef7df,lmao 
16.0,fda9be24d36dbfc9d6f97da6b304ef3dab64e853,yikes 
16.0,1f9e2aa504f9b8899082f93ca2a91f6be4fff091,he played you 
17.0,333db3c908a640e927575e6c5d57de59e5827f11,micha 
17.0,45a01aeb111ade4dad976c71f00cc9d444196273,rip 
19.0,2bc005e8170364f02cc8c9fd42512fc7231cfc09,oh goodness 
19.0,7658833208aff1f126281c53a99a5443869082a0,3c0d34b0ebec13de13df08d7f31ed37f988e82ac what rank do you want 
21.0,f5c8dab27a945d0bbc84c38458fd01271f6a5012,gg man 
21.0,6f31a533d925bbda3468ece229b89cd2d6c50dbf,yikes 
22.0,0a0d33c34ef0684ecbac72f101ee9d2891943aab,oh dead by daylight never change 
22.0,28e6b576591f9aa0bd13511a23e28861b597ced7,speedylul 
24.0,03ada7a1112ea6a23638cce30e158906fd843823,speedy i miss u 
24.0,304f8d9370d4a0499aec9fa2ec52c0a4213fa7e6,5head 
25.0,9355bc0259b6d729ee179a4f9ee66555e3211ecc,yes 
25.0,00a4be5e523ef313766d0453d48cc45efe9ef7df,s 
25.0,a170204fe386cb22d097979062c5f212a4ecaa32,i walk these 
26.0,4b1a4e5930dd6582c719c7a3ef0b26eec21e45a3,ssssoooo rocket league then 
