Time,User,Message
0.0,c14c91ee5febe87e937713aedf745ef22ab306a6,i lost my accaunt 
10.0,c14c91ee5febe87e937713aedf745ef22ab306a6,what are fuck 
46.0,b053ff5808c505bd859a71bdd612a10a07d43f69,bro can you give me arcana please 
59.0,95f467919ba53dbba164ca38d4020510bcdf658b,hello 
60.0,25842ee84cf53a0d0fb8d805f7e711f30cdebc61,its nnot real lol 
68.0,f9b216e0d69c6257bd6037879c35dc42cf6dcff0,omfg is so work man thank you so much 
86.0,25842ee84cf53a0d0fb8d805f7e711f30cdebc61,and laggui 
134.0,955291e10b64692213700d6e94df482d892aa880,sniper :sparkles: 
200.0,63d616f6453a83757118048b78dd04ac287c6ad8,oh my ghad bro it's f*ckn legit ty for that info 
245.0,40400b28e67c0c6868c9dd9f461f2de06417cb5d,thanks for info bro i got that first immortal my 
252.0,25842ee84cf53a0d0fb8d805f7e711f30cdebc61,its a scam 
275.0,25842ee84cf53a0d0fb8d805f7e711f30cdebc61,its a scann 
334.0,08f98bcae7582d45faf9828713378a140a0c0bc7,oh my ghad bro it's f*ckn legit ty for that info 
398.0,955291e10b64692213700d6e94df482d892aa880,sniper :sparkles: 
439.0,62011aa30f90de77f186cbf54446d1d9096c31b2,is this playing again and again 
464.0,8be7d73b61e0de98509029357ee44e37c53aeb80,thanks for info bro i got that first immortal my 
486.0,d8575525b73216d4a90d0a0a4fa27d33c2b42f2f,bro can u help me why i cant withdraw?plzz help me asap 
520.0,74ffe34937835d1bc18885f976d963fd1de9c20a,guys they stolen my account 
545.0,e1112eed20a9d10a5340ae7b4254c845dc9ee0c4,just msg to steam authority 
553.0,e344fe5b7cf6507961cde33fafbd8c0162ba169f,i win 2 arcana xd 
618.0,aeb1aaafe74239372f96f2389e5007432d79dd3c,bro holy that free work ty got cheap but it's ok thnx at least it work i sub already 
640.0,7f661be4d39c0109df355a16f9241acc4b68cb56,thank you bro :smiling_face_with_smiling_eyes: :smiling_face_with_smiling_eyes: 
672.0,e1ec7b56302453ae410e3e39e781cfa1bc75e72a,wow 
684.0,840d0a4088c824c5ac0547abe8a8c2db2a407ae2,bro i almost use that site for almost a year and it's so legit 
702.0,e1ec7b56302453ae410e3e39e781cfa1bc75e72a,that audio eww 
707.0,174e1d310cb75776991d3f9feddeffb2063a0631,ty man this is really working so much man you are the best 
750.0,e504e5566a4eb7ddc8a436982b77c502d0a279d6,you guys should play turbo mode while using this i don't need to explain much you know what i mean 
794.0,d9d464bc5ea48f1a09223c84c77f965dcf47e4de,all work 
838.0,c1d13cd8eaf185d335e0d8a4192a17e6a056f50d,easy arcana coool 
883.0,702ec40898feb40b58c3f0c0b5249b971c9b0211,bro holy that free work ty got cheap but it's ok thnx at least it work i sub already 
904.0,a0a539d807318e89dbf27749c0a8f4330b6b707a,all work 
928.0,1c63d05186ea8bb7c5fcd99284190e11d11b3643,ty man this is really working so much man you are the best 
937.0,5b9edd5d81b5c0cacdadbc5c5bce6d77f5b7d605,my account stolen 
941.0,5b9edd5d81b5c0cacdadbc5c5bce6d77f5b7d605,fuck u 
950.0,3f3fa5599103bfa414f3b62f6c10b51f801061c4,sniper :sparkles: 
