Time,User,Message
0.0,a65a7755c5ba25a0ed8a1c6633aac136db70520d,f0ddb7c62a1eaae476d6fe5889b216d3e542d3d0 like before the relative sound of footsteps of and gun shots was perfect well not perfect but i had become used to it but now it is weird and gun shots are too loud 
10.0,aedd3fe77d108a0b25ae372e6ce5dc79eb7a68b5,if you are holding an angle you get fuc ed for sure 
19.0,7d3808c72018ca9a1111c5b27abcb5954ec0671f,kmdlove kmdlove kmdlove kmdlove 
20.0,29a6cf07c5b24e447e0fe210d47b0be2e47f0d0a,maybe they prefireee 
21.0,092204480d6693f52c311881141a65c2326e46a9,this is pubg theres no logic kay 
24.0,a65a7755c5ba25a0ed8a1c6633aac136db70520d,but windows update may have fucked the sound too 
24.0,5894e30ae2c99fc1a375c1f96a55eb0423c55336,kmdhype kmdhype 
26.0,e9932c4e93ee90970f0b5c00b4b726f8aeda82c0,you figured out choco taco's secret 
35.0,58915e5f8638f01722558530dc31d8b9d10690e1,33bf86a7310fd707c43c59901b07aa39870450fb kmdhi kmdhype 
42.0,33bf86a7310fd707c43c59901b07aa39870450fb,kmdlove 
46.0,c48e24852483f73c2a5f1bae8f634386cd2cdff3,graphics 
46.0,33bf86a7310fd707c43c59901b07aa39870450fb,sup bro 58915e5f8638f01722558530dc31d8b9d10690e1 
47.0,8a8f380ce11aee4679c5c41a74be57d8c3513ecc,what's up with the name 33bf86a7310fd707c43c59901b07aa39870450fb 
49.0,c3fb4d5a2d26e009ddef8e9b7b6568a08078ac86,what up kay!? 
50.0,e9932c4e93ee90970f0b5c00b4b726f8aeda82c0,high ping 
54.0,d65667e6ab898a33fbcb30ec24030037e2fa4594,and my avg ping is 80 sad life :( 
58.0,8a8f380ce11aee4679c5c41a74be57d8c3513ecc,you super into sprayfoam or what homie 33bf86a7310fd707c43c59901b07aa39870450fb 
60.0,c48e24852483f73c2a5f1bae8f634386cd2cdff3,settinvs 
64.0,f0ddb7c62a1eaae476d6fe5889b216d3e542d3d0,maybe you are not reacting fast enough to take advantage of peeker's advantage lul 
65.0,2177f235f969117351ac9b49fd05e693b67b7797,28k 
68.0,c48e24852483f73c2a5f1bae8f634386cd2cdff3,settings 
99.0,33bf86a7310fd707c43c59901b07aa39870450fb,8a8f380ce11aee4679c5c41a74be57d8c3513ecc lul i normally go by t1ger nowadays but i never changed my twitch as this is an old name lol 
105.0,680d119486da23599c5467dc866392a1535df6d7,isn't there any places that have fiber lines in la 
117.0,705216d779f74ce43a88e64a6b38860285e5e27b,what your thoughts about green screen 
119.0,d3ecee48dfebf6fd73bec24f3b16ba4e99d397a6,i think east server is somewhere in ny i get 70 ping in edmonton and 30 in toronto 
126.0,8a8f380ce11aee4679c5c41a74be57d8c3513ecc,anything to do with the brand of sprayfoam with the same name 33bf86a7310fd707c43c59901b07aa39870450fb 
132.0,7d3808c72018ca9a1111c5b27abcb5954ec0671f,who is ijobatv from kmdc9 
135.0,33bf86a7310fd707c43c59901b07aa39870450fb,nah man 8a8f380ce11aee4679c5c41a74be57d8c3513ecc 
144.0,8a8f380ce11aee4679c5c41a74be57d8c3513ecc,lol how odd 33bf86a7310fd707c43c59901b07aa39870450fb 
158.0,8a8f380ce11aee4679c5c41a74be57d8c3513ecc,that coincidence 
187.0,7e365e439790dee55c43c1013fdb2a4901869f4c,sens 
189.0,33bf86a7310fd707c43c59901b07aa39870450fb,vss master 
191.0,33bf86a7310fd707c43c59901b07aa39870450fb,vss 
231.0,33bf86a7310fd707c43c59901b07aa39870450fb,lul he stood right in front 
242.0,7d3808c72018ca9a1111c5b27abcb5954ec0671f,kmdgg kmdgg 
248.0,aedd3fe77d108a0b25ae372e6ce5dc79eb7a68b5,i think you hit the metal fence 
250.0,da314e5b9d24670c369df374506cad5438d30f0d,fence 
250.0,b3fdce0850a1ea59dbcdad797aed2a56d85399e9,the fence 
251.0,e8c2a33504ee3485d120deb8c2d1167ad7324864,the fence 0b7f9f8e3f811e4e5ce8ac43975c7beeab1fe829 
252.0,3a2cb9a92dc1e1d8e02525e8226433fe9e1f7a3f,ump is still op like before 
254.0,f0ddb7c62a1eaae476d6fe5889b216d3e542d3d0,u hit the top metal of the dumpster lul 
262.0,117f5381796baaee6e8d43d5e2cbb5f62cfa5d58,definitely hit the fence right in front of ya 
266.0,da314e5b9d24670c369df374506cad5438d30f0d,ump is terrible now 
270.0,da314e5b9d24670c369df374506cad5438d30f0d,firing rate got nerfed 
273.0,33bf86a7310fd707c43c59901b07aa39870450fb,playing with my new sens was ridiculous last night playing much more consistently now 0b7f9f8e3f811e4e5ce8ac43975c7beeab1fe829 
275.0,04e0fc3e05080c2e90690dab00b8879e612cf5d6,mini 
278.0,680d119486da23599c5467dc866392a1535df6d7,0b7f9f8e3f811e4e5ce8ac43975c7beeab1fe829 there's some places where you can get fiber internet with 1000mbps speeds that would fix your problem real quick 
295.0,edb9042e8d8121be6032d6d5bed4a5468c757161,who's ijobatv he's quiet 
299.0,f0ddb7c62a1eaae476d6fe5889b216d3e542d3d0,let me guess googlefiber 
301.0,da314e5b9d24670c369df374506cad5438d30f0d,680d119486da23599c5467dc866392a1535df6d7 internet speed doesn't matter 
308.0,da314e5b9d24670c369df374506cad5438d30f0d,its the location of the server cluster 
320.0,53e1ab1e7f7e54da5cb20394bfa81e3a419247d1,take the mini 
321.0,da314e5b9d24670c369df374506cad5438d30f0d,just takes longer to send and recieve data from the west coast 
321.0,33bf86a7310fd707c43c59901b07aa39870450fb,i love it it's really good 
340.0,680d119486da23599c5467dc866392a1535df6d7,the speed at which data is transferred can improve your side of the problem da314e5b9d24670c369df374506cad5438d30f0d 
342.0,aedd3fe77d108a0b25ae372e6ce5dc79eb7a68b5,da314e5b9d24670c369df374506cad5438d30f0d i dont think terrible is enough for the ump haha 
343.0,e1d8afbb4f216c90fd914f4805e1a5f35a9fb1e9,856aea08acf99f12c51416920432ca190fd7a51e thanks for the resub kmdhypers kmdlove 
349.0,33bf86a7310fd707c43c59901b07aa39870450fb,looks like that mirado has hydraulics installed lulw 
362.0,e1d8afbb4f216c90fd914f4805e1a5f35a9fb1e9,also hi bruthers pepedhaw 
369.0,da314e5b9d24670c369df374506cad5438d30f0d,aedd3fe77d108a0b25ae372e6ce5dc79eb7a68b5 yeah you're prob right 
