Time,User,Message
0.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,hello trep 
67.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,good good 
103.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,still on the cao cao campaign 
118.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,grinding 
245.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,not played for a while 
259.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,yeah i'm quite late on 
281.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,need to crush wu 
285.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,the shu 
292.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,then * 
430.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,4 dragon units 
433.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,gg that falnk 
443.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,flank* 
644.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,baboooom 
668.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,been liking weenships lately 
851.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,been watching documentaries on ww2 battleships 
891.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,nah 
895.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,europe 
903.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,hood and bismark 
932.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,they went down in a sub and looked at the wreck of hood and bismark 
956.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,really sad as there are sailors work boots still on sea bed 
1126.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,need the decent sword unit 
1136.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,can't remember what they're called 
1159.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,yeah sword are good vs spear 
1184.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,any units without shields get rekt by bows too 
1288.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,gg 
1312.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,brutal 
1319.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,execute their heir 
1574.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,doctorlul 
1769.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,attila is better 
1781.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,still has romans 
1791.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,no i'm lying doctorlul 
1835.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,attila was £7 at weekend 
1849.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,i love the saxons in attila 
1948.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,attila and rome 2 have a lot more different units that are unique to each faction 
1983.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,nah attila is a game in it's own right 
1996.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,it's like a better version of rome 2 
2035.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,you can get loads of mods for rome 2 and attila 
2122.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,your units will get more tired going up the hill so yeah 
2205.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,fire arrows at them they might move 
2250.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,the thing is would you move if you had the high ground doctorthink doctorthink 
2283.0,2470d2c53871100a5a42ca6cb56dabaa1c230fc9,exactly 
4363.0,554ab1d9bfb3edabcd21b8b71e05a586b7175191,comment va la campagne 
4369.0,554ab1d9bfb3edabcd21b8b71e05a586b7175191,hows the campain i mean 
4378.0,554ab1d9bfb3edabcd21b8b71e05a586b7175191,okay 
4381.0,554ab1d9bfb3edabcd21b8b71e05a586b7175191,just jumped in 
4429.0,554ab1d9bfb3edabcd21b8b71e05a586b7175191,need fire arrows 
4462.0,554ab1d9bfb3edabcd21b8b71e05a586b7175191,my game with kong rong is going pretty well i just reached the duke status 
4549.0,554ab1d9bfb3edabcd21b8b71e05a586b7175191,not bad 
5393.0,554ab1d9bfb3edabcd21b8b71e05a586b7175191,geez you got so much characters lol 
5440.0,554ab1d9bfb3edabcd21b8b71e05a586b7175191,yeah 
5453.0,554ab1d9bfb3edabcd21b8b71e05a586b7175191,hey whats the special building chain of cao cao 
5483.0,554ab1d9bfb3edabcd21b8b71e05a586b7175191,yeees 
5486.0,554ab1d9bfb3edabcd21b8b71e05a586b7175191,looks good 
5540.0,1980f697972aa02e6ba21d0a240bd1b5657485ab,yo 
5579.0,1980f697972aa02e6ba21d0a240bd1b5657485ab,i'm good how are you how was your time with the gf 
5639.0,1980f697972aa02e6ba21d0a240bd1b5657485ab,best boyfriend na 
5655.0,1980f697972aa02e6ba21d0a240bd1b5657485ab,big battle xd 
5662.0,1980f697972aa02e6ba21d0a240bd1b5657485ab,i'm just looking for someone for 1v1 multiplayer and will stream i'm getting my parents to watch xd 
5766.0,1980f697972aa02e6ba21d0a240bd1b5657485ab,support in that view count 
5770.0,1980f697972aa02e6ba21d0a240bd1b5657485ab,whats the battle plan boss 
6013.0,1980f697972aa02e6ba21d0a240bd1b5657485ab,duel nice 
6133.0,498b04cd33ebd50f1f07580f18c1ee3d015d8264,maybe we should learn some mandarin if you plan to play this game more often :) 
6158.0,498b04cd33ebd50f1f07580f18c1ee3d015d8264,i'm fine just got home late and now the day is nearly over 
6265.0,86399b3fc65629a2f69001c435345f5fafff02af,hoi 
6276.0,498b04cd33ebd50f1f07580f18c1ee3d015d8264,looks like a lot of stress you have here xd 
6358.0,86399b3fc65629a2f69001c435345f5fafff02af,i m fine 
