Time,User,Message
0.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,hey you know whats happening to kibby tomorrow 
8.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,no 
16.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,his job interview 
48.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,hmmmmi did not know 
59.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,kiibbbyyyyyy 
91.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,nice 
297.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,*does lewd things* 
383.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,*does more lewd things* 
407.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,wtf 
431.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,what 
452.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,idk 
467.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,*makes lewd gesture at mirroth* 
471.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,hehe 
518.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,im eating some apple cake 
536.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,cecevrowo cecevrowo 
594.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,mirroth you dont know my lewd side 
613.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,no i dontbut i am curious 
636.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,owo 
649.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,it might be too lewd for you to handle 
689.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,uh huh 
705.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,hehe 
744.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,its hard to explain my lewdness 
756.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,you kinda just have to see it happening to understand 
799.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,laxyhmm 
825.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,ull get it 
885.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,*moan* 
907.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,cecevrowo 
918.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,do i have to stop 
942.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,*pouts at kibby* but i enjoy being lewd 
951.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,kibby is baka 
967.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,hey now 
1036.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,you're an all star 
1076.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,of course u would say that 
1106.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,heh i meme to hide my depression 
1136.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,if im laughing at memes then i wont feel depressed 
1138.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,laxyhmm laxyhmm 
1214.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,im not joking 
1380.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,*pats mirroth & kibby* 
1440.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,*pat's kirk back* 
1460.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,no i want headpats baka 
1474.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,*headpats mirroth & kibby again* 
1499.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,*headpats kirk again* 
1520.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,*nuzzles the pats* 
1565.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,hahseems like someone is have a great time 
1588.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,yep kibby is having fun 
1801.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,kibby make sure you get rested up before flyour interview 
1870.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,hmmm 
2009.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,kirk i was meaning to joined ur server when u put it out but had forgotten about it at the time 
2041.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,do you wanna join 
2059.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,suredm me 
2070.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,okay ill brb 
2201.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,sent it 
2243.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,got it 
2317.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,i cant do anything else until you join cause you wont be able to see the actual server until you have the base role 
2361.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,i knowi know 
2374.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,how do you know 
2424.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,been in alot of serversmod in one and can mod things 
2433.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,but i'll join soon 
2444.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,why not now 
2502.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,there 
2561.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,welcome mirroth 
2710.0,067ea96ec17f08b3f3508c36bb04ef2f9636da7f,mhmthxs 
3070.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,you can do it kibby 
3146.0,f88a5d76fb2e923fe8316c8ea1364d944d5476f8,i just got an idea ill brb 
