Time,User,Message
0.0,729decf4a931629c7e4d9b391175bf456b1e86e1,4e17b7e45125a82ff6761dc4fc89d58508043c14 makelele sucks 
15.0,b14febd9852c72004231250f08a4ac2d45597a48,hey tom u wanna up my tots guarantee mate 
23.0,4e17b7e45125a82ff6761dc4fc89d58508043c14,68cad68a615f18e2d3b5c7b460ebc183bebfe540 600k 
78.0,957e71f656030e87b89fe7167e387eb4e85adc06,what's up cap gun tom how's it going man :red_heart: :red_heart: :red_heart: 
90.0,796af5409cd6dce72b5ed44595f04be0820eebf1,lm in cm and then convert a cam to cdm 
111.0,796af5409cd6dce72b5ed44595f04be0820eebf1,rip srry 
115.0,950cbfbf92b85d8852c10c783d28ede621ac9a57,use position cards 
125.0,e7811befd62dde09b6914a5afb7d0997abd2aac2,now you can get a cb 
127.0,b14febd9852c72004231250f08a4ac2d45597a48,hey tom you wanna open my tots guarantee pack mate 
136.0,4e17b7e45125a82ff6761dc4fc89d58508043c14,deanvd21 600k 
152.0,d0bb7a115707f14d87d02505859e827494e3e343,is this the old rihanna album 
158.0,812313dd65c801076c72869c984edc1fdb24c35f,playlist 
197.0,dcad1d0f896a0c7a4d59b772e04978a8b334c6b1,i can please rihanna :) 
203.0,b08d0be7f9052235662ca8acb72dc5a382451213,eeeeeeeeeeeeeeeeeeeeee 
211.0,903006839952dbff044209043d223ef70a39156d,alll my lifeeeeeeeeeeeeeeeeeeeeeeee 
214.0,950cbfbf92b85d8852c10c783d28ede621ac9a57,you opened the promo packs 
217.0,16915b51e32f40896f5d01235c3e1e1821477659,hello 
223.0,f7eb3870cc90adacecc52581ce915309b279bed8,change cam to cm 
231.0,7fee96f7eca8feb0e61a3239c08f360ff0d7fe1f,hello 
237.0,796af5409cd6dce72b5ed44595f04be0820eebf1,byeeee 
239.0,903006839952dbff044209043d223ef70a39156d,alright tom see you later 
247.0,10133ba67bdb75c63ffd99a281770e18f9c7629c,https://www twitch tv/kiki 
247.0,10133ba67bdb75c63ffd99a281770e18f9c7629c,https://www twitch tv/kiki 
248.0,10133ba67bdb75c63ffd99a281770e18f9c7629c,https://www twitch tv/kiki 
248.0,10133ba67bdb75c63ffd99a281770e18f9c7629c,https://www twitch tv/kiki 
248.0,10133ba67bdb75c63ffd99a281770e18f9c7629c,https://www twitch tv/kiki 
248.0,10133ba67bdb75c63ffd99a281770e18f9c7629c,https://www twitch tv/kiki 
248.0,b5df2eb697b948ad906a99ddd2fdddae82ba08bb,keeks 
248.0,10133ba67bdb75c63ffd99a281770e18f9c7629c,https://www twitch tv/kiki 
248.0,10133ba67bdb75c63ffd99a281770e18f9c7629c,https://www twitch tv/kiki 
250.0,c0884d18e6b49a05929ed635fbf19d02d605b663,sbc queen pogu 
250.0,e2dfed38e95cf26a8d3e175f2e4ee47c36d096ab,inabit tom 
251.0,ff15b6ee5e38693b3c32a120d247f35eba2f1f92,capgunheart capgunheart capgunheart 
255.0,950cbfbf92b85d8852c10c783d28ede621ac9a57,oh 
255.0,f7eb3870cc90adacecc52581ce915309b279bed8,fuck odd then 
256.0,b89103d717a00509efe08e453c4090eb8e957e8c,by tom have a good dayy 
258.0,f7eb3870cc90adacecc52581ce915309b279bed8,fuck off 
259.0,812313dd65c801076c72869c984edc1fdb24c35f,have a good evening tom 
268.0,c32202c8d4951d5b0c7bd06ae13df49451f26fa7,i thought he said sbc queer meaning flair lmao 
269.0,950cbfbf92b85d8852c10c783d28ede621ac9a57,hi 
274.0,950cbfbf92b85d8852c10c783d28ede621ac9a57,you're fit 
281.0,950cbfbf92b85d8852c10c783d28ede621ac9a57,shag me 
281.0,babb02042e24dae2773ec14f389b2ec854608f77,raidddddd 
309.0,3ca0a71d30dead592716fee11fa1c0eb25a89738,https://www youtube com/user/traumitify 
326.0,3ca0a71d30dead592716fee11fa1c0eb25a89738,didnt mean to post that 
