Time,User,Message
0.0,9118b5b5069bd1afcb9caa44a39888cee4b500fd,4head 
0.0,a4061533142af4ba864f00ec11cc10fde13de547,hahaa 
0.0,51a742195e5223f04c19f777172d6af2098eeb03,4head 
0.0,68399c85433bd016c3e5f38e7ef3219daf243389,lulw 
0.0,fa74d3b189aabca18f1778e24dbbf42d72bf28d0,lulw 
0.0,ea9db28261d553c628f61932794a5d314fe47cea,lulw 
0.0,799dc12b683e85eb72006d1db7d4c126d11c5059,lulw 
0.0,1743db6357b66f8c53d5b2e17f5f6937bf7f1196,hahaa 
0.0,21a5ed346f455d6e2fb217b58a731452bf4b3aff,lulw 
0.0,aefe35dc47097e1324cf47296a73490d430c984b,d: 
1.0,20bca9ee77f64530eb03ac2bbf1e8e3e6f5b3374,lulw 
1.0,1f57162d8384d0a57d2dfd161ca3a789802a3f28,pokikek 
1.0,eecb6658a877e2e41ad6728cb4dcdce43fbd921b,omegalul 
1.0,67198ed43f9ddc63337853907870748de51cccd8,says axiun the simp omegalul 
1.0,c1892f58c00803b7abbbdecad18f125db602d9e5,ez clap 
1.0,097310d7251930cb36c8c5d5947a000dfe2f340e,lacl 
1.0,5119bc776abc32cd88e64ea672808a1272824772,4weird 
1.0,98387e27240c0cd3005bbc6d7dcd90e433332959,squadh 
1.0,50f73adadacbb6ddf5b79f2066c78b5c3bb9e648,widesmash 
1.0,4c29a12996d59869b67b9a38cece6d07c0ef7cd6,lulw 
1.0,90a9b4d5ff29392cb9d5010fae69d9fbc387e771,lulw 
1.0,07936f2dacf94fa302a8b4ee21136651995e1891,lulw 
1.0,75594de9d887c6cdc25fb4b90d8fd64870b007e4,pepelaugh 
2.0,48133dee74d8cb52a19c645a344a8cd390bfb6c5,4head 
2.0,fb0b260c855df8501142ebf830111820c99ec4bc,true lulw 
2.0,5fd2ca79acbf37c6be9c3ff2f4b307d56f521920,true lulw 
2.0,0225cacd7076da640fbb6b046b637197ad187680,lulw 
2.0,b2d74c5ee9002dd7ad1352c5be3d98a446e0b0cb,gaben :thumbs_up: 
2.0,1ac1963b2ba6c976bc1a14da95268208f929f5fe,4head 
3.0,2d282b3b41dcafcb2df393fa4d393e3c7c251f66,lacl 
3.0,9d316427ea61c2d9dd068afbb896b8fccb1d9d42,hahaa 
3.0,e2caa6c3bdbbed7cb94c9c56f4568002327a878d,squadomega 
3.0,f394576050eac669bd1d11067721146a6c5074f5,squadomega 
3.0,148403afde0d59b58b1081816e9a9fbfa0c17e6d,lulw 
4.0,d769c1f0b1b0c9ff15f19a47ca6af536d28f1bd0,lulw 
4.0,814b8e2595c249bb0c24f2a595b89ffcbb607829,jebaitef 
4.0,1b89d93b9efc3701280c88d61d5c81d76a843939,t d: x i c 
5.0,c0e1926581e3f4fd397134ef03cd27a0b05f4887,simps lulw 
6.0,aefe35dc47097e1324cf47296a73490d430c984b,d: too far 
6.0,93e9be35fd49cafbc63490ea231eda9e513482ed,lulw 
6.0,e06a3ec69447b5956aa5a2fae7c46b8e8da7fddd,simps arguing 4weird 
6.0,b3bde1e60660cd28e8c54f2957274d6067d537e3,4head 
6.0,3e8d436d0b087e91d502d739aec3be2d5aa4451c,lacl 
6.0,78573999626fcfbc021a8a2021ed483d35361484,hahaa 
6.0,ec90522a6111a4782d2c18b07860ff165711cab9,lulw 
6.0,b2b524eab3da70952d99a3a90aed5ea3b4af2387,gaben dud one more gaben dud one more gaben dud one more gaben dud one more gaben dud one more 
7.0,91bd09c2a2e9c25cdc5844e8ad59dd5ae30b0f97,too far lulw 
7.0,af64d333d145f9f1edca7c975117a3297a7dea7c,simp fight 
7.0,dcbd7c06db047399fa0a124d0f40399a7fd6f8d5,3head 
7.0,9026564f4987d98ed1d627922fb0951f4b6e20d0,3rd key 12th case z knife or perma 
7.0,8bb1a9752762598efd4bf5a7e662a38fd95cb0e5,simp vs simp 
8.0,847234218ba3ffb49b9f56686d565e813d3dd8e4,cmonbruh almost 
9.0,ff764fbe7785cd3ba23aeafdc18f72b84c6eee8c,knife 
9.0,21704d7f28c5f34bdc4e5dbeeba8ac2817e6c921,emoneysimp both of you emoneysimp 
9.0,769a483ea0d024dd64eb8214e3cdab7306779f9b,both simps lulw 
10.0,50f73adadacbb6ddf5b79f2066c78b5c3bb9e648,squadd 
10.0,86699dc4580ab866091330723a2c038206b726ed,good one lulw 
10.0,fcf7b438c68eb9564b99f943a4a6035394e94ae8,axiun simp 4weird 
10.0,20362cc25250bffb956dee591d51d6a642bd031a,dead silence monkaw 
10.0,48133dee74d8cb52a19c645a344a8cd390bfb6c5,4head good one 
10.0,f51f5ca295e3bc3f114c63da158d7b031221ef2a,hahahhahaaa 
10.0,21704d7f28c5f34bdc4e5dbeeba8ac2817e6c921,emoneysimp both of you emoneysimp 󠀀 
10.0,acaba45ae2c18830d8fc0b785efc96b00abf5fdb,lol 
10.0,124e6c68276958f3518ca854324107d669d48627,lulw 
