Time,User,Message
0.0,1bb1862179cd4af4b6a74a77ab595727992bd7dd,formalv20choo formalv20choo 
0.0,62b56d30c6c95ff4f890953093bffbd44f57085b,l o l 
6.0,304b258d76885bd09ef1561c0a730d6c77edbcc0,formalv20choo formalv20choo 
14.0,59603b03844a47dc7c1d57c0d2cf3346094ac2d0,i think he might have killed the grudge 
15.0,6bd747dfc282b0d5357a2c76db4e94cf12e4ff2f,formalv20choo 
21.0,62b56d30c6c95ff4f890953093bffbd44f57085b,ral 
24.0,186de806845a2afae391fa47d0d677cac7290efa,9a37cd8e7af6c82f367e2496f779c15b644564a6 hahaha i actually met her at a strip club 
32.0,d5d6101edf64eb5716999f4ce2bf644ceeb2639d,lmfaooo 
41.0,62b56d30c6c95ff4f890953093bffbd44f57085b,theres another dead parakeet 
42.0,304b258d76885bd09ef1561c0a730d6c77edbcc0,yo is demon slayer worth watching i just finished black clover 
43.0,121da7020f427928e286dafa8cf0b39082deb615,lul 
45.0,186de806845a2afae391fa47d0d677cac7290efa,59603b03844a47dc7c1d57c0d2cf3346094ac2d0 there we thats the best one 
56.0,691b690f9ea920f676c58367de77e4d21cd58657,yeah man i got a nasty heady up here 
56.0,8ab0c040ed6c1947cc88564ebc8304c632a1448f,167a3031a18e6c6efa1a6298fa15bf554eaa88cb thanks for the gift sub 
61.0,2f6e93f393255580e7598d78ece08ea34c1eb263,why this look like borderlands 3 and bo4 collab 
63.0,9a37cd8e7af6c82f367e2496f779c15b644564a6,186de806845a2afae391fa47d0d677cac7290efa were you one of the lucky ones 
63.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype bingomg thank you doinemnasty_ for gifting a $4 99 sub to thefiercesharp qtsbits qtshug qtsbits 
63.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype bingomg thank you doinemnasty_ for gifting a $4 99 sub to jackcurnock1996 qtsbits qtshug qtsbits 
64.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype bingomg thank you doinemnasty_ for gifting a $4 99 sub to ztaylormz1 qtsbits qtshug qtsbits 
64.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype bingomg thank you doinemnasty_ for gifting a $4 99 sub to thatonecoolguy4 qtsbits qtshug qtsbits 
64.0,2ced47c253f4efb0aab42275f5c108ef5b493e85,action keviskaww sub hype bingomg thank you doinemnasty_ for gifting a $4 99 sub to heroiclegend22 qtsbits qtshug qtsbits 
74.0,d5d6101edf64eb5716999f4ce2bf644ceeb2639d,formalv205 formalv205 formalv205 formalv205 formalv205 
74.0,9a37cd8e7af6c82f367e2496f779c15b644564a6,geeeeeez 
