Time,User,Message
0.0,311d28721afc26cb2504c53a9420ddeb49333cc8,casters 
12.0,8bed4a395456cd382db6d326ebb2b65c1678dda4,f26a492a14f169f7644292879027c954e6529aa9 and you are what we call a retail nob 
12.0,22bf8b319652c615c54070b584105d4212a8bc56,57376472a4677df8eb24117482b6f898fe078a54 actually trueeeeee 
13.0,442bca6e04f979fd8b36dfc3fb1094f612b2e290,retail = actually a mmorpg 
16.0,43ffd7260e90de343afed18f75bfe57d4ffc3f22,wutface 
16.0,c48dec4a6b1524d5f1a5f5b2dd438534b727090c,yes classic is so good but yet had two raids downed in one night 
17.0,e69cc34dfb894ad16d723c8e8246c5af552d74a7,wutface 
19.0,293b3828c3addfe412757a108362948ef7482845,wutface 
26.0,a8f33baa607cd64ce1bc767f49d6c1891f8486b9,i like classic wow 
30.0,fb184e016e6763915b294c09cf0f4a2b35390eb1,cheer 
33.0,f3b3d7a93763a416caa993377f75d04d89975d0a,imagine paying 25$ for a imaginary dragon 
34.0,70e1d75fdc6fb1a2e79326d71e0b45123ad863dd,wutface inferno 
35.0,7f4661c67c24f7e243a31aa75d632f82f803e507,77654c9f8febcac7c00cb3ab7fddd162bfb9195d ahahahahahahahhahahhahahahhahahhahhahah explain yourself 
38.0,68c77e56907b7884a294ce49709368784478a8b7,joefernandez kreygasm 
39.0,e562924d3715b7e7f9e57050c39a3f8168f4e092,a8586b2d0796a71090fad9843a27659b184a64b6 bfa world first race had 1/3rd viewers of jokerd wf 60 
42.0,22bf8b319652c615c54070b584105d4212a8bc56,it makes mediocre plays feel good i like that idea 
48.0,3be0089534fc56386da0642feb87353145f535de,no one said it was hard 
51.0,2a00c583514cb52e2305abead40748e8e3b8a3bf,gogo 
57.0,315167da3efa26ca23dbba071e88fd462954bf5a,classic wow is fun if you work 3 jobs are a single parent and play video games 30 minutes a month 
60.0,e562924d3715b7e7f9e57050c39a3f8168f4e092,a8586b2d0796a71090fad9843a27659b184a64b6 jokerd had the most views ever on twitch in the wow section 
72.0,c48dec4a6b1524d5f1a5f5b2dd438534b727090c,lots of people say it's hard lol 
79.0,fb184e016e6763915b294c09cf0f4a2b35390eb1,is the spell cast sequence/history new 
87.0,315167da3efa26ca23dbba071e88fd462954bf5a,lots of people arent good 
92.0,5b636dc59f8652e29ea25fa339fe337548155e34,hi all :) have nice day :) i love enhancement shaman enhancement good in 2vs2 and 3vs3 
93.0,22bf8b319652c615c54070b584105d4212a8bc56,but noone said it was hard 
105.0,315167da3efa26ca23dbba071e88fd462954bf5a,said no one ever 
106.0,f1f00a8732d4d95fd9c1108269ae978d35ec88a3,yeah since the eu/na lan a week ago fb184e016e6763915b294c09cf0f4a2b35390eb1 
111.0,f1968ec66f53e46afb558fac73c3eb095b7ecbc1,timer 00:00? 
114.0,c420726bce05f51555e903d7e1830dfffc65baca,who cares hope they make retail better and everyone will be happy right 
115.0,91b6bf991351ad3c85f60c05eb8ec7f31c562a00,god sixo pogchamp god sixo 
132.0,5eb9ee91c3d1e5451bc71786607716d4a7f9dd9a,lets be honest though normal wow is so dead 
132.0,bd6d42183885c71fbf975ebb60a13315b23b1e2e,dh or ww 
135.0,9015ca29994b468a061f53ef2a2128c055b598a6,smithers :d 
138.0,315167da3efa26ca23dbba071e88fd462954bf5a,put that hope in one hand and dukie in the other see which fills faster 
140.0,fb184e016e6763915b294c09cf0f4a2b35390eb1,cool 
149.0,affe2427edb95cdb4a3ef522a65a5b6fa4234e35,5b636dc59f8652e29ea25fa339fe337548155e34 nope enh bad worst meele 
154.0,9fe93c12d77da58b6449ada0645fde9ecc283492,so many stuns 
155.0,c48dec4a6b1524d5f1a5f5b2dd438534b727090c,normal wow isn't ded 
157.0,fda342efa5ef6975eccf805a7b3689c2e29fbeeb,dampening still says 0:00 for me 
161.0,bc8a658f17f8d0fd92397cbf1e9639a6d478a683,supapride 
165.0,fb184e016e6763915b294c09cf0f4a2b35390eb1,lvdhype lvdhype lvdhype 
169.0,f3b3d7a93763a416caa993377f75d04d89975d0a,blizzard actually wanted legacy servers all along and now they can bring back past expansion for easy cash instead of actually making a good game 
174.0,4efb3de021375c34edf580d2c9e295c11010d4f9,same all 0000 
180.0,e562924d3715b7e7f9e57050c39a3f8168f4e092,57376472a4677df8eb24117482b6f898fe078a54 so snutz ven ziqo cdew healingstat toez samiyam 
188.0,ca7fef6bfec54735444cf28b2c84eb83498684fa,bfa lul 
215.0,22bf8b319652c615c54070b584105d4212a8bc56,e562924d3715b7e7f9e57050c39a3f8168f4e092 they have just gone in to a market to get all the enemies to watch 
219.0,315167da3efa26ca23dbba071e88fd462954bf5a,battle for autisqhuebn 
219.0,fa5424f884a189f95e1abdba20fb794bc5954583,low pvp is actually kinda fun in normal wow more and more people are playing without heirlooms now 
226.0,22bf8b319652c615c54070b584105d4212a8bc56,e562924d3715b7e7f9e57050c39a3f8168f4e092 normieeeees 
262.0,bc8a658f17f8d0fd92397cbf1e9639a6d478a683,fa5424f884a189f95e1abdba20fb794bc5954583 true 
268.0,57376472a4677df8eb24117482b6f898fe078a54,e562924d3715b7e7f9e57050c39a3f8168f4e092 and ive never said that good arena players are forbiden to play classic 
275.0,5b636dc59f8652e29ea25fa339fe337548155e34,affe2427edb95cdb4a3ef522a65a5b6fa4234e35 hmm :( very sad :( which one do you recommend?(just meele sory my english bad :d 
278.0,22bf8b319652c615c54070b584105d4212a8bc56,when would any classic viewer ever have watched any of their high rated arenas before 
313.0,22bf8b319652c615c54070b584105d4212a8bc56,spoiler alert they didn't 
326.0,315167da3efa26ca23dbba071e88fd462954bf5a,#freeraisethadead 
332.0,315167da3efa26ca23dbba071e88fd462954bf5a,#freeraisethadead#freeraisethadead 
336.0,5a713d6dab360b25656d1e9fa1eb465c5b226224,lets go sixo on gang 
373.0,94ca020edc651d853c00e03d09e91512cafcf965,bracket 
382.0,22bf8b319652c615c54070b584105d4212a8bc56,back on top mld is actually horrible gameplay 
382.0,dc93fa774261c8fbade09b798e2e3b6ba1a62c62,lets go sixo on gang 
395.0,57376472a4677df8eb24117482b6f898fe078a54,problem with bfa is that you need bo good in the game to enjoy higher m+/mythic raids or enjoy arenas in classic you dont need to be good the game is so simple everyone can feel good im not saying that its bad it just atract bad/average players and as we know theres lot of them 
404.0,91b6bf991351ad3c85f60c05eb8ec7f31c562a00,lets go sixo on gang 
407.0,84cbc188aa807248b6e5933041f698b3b8270b55,lets go sixo on gang 
408.0,e0cac743dd740acbf514f1a3608bdd0f748113b4,joe is super quiet 
427.0,affe2427edb95cdb4a3ef522a65a5b6fa4234e35,5b636dc59f8652e29ea25fa339fe337548155e34 warrior or dk 
429.0,e562924d3715b7e7f9e57050c39a3f8168f4e092,57376472a4677df8eb24117482b6f898fe078a54 except i dont need to be good to do high m+ or mythic raiding lul 
432.0,fb221a1ed9749bd1ab030ed54450eb5929181fbd,bracket 
439.0,d8aeeefe0199babaf537c07a94d82a85ad348181,nice blind lul 
439.0,22bf8b319652c615c54070b584105d4212a8bc56,57376472a4677df8eb24117482b6f898fe078a54 i need to copy pasta that because it's actually the truest thing 
452.0,bc8a658f17f8d0fd92397cbf1e9639a6d478a683,57376472a4677df8eb24117482b6f898fe078a54 actually the game being too easy for casuals is a major criticism of bfa 
456.0,5b636dc59f8652e29ea25fa339fe337548155e34,affe2427edb95cdb4a3ef522a65a5b6fa4234e35 ww monk 
487.0,dc93fa774261c8fbade09b798e2e3b6ba1a62c62,lets go sixo dorito doritoschip 
498.0,23f259ab91c0c0c087d2eed83b554bd3feecf8aa,57376472a4677df8eb24117482b6f898fe078a54 big true 
499.0,b8d91d0b2c695adc003c379162c6cf50a2c12ab8,uptime 
515.0,5a713d6dab360b25656d1e9fa1eb465c5b226224,lets go sixo dorito doritoschip 
518.0,22bf8b319652c615c54070b584105d4212a8bc56,bc8a658f17f8d0fd92397cbf1e9639a6d478a683 yet none of them have dont mythic azhara 
518.0,f51199aa67e940e0b92e17573d78880a6fc35c31,wow dilly's a really great caster dillypog 
519.0,d54b2e425af10743535bff0abedda121fb2d4b62,residentsleeper residentsleeper residentsleeper 
522.0,57376472a4677df8eb24117482b6f898fe078a54,bc8a658f17f8d0fd92397cbf1e9639a6d478a683 you didnt get the point to play high end game the real game you need to be good in the game in vanilla high end game raids are very simple and rotations are also pretty simple 
522.0,dc93fa774261c8fbade09b798e2e3b6ba1a62c62,lets go sixo dorito doritoschip 
526.0,f3b3d7a93763a416caa993377f75d04d89975d0a,57376472a4677df8eb24117482b6f898fe078a54 bro its just all hype classic wow is really outdated and boring it belongs too 2004 
537.0,57376472a4677df8eb24117482b6f898fe078a54,bc8a658f17f8d0fd92397cbf1e9639a6d478a683 the casual content in bfa is just too boring 
547.0,aabf14bf77d74f95ff0824f7c6912ffec9489a7a,22bf8b319652c615c54070b584105d4212a8bc56 - oh look who i found here 
557.0,e562924d3715b7e7f9e57050c39a3f8168f4e092,57376472a4677df8eb24117482b6f898fe078a54 u can be bad an experience both tbh 
575.0,9fe93c12d77da58b6449ada0645fde9ecc283492,wth 
583.0,9fe93c12d77da58b6449ada0645fde9ecc283492,gg 
583.0,91b6bf991351ad3c85f60c05eb8ec7f31c562a00,lets go sixo on gang 
585.0,bc8a658f17f8d0fd92397cbf1e9639a6d478a683,the difficulty in classic vanilla were different they were more of a social type kappa 
588.0,94330f27e12b8223e2a0225b85ee0ca178620e99,well played 
590.0,f1f00a8732d4d95fd9c1108269ae978d35ec88a3,sixo beasting it 
591.0,7129d0858c0ce36471e4ffcb46d26bd969df3ff3,sixo is the best 
593.0,91b6bf991351ad3c85f60c05eb8ec7f31c562a00,sixo is so good lol 
602.0,5a713d6dab360b25656d1e9fa1eb465c5b226224,lets go sixo dorito doritoschip 
608.0,0857f1a40e0a90f8cae7e1bd6ab96c4bb594f64a,oh its joe 
609.0,05320d36b72e9bae4cd4f392b9a0dd50d0ea1104,sixo the god 
609.0,c5f0a3043d744b7521eeee7618f751326577c60c,sixo pogchamp 
616.0,91b6bf991351ad3c85f60c05eb8ec7f31c562a00,lets go sixo dorito doritoschip 
625.0,bec40e2669b963ee7897b5b774e70a8ec0fa8210,babyrage 
633.0,1146953b344c00bc901a1460ee97c0555c5880b2,featherfeet sama 
642.0,918c2c81dea483b7c2854346c080ec1cdb0db5ad,why did blizzard go cheap on the mics for awc 
642.0,bc8a658f17f8d0fd92397cbf1e9639a6d478a683,dilly vohiyo 
652.0,13fbf2f6e6c69b170cea8cdd5874973d3d540bf3,srsly these teams are a joke compared to na and eu 
664.0,678a8f69c236be0ec0fbb270bbe97a3161db739f,*** 
664.0,f3b3d7a93763a416caa993377f75d04d89975d0a,918c2c81dea483b7c2854346c080ec1cdb0db5ad not enough store mounts 
667.0,8570c68fd5840fcb40ba64badd09e295e40758d7,true 
669.0,cb7eb3765cb2ba57162b19f4f1fb1b0d8b2a6e41,918c2c81dea483b7c2854346c080ec1cdb0db5ad probably some last minute techincal issues or something 
679.0,57376472a4677df8eb24117482b6f898fe078a54,e562924d3715b7e7f9e57050c39a3f8168f4e092 thats not true you really need to be good to be in mythich guild or to do 20 theres very small % of population which fits in this group i will say it again theres nothing wrong with classic being very casual friendly as we can see it attracts more players im just saying it doesnt fit all players 
693.0,f3b3d7a93763a416caa993377f75d04d89975d0a,need all kids and girls too buy them store mounts 
694.0,856ad7dcfa89e9d8c20a6164be8ad429ed2b7604,13fbf2f6e6c69b170cea8cdd5874973d3d540bf3 isnt this na 
733.0,bc8a658f17f8d0fd92397cbf1e9639a6d478a683,what attracts people in classic is the feel of community clearly not the difficulty 
736.0,fd534f65793499c62f60590b451ff01c6323b213,this is asia 
736.0,fa5424f884a189f95e1abdba20fb794bc5954583,asia 
754.0,7e44dbedd0569f259127d6c07e8e0d50a3bf540d,way past dillys bed time he's all tuckered out 
771.0,9dc0771a64f0a2e21633df98652fd6216b8469de,eh the community in classic can be toxic and not very welcoming 
805.0,5cbfc540c9db0834844a3435e9db74ce5d6d0aab,the classic community can also be pretty wholesome 
806.0,23f259ab91c0c0c087d2eed83b554bd3feecf8aa,classic players are extremely toxic 
806.0,761f3dd122a5213c4ab3d72dc4457d5f20b122a5,bracket 
809.0,761f3dd122a5213c4ab3d72dc4457d5f20b122a5,these guys are trash 
811.0,bc8a658f17f8d0fd92397cbf1e9639a6d478a683,9dc0771a64f0a2e21633df98652fd6216b8469de not my experience so far blessrng 
831.0,bc8a658f17f8d0fd92397cbf1e9639a6d478a683,come on guys be respectful 
832.0,94e3d48e24af91105823ebed7ed48fce085ebc0f,fire mage destro lock in na they never got a greater pyro off 
834.0,f51199aa67e940e0b92e17573d78880a6fc35c31,gameface are aus 
838.0,9fe93c12d77da58b6449ada0645fde9ecc283492,classic players are elitists 
844.0,9dc0771a64f0a2e21633df98652fd6216b8469de,well you are not everyone unfortunatley 
862.0,4f8972a8b301caea1f55890991f4913756ad6bf5,can old mate sit still 
868.0,f3b3d7a93763a416caa993377f75d04d89975d0a,dire times for retail if retail wow was good it had triple amount of players classic 
882.0,7f4661c67c24f7e243a31aa75d632f82f803e507,9fe93c12d77da58b6449ada0645fde9ecc283492 its just that bfa players settle for mediocrity 
891.0,bc8a658f17f8d0fd92397cbf1e9639a6d478a683,9dc0771a64f0a2e21633df98652fd6216b8469de yeah i didn't use that emote without reason :p 
898.0,fa5424f884a189f95e1abdba20fb794bc5954583,classic players feels like they see themselves as the best kind 
906.0,23f259ab91c0c0c087d2eed83b554bd3feecf8aa,9fe93c12d77da58b6449ada0645fde9ecc283492 you just won troll of the year award congrats lul 
914.0,94e3d48e24af91105823ebed7ed48fce085ebc0f,no they trippled new subs not over all subs 
930.0,f3b3d7a93763a416caa993377f75d04d89975d0a,7f4661c67c24f7e243a31aa75d632f82f803e507 true just look at people defending blizzard on store mounts 
951.0,7f4661c67c24f7e243a31aa75d632f82f803e507,f3b3d7a93763a416caa993377f75d04d89975d0a pathetic i know :( 
952.0,bb7f8ef8bdeec8857e1d01f4962480a70d369e5c,classic is also strong due to streamer hype 
960.0,e562924d3715b7e7f9e57050c39a3f8168f4e092,57376472a4677df8eb24117482b6f898fe078a54 u dont need to be good to clear mythic raids even ce lul same with m+ 20 u can be pretty bad and still do that content lul 
966.0,86ece125db87dcc88d480cd722446bf438595afb,is this classic 
980.0,2b1f79e97c9d906588f3af833fa1e93c93a11c03,cringe af 
985.0,bc8a658f17f8d0fd92397cbf1e9639a6d478a683,sapped on invis cmonbruh 
987.0,312c6043ca9869f570f9f886a2d7d42d89c001a0,casters have to talk in to 2 dollar karaoke mic :( 
993.0,c48dec4a6b1524d5f1a5f5b2dd438534b727090c,link your ce's e562924d3715b7e7f9e57050c39a3f8168f4e092 
1000.0,b2409162101971854c0f981cb90b4407b9b11f74,bc8a658f17f8d0fd92397cbf1e9639a6d478a683 
1007.0,f3b3d7a93763a416caa993377f75d04d89975d0a,e562924d3715b7e7f9e57050c39a3f8168f4e092 bet you never did +5 
1011.0,262a6375c5d397e47d4572354fbca367d5379080,joomface 
1017.0,47c012a5f535f35ff0b79d8c13e281a6b2dc0249,bracket 
1017.0,8560679566a3aa7f492c227a4149d00f18fa143c,e562924d3715b7e7f9e57050c39a3f8168f4e092 just show your armory boi 
1041.0,9fe93c12d77da58b6449ada0645fde9ecc283492,gray is out for blood 
1046.0,e562924d3715b7e7f9e57050c39a3f8168f4e092,f3b3d7a93763a416caa993377f75d04d89975d0a lol an honorbuddy can do +5 like what u can reroll and alt and a week after creating it be doing 10+ 
1058.0,f3b3d7a93763a416caa993377f75d04d89975d0a,he probably is a classic guy 
1060.0,57376472a4677df8eb24117482b6f898fe078a54,e562924d3715b7e7f9e57050c39a3f8168f4e092 at this point i know i cant take you seriosly because you have no clue about it 
1068.0,68dbd32587adea8d138b54a91ee7d0ef75e58310,so how do i win the fury dc93fa774261c8fbade09b798e2e3b6ba1a62c62 
1082.0,f3b3d7a93763a416caa993377f75d04d89975d0a,e562924d3715b7e7f9e57050c39a3f8168f4e092 buddy what is the last boss on uldir 
1104.0,dc93fa774261c8fbade09b798e2e3b6ba1a62c62,lets go sixo dorito doritoschip 
1111.0,68dbd32587adea8d138b54a91ee7d0ef75e58310,lets go sixo dorito doritoschip 
1115.0,f3b3d7a93763a416caa993377f75d04d89975d0a,ah 
1120.0,e562924d3715b7e7f9e57050c39a3f8168f4e092,f3b3d7a93763a416caa993377f75d04d89975d0a your mom a giant fat blood snail who spouts exploding fungal ooze balls 
1125.0,4e2cc098112b8c5ff354375f35748dba007d879c,f3b3d7a93763a416caa993377f75d04d89975d0a he's googling just a sec 
1126.0,c48dec4a6b1524d5f1a5f5b2dd438534b727090c,e562924d3715b7e7f9e57050c39a3f8168f4e092 you obviously haven't even gone past a 4 key let alone 20 nor would you have ce 
1134.0,c48dec4a6b1524d5f1a5f5b2dd438534b727090c,lol 
1142.0,7f4661c67c24f7e243a31aa75d632f82f803e507,e562924d3715b7e7f9e57050c39a3f8168f4e092 get yoinked 
1154.0,f1f00a8732d4d95fd9c1108269ae978d35ec88a3,gameface just gonna damp and kill lock in deep damp 
1154.0,81f398199a0399f8ac138c66e2628f64e520d0ec,can't wait for classic bg's boys 
1168.0,f3b3d7a93763a416caa993377f75d04d89975d0a,guy raided in woltk thinks mythic raids are joke 
1174.0,8ed7af1ddb1298778cf4bbd0fb14ae673f7fcb8e,yes you can 
1175.0,7f4661c67c24f7e243a31aa75d632f82f803e507,81f398199a0399f8ac138c66e2628f64e520d0ec soon tm 
1176.0,f3b3d7a93763a416caa993377f75d04d89975d0a,come on now i know bfa is bad but dont lie 
1200.0,f51199aa67e940e0b92e17573d78880a6fc35c31,can't wait for wotlk legacy arena servers 
1200.0,7f4661c67c24f7e243a31aa75d632f82f803e507,wotlk raids were a jokeand its my fav expac 
1212.0,3e9fb131a01d108bd99cf4ce016c4c37a3ff87c9,i just tuned in are gray playing as good as c9 
1223.0,81f398199a0399f8ac138c66e2628f64e520d0ec,at least wotlk still felt like wow 
1231.0,f51199aa67e940e0b92e17573d78880a6fc35c31,ulduar and icc were some of the best are you nuts 
1239.0,f3b3d7a93763a416caa993377f75d04d89975d0a,im not saying woltk was bad 
1248.0,bc8a658f17f8d0fd92397cbf1e9639a6d478a683,ulduar kreygasm 
1250.0,f3b3d7a93763a416caa993377f75d04d89975d0a,it was great 
1251.0,f1f00a8732d4d95fd9c1108269ae978d35ec88a3,they were great but they were easy af 
1261.0,f1f00a8732d4d95fd9c1108269ae978d35ec88a3,raids dont need to be hard just fun 
1267.0,7f4661c67c24f7e243a31aa75d632f82f803e507,wotlk was the perfect mix between classic and bfaprove me wrong 
1269.0,bc8a658f17f8d0fd92397cbf1e9639a6d478a683,the hard modes were hard 
1270.0,f51199aa67e940e0b92e17573d78880a6fc35c31,easy nobody beat icc 25 heroic until it was nerfed 
1282.0,f51199aa67e940e0b92e17573d78880a6fc35c31,dude you're putting out hot air for no reason 
1290.0,97e054be6ac6119d22a3ca94a0189430d69fb0ff,is this a repeat 
1308.0,bc8a658f17f8d0fd92397cbf1e9639a6d478a683,97e054be6ac6119d22a3ca94a0189430d69fb0ff no the mage is frost now kappa 
1315.0,242128b686fcc922e151d7d815111225d7cc12d5,is it me or are these commentators pve'rs commentationg pvp 
1318.0,f8a8c443e2cd74532a3bb23d05a1dd0f8c4e814f,zevlslove it is really easy by todays standards 
1321.0,f3b3d7a93763a416caa993377f75d04d89975d0a,nobody beated rag on original vannila too 
1328.0,f1f00a8732d4d95fd9c1108269ae978d35ec88a3,in general they were super easy not talking about 1/2 hard bosses in a tier 
1331.0,f3b3d7a93763a416caa993377f75d04d89975d0a,players were bad back then thats all 
1336.0,f8a8c443e2cd74532a3bb23d05a1dd0f8c4e814f,grafixah joe fernando is a blizzcon champion so you're pretty wrong 
1339.0,bc8a658f17f8d0fd92397cbf1e9639a6d478a683,242128b686fcc922e151d7d815111225d7cc12d5 now that's just rude :p 
1344.0,85bcc6e66a62934b80ea12c85a28505edf959339,f51199aa67e940e0b92e17573d78880a6fc35c31 that was partly because of limited attempts each week people probably would have killed it pre-nerf if weren't limited 
