Time,User,Message
0.0,554d5c2a9b2c6698541f87bca233ca972d30fcdf,okay 
0.0,a579d2ffde414ea2d40dad946e9fabf997299be8,2a1a352b468f0459f7654d38e477f60f1d4f90f5 :ewe: 
1.0,9b53620d96c8d9de2fa56435761d543726967866,ggs 
1.0,fba049d47d3e78c53988c3b3db8e81dbb7670d23,almoat 
1.0,324f33ea7615f07c99cd4a62d2d7087aa433a218,thaks 
2.0,c489a7e5fc9c004ee7735e84269ad8375a2dd8df,flakes is a beast sotussmile sotusheart 
2.0,15f7aca84461c2d7463e36b33cc72475851f3737,jjj 
2.0,4316a9d35480e0d727a30a3033de6a9dd31d1e06,gggggg 
3.0,01fb2f49b7b891844245059a86e0618b088f6f10,more more more 
3.0,7210af41e66f477d9c6b364a54a771040174015d,yyyyyyyyoooooooo 
3.0,0444df37f3469168dc9c7f23107ff9ec2922a7ba,pogchamp 
3.0,bea41b03e29cf50ea358006529791b65814e66a4,228516721a570749541fbebc8c4ec854c9eb8101 pfeffer 
3.0,8d1665374bc416247d61689ad839081916e1d43b,bro this is cool and all but i only got a banner 
4.0,1d24a1ceb7327c76e2f920bf4da8fcaf93a23060,good 
4.0,823cf5127cb5ca2870e722740580f2a298fb4b24,its drop yes or no 
4.0,f5718b2296e229824592d78c2b3e15780b4a5c3c,5478 
4.0,086121f3f1a73f29e45dcf6a684d76db40006743,holidaypresent holidaypresent holidaypresent 
4.0,edeb5848a1c6ffdcadfa9fc6f7d602c2a81aec84,2a1a352b468f0459f7654d38e477f60f1d4f90f5 letsgooooooooooooo 
4.0,ac68ae2a88baf9c012d83935e0dcf64e8925a17c,rlcsfanrewards purty pwease seemsgood 
5.0,07f8ce079a4f2e2b4f430f2e1e8d81a86e56257f,buns 
5.0,6216831e55558fa35a087987d3e5002f26315be5,uptime 
5.0,9cc3297080a2f5e5a3c20794db8eb7077f8f223f,g pt lol 
5.0,b991329a2988e641d2989a06838acbdd37d196de,holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent 
6.0,34451c521da92e8fa78ffa141a7c87389dc161d8,pflakeslove pflakeslove pflakeslove 
6.0,3b91762d7fd3e8a30591288b58be1958fb3747da,rlcsmvp rlcsmvp rlcsmvp rlcsmvp 
6.0,847d073012a6954e08814f6b369f3a1466005c96,pflakespog pflakeslove pflakespog pflakeslove pflakespog pflakeslove pflakespog pflakeslove 
6.0,9979d6341aafffa5099d467d04de624de4f97662,yaaaay 
7.0,2cf53ecfbecc72b0bffe982e2b658ee0c15cebc1,:clapping_hands: flakes got what it takes :clapping_hands: greazy wins ez :clapping_hands: mognus rhymes with nothing :clapping_hands: 
8.0,e393764ae44fc7e3a6a2d2a700f039a2102b41cc,2a1a352b468f0459f7654d38e477f60f1d4f90f5 pog 
9.0,3fec3c7f3400eeca1bca574c09a0ccfc9ecdf88c,yall should ban the words drops gift and items from your chat lol 
9.0,3b2724103e8036d3c329022c9881d54696cc3068,pls 
9.0,6ed964433e6bb8e399fa14fb23966bff691c3aa3,great series 
10.0,1577ffb11e286938c16f7f41e2113ca8a29cd4ee,giveplz giveplz giveplz giveplz holidaypresent holidaypresent holidaypresent <3 <3 <3 <3 <3 <3 
10.0,9b5f627a5123b91393c70d3f88b217abda51edeb,vohiyo vohiyo vohiyo 
10.0,57d3548e85ab1466000521cf369f7d356b024c81,bro how rare are these drops 
10.0,1facc1cdd0c6cb629a8f2b952a6f881ef96755e1,holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holid 
11.0,3e17ae4eefb4e8dfd5d6e81a329804e9111301b4,let's go 
11.0,5fd5d15ba0989ec96a496f7d573b141aebc1d936,spam drinkpurple this drinkpurple pop drinkpurple to drinkpurple get drinkpurple that drinkpurple drop 
11.0,9b53620d96c8d9de2fa56435761d543726967866,nice 
12.0,f664069e1596b9b67d660424355fb78db57db8b6,sick 
12.0,a8050f09ab2ddbc73e3b79a75fd6139a0ab3b037,drinkpurple drinkpurple drinkpurple drinkpurple 
12.0,bcb70023d00fab5062b3c3b3bfd022fdf9d98b54,eieieieieieieieieieisdkeiefjeiwowlskdjkfdjkfdkddjdjkdjdfewiekjfkeiwowpwkdvncmdskeiwoffncmxa 
12.0,9defd7ba5567d190bece51ffd2288f762e0bcf1e,lol 
13.0,d6a6aa008bc8883cab31cc4165ce2b6984bdaa41,omg 11 drops let's goooo 
13.0,6e02942cfeda549dd3d540401340cc7a6601781e,twitchvotes twitchvotes twitchvotes twitchvotes twitchvotes earthday earthday earthday earthday 
14.0,251cfc43b56def10555b4ec3e4c20f38557d74cb,fbcatch pokcharizard 
14.0,4a24b58b1b815231ff278d0d964f70460bd5ae69,painted srop 
14.0,8f9fbfd6214d41f163cb0cf9774195768a2b2d59,u 
15.0,5e14875f990dc05c2dc5384897cc21b10e247dff,ready up 
15.0,9a701adf3f1d5cc813056d2bcaad291c7e91940d,pogs for flakes 
16.0,a8365afb364536f712c42ff422ea9937e5c5f47b,how many matches left today 
16.0,b72748ac1b54b530c77ec2e24f5d1fd23e03fe87,think they will be doing eu for the next rlcs 
16.0,adc8d555b9cf11e9652cfedbd540e3278d602d07,flakes equals dad 
16.0,007b282a0ab46ea06189b26b366d29b7ea6f1614,xd 
16.0,b991329a2988e641d2989a06838acbdd37d196de,holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent 
16.0,76db0a652ceafeb3e6532d0cb06db0c3ab9b4a8d,holidaypresent holidaypresent holidaypresent holidaypresent holidaypresent 
16.0,b4478e711d208350549341262ee5c2109e55c7e9,noce 
17.0,0d5ba237f6a39d01ef971e689d58c0323c91f327,heyguys 
17.0,e07eb35a80a98a3150963bacf366ede828cbd989,2a1a352b468f0459f7654d38e477f60f1d4f90f5 top 
18.0,e7423e0f01b0562e978bc1ec0f07e86d3709ff39,multi account link taken lion share of reward drop rip 
18.0,ce79353639719e4b52aac094ed2f4d940b2a61b2,wow 
18.0,2a99139bc104ef811cd04b258ceccf55852a694c,hi 
