Time,User,Message
0.0,b3febcb66c5c60b5db2a863071844b8b00770b42,f4729dd27080c57cbc1d22e3703d7f126f3c838e he plays good there actually 
24.0,ef788a9cc5b7af72da57064a987c41fe011ad2c9,fef70eb1f0318bc994adbafcd6843feb069bed42 idk what they call it they buy different characters and they still can use them every year not just 1 year 
32.0,ef788a9cc5b7af72da57064a987c41fe011ad2c9,215fe11f6e839edee67a0d1d550217316c1b240d i would say fifa 16 
55.0,215fe11f6e839edee67a0d1d550217316c1b240d,ef788a9cc5b7af72da57064a987c41fe011ad2c9 nice i only started past december 2018 
62.0,26ee61670e11f9b5130b650e7e99fff8e5fa0b04,how old are you 
71.0,ef788a9cc5b7af72da57064a987c41fe011ad2c9,215fe11f6e839edee67a0d1d550217316c1b240d but this fifa has been the most fifa i have played my record is like 1050 wins 77 draw and 410losses 
76.0,215fe11f6e839edee67a0d1d550217316c1b240d,played on 2012 but then just didnt care 
91.0,99770cd66399688fac1ac4de5beb829137c3c198,record 
92.0,26ee61670e11f9b5130b650e7e99fff8e5fa0b04,if you want you can follow my twitch 
128.0,ef788a9cc5b7af72da57064a987c41fe011ad2c9,215fe11f6e839edee67a0d1d550217316c1b240d i played fifa long time like 2002 but ultimate team i started fifa 16 
143.0,e9ba8b10742ad2616640ea8aecd9956748447127,record 
145.0,b3febcb66c5c60b5db2a863071844b8b00770b42,is this the only account he plays wl in chat trihard 
169.0,fd7474596a06a852e2816ddc6c2111d626d68ffd,hi 
177.0,ef788a9cc5b7af72da57064a987c41fe011ad2c9,b3febcb66c5c60b5db2a863071844b8b00770b42 no he plays in 3 accounts 
182.0,99770cd66399688fac1ac4de5beb829137c3c198,rtg record 
197.0,d78de784e533366cd86947ba989b5b90541a46a0,b3febcb66c5c60b5db2a863071844b8b00770b42 no he has two other accounts 
245.0,572809b13b70f36d12d29a8477424dca5d932bb0,142ebda1d81923222ee3dc06ab02e0a80ed4a7f6 why you don't use trent arnold tots 
247.0,b3febcb66c5c60b5db2a863071844b8b00770b42,d78de784e533366cd86947ba989b5b90541a46a0 ef788a9cc5b7af72da57064a987c41fe011ad2c9 oh ight bet 
267.0,ef788a9cc5b7af72da57064a987c41fe011ad2c9,ea be like gotta keep the opponent in game seemsgood seemsgood seemsgood 
277.0,3b27cdc317cce5a6fb9c147514b8a6b9f9cafc15,dude i have really good internet and always get at least 4 bars but rn every game is 2 or 3 wtf 
290.0,b3febcb66c5c60b5db2a863071844b8b00770b42,watch him shoot and score lul 
298.0,ef788a9cc5b7af72da57064a987c41fe011ad2c9,3b27cdc317cce5a6fb9c147514b8a6b9f9cafc15 restart your game 
304.0,572809b13b70f36d12d29a8477424dca5d932bb0,142ebda1d81923222ee3dc06ab02e0a80ed4a7f6 ratedhugo why you don't use trent arnold tots 
341.0,26ee61670e11f9b5130b650e7e99fff8e5fa0b04,you can win wats your old 
343.0,b3dcc97890e8f273370c53b1322ffc77cdcbab39,building a full saudi team 142ebda1d81923222ee3dc06ab02e0a80ed4a7f6 
363.0,ef788a9cc5b7af72da57064a987c41fe011ad2c9,b3dcc97890e8f273370c53b1322ffc77cdcbab39 dont need to remind him lmao 
388.0,b3dcc97890e8f273370c53b1322ffc77cdcbab39,ef788a9cc5b7af72da57064a987c41fe011ad2c9 :rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing: i'm for real that team was sick 
442.0,26ee61670e11f9b5130b650e7e99fff8e5fa0b04,158e1d8120e33761e13535abd42c112942fba948 hej kalle anka 
502.0,26ee61670e11f9b5130b650e7e99fff8e5fa0b04,2-0 
503.0,572809b13b70f36d12d29a8477424dca5d932bb0,142ebda1d81923222ee3dc06ab02e0a80ed4a7f6 should i use ramos toty or trent tots in rb position 
503.0,12efcb1bdda930bf9ea5d63c0287251ceccb1d4e,language 
513.0,6ee7e36d845e8fa14d37c9ffa2e5aae8b4b8c999,fujgg fujgg fujgg fujgg fujgg 
515.0,26ee61670e11f9b5130b650e7e99fff8e5fa0b04,kwkskfol3 
519.0,365306dcc35fd1e324bb209abdb9024a23f28e48,get son on your main account 
527.0,b266f9ba359c3fc3fd83f76c61db5dd08243d358,let's goo 
528.0,5ca9c02d954068a26243d46e0d89565bfa0d13ce,sr el chivo 
530.0,ea337617e44c43e23288a7d8ecdbae01834532d2,afou tsb que jt drep enfait 
538.0,46c6d42e1fd2fb3a41d68dd7306927e995d8e04a,hi 
545.0,b266f9ba359c3fc3fd83f76c61db5dd08243d358,son right up there with r9 in game 
546.0,aa6e0def10595ea813aa17dfe741b17f672180d8,niemotko1990 used 100 bits to play run 
