Time,User,Message
0.0,53001f39863362eda2e153849ceb2135dde4690c,kill them with winning 
12.0,53001f39863362eda2e153849ceb2135dde4690c,all our wincons are alt wincons 
16.0,de95a84b99e963f4a9ba50722af62ab0ec4e8906,i mean 
19.0,de95a84b99e963f4a9ba50722af62ab0ec4e8906,the kefnet is right ther epeple 
33.0,999a625249ddd4befffd8bd2cec66d48d4a31c21,its a 2/3 
34.0,de95a84b99e963f4a9ba50722af62ab0ec4e8906,is birb mom not good enough for ya 
37.0,61e008faa04b5f358929caa3672bf019a2a7d070,i think entropy is the wincon 
41.0,de95a84b99e963f4a9ba50722af62ab0ec4e8906,oh opp 
41.0,55cc250579a59a3f081f939952617299cdcd50a1,2 x 10 = 20 
44.0,6bd439447f496744cfb11c0512eab34327894988,opp made his clock longer with dead weight it's his fault 
44.0,de95a84b99e963f4a9ba50722af62ab0ec4e8906,oh they gonna learn now 
44.0,61e008faa04b5f358929caa3672bf019a2a7d070,kefnet is a bot 
47.0,61e008faa04b5f358929caa3672bf019a2a7d070,boy* 
51.0,af4bc7d9b72cad7b3403dd81a38aa4cbca8d9c34,i though it was with kindness 
56.0,999a625249ddd4befffd8bd2cec66d48d4a31c21,lmao 
60.0,999a625249ddd4befffd8bd2cec66d48d4a31c21,they made it stronger 
63.0,999a625249ddd4befffd8bd2cec66d48d4a31c21,the fool 
73.0,7903a593340632c0b1c144b52d72417ac843ca25,opponent kindly removes dead weight 
77.0,de95a84b99e963f4a9ba50722af62ab0ec4e8906,lul 
89.0,de95a84b99e963f4a9ba50722af62ab0ec4e8906,opp: biblethump that's it time to make that mono r deck 
93.0,ab89e86fd94796299bca260eae1b2a7bf7cb326e,and they say blue black can't deal with enchants 
100.0,55cc250579a59a3f081f939952617299cdcd50a1,anyone knows what jaces says when he ults 
101.0,999a625249ddd4befffd8bd2cec66d48d4a31c21,ali bullying our opponent 
102.0,999a625249ddd4befffd8bd2cec66d48d4a31c21,= 
103.0,b20cd65441c32a6e54d0fca591d5d9ee1bd4a5fb,lul 
116.0,54ea8cb73208e5f796755d0fea72ade537beb3b0,ali is such a booli 
119.0,61e008faa04b5f358929caa3672bf019a2a7d070,ab89e86fd94796299bca260eae1b2a7bf7cb326e sure they can with meatier golem 
124.0,81dc261a60c6ab8478435a29756887e17905c18a,shakira 
127.0,de95a84b99e963f4a9ba50722af62ab0ec4e8906,wtf 
129.0,de95a84b99e963f4a9ba50722af62ab0ec4e8906,is this a mirror 
133.0,47b7cc008005c75ab9b0e3d4693a4b3ed265f5ae,pog 
137.0,de95a84b99e963f4a9ba50722af62ab0ec4e8906,oh grixis 
138.0,81dc261a60c6ab8478435a29756887e17905c18a,>nice 
144.0,54ea8cb73208e5f796755d0fea72ade537beb3b0,you mean memeor golem 61e008faa04b5f358929caa3672bf019a2a7d070 
147.0,c930854cf7e5e1c5ac60ca5c37435eb08538a216,you no sleeping ali or not competing tmrw 
159.0,de95a84b99e963f4a9ba50722af62ab0ec4e8906,remember that time you just brewed i thinkt he claw deck 
163.0,de95a84b99e963f4a9ba50722af62ab0ec4e8906,and you already got matched with the mirror 
166.0,de95a84b99e963f4a9ba50722af62ab0ec4e8906,that was freaky af 
188.0,af4bc7d9b72cad7b3403dd81a38aa4cbca8d9c34,it was hot claw on claw 
199.0,999a625249ddd4befffd8bd2cec66d48d4a31c21,but you wont draw 
200.0,02d99de7d40f7cd7ffa51ee42b4901cd0552033d,15784af3249fffff17f37b737beec34e0b83e119 - speaking of mirror you should bring back mirror march will dominate the meta 
