Time,User,Message
0.0,8326d539e318cd3cd604754b36130c5e445a3590,earth shock kekw 
6.0,3a384c5c22b8d3c7c94acd0e53e7df2e63135006,honourable soduko pepehands 
10.0,7b712b201bcf56b1d6f303a9ca978316d604e18f,weirdchamp :backhand_index_pointing_right: kekw 
14.0,e5b0e3bdc10d49c5489038e11fac0bcc758645b5,he was really bad at drawing starfalls 
19.0,eb15593714228cf4a4ee4cfbcca879edf0deeb5a,3a384c5c22b8d3c7c94acd0e53e7df2e63135006 he looked for 3 1 charge 
25.0,142db089df29d3b176bc4c3cf60e84402cbeddaf,nice score in gm bunny :) 
50.0,3c0bb185fddfedc7e5d48d5cbbe29d9b4416c743,dont lose again lol 
61.0,3a384c5c22b8d3c7c94acd0e53e7df2e63135006,eb15593714228cf4a4ee4cfbcca879edf0deeb5a ok in the end it doesnt reallly matter right lul 
62.0,eb15593714228cf4a4ee4cfbcca879edf0deeb5a,rematch pog 
72.0,b086e95d0955b0b632a6983da136edc3f0fd7f48,even without silence i think it was lethal 
95.0,080cbf295c72672bf06137767f3c9c57d1103da6,ayaya 
108.0,3a384c5c22b8d3c7c94acd0e53e7df2e63135006,this guy only plays rogue on high ladder 
113.0,080cbf295c72672bf06137767f3c9c57d1103da6,gg kekw 
115.0,31948e63b552e3cb1d51542f69373dfee2a71414,gg 
116.0,eb15593714228cf4a4ee4cfbcca879edf0deeb5a,alwyas backstab in starting hand kekw 
125.0,32cbf4971e2856f69080946a220aee51f065c731,kekw 
131.0,3a384c5c22b8d3c7c94acd0e53e7df2e63135006,that mummy card is so good 
133.0,3a98180e5e858c56d3e031862769e6350ea21ae1,that hand is godly 
136.0,3c0bb185fddfedc7e5d48d5cbbe29d9b4416c743,at least you are losing toa different minion this time 
142.0,b086e95d0955b0b632a6983da136edc3f0fd7f48,since leroy could of been returned 
145.0,622c6eb3b6ccd5205a8fee99ca2aadb9060d0470,rank 2 rng kekw 
155.0,080cbf295c72672bf06137767f3c9c57d1103da6,u will never have the chance to touch the vancleef lul 
161.0,51a309dd5bb706211ffa6270926b46d3949040d5,wtf that hand 
171.0,eb15593714228cf4a4ee4cfbcca879edf0deeb5a,double backstab in starting hands 
181.0,c00314959e571c1ddf50925a694475058dff4bfc,actual pro starting hands lulw 
191.0,3a384c5c22b8d3c7c94acd0e53e7df2e63135006,he had double backstabs lul 
200.0,3a384c5c22b8d3c7c94acd0e53e7df2e63135006,i missed that lol 
210.0,3a384c5c22b8d3c7c94acd0e53e7df2e63135006,that nuts starting hand :d 
217.0,51a309dd5bb706211ffa6270926b46d3949040d5,shit i could have won that hand even if i never played rouge before lol 
225.0,32cbf4971e2856f69080946a220aee51f065c731,i always find that having the nuts helps to win games fenogalaxy 
263.0,3a384c5c22b8d3c7c94acd0e53e7df2e63135006,would it be op if prep was still zero and it could reduce minions too :p 
278.0,622c6eb3b6ccd5205a8fee99ca2aadb9060d0470,no 
279.0,080cbf295c72672bf06137767f3c9c57d1103da6,lul 
280.0,baa952d4a132d0b89f8a8e44667e2106f91c56f6,what is this song 
