Time,User,Message
0.0,963bb14519d169ce3def68d171c1388da7eb0e68,might not have gotten to ten as quick if he didnt midas tho :d 
2.0,fb3eafa0d8857ef39f478f0c5787b078f50d0aba,c678976f54565f90c6c5c9f1d6be4b521620ee1a must have when enemy team got pa ; 
10.0,982d3561f1f74354b62ecf393ae3ba5a58113e6f,god that slardar's username cirwut 
12.0,4c0e3fcc1dd3a801f50671177e075f960056677d,22-3 blessrng 
30.0,6df24c1536fd6f7d4574a89bfcccc4de6d62e306,» channel rules: speak english in chat don't incite or take part in spam flaming hate racist/sexist remarks don't advertise other twitch channels don't spam all caps this chat welcomes discussions not fights remember slembot <3 you no breaking hearts allowed 
32.0,09a43e9f52a554ae25632dcf491ca997f59302d3,dat_oni this is the third game with them in a row pepehands 
37.0,51417992d91abe2d60dabaa2d45854961f1636b7,pepehands 
44.0,982d3561f1f74354b62ecf393ae3ba5a58113e6f,oi vey 
45.0,90de8c893369b0aaae099748cee50078896bb3cb,3 kills pogu 
46.0,e4dd8ff24acd7679f9c6fb3ae763930c1f26d04a,lost in the woods 
47.0,d8207f6466d12ec3eb08f4d35676f3e12049f794,so bald lul 
50.0,32e21831cbe1c9fefc076cfe4ff65320d4d845c5,ez money 
50.0,cdf22fdb11bbc45a538a7975d8be3d00238fbf46,ez shards pog 
51.0,4500c44e2e3911714e49d58d35a1174edfebf49c,-10 midas cd 
52.0,8c469e010deb6d061a12a8e244efea261e601e9c,gg 
56.0,ef604e8422b8b06858f42db60bce13e65458b23f,19da46ad2bf6153ce6d478a63fde37eee06aa80a how'd dark willow do on mid ^^ 
59.0,dd78a4362803fc64b81625e98f45c778dc385b4f,you killed a potential 322 biblethump 
62.0,0176459d213c8a1d4140f5fdafef39db30748a7f,19da46ad2bf6153ce6d478a63fde37eee06aa80a so by ur own logic ur not gonna block or report slardar right 
64.0,d998eff89fc796741bb3dd42705cb3e9cd720936,its over dude 
64.0,09a43e9f52a554ae25632dcf491ca997f59302d3,massive pidas lul 
64.0,65dacc750fc37ce6b186da4e43496110233ddf99,this gonna be 50-5 mark my words kappa 
68.0,bda9c4bb347080f81c040649e248ced8bfde994a,moon shard 13 
70.0,d8207f6466d12ec3eb08f4d35676f3e12049f794,massive pidas lul 
73.0,763c05ecdbde651e8f78d29493598808306a263f,i think you might've lost 
85.0,5b9a1adc11563a2fe7f68bbaee6a30dffd3ab004,0176459d213c8a1d4140f5fdafef39db30748a7f he cant even if he wanted lol 
86.0,fd50d5383572cfd817ef480ba28beb31a9559fdc,32e21831cbe1c9fefc076cfe4ff65320d4d845c5 is that your brother angryfish2u 
89.0,32e21831cbe1c9fefc076cfe4ff65320d4d845c5,tremolosoul what did slardar do monkahmm 
91.0,77b63263b310452b336b29d13efa924e9e428c55,sladar insane build 
92.0,09a43e9f52a554ae25632dcf491ca997f59302d3,slardar moon shard pog 
92.0,7cdbf5b9ce0347017bb3caf242e4f63afdd38aab,no he just didnt won jet 
93.0,c8a06c1c38814c7f6e3a764d857fafb19f51f040,np 
105.0,d78345931c282f4f47d224969f0ea3904fd45bcc,keep it pma 
106.0,3f69d1a368732e77b382247f7e4eca0c96fb3039,don't underestimate peoples ability to throw games 
106.0,0176459d213c8a1d4140f5fdafef39db30748a7f,he's just a good lamer 
106.0,df73712e9caa6d48428b5bc7fc8cd191addf3114,they have good highground and good lategame it being unranked they easily still have 20% chance 
107.0,27531d239a89dccb8e92764d078a8bac5da51ffb,dont give up be a man and keep trying 
111.0,32e21831cbe1c9fefc076cfe4ff65320d4d845c5,gazingoo fishmoley brother no cousing probably 
112.0,0176459d213c8a1d4140f5fdafef39db30748a7f,laner* 
122.0,39599bace38d8a6432ca03feeccf47db0036214e,wutface 
127.0,fd50d5383572cfd817ef480ba28beb31a9559fdc,32e21831cbe1c9fefc076cfe4ff65320d4d845c5 that slardar look at slardar omg 
131.0,6df24c1536fd6f7d4574a89bfcccc4de6d62e306,» https://discord gg/dyy45zu -- get discord here: https://discordapp com/ connect to twitch to see subgame channel for subs 
145.0,d8207f6466d12ec3eb08f4d35676f3e12049f794,literally unwinnable lul 
155.0,f1ae1bd96488a63eeacc4ef746633ff96363bffe,lul 
157.0,39599bace38d8a6432ca03feeccf47db0036214e,well 
165.0,5bc7fc0b0a6fb1a4d73867d85054483894f07f5b,i think may be unwinnable lul 
181.0,6df24c1536fd6f7d4574a89bfcccc4de6d62e306,i'll get him how would be working side 
181.0,433d72a49f57d518b5c8bf8ebae8b5b37626a119,this gyro dude 
192.0,2777ab45d6eaa84dfde0a2778129ccf1a665135c,almost is never enough pepehands 
193.0,982d3561f1f74354b62ecf393ae3ba5a58113e6f,dire just picked the wrong fucking heroes for this 
194.0,90de8c893369b0aaae099748cee50078896bb3cb,the finest matchmaking osfrog :ok_hand: 
197.0,0176459d213c8a1d4140f5fdafef39db30748a7f,slardar is just a good laner send him a friend request and an invite get him in discord 
197.0,0e3a6e3a4956fa272f72d50dfc7bb4881a3e8da0,wtf happened this match lmao 
199.0,01f53ef152cc6c39ab03ff05446d09f139d5311a,np 
212.0,9c64b23f66b10059356a3271c90cc4873c89de53,0e3a6e3a4956fa272f72d50dfc7bb4881a3e8da0 i think toplane just lost really hard 
213.0,5f17ce90bc624defc2e164f5eae2e99642325207,get him slem 
216.0,d8207f6466d12ec3eb08f4d35676f3e12049f794,mald 
219.0,13a6dc4bb41dec1db344e3bbe49439dd6cc9e723,be sure to grab your official complexity gear today at http://col vg/h4x 
221.0,5b9a1adc11563a2fe7f68bbaee6a30dffd3ab004,0176459d213c8a1d4140f5fdafef39db30748a7f what are you talking about 
224.0,fd50d5383572cfd817ef480ba28beb31a9559fdc,sniper :( :( :( 
227.0,5bc7fc0b0a6fb1a4d73867d85054483894f07f5b,sometimes stomps happen all there is too it 
228.0,2a2de880bf6e79feadb2ec3e51290a6e3bbd617a,vs a storm is not fine 
228.0,fb3eafa0d8857ef39f478f0c5787b078f50d0aba,you saw a glimps of storm with your shrapel in the woods :( 
231.0,cc48580a3d0c3d54e4f3072118203621a8894833,gg next game wagacry 
231.0,6df24c1536fd6f7d4574a89bfcccc4de6d62e306,» on october 14th 2016 wagamama joined complexity gaming as a streamer 
235.0,d3625c33f92326ba0f7cf60cf9766a29f6d9329c,19da46ad2bf6153ce6d478a63fde37eee06aa80a why are u not playing on a team ure so good 
252.0,09a43e9f52a554ae25632dcf491ca997f59302d3,jackolero100 doesn't want to rooshrug 
258.0,5bc7fc0b0a6fb1a4d73867d85054483894f07f5b,yeah exactly man 
262.0,2dbaaf6cf967e1594d38281d60fc35c6e06efae1,i feel like any team comp can beat any other team comp it comes down a lot to how well the individual players do 
265.0,4500c44e2e3911714e49d58d35a1174edfebf49c,radiant just snowballed kill after kill 
269.0,fd50d5383572cfd817ef480ba28beb31a9559fdc,09a43e9f52a554ae25632dcf491ca997f59302d3 :p 
269.0,cd62fa9e54d657c957e84148539f3560d3536e26,i only lose pretty hard 
273.0,982d3561f1f74354b62ecf393ae3ba5a58113e6f,at least the rubick is eating shit 
277.0,0e3a6e3a4956fa272f72d50dfc7bb4881a3e8da0,*as an inside job slardar needs to learn some grammar 
280.0,97e52367b82d1ddb18355797975360147dd88600,np 
288.0,fd50d5383572cfd817ef480ba28beb31a9559fdc,lg 
292.0,7ccef8c086e99015ef2ef8659d82c956a33bc639,d3625c33f92326ba0f7cf60cf9766a29f6d9329c he just discussed that the other day after his team's win in midas mode 2 he doesn't want to spend all the time and effort going to typical competitive team stuff like scheduled scrims 
293.0,0176459d213c8a1d4140f5fdafef39db30748a7f,can we watch replay from slardar perspective to see how he did so well 
295.0,2777ab45d6eaa84dfde0a2778129ccf1a665135c,dota is a sick mental game 
299.0,fd50d5383572cfd817ef480ba28beb31a9559fdc,toayayarms 
300.0,6df24c1536fd6f7d4574a89bfcccc4de6d62e306,» :shield: ayaya :dagger: to ayayarms chat :shield: ayaya :dagger: we have been cutetrayed :shield: ayaya :dagger: 
