Time,User,Message
0.0,66aca23e7979ba5f35623df8197bfc2b152cd3c4,the parents 
84.0,66aca23e7979ba5f35623df8197bfc2b152cd3c4,slimeballs 
84.0,bef8500de2c0bb9a3f0acb2f50ccf0705927eb1d,action slimeballs : deathbysausageee [apprentice - star 2] [8 hours]- 9650 
119.0,66aca23e7979ba5f35623df8197bfc2b152cd3c4,hours 
120.0,bef8500de2c0bb9a3f0acb2f50ccf0705927eb1d,7 8 
134.0,66aca23e7979ba5f35623df8197bfc2b152cd3c4,why have my hours started again 
141.0,66aca23e7979ba5f35623df8197bfc2b152cd3c4,aww what 
152.0,66aca23e7979ba5f35623df8197bfc2b152cd3c4,that's what happened last time then 
169.0,66aca23e7979ba5f35623df8197bfc2b152cd3c4,sarcasmqueen 
187.0,66aca23e7979ba5f35623df8197bfc2b152cd3c4,pleaseee 
190.0,b14c1d8208c03090cbd189da26e1a087bd997bc2,hours 
191.0,bef8500de2c0bb9a3f0acb2f50ccf0705927eb1d,32 8 
253.0,66aca23e7979ba5f35623df8197bfc2b152cd3c4,it's been more i have changed my name 3 time remember 
292.0,66aca23e7979ba5f35623df8197bfc2b152cd3c4,hours 
292.0,bef8500de2c0bb9a3f0acb2f50ccf0705927eb1d,70 1 
297.0,66aca23e7979ba5f35623df8197bfc2b152cd3c4,much better 
337.0,66aca23e7979ba5f35623df8197bfc2b152cd3c4,you and teepee are the only one i sub too 
352.0,66aca23e7979ba5f35623df8197bfc2b152cd3c4,well teepee gets my twitch prime :rolling_on_the_floor_laughing: 
374.0,66aca23e7979ba5f35623df8197bfc2b152cd3c4,yeah you do :rolling_on_the_floor_laughing: 
675.0,66aca23e7979ba5f35623df8197bfc2b152cd3c4,hmm what should i have for breakfast 
681.0,66aca23e7979ba5f35623df8197bfc2b152cd3c4,i'm hungry 
710.0,66aca23e7979ba5f35623df8197bfc2b152cd3c4,haha i knew you were going to say that 
732.0,66aca23e7979ba5f35623df8197bfc2b152cd3c4,yep it's the best name ever 
826.0,444480b76a51c08164b10532abb67d9e08837a66,show build plz 
871.0,fc1c206468506737e3bbf992fb6830b6eef50dfe,how is your hatered regenerating so fast bro 
872.0,bef8500de2c0bb9a3f0acb2f50ccf0705927eb1d,emotes you will earn by subscribing are mercyhype mercycry mercyfail mercyhi mercygasm mercylove mercylurk mercydono mercygg mercypray mercyrage mercyrip mercysalute mercyblind mercykappa mercypotato mercychoke mercybaboon mercyrekt 9 99 emote- mercy10 24 99 emote- mercygolden 
924.0,72122b6b401c5e867272391b2af31b1271613101,vengeance seethe probably 
990.0,55397b79304c7384c46135330f42dab7f3e2af9b,what do you think is the best t16 rift key farming class/set up 
1049.0,55397b79304c7384c46135330f42dab7f3e2af9b,what about wizard you think wizard speed is way slower than dh 
1094.0,55397b79304c7384c46135330f42dab7f3e2af9b,i think wizard have a big ramp up time compare to dh 
1131.0,72122b6b401c5e867272391b2af31b1271613101,impale dh is pretty good for t16 too 
1320.0,704ee3f54ac8931b3bf78640820583c605d8b6d8,how do you know lon is working 
1439.0,704ee3f54ac8931b3bf78640820583c605d8b6d8,its dont show in stats 
1468.0,704ee3f54ac8931b3bf78640820583c605d8b6d8,k 
