Time,User,Message
0.0,3f7fb7d4e3cab5e6c25af4c0407696f6af4e445f,wait 
7.0,3f7fb7d4e3cab5e6c25af4c0407696f6af4e445f,wtf is the credits too 
14.0,098abb7f8e1fb5da4d86d25f7ce2ecc9cae47902,ca1e468d975f8d3d618e4a96f538707be79a642b are you australian 
16.0,297d84492ba2c5186ee3b7efb69033c7b2a7118b,that's what i'm saying 
19.0,3f7fb7d4e3cab5e6c25af4c0407696f6af4e445f,maybe i shouldof asked questions 
25.0,297d84492ba2c5186ee3b7efb69033c7b2a7118b,i think so too 
39.0,3f7fb7d4e3cab5e6c25af4c0407696f6af4e445f,ill ask em monday 
42.0,ca1e468d975f8d3d618e4a96f538707be79a642b,098abb7f8e1fb5da4d86d25f7ce2ecc9cae47902 i play on oceania severs yeah 
78.0,5b9d594987ea87b92482a826adc0f7c527a04dcb,1a784dd05ff5a231f082a26794f05dffdd469d33 gonna play some fortnite seemsgood thanks for a good time mate <3 :d keep up the good stream :d <3 
88.0,098abb7f8e1fb5da4d86d25f7ce2ecc9cae47902,ca1e468d975f8d3d618e4a96f538707be79a642b i was mainly asking cause you said “how you going” :face_with_tears_of_joy: much love to the oce mates 
95.0,5b9d594987ea87b92482a826adc0f7c527a04dcb,and have a nice day 1a784dd05ff5a231f082a26794f05dffdd469d33 
112.0,8dfe492270dd8192b0c392b5489d35fa9fe30fcc,a noobie question - how do you make sure not to get twisted by the ball hit when trying to follow it in mid-air 1a784dd05ff5a231f082a26794f05dffdd469d33 
134.0,ca1e468d975f8d3d618e4a96f538707be79a642b,ahaha yeah man aussie slang kicking in 098abb7f8e1fb5da4d86d25f7ce2ecc9cae47902 
134.0,3f7fb7d4e3cab5e6c25af4c0407696f6af4e445f,not like a really care cuz for collage i just need to survive my grades a few months and ill make the nba than never going back to collage cuz fuck school :) 
138.0,098abb7f8e1fb5da4d86d25f7ce2ecc9cae47902,he already answered that 8dfe492270dd8192b0c392b5489d35fa9fe30fcc 
165.0,1efeaf0d674346b1c072a5b38ad0ad5d9048a752,okay i should to leave now good luck to you all bye chat bye streamer <3 
177.0,8dfe492270dd8192b0c392b5489d35fa9fe30fcc,098abb7f8e1fb5da4d86d25f7ce2ecc9cae47902 oh damn had to reboot my browser :s 
178.0,3f7fb7d4e3cab5e6c25af4c0407696f6af4e445f,someone say marbles 
185.0,3f7fb7d4e3cab5e6c25af4c0407696f6af4e445f,marbles or riot 
189.0,297d84492ba2c5186ee3b7efb69033c7b2a7118b,did someone say marbles 
193.0,57ca5a51965f97fdef8f9b3f47127acf3a152690,hi 
232.0,3f7fb7d4e3cab5e6c25af4c0407696f6af4e445f,who remembers when kyle said he whould play fortnite on stream 
237.0,8dfe492270dd8192b0c392b5489d35fa9fe30fcc,the thing is once i hit the ball once i get bounced back by the hit 1a784dd05ff5a231f082a26794f05dffdd469d33 when you do it you manage to follow it like you never hit it 
238.0,297d84492ba2c5186ee3b7efb69033c7b2a7118b,monkas 
239.0,ca1e468d975f8d3d618e4a96f538707be79a642b,im getting use to the new car from twitch prime 
267.0,3f7fb7d4e3cab5e6c25af4c0407696f6af4e445f,but that was like when i first came in here so over a year ago 
275.0,57ca5a51965f97fdef8f9b3f47127acf3a152690,x2fastparty x2fasthappy x2fastparty x2fasthappy x2fastparty x2fasthappy 
276.0,098abb7f8e1fb5da4d86d25f7ce2ecc9cae47902,i'm heading out now for real glad to know your stream have a good one kyle <3 1a784dd05ff5a231f082a26794f05dffdd469d33 
276.0,8dfe492270dd8192b0c392b5489d35fa9fe30fcc,but ok i think i got it feels like the only choice thanks for the answer man 1a784dd05ff5a231f082a26794f05dffdd469d33 
288.0,4fdf958ded5951fcd910572f10e572edd6b4ed28,hi 
303.0,57ca5a51965f97fdef8f9b3f47127acf3a152690,x2fastparty x2fastparty x2fastparty 
309.0,57ca5a51965f97fdef8f9b3f47127acf3a152690,x2fastparty x2fastparty 
327.0,297d84492ba2c5186ee3b7efb69033c7b2a7118b,boosting through hits op 
