Time,User,Message
0.0,94c0e2260994c490a3dbda027b11367434b15f42,u r so preatty 
1.0,83fad2bba0a21835244abd7fce01392e438dc114,oof 
2.0,febbe69bb5661c224af6666334611adce30892be,d53b974ade7b8ec236d7966bf2eea8a8803788a0 aún no 
8.0,d53b974ade7b8ec236d7966bf2eea8a8803788a0,ok 
12.0,ddc2124cf6385bd4ecd0d6aa0de29f720662e45c,natirip 
13.0,e0a677773545b7a1b3acbac109ba77e47be59d3c,good try 
16.0,db2061320d1d9316621c972d165fc695a6953252,wood v 
17.0,3eb1b21038718050720af55a7d46e463dffb4718,ah man 
24.0,5ea1d50e8bbbceb6852f1ba92915a1a4ca728715,gg tho :) 
24.0,32b3d4a166afad6a596fa6c5fa7095eae1ba1c53,omg i love seeing a woman at the top of the apex page get it girl never watched you before but imma start :hugging_face: 
25.0,febbe69bb5661c224af6666334611adce30892be,d53b974ade7b8ec236d7966bf2eea8a8803788a0 o no sé muy bienno estoy en el stream 
40.0,81785acce056cbbf61733abf347ead6d59abcb75,w a t 
42.0,ddc2124cf6385bd4ecd0d6aa0de29f720662e45c,lol glitched 
46.0,ddc2124cf6385bd4ecd0d6aa0de29f720662e45c,wtf 
47.0,83fad2bba0a21835244abd7fce01392e438dc114,solid game 
49.0,81785acce056cbbf61733abf347ead6d59abcb75,what is this drug trip 
49.0,ec1a1cbabbc4e8239b610538a6d681ef16ff494a,hell yea i suck toes 
50.0,83fad2bba0a21835244abd7fce01392e438dc114,esports ready 
54.0,cc5db73629d5b47e48b3b8eb95ee25060d37c639,its ok u played good 
54.0,d53b974ade7b8ec236d7966bf2eea8a8803788a0,estoy medio ocupado bro si gana me mandas un whisp 
59.0,d53b974ade7b8ec236d7966bf2eea8a8803788a0,febbe69bb5661c224af6666334611adce30892be 
60.0,f3b8de455ef6da5d48216f6a338d81006ae6d841,hello 
60.0,3eb1b21038718050720af55a7d46e463dffb4718,glitching af 
62.0,9bb4bc8abe064939794411dc293f86818f22da72,am i on lsd 
66.0,561bebac53a4b79d82394e5bf717a2533308b511,wut the fuck 
68.0,81785acce056cbbf61733abf347ead6d59abcb75,this is the new black mirror episode 
68.0,e3c2ca83451767809f36fdd87751fc10898b44a9,clap 
73.0,83fad2bba0a21835244abd7fce01392e438dc114,hes back pogchamp 
79.0,83fad2bba0a21835244abd7fce01392e438dc114,back from oblivion 
82.0,6f2306191d07abb9be8e451ce7aa8f60fd724e1f,i slid in the dm 
82.0,f3b8de455ef6da5d48216f6a338d81006ae6d841,humblelife 
85.0,32b3d4a166afad6a596fa6c5fa7095eae1ba1c53,omg i love seeing a woman at the top of the apex page get it girl never watched you before but imma start :hugging_face: 
90.0,febbe69bb5661c224af6666334611adce30892be,d53b974ade7b8ec236d7966bf2eea8a8803788a0 jaja cómo voy a saber si ganosi yo tampoco estoy viendo el stream 
93.0,c5fff8dc73dac8168d460affda416023b2bdce5e,whatever ur drinking is bad for u 
96.0,b09bf3e5286cb2b0a3613492be7e4b85be819bc4,shot shot shot 
103.0,cc5db73629d5b47e48b3b8eb95ee25060d37c639,do u drink beer 
107.0,d53b974ade7b8ec236d7966bf2eea8a8803788a0,febbe69bb5661c224af6666334611adce30892be cómo no lo ves y si escribís 
109.0,ec1a1cbabbc4e8239b610538a6d681ef16ff494a,lul 
109.0,81785acce056cbbf61733abf347ead6d59abcb75,lol 
111.0,83fad2bba0a21835244abd7fce01392e438dc114,alinity how to talk to a girl in class that i dont know at all 
113.0,ec1a1cbabbc4e8239b610538a6d681ef16ff494a,natipanic 
114.0,e3c2ca83451767809f36fdd87751fc10898b44a9,you are pro robot natihype 1d00ea97a1d2d597ec4bf8c69c01b032462c0bad 
115.0,d53b974ade7b8ec236d7966bf2eea8a8803788a0,bueno me quedo 
122.0,6fbc231604f064b2a9ad30d189ee7e730c77a49e,whats up 
123.0,32b3d4a166afad6a596fa6c5fa7095eae1ba1c53,lol 
123.0,d2f331faa59ba17563a20734aa76045dee8b7138,how are you doing today 
124.0,a069bc37fae8dcad8c0bb3f0cbca754c37d5f781,mouse 
127.0,32b3d4a166afad6a596fa6c5fa7095eae1ba1c53,i'm so sorry 
129.0,bf7d38b092ce2d42ad2bf5c6ed81082adebebf2a,you drunk :face_with_tears_of_joy: 
134.0,56a35798fbc201498e72bf14d36536719f4cef92,where´s luna 
135.0,83fad2bba0a21835244abd7fce01392e438dc114,bordell 
135.0,d7fe374e9b9fa7601f6ba5f1227623121df49054,hi first time watcher i love apex 
136.0,d53b974ade7b8ec236d7966bf2eea8a8803788a0,1d00ea97a1d2d597ec4bf8c69c01b032462c0bad me puedes seguír en mi instagram pksss 
137.0,5ea1d50e8bbbceb6852f1ba92915a1a4ca728715,i have to go alinity have a good stream <3 
140.0,febbe69bb5661c224af6666334611adce30892be,d53b974ade7b8ec236d7966bf2eea8a8803788a0 3 refiero que no la estoy viendo mucho es viernes y no hay mucha gente como happy 
143.0,6f2306191d07abb9be8e451ce7aa8f60fd724e1f,cream pie facial 
147.0,a6aedae369cd7126ff6c633131b2f04b883c2be7,you look expecially cute today 
147.0,561bebac53a4b79d82394e5bf717a2533308b511,a-lit-nity 
147.0,d53b974ade7b8ec236d7966bf2eea8a8803788a0,ooo 
151.0,692eaf196b31c3ff674db2fbd213119bd2fe609d,where the wins at 
152.0,44d26831358e7b6d2b51a5f7d5c769e2b7f893d4,i wanna fuck u 
152.0,83fad2bba0a21835244abd7fce01392e438dc114,girthius solid 
159.0,32b3d4a166afad6a596fa6c5fa7095eae1ba1c53,hahaha 
163.0,e0a677773545b7a1b3acbac109ba77e47be59d3c,83fad2bba0a21835244abd7fce01392e438dc114 say gutentag wie gehts 
166.0,fbd58587d9f56cb670a71763b4152f4b8541fced,twerk 
166.0,3d45eecdebc8000dbc50218aa6b39a5c5082f316,lul normally quiet 
167.0,83fad2bba0a21835244abd7fce01392e438dc114,dstclair2 i want a million dollars 
168.0,9592ff56d9a24e809a50f5097f4d8fc185a5987f,5 shots in notlikethis notlikethis 
169.0,ec1a1cbabbc4e8239b610538a6d681ef16ff494a,normally more quiet 
169.0,6fbc231604f064b2a9ad30d189ee7e730c77a49e,alinity cute 
170.0,3eb1b21038718050720af55a7d46e463dffb4718,wait for 6 shots 
175.0,83fad2bba0a21835244abd7fce01392e438dc114,el_pimiento ruined lul 
176.0,3eb1b21038718050720af55a7d46e463dffb4718,lol when 
177.0,88722e8e91b72b76481b8059bfe51d055e8ea305,notlikethis notlikethis 
178.0,d2f331faa59ba17563a20734aa76045dee8b7138,what are you drinking on 
179.0,0e871f430325bb37aaadd3e45a0272a4b739c5c7,you are normally loud 1d00ea97a1d2d597ec4bf8c69c01b032462c0bad lul 
181.0,ec1a1cbabbc4e8239b610538a6d681ef16ff494a,yes 
186.0,ec1a1cbabbc4e8239b610538a6d681ef16ff494a,lul 
189.0,3d45eecdebc8000dbc50218aa6b39a5c5082f316,its not the mic lul 
189.0,570f14474a39daec1d2e4531234d2514ad17e865,lol shes gone 
189.0,83fad2bba0a21835244abd7fce01392e438dc114,turn down for what 
191.0,d53b974ade7b8ec236d7966bf2eea8a8803788a0,1d00ea97a1d2d597ec4bf8c69c01b032462c0bad me puedes seguír en mi instagram pksss 
195.0,56fdfe464fa1c193be95bcfa0f6f7f939dcecf48,jinnytree 
195.0,32b3d4a166afad6a596fa6c5fa7095eae1ba1c53,*screaming* im normally more quiet than thissss 
199.0,88722e8e91b72b76481b8059bfe51d055e8ea305,snapp 
199.0,cc5db73629d5b47e48b3b8eb95ee25060d37c639,what do u shot 
203.0,0e871f430325bb37aaadd3e45a0272a4b739c5c7,its not the mic alinity lul 
205.0,e0a677773545b7a1b3acbac109ba77e47be59d3c,natiburp 
206.0,ddc2124cf6385bd4ecd0d6aa0de29f720662e45c,natiburp 
207.0,ec1a1cbabbc4e8239b610538a6d681ef16ff494a,natiburp 
209.0,56fdfe464fa1c193be95bcfa0f6f7f939dcecf48,jinnyt55dobal jinnyt55dobal jinnyt55dobal 
210.0,97115e37720216a5eaaa868dd70a0382daf7edf8,good push 
211.0,32b3d4a166afad6a596fa6c5fa7095eae1ba1c53,omg same 
212.0,8496535d2ecaab8256b8b776f8df2f092ff7eb46,dansgame 
215.0,e3c2ca83451767809f36fdd87751fc10898b44a9,natiburp natiburp 2/10 natiburp 
217.0,e3e6aa8efeaceb4b2dff5e390bce7495e0692a3a,better out then in i say 1d00ea97a1d2d597ec4bf8c69c01b032462c0bad 
221.0,32b3d4a166afad6a596fa6c5fa7095eae1ba1c53,everyone tells me i'm too loud i hate it 
225.0,83fad2bba0a21835244abd7fce01392e438dc114,him 
226.0,cc5db73629d5b47e48b3b8eb95ee25060d37c639,bless u 
227.0,ec1a1cbabbc4e8239b610538a6d681ef16ff494a,and she's still warming up 
228.0,83fad2bba0a21835244abd7fce01392e438dc114,its a robot 
233.0,e7462fcb089c5702522affd24f210dcd0c8eb391,you burb like a monster and then sorry guys 
235.0,ad0194f905a5b20a59f07ab07fe03519d8f21fb6,someones drunk lol 
238.0,9592ff56d9a24e809a50f5097f4d8fc185a5987f,so does her burps vissh vissh 
243.0,0694c646911b411ccb2d55011fcc6c335c0d0ae5,xd 
243.0,ddc2124cf6385bd4ecd0d6aa0de29f720662e45c,lul 
245.0,ec1a1cbabbc4e8239b610538a6d681ef16ff494a,lul 
250.0,83fad2bba0a21835244abd7fce01392e438dc114,pepega 
253.0,3d6930e9b3841e7c3fea6f2144275a253b2c68f6,slingy bongotap 
254.0,ddc2124cf6385bd4ecd0d6aa0de29f720662e45c,slingy dingy lul 
255.0,2ec3ac287db10c4fd53ad7e2f35f762ae5199e8a,i don't think your aloud to be drunk of twitch 
257.0,0e871f430325bb37aaadd3e45a0272a4b739c5c7,lol lingie dingis down 
259.0,0694c646911b411ccb2d55011fcc6c335c0d0ae5,lul 
260.0,d53b974ade7b8ec236d7966bf2eea8a8803788a0,1d00ea97a1d2d597ec4bf8c69c01b032462c0bad me puedes seguír en mi instagram pksss 
265.0,9bb4bc8abe064939794411dc293f86818f22da72,nooooo 
267.0,e3c2ca83451767809f36fdd87751fc10898b44a9,natirip natirip natirip natirip 
268.0,6f2306191d07abb9be8e451ce7aa8f60fd724e1f,back to strippin 
273.0,3eb1b21038718050720af55a7d46e463dffb4718,lol lingie dingis 
273.0,9592ff56d9a24e809a50f5097f4d8fc185a5987f,visstato visstato visstato visstato visstato 
278.0,ad0194f905a5b20a59f07ab07fe03519d8f21fb6,ninja drinks when he streams 
289.0,febbe69bb5661c224af6666334611adce30892be,sr https://youtu be/2nxne6cwyrk 
293.0,d53b974ade7b8ec236d7966bf2eea8a8803788a0,mmmchchh 
297.0,f27515e852c3ada8fb41225bca155e432fd05e84,you look like colombian xd 
300.0,561bebac53a4b79d82394e5bf717a2533308b511,2ec3ac287db10c4fd53ad7e2f35f762ae5199e8a you're allowed to drink it's fine 
301.0,751a1b66e95a389effaf56237eb17e77bc33044a,burps like a monster looks like a goddess lul 
304.0,97115e37720216a5eaaa868dd70a0382daf7edf8,is her nationality spanish 
304.0,947db1fe72832e567168d7ddf20e8ce00e9f8c14,suena mal pero descansa el animal 
304.0,a6aedae369cd7126ff6c633131b2f04b883c2be7,why are you so beautiful 
305.0,cc5db73629d5b47e48b3b8eb95ee25060d37c639,bless you for your burps 
305.0,3eb1b21038718050720af55a7d46e463dffb4718,you are doing great tho thats all that matters the most 
308.0,947db1fe72832e567168d7ddf20e8ce00e9f8c14,thats great 
310.0,3eb1b21038718050720af55a7d46e463dffb4718,natiballoon natiballoon natiballoon natiballoon natiballoon natiballoon natiballoon natiballoon natiballoon natiballoon natiballoon natiballoon natiballoon natiballoon natiballoon natiballoon 
311.0,d53b974ade7b8ec236d7966bf2eea8a8803788a0,1d00ea97a1d2d597ec4bf8c69c01b032462c0bad me puedes seguír en mi instagram pksss 1d00ea97a1d2d597ec4bf8c69c01b032462c0bad 1d00ea97a1d2d597ec4bf8c69c01b032462c0bad 1d00ea97a1d2d597ec4bf8c69c01b032462c0bad 97115e37720216a5eaaa868dd70a0382daf7edf8 
313.0,83fad2bba0a21835244abd7fce01392e438dc114,wp 
315.0,6f2306191d07abb9be8e451ce7aa8f60fd724e1f,basura es mierda con queso 
323.0,545975be3c1e7ffadfb43a5c6bc12cdac470a402,i've always taken pride in my burps yours are good 
325.0,83fad2bba0a21835244abd7fce01392e438dc114,blame crownic kappa 
336.0,83fad2bba0a21835244abd7fce01392e438dc114,get them all 
337.0,ddc2124cf6385bd4ecd0d6aa0de29f720662e45c,haha 
337.0,eb88126d72f95a6776d884d0081b1dee0aefed59,dansgame burrrp 
338.0,ddc2124cf6385bd4ecd0d6aa0de29f720662e45c,natipanic 
342.0,6f2306191d07abb9be8e451ce7aa8f60fd724e1f,mi espanol es asi asi 
343.0,3eb1b21038718050720af55a7d46e463dffb4718,lol 
348.0,25c61c95cb69b2bdf2cb91de0972498826babcb7,hi nat 
351.0,561bebac53a4b79d82394e5bf717a2533308b511,boo 372c400035c4c5501f8b180dcbd6e9a3d01ffd76 :p 
352.0,e0a677773545b7a1b3acbac109ba77e47be59d3c,does the stream sometimes lag for other people too or is it just me 
352.0,83fad2bba0a21835244abd7fce01392e438dc114,bullyinity 
355.0,9592ff56d9a24e809a50f5097f4d8fc185a5987f,potatoe 
358.0,e0a677773545b7a1b3acbac109ba77e47be59d3c,nice try 
359.0,692eaf196b31c3ff674db2fbd213119bd2fe609d,okay lol i dont see a win coming soon 
360.0,e3c2ca83451767809f36fdd87751fc10898b44a9,clap clap clap clap clap clap 372c400035c4c5501f8b180dcbd6e9a3d01ffd76 
362.0,3eb1b21038718050720af55a7d46e463dffb4718,#bullying 
364.0,561bebac53a4b79d82394e5bf717a2533308b511,it lags up sometimes 
366.0,692eaf196b31c3ff674db2fbd213119bd2fe609d,let see if she can get top 5 
370.0,83fad2bba0a21835244abd7fce01392e438dc114,bully streamer 
371.0,81785acce056cbbf61733abf347ead6d59abcb75,sr https://www youtube com/watch?v=xhv6olgplpq 
376.0,f27515e852c3ada8fb41225bca155e432fd05e84,she looks very colombian xd 
377.0,1e7a47fd030aa8d2ff35497189b95dbc323a97a9,shes not potatoing 
378.0,6192e2d05083acba734f4d7cab0a04677a0d0ba0,sup 
382.0,b09bf3e5286cb2b0a3613492be7e4b85be819bc4,adios hermosa que pase buen día c: 
389.0,6f2306191d07abb9be8e451ce7aa8f60fd724e1f,ur turnin into a bot 
393.0,83fad2bba0a21835244abd7fce01392e438dc114,switch to 4 subs per loss kappa 
396.0,d53b974ade7b8ec236d7966bf2eea8a8803788a0,1d00ea97a1d2d597ec4bf8c69c01b032462c0bad me puedes seguír en mi instagram pksss 
396.0,0e871f430325bb37aaadd3e45a0272a4b739c5c7,is all colombian as hot as 1d00ea97a1d2d597ec4bf8c69c01b032462c0bad 
399.0,a6aedae369cd7126ff6c633131b2f04b883c2be7,will u have my babies 
400.0,947db1fe72832e567168d7ddf20e8ce00e9f8c14,siga me a mi closmelo 
402.0,0694c646911b411ccb2d55011fcc6c335c0d0ae5,holaaa saludos desde chile coolcat 
402.0,1e7a47fd030aa8d2ff35497189b95dbc323a97a9,hope so 
404.0,db332bc361fae2088e3858aaaef66e9b49891252,culombian lul 
406.0,cc5db73629d5b47e48b3b8eb95ee25060d37c639,que tal alinity 
407.0,947db1fe72832e567168d7ddf20e8ce00e9f8c14,im colombian also 
407.0,6f2306191d07abb9be8e451ce7aa8f60fd724e1f,buckle dwn 
408.0,9bb4bc8abe064939794411dc293f86818f22da72,let me unsub so my sub can be free minik 
411.0,97115e37720216a5eaaa868dd70a0382daf7edf8,facts 
412.0,357bfcb01a6662aa2103a43d0fb7b1184b6c7e40,subs 
413.0,561bebac53a4b79d82394e5bf717a2533308b511,if she looks like a duck and quacks like a duck she's a colombian 1d00ea97a1d2d597ec4bf8c69c01b032462c0bad 
413.0,9a786f9c27145ec2f9b6084f395570f6336e3919,seemsgood seemsgood seemsgood 
425.0,6f2306191d07abb9be8e451ce7aa8f60fd724e1f,u look puerta rican 
426.0,97115e37720216a5eaaa868dd70a0382daf7edf8,jamaican 
429.0,d53b974ade7b8ec236d7966bf2eea8a8803788a0,porfavor 
433.0,a6aedae369cd7126ff6c633131b2f04b883c2be7,big butt beautiful breasts and cute face just like you ____________ 
435.0,d53b974ade7b8ec236d7966bf2eea8a8803788a0,porfavoooooooooooooooooooooooooor 
437.0,692eaf196b31c3ff674db2fbd213119bd2fe609d,wooooh go asiains 
439.0,57f25324668229565513a0552b7c2b6c534a4e70,columbia should look asian 
440.0,2165d61083989bf2bfa57cdd0d053c4bbef08f13,hi 
444.0,9059ed151022387c51cafd28178e9667f0a7acdc,i like the fact that she is listening to a romanian song 
446.0,6f2306191d07abb9be8e451ce7aa8f60fd724e1f,the type to stab me in my sleep 
446.0,9592ff56d9a24e809a50f5097f4d8fc185a5987f,mixed with baking soda 
449.0,83fad2bba0a21835244abd7fce01392e438dc114,55% of all emeralds come from colombia but you are by far the most beautiful one alinity 
451.0,f1fc2f2d9446564d1da6cd40a1bcbad8cf917d87,latinas > 
455.0,42250bbc1c46cbc02d6321f23ae594ab01cb6a84,ur grandfather raped u 
458.0,b7d00030ce929a17ca5cf296f482b8468b894cf0,when i was younger i felt like a man trapped in a woman's body then i was born 
459.0,947db1fe72832e567168d7ddf20e8ce00e9f8c14,follow me on insta alinity :) closmelo colombianoooooo 
465.0,68414fd4615c780cb227f7f18ba904bd24a0ca77,nobody came to here to listen to you speak lol 
468.0,6f2306191d07abb9be8e451ce7aa8f60fd724e1f,sephardic 
470.0,febbe69bb5661c224af6666334611adce30892be,colombianas natigasm 
475.0,2decf8a7749d2af6ee5c296a0aca22e53ecb403a,lol 
476.0,561bebac53a4b79d82394e5bf717a2533308b511,the jews got kicked out of spain a fucking long time ago 
476.0,ec1a1cbabbc4e8239b610538a6d681ef16ff494a,goddammitzeus lul 
478.0,3d45eecdebc8000dbc50218aa6b39a5c5082f316,the jew stuff lul 
485.0,357bfcb01a6662aa2103a43d0fb7b1184b6c7e40,columbians are hot 
485.0,9a786f9c27145ec2f9b6084f395570f6336e3919,i can't tell i'm puertorican but you just look hispanic now i know(columbian 
485.0,0e871f430325bb37aaadd3e45a0272a4b739c5c7,the juice stuff 
485.0,b7d00030ce929a17ca5cf296f482b8468b894cf0,:d 
486.0,561bebac53a4b79d82394e5bf717a2533308b511,like a super long time ago 
486.0,0e871f430325bb37aaadd3e45a0272a4b739c5c7,lul 
488.0,83fad2bba0a21835244abd7fce01392e438dc114,baller_community feelsweirdman 
489.0,e3c2ca83451767809f36fdd87751fc10898b44a9,sr https://www youtube com/watch?v=ybbzuskiztu 
490.0,3eb1b21038718050720af55a7d46e463dffb4718,ok i understand 
490.0,1e7a47fd030aa8d2ff35497189b95dbc323a97a9,meetteaz fucking idiot 
491.0,2decf8a7749d2af6ee5c296a0aca22e53ecb403a,u broke him 
492.0,67a0c84973a8c48f39da5af971fdd5fa2404ba26,woo is the stream lagging for anyone else 
495.0,2decf8a7749d2af6ee5c296a0aca22e53ecb403a,omegaroll 
495.0,9592ff56d9a24e809a50f5097f4d8fc185a5987f,jew stuff lulz 
497.0,ddc2124cf6385bd4ecd0d6aa0de29f720662e45c,lol crownic 
500.0,6f2306191d07abb9be8e451ce7aa8f60fd724e1f,she looks tiny 
501.0,e0a677773545b7a1b3acbac109ba77e47be59d3c,67a0c84973a8c48f39da5af971fdd5fa2404ba26 for me too 
509.0,81785acce056cbbf61733abf347ead6d59abcb75,her living 
509.0,1e7a47fd030aa8d2ff35497189b95dbc323a97a9,focus alinity 
509.0,febbe69bb5661c224af6666334611adce30892be,lul lul 
512.0,97115e37720216a5eaaa868dd70a0382daf7edf8,lag 
519.0,c297410ca88f6eb2dd43c046fa01f6b76107ae18,سلام بچه ها 
521.0,0e871f430325bb37aaadd3e45a0272a4b739c5c7,omfg alinity everytime im in ur stream u give a good ass fucking laugh 1d00ea97a1d2d597ec4bf8c69c01b032462c0bad 
522.0,6f2306191d07abb9be8e451ce7aa8f60fd724e1f,perfect for girth 
525.0,f27515e852c3ada8fb41225bca155e432fd05e84,you would be spanish xd 
532.0,83fad2bba0a21835244abd7fce01392e438dc114,feels bad lol 
532.0,3eb1b21038718050720af55a7d46e463dffb4718,focus alinity thanks for the story 
538.0,67a0c84973a8c48f39da5af971fdd5fa2404ba26,e0a677773545b7a1b3acbac109ba77e47be59d3c ok guess its just the stream 
548.0,0e871f430325bb37aaadd3e45a0272a4b739c5c7,but its real lul 
548.0,febbe69bb5661c224af6666334611adce30892be,thanks for the story thanks 
565.0,e0a677773545b7a1b3acbac109ba77e47be59d3c,67a0c84973a8c48f39da5af971fdd5fa2404ba26 yeah 
574.0,d5fdf05d78576128bc771bb0012494b2ea5455af,hi mami 
575.0,f27515e852c3ada8fb41225bca155e432fd05e84,so were do you live now 
579.0,97115e37720216a5eaaa868dd70a0382daf7edf8,just look down theres your chest 
582.0,f27515e852c3ada8fb41225bca155e432fd05e84,where 
583.0,3eb1b21038718050720af55a7d46e463dffb4718,1d00ea97a1d2d597ec4bf8c69c01b032462c0bad te quiero mucho mi corazón 
586.0,a6aedae369cd7126ff6c633131b2f04b883c2be7,you have a beautiful chest 
594.0,1e7a47fd030aa8d2ff35497189b95dbc323a97a9,canada 
607.0,96d00e1f1603f7658c2663b64b27cdcc406b6383,uptime 
609.0,67a0c84973a8c48f39da5af971fdd5fa2404ba26,f27515e852c3ada8fb41225bca155e432fd05e84 she lives in canada 
611.0,97115e37720216a5eaaa868dd70a0382daf7edf8,does she live in canada 
617.0,6f2306191d07abb9be8e451ce7aa8f60fd724e1f,they swab 
617.0,febbe69bb5661c224af6666334611adce30892be,ddc2124cf6385bd4ecd0d6aa0de29f720662e45c no se pero siento que esto se va a descontrolar lul 
618.0,0e871f430325bb37aaadd3e45a0272a4b739c5c7,oh yes alinity re 45 long range lmfao 
622.0,1e7a47fd030aa8d2ff35497189b95dbc323a97a9,nicewigg perv 
625.0,ddc2124cf6385bd4ecd0d6aa0de29f720662e45c,zomber2028 lul porque 
630.0,9059ed151022387c51cafd28178e9667f0a7acdc,her playlist dude notlikethis notlikethis 
632.0,e3c2ca83451767809f36fdd87751fc10898b44a9,blobdance citto dance blobdance citto dance blobdance citto dance blobdance citto dance blobdance citto dance blobdance citto dance 
647.0,ddc2124cf6385bd4ecd0d6aa0de29f720662e45c,citto 
651.0,c42363f0592b83e3b48dd961761a2e237e42d884,hi 1d00ea97a1d2d597ec4bf8c69c01b032462c0bad hope you're doing well today heyguys twitchunity 
653.0,6f2306191d07abb9be8e451ce7aa8f60fd724e1f,bot 
658.0,4c31266da03ab7d29dc80a237537c03694799191,hello:grinning_face: 
659.0,561bebac53a4b79d82394e5bf717a2533308b511,9059ed151022387c51cafd28178e9667f0a7acdc it's all requested from the viewers 
660.0,febbe69bb5661c224af6666334611adce30892be,ddc2124cf6385bd4ecd0d6aa0de29f720662e45c ya está drunk y dice cosas chistosas lul lul 
662.0,3eb1b21038718050720af55a7d46e463dffb4718,lets go doi club 
675.0,ec1a1cbabbc4e8239b610538a6d681ef16ff494a,describe smell 
691.0,0e871f430325bb37aaadd3e45a0272a4b739c5c7,1 more squadd 
693.0,febbe69bb5661c224af6666334611adce30892be,uptime 
696.0,3eb1b21038718050720af55a7d46e463dffb4718,damn it smell so bad 
707.0,f1dbde09baf462c94630c010d6b7b39515dd912f,how many drinks in 
720.0,0e871f430325bb37aaadd3e45a0272a4b739c5c7,lul teamate 
724.0,1e7a47fd030aa8d2ff35497189b95dbc323a97a9,voteskip 
725.0,3eb1b21038718050720af55a7d46e463dffb4718,lol pippen 
745.0,561bebac53a4b79d82394e5bf717a2533308b511,how did he die 
751.0,9c779e29184c81ce0a5cb24b251dc85a8eb644bc,teufn teufn teufn teufn teufn 
752.0,febbe69bb5661c224af6666334611adce30892be,lul 
756.0,9bb4bc8abe064939794411dc293f86818f22da72,worst teammate smh 
757.0,febbe69bb5661c224af6666334611adce30892be,rob 
758.0,ddc2124cf6385bd4ecd0d6aa0de29f720662e45c,lul yoinked 
762.0,6f2306191d07abb9be8e451ce7aa8f60fd724e1f,zero grappling progress 
766.0,3bcdf69285799f006e2c6260c027dd75fc3ebd67,hello who want to play apex now <3 
768.0,2be4759508b578ff20eac107b2bf12729a363d87,my test said i am european 
769.0,d53b974ade7b8ec236d7966bf2eea8a8803788a0,porfavor 1d00ea97a1d2d597ec4bf8c69c01b032462c0bad sígueme en instagram me llamo jorgemarinsaucedo 
772.0,3eb1b21038718050720af55a7d46e463dffb4718,she yoink crownic yet again 
772.0,982ceb21cb9bdd2fbf193326500336d31df27648,nice duds 
