Time,User,Message
0.0,20b1e70b135c988ef520a3133c3fb4d505dbbde8,do you clean your mousepad often 
0.0,225c46896405428273db0df757c5e9b50d12bc57,you have some color filter 
3.0,c7efa3a8f719548fdfac07dfb5706a22e01ed3d5,i feel like a buttcheek on a stick 
4.0,9cdf9a41e1badf698b378e299b768230fdcbf526,miistyuwu 
9.0,ff3223644bc649c1d77cb51839e19bf7bcc5f9ff,cmonbruh 
10.0,c7efa3a8f719548fdfac07dfb5706a22e01ed3d5,20b1e70b135c988ef520a3133c3fb4d505dbbde8 no 
13.0,2fc425005870322c5e782faaf6af27099394abee,mad 
15.0,2fc425005870322c5e782faaf6af27099394abee,hurt 
18.0,2fc425005870322c5e782faaf6af27099394abee,hoes mad 
21.0,2fc425005870322c5e782faaf6af27099394abee,steak gang 
22.0,00b91bb244b3c66af2721eae79d87486cad5e708,retardi alert 
22.0,32b5f7ea9b538baf0115462c61647e8061aa9304,holy fuck godly are you really 17 
23.0,c7efa3a8f719548fdfac07dfb5706a22e01ed3d5,hoes mad 
23.0,68fdbbc8a51792967f622c1ad5e1ebb088fbb2d0,heh 
26.0,ce79afadfd0d3e3cb545793d44de97334fa8b89b,brown rice definitely 
34.0,ce79afadfd0d3e3cb545793d44de97334fa8b89b,yknow what i change my mind steak gang 
39.0,c7efa3a8f719548fdfac07dfb5706a22e01ed3d5,omg i thought he was 54??? lol he's 17 poggers?!?!?!? 
43.0,368eb850f506512df123c65977506c9a9cbba963,grip 
45.0,467304778d616502b39457d881ffafb15bb9e834,do you use two pc to stream 
46.0,68fdbbc8a51792967f622c1ad5e1ebb088fbb2d0,32b5f7ea9b538baf0115462c61647e8061aa9304 it must be a lie lul 
47.0,ce79afadfd0d3e3cb545793d44de97334fa8b89b,pogchamp 
48.0,c7efa3a8f719548fdfac07dfb5706a22e01ed3d5,his voice so deep 
51.0,32b5f7ea9b538baf0115462c61647e8061aa9304,white 
51.0,fdd2fdbac2887ae87f06abe7ea45ec1a7e435a71,mock 
51.0,0050c9224fce486b89111dc0b477fef9fad3bd8b,white 
51.0,28c8eef1f3341c765c3567b39028f2ccd65e9f75,brown 
53.0,7a671ccabc0604427ef243fe02569ddd337f1bcf,white 
