Time,User,Message
0.0,76a55d6121b0764eaade6603c324cdea4f49ffce,deets = capebois 
0.0,8cda9e2b7cf925692b4b3ca2ca6c84b3b948ff23,doots 
2.0,670d332c897facb64573eccb34c1ccc5a1e5062c,ed2226be3d77655cb7b9dbc99508304582fc25d4 you sir are a patch zerg 
2.0,0ce16b832b4373e2dc8d8a52dbe914d9c301491a,hit me with the deets 
2.0,accce4d6c182a709546339bd23db3f92bbf2c88c,deets 
3.0,8c90835c3257e05a9f76a57195c8c48bd841308a,boop 
4.0,21de304c51cac76b1f05e8e4d22d00bea9fd4ede,lydia deetz 
4.0,0a423de25280f42fcf24dfa6f939a54e38bc4b75,so is serral going to balance whine like the rest of twitch chat do 
4.0,17cd20dade72c8ab916e7aaef0829b1c98f7d1af,what about mondos 
5.0,34537025626d40fa39e5348720e30be7d3beec44,don't like the dt play here 
5.0,50e59a8ffba15e2306b33480a13bece921534544,wutface 
8.0,098d10db95c792be58e9c7a0a5b4df24085a116f,8663585ea07ad1bd5df19db285c4f9c3ab1fa640 lirikme 
11.0,6acc4cc8a77980358b133e4fadc6bef8053aac2f,gdbobby still makin em <3 
12.0,44acb1ef41ebc04e5a0693f6bf5e563d259156d2,0816486b780b828423f9e29d1bac8423a4b744e1 i don't remember lol 
13.0,2ba4e018fb4755c6f4a1b22d4e8ac282e97993ff,feelsgoodman :wine_glass: 
13.0,d890446f50193dfd8a88d5daf72c310c1c55cea2,toekneefeels capri suns and tendies toekneefeels toekneefeels capri suns and tendies toekneefeels toekneefeels capri suns and tendies toekneefeels toekneefeels capri suns and tendies toekneefeels toekneefeels capri suns and tendies toekneefeels 
15.0,5fde3d129c3fc079203b09d20c94cfaa0b699ab4,3방향 ㄷㄷ 
15.0,97c0e9fe3606543d9b8208292a6b73805eace639,deets kaitscare 
17.0,db3828943e7a82899c5004210d49e7fd09e61bc4,와 머트~ 
17.0,95f742eec70babed5a7d6ffe5220305049ec761c,for all the trash talk idra was actually pretty good 
17.0,8663585ea07ad1bd5df19db285c4f9c3ab1fa640,bloer lirikme 7 
19.0,7f3ba36091f1ba1ea57a77d99859047775cc93eb,i loved caprisun when i was a kid 
20.0,3c3c8324a9ecc09d9868c5d6539d3d77336871d7,deet biblethump 
22.0,f4036160046384888b01e61241f9c618d9c90670,zergrushalot calling someone a patch x that has been winning for about 2 years is beyond stupid 
23.0,15e1160c0b8dc17c8f18d5d996b2dd05539365c6,holla pog 
24.0,8cda9e2b7cf925692b4b3ca2ca6c84b3b948ff23,ayyy stinkycheese 
25.0,a6c54c4144f56aee710afeeed0e73e078db07878,the deets pogchamp 
25.0,7b0f8f4d8378603e91101a83416573f8bc4b1452,670d332c897facb64573eccb34c1ccc5a1e5062c u sir are a patch whiner 
