Time,User,Message
0.0,813910775c9779ba652ab20d6afd2f4b1fd4460b,still calling it mono blue ; 
9.0,20f84f86d60e426d071054137bdf7d30cb94ede9,to be fair we forced izzet and the bots were like nah you can have it have fun 
30.0,9d9f2e28421ec1e143cc2d152f896861214f5ac0,daynou 
36.0,1c043e5f466e89cccb10fc734a86e484d09a5e33,66c67dac525febf91f1abeaebeafb42fd70f2641 things like: do employees feel like they have input if they allow me to talk to employees during the interview process without management how vacation time is handled work from home policies how many layers of management their are less is better things like that 
86.0,1c043e5f466e89cccb10fc734a86e484d09a5e33,66c67dac525febf91f1abeaebeafb42fd70f2641 i've worked for 10 person companies and mega companies i prefer companies in the 50-200 range generally 
88.0,848f8480e7a67fac4514151203cdf0cb24b11328,1c043e5f466e89cccb10fc734a86e484d09a5e33 man a place that cares about stuff like that sounds like a cool place to work my dude 
104.0,d8a984ea296b092d796d594bcfe1d948a2912e26,you hate to see that 
107.0,1c043e5f466e89cccb10fc734a86e484d09a5e33,848f8480e7a67fac4514151203cdf0cb24b11328 they exist 
111.0,9ee2c7947b0d89803cc2ac70d4935533741fe535,im good day9 i hope you're good 
146.0,9ee2c7947b0d89803cc2ac70d4935533741fe535,im playin cube world which finally came out after 8 years 
146.0,8813b6d84bd85a41aa9d05f35c5439662297c877,the bird is like hey your eyes are gone hey are you okay caw 
151.0,7b19439cd58e0e84bbefb84ed402ab984b100425,what have i missed 
153.0,848f8480e7a67fac4514151203cdf0cb24b11328,1c043e5f466e89cccb10fc734a86e484d09a5e33 im sure they do somewhere lol 
165.0,9d9f2e28421ec1e143cc2d152f896861214f5ac0,plan b: mill your opp xd 
206.0,f83e6fab5da9c26d3abc32a62a76b4f83d28f08e,does the overlay only support some of teh cards now 
222.0,f9d20189f4c6db921da9eae4bef75963bc1ef6ce,monkas 
228.0,e5e53a55ebd89fa9e51db3e2f7d7e58997f5bdd9,that animation 
231.0,7b19439cd58e0e84bbefb84ed402ab984b100425,what is monkas 
232.0,d59d6388216732f9be5d5248d9eba857a6796c03,what in the goddamn 
237.0,848f8480e7a67fac4514151203cdf0cb24b11328,i have never seen that card animation that was fucking awesome 
247.0,03dcb121d9ae3ead1b00cda6e3e51a4a1956a00a,omg i have the stream on my 2nd monitor and that hand out of the corner of my eye almost gave me a heart attack 
256.0,1fd6f15d75b3c9d846c94e9f2a3034ef49db3e88,f83e6fab5da9c26d3abc32a62a76b4f83d28f08e seems to only support non adventure cards 
272.0,a492bf58c5d6678da3e92407b8141ecc1b113f0d,gives you like blockers i guess 
284.0,f83e6fab5da9c26d3abc32a62a76b4f83d28f08e,1fd6f15d75b3c9d846c94e9f2a3034ef49db3e88 ahh interesting thanks 
