Time,User,Message
0.0,3380c7fdf654fcba36a7c21a5d91a122ee367b92,7e51a64782206ce3974faedd2a634303fb7a047c yeah exactly would be better if they just give us free packs or easier to get good players but ea are twats 
5.0,391279686e5557ac454ed4dde61842dc7d4db2f1,dont like hummus dansgame 
6.0,4e4d588e5fb12e06a411b1b18e0e7330036cd9e2,asda pf23creep 
10.0,82def3095bc9687edb07d1368033c8becad07769,up the spa 
16.0,82def3095bc9687edb07d1368033c8becad07769,spar 
16.0,125567ce049c7e27cf35ffb98f40f139361c3bab,hey 10133ba67bdb75c63ffd99a281770e18f9c7629c 
20.0,d75f118089320892ed8e31ae1a3029e87196b4a2,i don't like bacon 
21.0,d3bebb8f56e0253b71eb8e04e4414439dc3c1580,i've had waffles slimming pork belly rib stir fry and tuna pasta haha 1fe911930dacf445a3ed61293a8c9369a2525534 
21.0,6e654b1171f34021ca0bd5025faee3d05812b3cd,10133ba67bdb75c63ffd99a281770e18f9c7629c hummus wutface wutface wutface wutface 
30.0,5b60539082fd4348a1ea0710ee1f2fd321db0e76,show us ur team 
31.0,d6dadffba5271614510a297457f1fe107165598f,£2 breakfast meal in greggs early morning the way forwards 
33.0,125567ce049c7e27cf35ffb98f40f139361c3bab,hey 0ddaf91a7222537c24430c6ce229e2ff6c09214f d3bebb8f56e0253b71eb8e04e4414439dc3c1580 
35.0,1c271cac7c2becc0fa348777d6f6bcac95d77c4c,10133ba67bdb75c63ffd99a281770e18f9c7629c did u liked 94 neymar 
35.0,10133ba67bdb75c63ffd99a281770e18f9c7629c,hey 125567ce049c7e27cf35ffb98f40f139361c3bab 
36.0,391279686e5557ac454ed4dde61842dc7d4db2f1,aldi is such a shit shop atleast here in denmark 
37.0,3380c7fdf654fcba36a7c21a5d91a122ee367b92,3106e0a77bdf58c0c4056f27ca48f2074cb9c882 any holes a goal 
38.0,eb73110408801890d4e7e481f1a976497ff4e13d,chilll chat chilllll 
44.0,10133ba67bdb75c63ffd99a281770e18f9c7629c,yeah 1c271cac7c2becc0fa348777d6f6bcac95d77c4c 
46.0,125567ce049c7e27cf35ffb98f40f139361c3bab,10133ba67bdb75c63ffd99a281770e18f9c7629c hows it going 
47.0,d3bebb8f56e0253b71eb8e04e4414439dc3c1580,125567ce049c7e27cf35ffb98f40f139361c3bab yo pal 
49.0,ac564b8c13ce1c6f8732cade957e788b564f89c1,try the turkey rashers low fat option there okay 
53.0,125567ce049c7e27cf35ffb98f40f139361c3bab,hows d3bebb8f56e0253b71eb8e04e4414439dc3c1580 
60.0,231fbf407b1e2c69fea25263c8898a704f91b737,love greggs steak bake :clapping_hands: :clapping_hands: 
60.0,a01d6509dd27078b75afcfe6b980de75c61afc21,aldi is dying in u s or at least where i live 
61.0,21dea2902e82117ac5cc9813944458629d199d41,twerkliam twerkliam twerkliam 
62.0,e6e2c5f25b03cdac51284103158520ece8d07563,never thought id hear someone shit themselves on a stream but here we are 
66.0,8e371f53a3a922dba3fff33c34d1a3320bab9b6c,bacon is haram 
66.0,3106e0a77bdf58c0c4056f27ca48f2074cb9c882,3380c7fdf654fcba36a7c21a5d91a122ee367b92 don't knock until you try it 
67.0,82def3095bc9687edb07d1368033c8becad07769,deffo a nonce who don't like bacon 
67.0,10133ba67bdb75c63ffd99a281770e18f9c7629c,grinding bronzes 125567ce049c7e27cf35ffb98f40f139361c3bab xd 
70.0,52682a6e55f3bc919084cfe2257fd40b27bda494,lul 
74.0,6e654b1171f34021ca0bd5025faee3d05812b3cd,how can u not like bacon 
75.0,d3bebb8f56e0253b71eb8e04e4414439dc3c1580,125567ce049c7e27cf35ffb98f40f139361c3bab knackered playing squad battles wbu haha 
76.0,6532fc15c9d1029e4f1f6700cb28aa82b7608382,i feel like aldis in the uk must be substantially better than the one i have here in the us 
82.0,52682a6e55f3bc919084cfe2257fd40b27bda494,his heart isn't beating 
84.0,25f452dda4e636fe881b628af8dd22b5684606a9,10133ba67bdb75c63ffd99a281770e18f9c7629c pf23creep capgunhat 
88.0,a0ccd423b73395f31d6a4f790cbfa00764b72601,bacon is quality 
