Time,User,Message
0.0,33d0324196bbec26bd149f576443608dc940d6de,you can script on the main one 
2.0,021c3657465383632af2bafed8d0786f131cf161,uea chane gravity 
4.0,bd34b7aa456cfb62d31d2b95ed05a0ecc5eebb59,its public now 
4.0,7cf3f887f3504ffdb4ab670dea5070fe00ee02a5,ohmy god 
5.0,1487d0b6cce05959186f6d732e272df4246bc7f4,low grav 
5.0,2b10fda31bde2049462b43f0b8929bc790576d64,its live not ptr 
5.0,21b5251446a0a75c5b3811278c9f441cc22554e4,do torb 
6.0,afdda844145f1573fd743637228cad8a2f09c927,i'm gonna yee my haw to the old town road 
6.0,3621dbcc65addb07a14f44e39d468cb022c7a0f9,scratch lul 
10.0,19a2331aba86c0873e5479e8b8ba5d0f96dedf02,all mercy 
13.0,1ab63228f6627860084fca77328dd0f0d0575ca1,its hiiiigh noon 
13.0,c7877ae9555ad9d1439130cb7eb18313c4b5e773,i wonder if it's high noon 
13.0,4b0c12e1fbb327e7d3d28b7c2813463df4597a26,just start rolling 
14.0,7cf3f887f3504ffdb4ab670dea5070fe00ee02a5,this is amazing 
15.0,6700a805a426d21cff00b446c3d2fc909bd76832,it's in the main game now 
16.0,4fa9659b721388d9ed722c39da7bcb3ee5f50dd4,this will be horrible 1febd613203bee168bcecd16883c506898aea836 
17.0,641a2deadee453b9acf1e82c123b177539821a3a,scripting is available on live 
17.0,35adecc385ce1d3fce0608ef1931c6dc53f31445,lul 
18.0,08fd031158b63e815c9caa696793b2de7dd8eb47,kappahd 
20.0,898223a9f3375fb6c136b261289e5977fed7d61e,i'm gonna try listening to the stream while driving this should go well 
20.0,327ca40d4ca667dad7bd1a7652282ca3a40aed80,it's a rollout 
20.0,b93aaa1b9d1b6b5bb9b86368dc395f854f1ac91e,you can use it in the live servers actually it's the workshop option in the menu 
21.0,38db2ceecb42858cfef8e1cb93694a631cb05b4c,rolling in the 90's 
21.0,c040c48acef941a6081c2d9f03498a90c4ef5927,autobots roll out 
21.0,613f130567e1a59fe92096c4624e2414fed6dadd,um is the screen frozen for anyone else 
23.0,9b99b3fff0861f0e87c570fd79889c6c26a64d74,lets go 
23.0,45bc3088ffd3a86b2cf11684b89e99e4b943e33a,lul lul lul 
23.0,978df43aa0046be286a69c90b9236ea416acc841,lul 
24.0,6869c5081865e953c232b33f5a44adf60f4c49f3,red dead 3 looks great 
25.0,47b777a5897103e3577545600e3810bc3f62120f,scratch i still use that lmao 
26.0,a262cfaaad3a64b4adc7a33798d7a32b8f8b4d05,what time is it 
26.0,34876ce30c8f04f9a769a803dd74d777bbcdf9d3,they see me r o l l i n g 
26.0,f37af4b80689987002c00454d342fc4f47383c04,you have yeed your last haw now it's time to die 
27.0,c7e808caacc2e912776a1db777d2748f1e5de622,workshop is online 
28.0,d84dc84236b8cd637cae4d40324fb1c6613b5332,rollerwatch 
29.0,6dd98e873e8c9aa565c8c086dd60bf3f6ff83d4e,oh no 
29.0,e2786f668bf14fcbe19a977f879ef82a5c059876,1febd613203bee168bcecd16883c506898aea836 the ult is still 6 seconds 
31.0,e5e84076c924c4d35f467113e6a0ac5f5b4f9b8d,no ult 
31.0,6274638ab01890c0f9cb9566409b44a4f6b64c63,tumble weeds 
33.0,0ac5a76219e910fe69991edf2e3ff67cbad9232a,o h n o 
33.0,021c3657465383632af2bafed8d0786f131cf161,they see me roling rt took my idea 
34.0,16888246b8e31de6bf70d5c5d75db5255cb7e9b6,billy ray cyrus quaking 
34.0,f4794b86fd7f482cc6d2497f9f0ec509abed1cab,chaotic neutral 
35.0,98c782f6d3ef4871caa51a997148b6384a6ed5f4,workshops already there 
36.0,d335d63114d67ccbab96cc3a06188bcd1b6ff99c,workshop is literally poor man's scripting/scratch 
37.0,8f0d79dfbdf071bdcf460ac98560f1fc79edc5a7,they see me rollin they yeehaw'n 
37.0,d7bbc19874efebd790111ff00f72db5021aab97d,this seems like fun but gets old quick 
37.0,96cae5bfd78091d32c4635825dee44e4046208e7,roll toll game 
38.0,dcc276e240a24b61b3dd436fdc142c29dafaebdd,its looooow 6:30 
38.0,24fa4d574c97bdd0e0271dbf4b8cf289fb944e5c,déjàvu 
38.0,35adecc385ce1d3fce0608ef1931c6dc53f31445,this is how jeff wanted this game to be played 
38.0,1899b12db31f477b6bcb27559526754e351bd020,i love this game 
39.0,fb991cc31142e3e13d5183ac1a2ea3ab3012a458,omg hahah 
40.0,38db2ceecb42858cfef8e1cb93694a631cb05b4c,autobots rolout 
40.0,483327db839fde7d3ad7544b148188cd701e18c7,we dark souls 3 now boys 
41.0,943e0e402533920dbeb831f301aa85151042bf55,i see them rollin i'm hatin 
47.0,d335d63114d67ccbab96cc3a06188bcd1b6ff99c,nothing like an actual scripting language 
47.0,dd681d43b94638cab0478fa1b00db8bd1dc6c4a7,lul 
47.0,c7e808caacc2e912776a1db777d2748f1e5de622,lul 
48.0,522c971ac2d884f8ec9a231d09e37962dc2569a2,lmao 
49.0,0095c66ed9c20a5cfb8b09d25af804743a5b7876,massacre 
50.0,fb991cc31142e3e13d5183ac1a2ea3ab3012a458,wrecked 
50.0,35adecc385ce1d3fce0608ef1931c6dc53f31445,lul 
50.0,e5e84076c924c4d35f467113e6a0ac5f5b4f9b8d,do infinite ammo too 
51.0,45bc3088ffd3a86b2cf11684b89e99e4b943e33a,lul lul this is amazing 
51.0,963ec5321b2b6300e826189cecdf091c3fc58ad0,:0 
52.0,f7ae395066e95abfd33ffbdfc3f42a13dfc949b9,lul 
52.0,4fa9659b721388d9ed722c39da7bcb3ee5f50dd4,#he#y# 
52.0,7cf3f887f3504ffdb4ab670dea5070fe00ee02a5,oh my god thank you daniel <3 
53.0,34876ce30c8f04f9a769a803dd74d777bbcdf9d3,lul 
53.0,ebd7463c4dcddfd1eae58311bc94a00221623736,f 
54.0,08fd031158b63e815c9caa696793b2de7dd8eb47,lul 
54.0,875621b09ebbffc84a7defed8a36b3077db41451,lul 
54.0,6e59b19d75552afd32b3bff692a3cb00917966a9,we need garlic 
55.0,5bef50240ab4e9d2795611cadc5e9658a00851b0,rtgamelul 
55.0,96cae5bfd78091d32c4635825dee44e4046208e7,oof 
56.0,30440c6adf2edc3e1489556eb81ab0e473844d00,lmaooo 
