Time,User,Message
0.0,c9dbaddfaaa903c062948209ddacdb10eda8a4b3,201dbe3cc9ea39f4033bb8110bc4581bb8fd99c9 i think khunter might be good after buffs 
6.0,c5b0b6ef58312459f3b1cd2404f333858bfb8ac6,gg 
11.0,aff4c9f470e329d75a47c925115467baf77cb2e4,why do you let him just feed on your minions without even getting value 
17.0,23ad97913b96870e5c473a883d6170dd14dc2087,201dbe3cc9ea39f4033bb8110bc4581bb8fd99c9 stop streaming and start practicing 
19.0,c87faef773390367c6e2b87f949ac67ede87bdb5,what a greedy ass hunter lol 
20.0,55b0e6320c04e22d93f82710d531ed922f65b81f,usually u play really well this game was the opposite worst plays possible 
20.0,9db878f801d5cac4f8261d1ae462fe615064e2c8,shirvallah lulw u dont need practice for that deck its free 
22.0,3c68de0d1a011032ee836c65b980a57e73e45293,gm 
23.0,a54de0c328c1e2180736aeb93b7d4d1b9e1cb511,i'm not sure why he didn't kill the shaw 
26.0,babe9c07c9e300cb820a2cea70911136892a833d,scrim against chat 201dbe3cc9ea39f4033bb8110bc4581bb8fd99c9 
32.0,891e96c870c2c43201dddf325aacbfb8d5c13482,con ce de 
47.0,2c1fdb77be27644324ffcc0e020128695c7bf4c5,pog hahaa pog hahaa pog hahaa pog hahaa 
49.0,90f79da30a771e2fde823bf045f5aedd0fe65f6c,play nerf rogue 
58.0,f5ab5299974c184f96aa4efdee3279eb92a4e006,201dbe3cc9ea39f4033bb8110bc4581bb8fd99c9 i will practice with you :) 
61.0,82b2e7e975edea63a9a5cc86944508c50f53c56b,how do you play against yourself 2 accounts 
71.0,be8158376ac1e04744375b2e282a78c9e3edc55c,did hunterace bring lucentbark 
74.0,950588e8806c78eb93e49e8bacfea6b81ef80833,rank 1 legend today you should start winning then :) 
80.0,ea82ae7d58798ff599b33989910f692a81462269,can you stream playing with yourself kappapride 
83.0,d4e9c4c694af4a4a7d65706e68764fc036b68817,lul 
84.0,ebfaa231662ce675d4f3860e1892978cc41795cc,were you expecting a beast hunteri until the turn he played the mech dragon 201dbe3cc9ea39f4033bb8110bc4581bb8fd99c9 or had he played a mech before 
86.0,89ff0719320058b70cd438946543265b4ae65ee0,order lul 
88.0,26ffeffc2346480cb558e8af8d2de9f6bfede7f5,order kappa 
89.0,f25dbaedd2518e3b221fba739433f86743fb4cb2,wesmart 
90.0,1e5ace72f08d56ef1b08020fb148982334683093,hunter best play on ladder 
92.0,891e96c870c2c43201dddf325aacbfb8d5c13482,order hehhehe 
92.0,c87faef773390367c6e2b87f949ac67ede87bdb5,panic 
95.0,3c68de0d1a011032ee836c65b980a57e73e45293,how do you feel about match vs shirvallah 201dbe3cc9ea39f4033bb8110bc4581bb8fd99c9 
95.0,4c5267a334a06e1dc850d7406f6a08aa1ff3cbd9,playing against yourself is good practice i'm an expert in playing myself kappa 
95.0,4862a97c993165143c8105e6031b0adb3fc7a593,oh god 
95.0,792e29ae25d53281e9f8e0625a8f9a1809154237,bottom right 
101.0,1f5fe99d8f3aae053079c793ad96e39a42c624ca,order minglee 
104.0,3e546ea081b48e449757dd6f1c5a6b4f6146a176,panicbasket wutface panicbasket 
104.0,fa834991c85e2ecd266fd0c304465ff6288a68f1,at least you killed shaw 5 turns ago when you had the chance 
107.0,1bd99a2f42fd50c6bd6aa3fb178aa5f97ef1e1ab,shaw still on board lul 
107.0,73c9e8664b09e189cffc2d88a3127d36380a4e84,shaw recked you 
110.0,fc61ccd0c557579d0db026608d921065522dd260,1h hour ago only bad mages loose to hunter 
118.0,fc61ccd0c557579d0db026608d921065522dd260,pepehands 
121.0,a54de0c328c1e2180736aeb93b7d4d1b9e1cb511,mech hunter will be super op after buffs 
121.0,fc8a621a56ef316b5eb556e0377162fc5d240320,elendil/aragorn 
124.0,ebfaa231662ce675d4f3860e1892978cc41795cc,i legit think he didnt expect mechs 
130.0,a54de0c328c1e2180736aeb93b7d4d1b9e1cb511,or deathrattle hunter rather 
131.0,1a844adabfadfb4eef9974a9ffbf5af543bfaeea,1h hour ago only bad mages loose to hunter clap 
134.0,e5f00f9e283bb1180ff486900778ca90d0e259aa,bottom right buddey yooo sobayed 
136.0,1a844adabfadfb4eef9974a9ffbf5af543bfaeea,1h hour ago only bad mages loose to hunter 
138.0,1a844adabfadfb4eef9974a9ffbf5af543bfaeea,:) 
138.0,9db878f801d5cac4f8261d1ae462fe615064e2c8,why buff same one 
140.0,89ff0719320058b70cd438946543265b4ae65ee0,do you ever only plya 1 banana so you can get a frost nova 
143.0,86e0f826c2bd428a69cd5aa80ea747b5090ca36d,buff zilliax there instead 
145.0,9db878f801d5cac4f8261d1ae462fe615064e2c8,now he can get 7 7 
146.0,950588e8806c78eb93e49e8bacfea6b81ef80833,pepelaugh concede 
160.0,1a844adabfadfb4eef9974a9ffbf5af543bfaeea,kapp 
162.0,34106520ba34226ceaa5b785d925e05f8c401656,sure kappa 
163.0,fdef61eaaf860a521731f7113b221081c635f677,deck 
