Time,User,Message
0.0,4a12f0ca62e87df7e5eb966be8295165201da170,pepega dafran pepega 
9.0,4bcbf4e2eb0210e99cdb4dcf0ec0ca5a2a625cf3,dafran lul 
14.0,227b466c83e1ede56b4cfa94ea224c67b22bd9b5,201e70f3b8d29ded34fba923c67cfa2a4409f568 so is brigs known as the no fun allowed police now 
15.0,e43f0ad96a39a66687af73477516c54d409fa783,#throw4dafran 
18.0,3fca989514c9fc2938fa7e6975e758e4b6e9bb57,do you still get damage reduction if you use vape while antied 
21.0,d98d3435c9b8bafa6538d954744504e6d048056e,dafranpepega fafran dafranpepega 
36.0,f884d457b725e24013b3802fe5a37c3f94877649,f 
39.0,9b414392cb0144270359431e736bb7026147c3e5,yes 
39.0,6bf359b26d9e6c45f30313da148a95fe984bef1f,f 
39.0,201e70f3b8d29ded34fba923c67cfa2a4409f568,hello 
39.0,b5d9ddb5661025a76caeb467ca84005c6aafba8b,f 
39.0,73e2fc23559c0f5abc057c235186a6410f60843c,f 
40.0,b6a22a98f0042b1127e87f6a8fecc9f54497499f,d: d: d: 
40.0,1ef72f0f43278ade35e09596e0f3e02640963c59,f 
40.0,3e986edaadea02c81530b84dabb7ed418edeb348,f 
41.0,a30780dca488b0d2cdff8a627f8f2ead27b78916,f 
41.0,1b04bc3aa0df0f43daa1ae7fe9378dc1e2e13559,f 
41.0,3613e085a875eddd62917e083d2abff48f5b73a4,f 
41.0,88380020cbe9f3b7774ea931ab78224bcf067853,monkagun 
41.0,51fd93df6b5b065ab5ab3dfccb68bf55debd889a,f 
42.0,c43378368aba9ffa72c296bc4f5f94d6855dc726,f 
42.0,c6d68fe30ba8a5f28df971e6b451a245dd226e6d,monkas 
42.0,738cb07182a751645bddbb46af68330e2f3d3100,monkaw 
42.0,4bcbf4e2eb0210e99cdb4dcf0ec0ca5a2a625cf3,f 
42.0,406f29bba7f37cf7b46da786df0772d66f549893,wutfa 
42.0,7f9e79ab550c41c79804bc36e34bf8fd36073479,yea 
42.0,d8755b4772370b45897c2607b91f92486f04d462,f 
42.0,666fb3131da77181bb01f86ebcbcd110c810437a,f 
43.0,a6be56dd684c2c76a8ff173b971ed19f28e8cf36,f 
43.0,4a12f0ca62e87df7e5eb966be8295165201da170,yep 
43.0,f708a701764e9ff18d801b7b47d87e3def746710,yes 
43.0,68041fdd5c8f175b6a0f4ad6fd7ec92ea8fbbebb,uhhhhh 
43.0,b9d4bb67ed7ad4e97bd3764e9f042647acb8237b,f 
43.0,815c15c99e4e8c57b487e4f7ca7e1a12557bf092,yes 
