Time,User,Message
0.0,6636fe3f225ffda842635803e3934e209d95ad4c,tim watch for the cliff 
1.0,f9b6ae14b187a9ca151c9815811180c4c863cce3,who's ready to fly on a zipline :) 
1.0,655f5c45adba271809230862a15e19d8bb682e55,pepehands peephands 
1.0,c00b6134d4dfead9935a1e3417516c384f19a90a,are the overtime challenges out 
2.0,0d6c64714568a8d02fd40bb0fb0d73ee9daef9a1,extrablit 
2.0,be673a86f80e9e73f4b53d6896ef6923b197778b,spank 
2.0,7df971bcf1df42a38b9f85c9d9c000411d376126,hit 
2.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,action spanks hellboy94 1887 times gachigasm hyperclap 
2.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,7df971bcf1df42a38b9f85c9d9c000411d376126 tim has hit kevin 6392 times tatkkevin 
2.0,68c50538a27ff8cdbff5a9bf5dd1858e31311303,uptime 
2.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,68c50538a27ff8cdbff5a9bf5dd1858e31311303 timthetatman has been live for 2 hours and 41 minutes 
3.0,f7495fda31141057ea472594bb5d6eb2f23f6792,what is that pickaxe looks like a shepherds staff 
3.0,d25e5b954d3951914c24cc7658f0f18366af5351,are you good at any game 205489babdcdb0680985e22c1d22001973603a84 lol 
4.0,633069903f4af616f4e265bbfc58db43224bd5f9,who's ready to fly on a zipline trihard 
4.0,0634aea11487130b193485db318ee544aa9ad368,go tim 
5.0,458cd9cf1d5ca3699388c51015ec7802187e263b,whose ready to fly on a zipline pepega 
7.0,9f8d354340299c02349fb360fbb8d07c09a6349e,hit 
7.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,9f8d354340299c02349fb360fbb8d07c09a6349e tim has hit kevin 6393 times pepehands 
9.0,5c0169b5dcfd3eed4eb3e856c02330b86187ae51,pepegaphone 
10.0,1da679d16dd37189e5d5767849726cbc522afe95,sup 
11.0,0870a6560cb9c3aa3325bc397352b0b254ee0035,cliff 
11.0,2083784be05f8d5ed85d3d97474e347f77bf5842,https://www twitch tv/phlx_cosmic 
11.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,phlx_cosmic if you want to link something please ask a mod to permit you [warning] 
12.0,0634aea11487130b193485db318ee544aa9ad368,hi 
12.0,418996b847ccca1d440fc9f3da1c0b4a74c9c213,where is ninja at 
14.0,db3367a9474364c19390b91c83460c678cb7d847,the event is going to be on saturday at 3:00 pm 
14.0,0ac444ebdbe15faa8ff8e90cf4db928a598b0b37,we dont sound like that 
15.0,0d6c64714568a8d02fd40bb0fb0d73ee9daef9a1,mods should gtfo 
15.0,f5d587a3a4d08335f545d053531f9dafbd6e2fe5,pet 
15.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,tatkkevin has been pet 82267 times thanks brother tatkkevin 
16.0,f51659d1ba132f3219ebaec63181d7b0cb62e031,hii 
17.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,check out bld by nzxt the simplest way to get a customized gaming pc choose the games you want to play set a budget and bld takes care of the rest built and shipped within 48 hours with a 2-year warranty https://nzxt co/timthe_tatman 
19.0,3e160d6c4c3780e378cb30fab95fa6e2de3b3488,go to 22c2abfa511249383d175eb7a89d15673f77acbd insta to watch the sym clip 
19.0,0d6c64714568a8d02fd40bb0fb0d73ee9daef9a1,honestly 
21.0,781bdd6986f34980a3dec0fcb72870d278310983,dr lupo is the goat tim is a toe 
22.0,4d96b1e54beb6a12695b8e3f199a268a82ac13b9,lupo is just jealous of how intimidating symfuhny is jupo is about intimidating as big chungus 
22.0,30515501803ddc6b54eab3afd9de01256d3e60d6,i am :) 
22.0,68c50538a27ff8cdbff5a9bf5dd1858e31311303,pc 
22.0,0d6c64714568a8d02fd40bb0fb0d73ee9daef9a1,jkjk 
23.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,timthetatman's pc from bld by nzxt - https://nzxt co/timthe_tatman 
24.0,4f4494b036ed30094496e7d7957483cb67f6803c,spank 
25.0,b36ef388ef779b997521beed183a7d99f73a13f7,pogyou 
25.0,5358f625cd035952336744593dc45b80e629ce03,i am :) 
26.0,d265a8c14c86f3a82a61156abe96f71031d98521,i am :) 
26.0,1bfb53c4ce0dcf394ec26e0a8b87660ad4d2b499,205489babdcdb0680985e22c1d22001973603a84 sym would have punched his monitor then tried to play off the fact that he broke his hand:face_with_tears_of_joy: 
26.0,021cf3a7ec320a9b342006abcdcd503a76279ca1,tim 
26.0,4c085858bbba7b2be774bc992fa3fe896638b03e,hey tim i was the cliff monkaw 
29.0,231b744401718ee3578f5d65f7457298437cae91,apex pepehands 
29.0,e4f47dbc357b5f7832b009d12f025061b29a0a8c,who else thinks sym is probably short irl lol 
30.0,0634aea11487130b193485db318ee544aa9ad368,bloodtrail bloodtrail bloodtrail bloodtrail bloodtrail bloodtrail bloodtrail bloodtrail bloodtrail 
33.0,9f97142d43acbd57d55c0f9df5a5c9388aab31a1,1 
34.0,30d1688ee17e6b472ba26a18f855f9e8c705d5bf,you need redeployer 
36.0,7566d638395e0b995e2ec085e5f3a47f5f040fc9,pet 
36.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,tatkkevin has been pet 82268 times thanks brother tatkkevin 
38.0,c3a217d91363d260f03402b1629ae5a411d9a481,tiiiiiiim u da man :hundred_points: :hundred_points: :smiling_face_with_sunglasses: :thumbs_up_light_skin_tone: :video_game: 
40.0,3e3f15ed1dcaa20f919efade9314535b194424db,posture 
40.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,hey you feelsgoodman yes you feelsgoodman check your posture feelsgoodman clap 
41.0,082d66d97cfb82eba3bce9d0357ac0278cca31dc,jolt1011 we use programs where we can just tag actual names and it works :) 
42.0,f51659d1ba132f3219ebaec63181d7b0cb62e031,does tim say hi back 
42.0,021cf3a7ec320a9b342006abcdcd503a76279ca1,tim has 1 kill 
43.0,1a3febf26328d444d5d31c6029407fcd8ab3efbd,yo sym and dk popped off 
44.0,c00b6134d4dfead9935a1e3417516c384f19a90a,does anyone know if the overtime challenges are out 
44.0,b54b7c409366e4a3a545bb71abb7443776bdface,e4f47dbc357b5f7832b009d12f025061b29a0a8c lol 
45.0,0b5151c62971e0aafb432b5a04b56815af783bde,taty 
46.0,c763d8d481176fc133877dfb92bf8db8a4dbcd48,i am :) 
48.0,edf347582054c4eb60063203883ba83d16788343,pet 
50.0,635198dfdef79f7cd547748a92cf0da789c4c396,moin 
50.0,6636fe3f225ffda842635803e3934e209d95ad4c,418996b847ccca1d440fc9f3da1c0b4a74c9c213 we know who the 10 year old is 
51.0,e2f493d7e191f4f55d2f707c77f9fc6f5e7cbd99,pet 
51.0,418996b847ccca1d440fc9f3da1c0b4a74c9c213,where is ninja at 
53.0,83bfca483c9e40d38c57cca49eaa7d3562359ebc,prime 
53.0,decbc9dcf1eba449e5d5a877ec9d6d2b261be6a2,tatpleb did you know you get a free subscription when you link your amazon prime account with twitch you can sub to tim for free and spam emotes all day tatkevinm tatblind tatkevinh - http://bit ly/howtotwitchprime 
54.0,95b0305f3bfa5caaca0eda5cbc036134932033fc,win 
