Time,User,Message
0.0,142fc06bc10e9df3dfa9f26b64abab88f2cea423,no it was a similar game 
3.0,e6a09ab3c6c2bffeac290f43b7cd3f537b82bf99,mod 
10.0,38718063c6b9d01cc957285a1029b837c942f582,well i don't know what game you are taling about i couldn't find it 
12.0,142fc06bc10e9df3dfa9f26b64abab88f2cea423,but she did em only very late 
21.0,38718063c6b9d01cc957285a1029b837c942f582,but that doesn't mean it's a good unit comp vs terran 
57.0,81c8b9e4ca67b97abd1c7235e4836f2cf766a0b2,les viepres pour les planetes forterresse s amarche super bien 
63.0,142fc06bc10e9df3dfa9f26b64abab88f2cea423,oh no my bad it was scarlette vs innovation 
74.0,ef0f24ec716ab91daff240b2feb36f2bf1f736a0,nice game 
83.0,3158f99fd070acce6014d9e2bbf114bbb04ca740,yeah real nice 
100.0,38718063c6b9d01cc957285a1029b837c942f582,either way it's not better than the standard comp also you could always ask steph why he didn't make lurkers 
103.0,142fc06bc10e9df3dfa9f26b64abab88f2cea423,i htink it is like 3/4 lurkers plus 2 defensive on ramps and far expos 
106.0,38718063c6b9d01cc957285a1029b837c942f582,if you would prefer his answer :) 
107.0,8dd94c314b6542bd303af046d710f9344621399c,shpongle eh :)))) 
127.0,65293a95cf49cae4ece9b9aece06be53c543f7fb,10 push ups per new sub only thats weak ilyes lul 
137.0,38718063c6b9d01cc957285a1029b837c942f582,that's a lot of investment into base defense 
157.0,e6a09ab3c6c2bffeac290f43b7cd3f537b82bf99,shpongle music is always in spiral form 
166.0,8dd94c314b6542bd303af046d710f9344621399c,they are amazing you listening to the album museum of consciousness 
174.0,65293a95cf49cae4ece9b9aece06be53c543f7fb,okok sounds like a valid excuse :beaming_face_with_smiling_eyes: 
176.0,806a2fcda4ac961633fd75ded557c1b196b5cf1b,e6a09ab3c6c2bffeac290f43b7cd3f537b82bf99 so like zergs 
187.0,3038044c9e4ccca5e1278f572165f3356c90e1bf,my mom say im a nice boy :) 
199.0,65293a95cf49cae4ece9b9aece06be53c543f7fb,<3 
213.0,96c606101e088cb8150a024ced3495d6109cb5bc,marmel6marsheart loeyag1 loeyataco loeyag2 marmel6marsheart 
222.0,65293a95cf49cae4ece9b9aece06be53c543f7fb,10 pull ups / sub would be a big boy challenge 
226.0,ef0f24ec716ab91daff240b2feb36f2bf1f736a0,he seems in a good mood :) 
227.0,3158f99fd070acce6014d9e2bbf114bbb04ca740,whats a shpongle tho lol 
236.0,ef0f24ec716ab91daff240b2feb36f2bf1f736a0,a band 
244.0,3158f99fd070acce6014d9e2bbf114bbb04ca740,a quiet sponge 
272.0,ef0f24ec716ab91daff240b2feb36f2bf1f736a0,the things tennismen put on their ankles to wipe the sweat 
293.0,e6a09ab3c6c2bffeac290f43b7cd3f537b82bf99,shpongle is an umbrella term for feeling positive and euphoric emotions 
296.0,3158f99fd070acce6014d9e2bbf114bbb04ca740,eh really 
311.0,ef0f24ec716ab91daff240b2feb36f2bf1f736a0,probably not 
316.0,3158f99fd070acce6014d9e2bbf114bbb04ca740,haha 
336.0,e6a09ab3c6c2bffeac290f43b7cd3f537b82bf99,shpongle's music is heavily influenced by psychedelic experiences and frequently makes use of sonic textures that approximate psychedelic states as well as vocal samples relating to consciousness expansion hallucinations and altered states of awareness 
353.0,5b082342e958ac1c2b4e9fd8ba6c08c7fa15c0fe,nice misic makes me happy :) 
356.0,3158f99fd070acce6014d9e2bbf114bbb04ca740,i did nt mind them 
371.0,3158f99fd070acce6014d9e2bbf114bbb04ca740,its not like psy trance is it 
419.0,e6a09ab3c6c2bffeac290f43b7cd3f537b82bf99,is it according to google 
