Time,User,Message
0.0,c5d22609353088a29e746a4f4f9746d95e108fed,yeah it's all in offline mode 
0.0,d6a77e732a064ecbd8e6d15b78c98ab696d9db06,22d3df3ed4ca666606ab2534197520cf75155ffa i updated hour ago 
0.0,57383df954553b6320d41d9056c096231430dbb2,what's going on 
1.0,dadc535438f133c903d61e46578c2ef71c4c8a56,nicewigglasers 
2.0,3772024a8a8229d2b803cb5bbde0f689daf2fdba,exactly that time 
2.0,eafc2daa5488ca5947fb8a46a941c49d9ab0ec97,didnt do shit 
4.0,ae8f6d5001461beda7fd70be23cf657cf4a63282,lmao 
6.0,9f608252468defa5b7356a42480e5eb87bdbaea4,probs not 
6.0,ad113195a0d3f27f68a2990094eade9fc9628bcc,462494fad4d43e522b520b053361c7236f405d04 now the weather it s amazing the sunsets are breath taking 
7.0,57383df954553b6320d41d9056c096231430dbb2,wat update 
8.0,53c82df833c22c2b68f98a3c7effe2835f8b50d2,they post patch notes on ea site only place i'm checking 
9.0,37b652f48581b82dd1e50062667dc79bcf36dd53,lol 
9.0,e131f167308082b571cefab293b8d8f3076cb012,origin update not apex 
9.0,f200b696261e5ce0ffd059f2de3f05c73b826421,yea happened to me mid game 
9.0,d9cbf4d7ce48a24ade2d0df0699d28924f71cd9d,"it""s origin update not apex "
9.0,7dc4db1a4e0a1736d393f55ede655821ceb17cb8,prob not 
10.0,a4f5077b3c1712b9520f37276f1d79fe5ed4784e,swiss chese 
13.0,16f454a6a00567d0751b8b0a3be6e6ca41acc7d3,no nicewigg lul 
13.0,90df05f69e1e86d4a8b49be6747ee4ed5958e21f,no 
13.0,ae8f6d5001461beda7fd70be23cf657cf4a63282,welcome to szn 2 
16.0,fdc5036590bbe4d34710c14a0f07467b23290a9a,pathfinders a stringbean 
17.0,2861bef1aa497e8b78441e1883e115bd70e0ac1c,no apex update just origin 
18.0,a6a7e2c4d9bdcea90a83706aba6621768c2d16cd,apex update or origin update 
19.0,286ba4d85bb4c9a88fd2ba103fbf3a8c85051ea1,#2 
19.0,f61ff4dee60942e414b3a170edd9f7e141dbe14f,watchtime 
20.0,16f454a6a00567d0751b8b0a3be6e6ca41acc7d3,hahahahaha 
21.0,eb56a1d44bad10f151bcb23431d5d22f39fed1f8,hii 
21.0,a6a7e2c4d9bdcea90a83706aba6621768c2d16cd,lul 
21.0,956aa677704eb60cf367e1fb3a890813d9438374,lulw 
22.0,2e16b9e1cbac0df47546bd9018cfc0cc83294ea4,nice timing 
22.0,9339448108357110d7f0390fad37c974e6e3da43,dahdgjast 
23.0,3772024a8a8229d2b803cb5bbde0f689daf2fdba,lul lul lul lul 
23.0,16f454a6a00567d0751b8b0a3be6e6ca41acc7d3,xd 
27.0,462494fad4d43e522b520b053361c7236f405d04,785a232c8d03185fcc68daa5ab67bd94565ce787 ha momma braggin 
30.0,7dc4db1a4e0a1736d393f55ede655821ceb17cb8,lol 
32.0,f59c3a54ab594871d86a96883c71c5dcefbe429e,lul 
34.0,ced7afdb2ea225924e9d41076b4d62ead92b5ce4,in 30sec you are ready :p 
34.0,e131f167308082b571cefab293b8d8f3076cb012,shooting path is like shooting a chainlink fence with a needle 
38.0,462494fad4d43e522b520b053361c7236f405d04,ad113195a0d3f27f68a2990094eade9fc9628bcc omg 
39.0,f59c3a54ab594871d86a96883c71c5dcefbe429e,lul lul lul lul lul 
39.0,85cb8f78f67d17baf59ddecdd6b9d14ef2b03a26,faithpika 
42.0,fe93e02b4c8ec9694aadca3e71257d073dfefe97,jack mad bro :) 
45.0,9339448108357110d7f0390fad37c974e6e3da43,just chatting weirdchamp 
46.0,58e4e18bfb1a3cbac9b0f95b0de71224955a384b,what age group would you put your twitch 
47.0,d6a77e732a064ecbd8e6d15b78c98ab696d9db06,gimme apex update this words is pure golden 
49.0,57383df954553b6320d41d9056c096231430dbb2,lol 
49.0,9f608252468defa5b7356a42480e5eb87bdbaea4,e131f167308082b571cefab293b8d8f3076cb012 swiss cheese 
50.0,96eabf538bdb8036e8ca43fad8de56515ef5cb9a,i wish this game wasnt on origin its such trash 
51.0,9f608252468defa5b7356a42480e5eb87bdbaea4,lul 
55.0,9339448108357110d7f0390fad37c974e6e3da43,lmao 
56.0,976e2abc89d0d0905bbb2208b0194dd7ff8179a1,imagine wigg the new legend us arcstars as traps - - 
58.0,37b652f48581b82dd1e50062667dc79bcf36dd53,lol 
61.0,ae8f6d5001461beda7fd70be23cf657cf4a63282,streaming origin today 
61.0,16f454a6a00567d0751b8b0a3be6e6ca41acc7d3,hahahaha same lulw 
69.0,785a232c8d03185fcc68daa5ab67bd94565ce787,462494fad4d43e522b520b053361c7236f405d04 every mom does it lol 
71.0,7bd34b7681e9d275e9897365a697565c5fc52d70,why june 5th tho 
72.0,9339448108357110d7f0390fad37c974e6e3da43,>^ terabytes 
72.0,3772024a8a8229d2b803cb5bbde0f689daf2fdba,pogchamp pogchamp 
73.0,37b652f48581b82dd1e50062667dc79bcf36dd53,its gonna take up your entire storage lol 
76.0,fdc5036590bbe4d34710c14a0f07467b23290a9a,wigg do you have a backup game if apex dies im hoping it doesnt but just asking haha 
77.0,2e16b9e1cbac0df47546bd9018cfc0cc83294ea4,fbtouchdown fbtouchdown fbtouchdown fbtouchdown fbtouchdown fbtouchdown fbtouchdown fbtouchdown fbtouchdown fbtouchdown fbtouchdown fbtouchdown fbtouchdown 
78.0,e131f167308082b571cefab293b8d8f3076cb012,yeah i might deleted it if season 2 dont deliver 
79.0,462494fad4d43e522b520b053361c7236f405d04,785a232c8d03185fcc68daa5ab67bd94565ce787 yep 
80.0,4955220c704621bc98f3eeb75cda8c6eea6c524b,16000 mb no less 
82.0,fe93e02b4c8ec9694aadca3e71257d073dfefe97,haha 
83.0,d3bb9440482f681e084bdda6891e8c8b87d042e4,how's it going jack :) not been in here a while nice to see you gain a lot of traction bro 
83.0,ace3c5c403dd4bef6ad736725ae1f3424e2642d9,your a beast 
85.0,87dd4f01b574b327a94943da43f43ffb29b03abb,you have to close your game for it to start 22d3df3ed4ca666606ab2534197520cf75155ffa 
91.0,58e4e18bfb1a3cbac9b0f95b0de71224955a384b,voteyea voteyea voteyea voteyea kapow kapow kapow kapow kapow kapow 
92.0,6d109903fe1adb9975d65b49888f93d4ead790d7,1700 terrabytes 
96.0,596c4bd93e7b08af6c9f2f606458dc4307089b2c,whats up with orgin is it down cant get online and im told that is cuz an update but nothing is updating 
97.0,956aa677704eb60cf367e1fb3a890813d9438374,jebaited no update jebaited 
98.0,85cb8f78f67d17baf59ddecdd6b9d14ef2b03a26,faiths 
99.0,ced7afdb2ea225924e9d41076b4d62ead92b5ce4,6000gb is gone end in 1 yer hahaha 
103.0,3772024a8a8229d2b803cb5bbde0f689daf2fdba,smorc smorc 
104.0,00fcb27ba838c865ebf0211d191f0c5f5c3b8187,bout go ultra instince on respawn 
104.0,d91b12a703b84d2fc2238ad27590cd401544c244,wigg smash 
