Time,User,Message
0.0,1385cb87c9b3f5a1579bb30750be144929ac3953,dad1d270a182cefe370fc14e6c77501b93989569 frick 
1.0,05faf6b61f89104e41336b8830f9472cab941d76,ralliedlmao ralliedgas ralliedgas ralliedgas ralliedgas 
7.0,fe574e8211c54516246d8093aca798a3ae85d0a8,sick af 
11.0,0f568c582c625a05fe7197a5122a1f1cbbb4abaf,dude lost it over a doll skin :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: 
21.0,dad1d270a182cefe370fc14e6c77501b93989569,hahaha 
22.0,23d27ee5ad71f9a2367adf65d3941a63f16766db,omg if bobby gets a hold of this doll it's going to be funny as hell in alcatraz 
30.0,14eeb808aed21ad2432ba0f2a1fbaa7c5e0b972e,hswp 
30.0,2131c7623e88294c7711a6562fd6792228df4b36,and then the rabbit skin hahaha 
44.0,fe574e8211c54516246d8093aca798a3ae85d0a8,speros is a mix between lord zed and dr manhattan 
47.0,694fc14755d29b614dde97aa658bdb12459908b8,272b745dd90585846ea62df833f67f3f67f862c5 i have my doll dark ma tter and the spike come out of its boots and its capes its super dope 
47.0,4035ed11334ef610102406c9952b65e20b11dbcd,can grind time lo 
48.0,8956145233d4231cc5e16de0c70d95482e1b89ae,this mash up is awesome 
51.0,703f908c7cb6e9a443656d2f7225f2a9cbc55dda,can we see darmatter 
51.0,4035ed11334ef610102406c9952b65e20b11dbcd,l 
57.0,20ec6feaa6b581e834c8745b64c1cd6c926290ee,23d27ee5ad71f9a2367adf65d3941a63f16766db so true can't wait for that 
57.0,05faf6b61f89104e41336b8830f9472cab941d76,dude has skins for days haha 
66.0,8878624cd48a9dc0d99905886f33735cf5d2a6dd,thank you activision bois 10/10 
68.0,0f568c582c625a05fe7197a5122a1f1cbbb4abaf,cans 
72.0,0c82758d548460ff0db1008c128e493a5511be73,23d27ee5ad71f9a2367adf65d3941a63f16766db im sure he will get it lol 
73.0,6228b06978dd27dfa6ef43cc27c4d7199f817c18,if i could i'd give you my paint cans for the doll 
74.0,29c0320cf79416a390bce048983a53299a994641,how did u buy it 
76.0,bbbbc87d61ff2aca1065b83dde4c879211acd3f4,tune :ok_hand: 
79.0,dad1d270a182cefe370fc14e6c77501b93989569,formalv20subhype formalv20subhype formalv20subhype 
85.0,dad1d270a182cefe370fc14e6c77501b93989569,tier 2 alert 
99.0,23d27ee5ad71f9a2367adf65d3941a63f16766db,0c82758d548460ff0db1008c128e493a5511be73 lol he's going to troll the hell out of people with this doll 
99.0,59afb80ac09d721926a05e66738cf8cd5e9ff4c8,i wish ii had that many skins ii don't get cool things in my crates 
109.0,2131c7623e88294c7711a6562fd6792228df4b36,ashlen1hype ashlen1hype ashlen1hype ashlen1hype ashlen1hype ashlen1hype ashlen1hype ashlen1hype ashlen1hype ashlen1hype ashlen1hype ashlen1hype ashlen1hype ashlen1hype ashlen1hype ashlen1hype ashlen1hype ashlen1hype 
109.0,59afb80ac09d721926a05e66738cf8cd5e9ff4c8,poffhype poffhype poffhype poffhype 
109.0,00892d85226f8bb93bc0ec1be1bd95a3bd674739,how close do you live to the beach 
113.0,4aea3dd8e15b71006e19f19894084460f82a20b9,ralliedgas ralliedgas ralliedgas poffsend poffrip 
115.0,0f568c582c625a05fe7197a5122a1f1cbbb4abaf,oswreckapproves spe oswreckapproves spe oswreckapproves spe oswreckapproves spe oswreckapproves spe oswreckapproves spe poffhype poffhype poffhype poffhype poffhype poffhype poffhype sirlemgg sirlemgg sirlemgg sirlemhype sirlemhype sirlemhype sirlemhype sirlemhype sirlemhype beakarhype beakarhype beakarhype beakarhype beakarhype beakarhype beakarhype 
116.0,aa97439e8bc52f63a42d526134e5ba9a1db93258,can you use the doll please 
117.0,38afd72a187d4b3dc7a86e6c28d4d3738d93419e,the charm is on her hip 
121.0,4035ed11334ef610102406c9952b65e20b11dbcd,when i spikes out it will be cool 
125.0,0f568c582c625a05fe7197a5122a1f1cbbb4abaf,dang it 
125.0,8956145233d4231cc5e16de0c70d95482e1b89ae,never leaving bro 
126.0,05faf6b61f89104e41336b8830f9472cab941d76,mwkhype mwkhype mwkhype mwkhype mwkhype mwkhype mwkhype mwkhype 
130.0,dad1d270a182cefe370fc14e6c77501b93989569,fail wreck 
133.0,a8725aa74a3effc8736141f1185dd272d3c36adc,not watching your steelers?!? 
134.0,59afb80ac09d721926a05e66738cf8cd5e9ff4c8,poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype 
134.0,9db6e19401f2c4cdf4acb3a46c53d7fda70ce9b7,imagine when you get kills and it gets the spikes 
145.0,2131c7623e88294c7711a6562fd6792228df4b36,0f568c582c625a05fe7197a5122a1f1cbbb4abaf log out and back in 
151.0,8878624cd48a9dc0d99905886f33735cf5d2a6dd,vohiyo vohiyo vohiyo vohiyo 
151.0,20ec6feaa6b581e834c8745b64c1cd6c926290ee,poffhype poffhype poffhype poffhype poffhype poffhype poffhype poffhype 
157.0,29c0320cf79416a390bce048983a53299a994641,how do u get that chara ter 
