Time,User,Message
1323.0,9cfdfcc01d62a9f81a56ff2ae49fdbeccf339cff,oiii broskis 
1352.0,9cfdfcc01d62a9f81a56ff2ae49fdbeccf339cff,is it today lads 
1386.0,9cfdfcc01d62a9f81a56ff2ae49fdbeccf339cff,how do i join 
1389.0,9cfdfcc01d62a9f81a56ff2ae49fdbeccf339cff,thats a pogchamp 
1391.0,9cfdfcc01d62a9f81a56ff2ae49fdbeccf339cff,enter 
1395.0,9cfdfcc01d62a9f81a56ff2ae49fdbeccf339cff,giveaway 
1401.0,9cfdfcc01d62a9f81a56ff2ae49fdbeccf339cff,oh automatically nice 
2038.0,5376042b9f4ab8cbfd123edf907a994fdabb09e8,hey bro x 
2093.0,5376042b9f4ab8cbfd123edf907a994fdabb09e8,you alrite mate x 
2163.0,5376042b9f4ab8cbfd123edf907a994fdabb09e8,im good mate i got a daughter on the way man x 
2306.0,5376042b9f4ab8cbfd123edf907a994fdabb09e8,need to meet up man ive missed ya x 
2444.0,3b2c9a6cb25e9917ea1236700da067d3855b5d9d,hey baby 
2910.0,8202270c336761b3d5340c9d36fbf721941c362f,ya llegamos putos 
2969.0,8202270c336761b3d5340c9d36fbf721941c362f,viva estos chamaquitos 
3003.0,8202270c336761b3d5340c9d36fbf721941c362f,fifa 19 really 
3508.0,878f80a49f060f9a5f4db0574de13a2e1cb524f8,you are the best fifa 19 stream 
3549.0,878f80a49f060f9a5f4db0574de13a2e1cb524f8,i follow you 
3554.0,878f80a49f060f9a5f4db0574de13a2e1cb524f8,you are so funny 
3559.0,878f80a49f060f9a5f4db0574de13a2e1cb524f8,im from spain 
4564.0,6e87e6ad0b2e350f5bb23b12f3339447d87367e4,hello 
4607.0,6e87e6ad0b2e350f5bb23b12f3339447d87367e4,how is your day 
4632.0,6e87e6ad0b2e350f5bb23b12f3339447d87367e4,good 
5605.0,aef34505d5263c6ca9daefa8812add7b21cdbe8b,giveaway 
8819.0,e4cf041271b5fe5e9e2a8cea2ff784256e5cd192,hieee hows it going i have watched your k0rn262 channel 
8862.0,e4cf041271b5fe5e9e2a8cea2ff784256e5cd192,you sir have flow it's awesome i like your streams $35 giveawayclick follow to enter good i am bout to design banners icons and overlays for your channel 
8886.0,e4cf041271b5fe5e9e2a8cea2ff784256e5cd192,find the site address on my profil's pic fifa 19 play was amazing 
