Time,User,Message
0.0,ccd40e7aea16ea168b1424a400c2bc5e61cacb1f,285b142e605d6ee2331bd99d5184f05ae53abe79 hey you like dick and balls cmcsmug cmcsmug 
0.0,cfbf9705407501d0bd71ff941a9747674f1ff00b,phone 
2.0,679c3ac6cdcbb0ae05e6bc73b542a1c8609fafa6,to get to diamond level dig to bedrock then nine up gunrun 
3.0,7557da0cdc580ed77d8c77f2cc2a7153e0d9c54c,i go on a mobile game craze whenever an exam comes up cause i got fucking insane also because the last time i was in an exam haze i wrote fanfiction about the founding fathers 
4.0,fca227a42cf720f362e61c361337acd0abd20fc9,ph1lheart 
5.0,7c8a4b9ec661ea5eb6066d2a9fafd670db2f82c4,285b142e605d6ee2331bd99d5184f05ae53abe79 do you go to pax west 
6.0,6981e89d5cf774ba81519cd714cc2be7d9ac7950,phone 
7.0,52798aa006eb7408f9c23888174b473e3bb06f31,how long you planning on streaming 
7.0,492b105f2f032ffeda0e3645a2ae099efa028aeb,sex is cool 
8.0,8a608e1088fe99730519e296f1157326eb82a3a7,true what did carson throw at u 
9.0,f08c62b5c2639de2ab41792daac08418c9dcf5d5,bruh 
9.0,81bf0f9a86fb3e7c2d65d8158a2c6e98ecda61ad,awwww 
10.0,0b88cb406a8928154a462d12371c320ade273394,æ 
16.0,fa3398058a3a5b6a4003c27b3e5b6ce609942c69,u kinda swag doe 
18.0,af7310bc312bad24bb311f33805cfd6c5915d0ef,what's the playlist 
18.0,81bf0f9a86fb3e7c2d65d8158a2c6e98ecda61ad,not even on the goop channel 
19.0,404fae88472734f742e83680ede5cbaa03a112e9,man 
20.0,c567c4513a6b8426a53a9615bda61b51259fa60a,then get a camron 
20.0,b2d43baa1f31b0dbe7724fc464474ead4d452860,use phone camera lol 
21.0,79cc094566dc61100edec67a970d0174b9e8c61d,ca4472681c8fd761ea6e545e914fd87d5a09d1a2 bruh i would very much appreciate it:) 
21.0,ac03ce87d5b21744b52ee790e52320dfbd9df9de,ef4866f869cef84f0722114f7e7c9630c25d779d thank you but i can fall asleep but i'm not gonna sleep until the stream is over 
26.0,404fae88472734f742e83680ede5cbaa03a112e9,69 
28.0,bfbad7b2c0ae4113b24b0244142ce309f4b605c0,hewwo im back 
28.0,4bd5d4f215108971fdf7602964d7f6ec1c4ed73f,travis the way you mine is incomprehensible 
29.0,c567c4513a6b8426a53a9615bda61b51259fa60a,camera* 
31.0,157d229fc63818b2b3f4eb725072c133d41be616,travis get the armor from the armor stand boi 
31.0,076e2a596cf4e78c2b45d05ade942b4f51f4bc7e,traveml traveml 
33.0,58df606514a1464bcec949f28c4a571900696932,do doododo 
34.0,ddeb88f6e2b6da000afa78d347f22be84751f81c,a smoothie 
37.0,11ffa9e9abe5061d4f0607036bfbf44714521214,285b142e605d6ee2331bd99d5184f05ae53abe79 are u gonna see lilnasx at twitchcon 
38.0,6c994a852bfa1c1b00ec63e2cdea58fabded8be7,mom texts r v important 
39.0,47ba9b0c4263350e75de63aab5055f2c64dd12cd,who has gifted the most subs ever i want to beat that 
42.0,ef4866f869cef84f0722114f7e7c9630c25d779d,ooh got it 
44.0,8c1a376e5b46729839ade9a04a032b8019c34f19,bop 
44.0,bfa559f6cbdbf116aa9cc0a24b0be91f2d50ef54,traves give me tips for back pain 
45.0,f28e83b4db5fe8c499bf2e42033d83dd82c7fddc,hi 
47.0,03f9a1ed0b8a510ebaed464c09bbbc7a41b57330,https://clips twitch tv/singlejollywrenchtheringer 
51.0,7c8a4b9ec661ea5eb6066d2a9fafd670db2f82c4,285b142e605d6ee2331bd99d5184f05ae53abe79 are you going to pax west next year if you are i would love to meet you lol 
52.0,33dae62768bafacaeef17e09a07eaea9c9a56c93,what is rlcraft ive heard it so much 
52.0,e661e75b754e720eea69ca3b172da6e559467ad1,why you using a stone picaxe 
54.0,e09c4ec286c7dfecf444bedaaf55fd05e3126ae6,traves everyone is dying to know what carson threw at you in the face reveal 
54.0,d82760b7bddf6e5d20e304efb1f29b471ab8cd65,i was ranked globally number 1 today but i probably dropped 
54.0,f08c62b5c2639de2ab41792daac08418c9dcf5d5,bruh 
55.0,679c3ac6cdcbb0ae05e6bc73b542a1c8609fafa6,to get to diamond level dig to bedrock then nine up 
56.0,f08c62b5c2639de2ab41792daac08418c9dcf5d5,travehype travelove prxxtyu gifted seqouiathacker007 a sub travelove travehype 
57.0,da14f23aa96ee3e5d169e5eee6cd701e04bd7276,drink wata 
57.0,39fcc3238f019d62446feb188797fcc882348b3c,traves i saw ur face reveal just lettin u know that ur precious and adorable 
58.0,c9c05227d6d114e2cdbd538c3d97d9db6be433cc,not gonna lie this song is kinda repetetive 
58.0,af7310bc312bad24bb311f33805cfd6c5915d0ef,wots the playlist 
58.0,ac03ce87d5b21744b52ee790e52320dfbd9df9de,say hi to thedragonfeeney at twitchcon for me 
59.0,d05f799a02f8ed586b9c60c0b27d30e33cfe3ec2,these some slappin bops yo 
61.0,b8612e0e845c4519b2d4e42a6b4bb36e5da4b0c5,285b142e605d6ee2331bd99d5184f05ae53abe79 pleas say hi ba ck 
63.0,81bf0f9a86fb3e7c2d65d8158a2c6e98ecda61ad,i liked that tiktok travis 
63.0,f3896a7cd8060ac661e46b1580cd93f27f64abdd,get a new back 
65.0,0dc1e01065ba456e420dd6b3744ba349d1c89de7,285b142e605d6ee2331bd99d5184f05ae53abe79 dude just go find a cave bro 
66.0,ed4af07ae72796982dc7d5a52e3f725dc63d8e6f,285b142e605d6ee2331bd99d5184f05ae53abe79 how many bits for text to speech 
67.0,be715646f7a2d59ae25faecd62a28bf422901fb0,your mom's a doctor 
70.0,1993bcc46473798afdbe03a7c3a14bda497a77f0,285b142e605d6ee2331bd99d5184f05ae53abe79 hi man ur face showing is epic u look dank 
71.0,44d6d3d8254fc0ad67fdd93fd7ad2918d188e0d6,chiropracters are liars 
71.0,287aa0595dcb118fd3a303917bf4fc1d86bcfa31,lil nas is cringe 
72.0,81bf0f9a86fb3e7c2d65d8158a2c6e98ecda61ad,mhm 
73.0,48e46ee2446abf5f55417aac75d0d7ad34124c2c,dr trav 
76.0,96aa5a72977a0a3b90bb61577153485492ef01e5,bruh u hittin gamers up ca4472681c8fd761ea6e545e914fd87d5a09d1a2 
76.0,11ffa9e9abe5061d4f0607036bfbf44714521214,uptime 
77.0,f08c62b5c2639de2ab41792daac08418c9dcf5d5,action kurouill -> traves has been online for 2 hours 10 minutes and 40 seconds 
77.0,fd0651be0dc8de7e003131059cac9266164c91ff,hi back 
77.0,dc733fa1f4b9198d97b18bcc34e9ee0929492b2a,traves when are you ever gonna travel outta california 
78.0,b8612e0e845c4519b2d4e42a6b4bb36e5da4b0c5,travehype travehype travehype 
78.0,ca7e18d18c6c71f3f09eb198bca9ce1067982b2d,protractor 
79.0,c567c4513a6b8426a53a9615bda61b51259fa60a,peace out dude im finna sleep 
80.0,56af5d4341d9beb154239fc5052f4107ba0b07d3,hudu 
80.0,be715646f7a2d59ae25faecd62a28bf422901fb0,prove it 
83.0,33dae62768bafacaeef17e09a07eaea9c9a56c93,hi travis i hope u have a good day travehandsup travesad 
84.0,7a9579f3bbdd99a3b788a3bdd499721c50906e9d,my dogs a dentist 
85.0,d20b9598066a8f50a9cacb57b9ac1431fbd1e979,traves are you planning on making more tiktoks 
87.0,becce2717a310c5e1ad134604eec5f8ba8646895,time 
87.0,f08c62b5c2639de2ab41792daac08418c9dcf5d5,becce2717a310c5e1ad134604eec5f8ba8646895 you currently have spent 10 hours and 20 minutes in the chat 
