Time,User,Message
0.0,58906ded6df1233e3a93f848e6cbc078495a81be,bughayessir bughayessir bughayessir bughayessir bughayessir bughayessir bughayessir bughayessir bughayessir bughayessir bughayessir bughayessir bughayessir bughayessir bughayessir bughayessir bughayessir bughayessir bughayessir bughayessir bughayessir bughayessir bughayessir 
3.0,ac8eb5ead1dec7d42f8f0c7dbebaa456efe55b5d,votenay voteyea 
5.0,1dfc02078e23bf2de9ac798abf8cc3e6313ed391,kappa 
6.0,3f148052298b35a489bddb230ee462ceebd900fe,pridelionyay mercywing2 mercywing1 
18.0,d06c7d8983b9a062183b77a45d38aacef0f3dbd9,boatycaged1 cmonbruh boatycaged2 
20.0,6d39a81ac3cbfac81c59c8ea63e2070b56e139d5,notlikethis notlikethis notlikethis notlikethis notlikethis notlikethis 
21.0,ac8eb5ead1dec7d42f8f0c7dbebaa456efe55b5d,votenay 
31.0,aa927d81698fc1b8425570e7a2be6a9e186173c0,mauiegg mauiegg mauiegg mauielul mauielul mauielul mauielul mauielul mauielul strykr2gg strykr2gg strykr2gg strykr2gg strykr2gg strykr2gg strykr2gg strykr2ytb strykr2ytb strykr2ytb strykr2ytb 
37.0,ac8eb5ead1dec7d42f8f0c7dbebaa456efe55b5d,voteyea 
37.0,3e53e24cb3b118d42609efc2f040bb48c979f9c3,porschewin porschewin porschewin porschewin porschewin 
38.0,6464c191cfc6d9f94b3ff3a280a300861fdd4c86,xenlazlaz xenlaznocaps xenlazlaz xenlaznocaps xenlazlaz xenlaznocaps xenlazlaz xenlaznocaps xenlazlaz xenlazlaz xenlaznocaps xenlazlaz 
38.0,6d39a81ac3cbfac81c59c8ea63e2070b56e139d5,carlsmile carlsmile carlsmile carlsmile carlsmile twitchunity twitchunity twitchunity twitchunity 
39.0,d06c7d8983b9a062183b77a45d38aacef0f3dbd9,boatycaged1 trihard boatycaged2 
47.0,504722a9126ba8d5be6d93a7ec972299636d1f35,symffist1 symfcringe symffist1 symfcringe symffist1 symfcringe symffist1 symfcringe symffist1 symfcringe symffist1 symfcringe symffist1 symfcringe symffist1 symffist1 symfcringe symfcringe 
