Time,User,Message
0.0,4d878e0fb1be1c5ef444b90cdadb9ea724ab3bd3,flakes i said to you that if you play better in defense you would do rlcs and you did it gratz ma boy pogu 
16.0,6878e23a13b15d72c0c4fc070a630bd45db78e8b,where is flakes from btw 
20.0,4d878e0fb1be1c5ef444b90cdadb9ea724ab3bd3,btw not sub anymore feelsbadman 
21.0,7c0ddf62cbbe0541942a41efb031a24baf911b1e,yolid the rl coach 
23.0,2e5d755b4dc330895654a3f99a09233d5457fce6,breaking fairy's streak and then breaking to the rlcs you slain left and right my man congrats <3 
34.0,58b5af1b9f73acea72687d4ccf7b1f9fd94c3d14,are you a 1s player 
34.0,fa730e1d5ca4acdf04be579ac558bdd2a52779c8,from 
37.0,338ea9e4788cb11a060beca4bd26fe16dc611beb,p loop pp ml 
47.0,4eef873ea8f17e0c24e67bd050766cb7f63ff968,where exactly in the nl 2a1a352b468f0459f7654d38e477f60f1d4f90f5 
54.0,b15aff718392080187ad98a2cc1263d89995eefc,4eef873ea8f17e0c24e67bd050766cb7f63ff968 denmark 
55.0,6878e23a13b15d72c0c4fc070a630bd45db78e8b,greetings from germany neighbour feelsgoodman 
55.0,4913b9e84146ef834e270122ad7b044492e5bf50,this is when age 
66.0,4913b9e84146ef834e270122ad7b044492e5bf50,age 
69.0,b15aff718392080187ad98a2cc1263d89995eefc,4eef873ea8f17e0c24e67bd050766cb7f63ff968 the nl is in denmark 
72.0,515e97057210a93c68c7840b823bfb4c778d2968,yo flakes congrats dude i knew you could make rlcs 
86.0,58b5af1b9f73acea72687d4ccf7b1f9fd94c3d14,camera 
88.0,dd110a9324748d6105421d06fc7061b0dc7ef9cb,which city 
96.0,fe0cc072f0e5ca004e7d3779554b57c1c528744d,arjen robben fan 
96.0,313c3dd50a0fd2f00f8528c0b73106fc466d4e6e,lol you live 30 min from me 
100.0,10ad953b44c13990215e70ec949f9762b2cef03e,which house :) 
100.0,b15aff718392080187ad98a2cc1263d89995eefc,4eef873ea8f17e0c24e67bd050766cb7f63ff968 wait i read your question again sorry lol 
108.0,bdee438b1716591c62132bf654aad9a62bc30cee,i legit only root for col because of flakes 
113.0,ee15f994e16686d97c01276436fca9841be0b897,congrats bro you deserved to make it to rlcs 
119.0,4eef873ea8f17e0c24e67bd050766cb7f63ff968,b15aff718392080187ad98a2cc1263d89995eefc i figured u were just trolling me 
137.0,c0d47f95a18bcb0941edd9204fe21486db19693a,ayy congrats on making rlcs my dutch brother <3 2a1a352b468f0459f7654d38e477f60f1d4f90f5 
143.0,ea76345d2ce8ce163be4a62df1f1fc8c2e23ecb8,pepejam 
145.0,bdee438b1716591c62132bf654aad9a62bc30cee,dream team would be turbo flakes yukeo 
152.0,4d878e0fb1be1c5ef444b90cdadb9ea724ab3bd3,no 
154.0,bdee438b1716591c62132bf654aad9a62bc30cee,thata would be a nutty team 
154.0,9fb51e40b2f056fdefcebd89ad5a532955ca74f2,yoo congrats man gonna be fun to watch complexity win rlcs pflakeslul 
161.0,7973a8eddc720c4cf0a1135f47e05b79f779e119,2a1a352b468f0459f7654d38e477f60f1d4f90f5 congrats on rlcs man pflakeslove 
171.0,10ad953b44c13990215e70ec949f9762b2cef03e,save of your mind 
172.0,b532612ee6fd3b41bac69904b3a3949830a0f4cf,poggers 
175.0,0b1656da8c4273d522aa76c06b79c74c14ac0104,yukeo is dedbateable 
175.0,9b2b5dd0088f035024b48eaa6003071aaaf1b925,congrats bro 
176.0,fa730e1d5ca4acdf04be579ac558bdd2a52779c8,bdee438b1716591c62132bf654aad9a62bc30cee *greazy flakes mognus 
186.0,f205537615b86ba2ff0a13a136ac5b6df1f115ba,alpha54 flakes and fairy peak 
199.0,b15aff718392080187ad98a2cc1263d89995eefc,4eef873ea8f17e0c24e67bd050766cb7f63ff968 i thought you said where exactly is the nl i thought you said is instead of in hahaha 
208.0,ea76345d2ce8ce163be4a62df1f1fc8c2e23ecb8,i wanna see rv vs col 
214.0,ea76345d2ce8ce163be4a62df1f1fc8c2e23ecb8,best matchup ever 
220.0,4d878e0fb1be1c5ef444b90cdadb9ea724ab3bd3,u said im not even good because im not in rlcs now what u say about that 
221.0,ea23f3fd630ce690384a55e3ff09672dcec06bc6,2a1a352b468f0459f7654d38e477f60f1d4f90f5 did u watch that clip 
221.0,86d40580b6ba43b8e925e07202820eca54536fd3,gz on rlcs :d 
236.0,b831e1799635c5c3dae697a707bbe28e2cc15ef6,good job flakes 
240.0,dd110a9324748d6105421d06fc7061b0dc7ef9cb,what city u live 2a1a352b468f0459f7654d38e477f60f1d4f90f5 
241.0,22b50e501f903841fd01031411f1f493db6f7a7e,monkeymoon flakes fairy peak 
243.0,9a488c5117e2281d06116e139a44b167341e7163,thanks for the support everyone time for an ad 
251.0,2966d8b23fc3b4a0e57aa7325162f9948ea5e4f5,frtyheart frtyheart frtyheart 
251.0,fe0cc072f0e5ca004e7d3779554b57c1c528744d,robben or van persie 
252.0,4f7658aa73f8e02f1211a677d3e7d75dddf223b0,i like how 1s players are taking over the 3v3 world 
252.0,b831e1799635c5c3dae697a707bbe28e2cc15ef6,you did fantastic 
253.0,a9d36fffb11b855e0f9af07c455d0c23d7e2dd83,stumpy 
255.0,29b57495ae9be588009b3c89ea0eb88bffedd834,congrats flakes u fuckin nuts bro 
256.0,dcea2efcd4fe3ec1ec5cb2331fe5133c3c3435e7,9a488c5117e2281d06116e139a44b167341e7163 lol 
257.0,313c3dd50a0fd2f00f8528c0b73106fc466d4e6e,lemme geuss your home 
258.0,ea76345d2ce8ce163be4a62df1f1fc8c2e23ecb8,9a488c5117e2281d06116e139a44b167341e7163 jokes on u pepelaugh 
258.0,fa730e1d5ca4acdf04be579ac558bdd2a52779c8,lul 
259.0,6878e23a13b15d72c0c4fc070a630bd45db78e8b,what about kux flakes & fairypeak 
261.0,7973a8eddc720c4cf0a1135f47e05b79f779e119,9a488c5117e2281d06116e139a44b167341e7163 trihard what ad 
264.0,1ce2b8684c533fec41fdc777a9469b2d80e52b8a,flakes flakes and flakes 
266.0,4d878e0fb1be1c5ef444b90cdadb9ea724ab3bd3,9a488c5117e2281d06116e139a44b167341e7163 no pls i dont have sub anymore :( 
272.0,22b50e501f903841fd01031411f1f493db6f7a7e,flakes monkeym00n is literally the best 
274.0,7317dba95df1574fc9c0d07636ab5075fb8213a5,lmao fuck you stumpy lul 
278.0,9a488c5117e2281d06116e139a44b167341e7163,lul 
278.0,3aa580d5fa2eea4e787d16973aaa68dba80578fa,what about kaydop 
279.0,6878e23a13b15d72c0c4fc070a630bd45db78e8b,deevo pog 
287.0,796cf58e80e4ace19f0ad4fe7ea34cbbed547697,if complexity is an eu team why dose the white shirt have usa flag on it or am i just missunderstanding it 
287.0,099b9164f889be140d7e70ab5a4765f85d19c69b,congrats flakes 
295.0,ea76345d2ce8ce163be4a62df1f1fc8c2e23ecb8,9a488c5117e2281d06116e139a44b167341e7163 
295.0,b52f98ea4d0d0149a91de538cebbe6742d44d12a,you dont have the typical dutch accent 
