Time,User,Message
0.0,89b65092f22cc2608f9c7a9c2f6afa84cca9ba6a,thanks for advices 
14.0,a9e0da75f4b42533a5fc7addb4eb814ed6491021,maldchamp 
26.0,a9e0da75f4b42533a5fc7addb4eb814ed6491021,kekw 
31.0,c2b254d4da96c756f53726e5e684bd1667b30abc,big boy cope 
31.0,478f7ad880e202da691721aa663a0f1ee5fb9f3b,thx 4 strim boyolove 
37.0,34813e6a197c34af4ed85cd0feb3d775502f4192,ily cope and chat copepat 
39.0,ec4211fe74d2545bb614cc255902d928eaf265db,full day challenge pog 
40.0,203e886bd112b622f37b4ec0e690db5873b8d29b,jenzubsmells thanks for strim cope 
41.0,34813e6a197c34af4ed85cd0feb3d775502f4192,raid 
43.0,0f1069747adb65d70c53a4bff0423be4fe37a809,bye cope and chat starb2 you're all cute 
44.0,34813e6a197c34af4ed85cd0feb3d775502f4192,subraid 
44.0,66536b311f3df053f011620ca97d8828ed3818b3,trailmheart owlgg devibsmol 
45.0,ec4211fe74d2545bb614cc255902d928eaf265db,ilysm cope 
46.0,c5ddef21d635846abea58a2dd201b2600dff1746,killers keeps dodging lobbies it also happened to my past 3 hours 
49.0,a9e0da75f4b42533a5fc7addb4eb814ed6491021,love you cute chat brocohug 
53.0,c5ddef21d635846abea58a2dd201b2600dff1746,bloodtrail 
57.0,f6094424cb7780fe95929e585aa63f7ec75c8ffb,ily cope and chat <3 
58.0,203e886bd112b622f37b4ec0e690db5873b8d29b,day brocohug ily2 
60.0,347fed4d2be1b2471ebab25c22759df79bd9ffbc,:) 
68.0,a9e0da75f4b42533a5fc7addb4eb814ed6491021,thanks for the stream brudder 
69.0,f9782a61944f5f99ff2f53267e95a4143067707d,subraid 
71.0,203e886bd112b622f37b4ec0e690db5873b8d29b,raid me zubmilk 
72.0,f9782a61944f5f99ff2f53267e95a4143067707d,socials 
72.0,a9e0da75f4b42533a5fc7addb4eb814ed6491021,203e886bd112b622f37b4ec0e690db5873b8d29b roolove 
83.0,8b2fc50057b9903a6720d737eb32d11ca5d77faa,203e886bd112b622f37b4ec0e690db5873b8d29b boxzlewd 
83.0,a9e0da75f4b42533a5fc7addb4eb814ed6491021,paige pog 
83.0,f9782a61944f5f99ff2f53267e95a4143067707d,brocohai brocohai cope with it nerd brocohai brocohai 
84.0,f9782a61944f5f99ff2f53267e95a4143067707d,brocohai brocohai cope with it nerd brocohai brocohai 
85.0,f9782a61944f5f99ff2f53267e95a4143067707d,brocohai brocohai cope with it nerd brocohai brocohai 
122.0,bc60ba22a202bb6e1994e199f2d7835b22c775ae,poguuuu 
