Time,User,Message
0.0,b6e9ad3602f0f2a56bf4c587d84ee91e76402c6e,freez mage 
3.0,18bbb75193c5f5b1784d8893d28064e631886c0a,is dr 7 back in a new form 
5.0,10422de6374b61a9ef406e67cb53452948986875,put the crimbing pants on 
8.0,5fb5df5820e6752a71b64fa687fdf7f01136c4c7,ed86bac46a52d481e3ecef9d34d002641fc7ca5f fair point lmao 
13.0,4faabf06f03d2dd06f7d360bbaab40da6ab1adf3,do you think which is favored in this matchupfreeze or conjurer 
14.0,b18ded2f0a04e27ec4f353ef935a4bea36246d95,mad genius is a broken hero for long game should be in hof 
17.0,5fe4476908abd9165bf7a7788bcadcf1e5264c8a,they'll nerf priest nomi is a little too strong kappa 
26.0,2999f63bb1b42f875970918610d4af51fc58286b,pickaxe down to 3 attack was firebats argument bc then corsairs aren't free atleast 
34.0,79bcfdf8f9fbedea4d007b40d4dc44440e07b4e9,7 mana for dr boom is just funny have to be 10 mana 
45.0,04ad8f7abe6951f3b8b7ef808686f4ae775ebecc,11 mana dr boom is good nerf 
46.0,4ccd19b14586148d5500817b7839c079d534780c,2ce02b422b78446187b7818bbe9f2f91982273eb i was trying your zoo deck i remember you debating if acolyte actually fits in it or not what would you replace it with 
49.0,00461cfd02055aea14069d5f5c5b91e0c057795a,"the problem with blizzard and nerfing things is always the idea in the first place no one can tell me they wanted ui to be balanced they just wanted all the 5""'s in the card when it comes to boom they just want all the 7""'s thats why they wont change the cost or armor for example its so stupid "
75.0,10ad953b44c13990215e70ec949f9762b2cef03e,warrior's ability to discover like 3 omega devastators gets old too 
76.0,9bc44631fdda616490a7972e3e9b3d982532b7c0,think boom is fine just the rush is broken it beats board based decks because once it hits a good omega turn you basically just lost 
83.0,f50a6e669448698739aab4125f75c4845309b692,pog 
88.0,b6e9ad3602f0f2a56bf4c587d84ee91e76402c6e,pog 
94.0,6eb86aa446e8003c5b5c88639add5f03fd07d39a,isnt it hard for them to make change when pro player send decklist to tournament 
108.0,6f131b8049e7052ea185653f5e389affb212d6b3,mana yeah 
