Time,User,Message
0.0,5866f4b0fde67f450e99c5d510c46e2b469d9506,2e34d4a2a31a2250081a59e3e29d378fbc761b5c about the look deadzone at none i run that on my controller for pc apex but wigg told toosh at twitch rivals to but it to small 
0.0,c62a519e75995f32eacd5743bbc74174fe062bef,just leave it and play the game 
1.0,f64c5e4cf7ff918fa8fad1e5020c0aca32773b2e,not tonight 
3.0,363b70fdbf8ba0e51cea90db60260b4697aecaf2,target compensation off 
9.0,363b70fdbf8ba0e51cea90db60260b4697aecaf2,yes 
10.0,b0bdbc597833a7164cecb0ca72e1fb307c67cc66,yeah now its like 10% on by default 
16.0,b0bdbc597833a7164cecb0ca72e1fb307c67cc66,and u cant change it but its tournament settings 
24.0,56934ad3622bad9bcaea3df41f4f4491243e1451,lets see how dis foes 
26.0,19823e69e39521fa1f701570cbcf6795ce3e40c0,if you get bodied for turning off aim assist its our fault lul imagine 
27.0,bf140f67ea8d5194a56e08bc72f23afe6021147c,i'm not a bot if that helps at all btw lmao 
27.0,56934ad3622bad9bcaea3df41f4f4491243e1451,goes 
33.0,c97e0c07099de6f556d5765f4d3b9edb442b10bd,you have deadzone active now that you toggled advanced 
34.0,3ad795882a4fbea911fcb27609ef127cd2165f78,lmaoooo 
40.0,935b5d7f2e1f26bb781e713287b80c4406686ed1,controller 
42.0,9755b39fc7f552574acd1a73cb8c55f5de4ad536,where you stay at 
46.0,363b70fdbf8ba0e51cea90db60260b4697aecaf2,it not recommended to turn off because target compensation on console is our aim assist :( 
48.0,e369de5979dbe5fe354fd4d6c70d7db25cb91da9,aim assist doesnt even work all it does is lock onto ppl that are down for me lol 
50.0,8ea56605e8225ed8c115ea1495ad82d363551f1d,reeeeeeeeeeeeee 
51.0,9755b39fc7f552574acd1a73cb8c55f5de4ad536,you puerto rican 
54.0,56934ad3622bad9bcaea3df41f4f4491243e1451,someone clip whatever happens 
59.0,f64c5e4cf7ff918fa8fad1e5020c0aca32773b2e,spanish 
62.0,dc1e24866c98f35c0a6041ebc913be08e6813739,y'all like aim assist off 
67.0,f14467e08b5583cde70f881a281d6e212ea60dc8,check your deadzone i think you change it by accident 
70.0,5866f4b0fde67f450e99c5d510c46e2b469d9506,2e34d4a2a31a2250081a59e3e29d378fbc761b5c i guess my question is just that does it make a difference or is it better to run it the deadzone look at none if that's what i've always run 
71.0,935b5d7f2e1f26bb781e713287b80c4406686ed1,claw 
72.0,8a4d1f77c8a70fd5e0a8d7d8f6405d21d2232ed8,lmao reeeeeeeeeeee 
73.0,bf140f67ea8d5194a56e08bc72f23afe6021147c,you have good tracking tho so it shouldnt be horrible 
78.0,b0bdbc597833a7164cecb0ca72e1fb307c67cc66,i respect it for you trying instantly followed 
82.0,a28dab4c6a5f2dc3cab1ef1e6ccce4a0c50d6b62,i was a default guy myself but it's worth getting used to button puncher 
83.0,bc3c320a0c8af8c485cf532c4585de2f2fd49b08,lets go pooch 
84.0,935b5d7f2e1f26bb781e713287b80c4406686ed1,sens 
86.0,0f2d9929922ad5bdb57f8755ac7b57de565805c2,2e34d4a2a31a2250081a59e3e29d378fbc761b5c damn fam you a cutie 
87.0,f64c5e4cf7ff918fa8fad1e5020c0aca32773b2e,sub 
91.0,7a65aa1564e821ddef94d191d86de238e4e22a3e,yoo chat anyone know when we can download the update and play i live in california by the way 
92.0,363b70fdbf8ba0e51cea90db60260b4697aecaf2,i never turned it off so i don't know what it like 
93.0,eeb32fb5e9666a81486c1eb3cde79f0c98efe6ee,what time's the update at 
96.0,dcf4bcb56b9013ba183f0f9941117fbb2246e45c,sprint by default on and l stick on heals is the way 
100.0,f64c5e4cf7ff918fa8fad1e5020c0aca32773b2e,s3time 
102.0,a45b43e624e6d50b8aafa42229f07c03c4f847df,you changed your sensitivity to 6 i guess 
107.0,f64c5e4cf7ff918fa8fad1e5020c0aca32773b2e,tmrw 
107.0,80046598eab832fd04d6751beb7b01f7adde9791,12 hours 
108.0,8d9af3be1043d685ab471f75fd371ba754ff4fd3,just remember to turn it back on before you get off lmaooooo 
116.0,7a65aa1564e821ddef94d191d86de238e4e22a3e,12 pm hell yeah 
117.0,8a4d1f77c8a70fd5e0a8d7d8f6405d21d2232ed8,naaa leave it offf 
119.0,b900cd56ed74f7e639eaac2bc1bfdf54c9d0c3e9,7a65aa1564e821ddef94d191d86de238e4e22a3e i read somewhere around 10 am - 1pm 
124.0,b0bdbc597833a7164cecb0ca72e1fb307c67cc66,lol 
124.0,a45b43e624e6d50b8aafa42229f07c03c4f847df,custom 
127.0,0c206afad0dccbe8e91b0fb5324e589b1c42e807,lol 
131.0,a47124c0149de110d4954a90dd817314de0d7d36,lul 
136.0,56934ad3622bad9bcaea3df41f4f4491243e1451,no pooch leave it off 
139.0,8a4d1f77c8a70fd5e0a8d7d8f6405d21d2232ed8,for the content 
144.0,56934ad3622bad9bcaea3df41f4f4491243e1451,lets see how it goes gee 
145.0,9a7b8048bee567aa920471c0f9df489afc6d84c8,for this game 
