Time,User,Message
0.0,cf97c25b3879da06a9737656ff335af48bd4ba0c,can you take off your glasses and look at the camera for like a quick second 
14.0,cf97c25b3879da06a9737656ff335af48bd4ba0c,im gonna mess around in photoshop 
74.0,8a4835b2f6a888c64d87627256c95c319c72011e,xletha1binky 
78.0,30ab7e11fb4587420af7568b5399e733dfe28856,gwizmaynewand gwizmaynewand gwizmaynewand 
93.0,fecb2a3c3cd0dae513345eb694d742fd82d0286a,gwizmaynewand gwizmaynewand gwizmaynewand gwizmaynewand gwizmaynewand gwizmaynewand gwizmaynewand gwizmaynewand gwizmaynewand 
101.0,eb855c22b1cc01b8bd9d9ed8c263376a364dde1d,30ab7e11fb4587420af7568b5399e733dfe28856 ignores me :pensive_face: feels bad man :face_with_tears_of_joy: 
106.0,7f275b188ed28c6bcae27b847da04a7057516f37,gwizmaynewand gwizmaynewand gwizmaynewand gwizmaynewand 
106.0,c8994f9243ea0896f7e642e1d14e04a395fef5e0,cf97c25b3879da06a9737656ff335af48bd4ba0c you gonna put your head on other people's bodies 
121.0,8a4835b2f6a888c64d87627256c95c319c72011e,get nae nae'd 
244.0,eb855c22b1cc01b8bd9d9ed8c263376a364dde1d,na no worries man i'm just heading off gotta go the hospital before work 
249.0,c8994f9243ea0896f7e642e1d14e04a395fef5e0,the sweaty try-hards are out in full force 
289.0,6c05e8fe27fd2922c815d8b5f1a539b343093906,eb855c22b1cc01b8bd9d9ed8c263376a364dde1d :folded_hands_medium-dark_skin_tone: :folded_hands_medium-dark_skin_tone: :folded_hands_medium-dark_skin_tone: 
291.0,cf97c25b3879da06a9737656ff335af48bd4ba0c,im trying to make a picture 
314.0,c8994f9243ea0896f7e642e1d14e04a395fef5e0,please god in heaven take care of lj 
327.0,00584740db13fcfa291855295f98d0068d475bbd,blessrng 
340.0,eb855c22b1cc01b8bd9d9ed8c263376a364dde1d,just a check up with my consultant nothing to worry about :thumbs_up: i have to go every few months to make sure i'm doing ok :ok_hand: 
348.0,4f526da7e95cea16b17edb73b494128a7b0f8dea,wins 
352.0,eb855c22b1cc01b8bd9d9ed8c263376a364dde1d,cheers for the good wishes though 
364.0,7f275b188ed28c6bcae27b847da04a7057516f37,:raising_hands_light_skin_tone: :raising_hands_light_skin_tone: 
367.0,820c01278938b999a9c7332e2c74f8432d2bf9de,prayers for you lj 
377.0,cd2de52bc6b654ffb376816d60710cc71068d514,lol i just joined and i love where this is going :eyes: :eyes: :eyes: 
402.0,4f526da7e95cea16b17edb73b494128a7b0f8dea,tired runnin late 
413.0,cd2de52bc6b654ffb376816d60710cc71068d514,hey dad both of my moms want to know if you'll ever come home they say they can't get enough of you :flushed_face: :flushed_face: 
414.0,3bd80b5cd4325ecd3a17b30eb8a29f90e100698a,lul 
421.0,c8994f9243ea0896f7e642e1d14e04a395fef5e0,4f526da7e95cea16b17edb73b494128a7b0f8dea call in tired 
470.0,00584740db13fcfa291855295f98d0068d475bbd,pogchamp formalv20dono 
500.0,9c5a6cdeeeed760050c5a25dd83b8c87a28434ea,00584740db13fcfa291855295f98d0068d475bbd i don't think he heard the last part lul 
514.0,808d241c6d4677c1011086edae7c12a58b95ea81,wiz what's good your gorgeous ass man poffmyman poffmyman 
547.0,3bd80b5cd4325ecd3a17b30eb8a29f90e100698a,all out chaos lul 
593.0,9c5a6cdeeeed760050c5a25dd83b8c87a28434ea,clip 
649.0,3bd80b5cd4325ecd3a17b30eb8a29f90e100698a,lmao 
728.0,cf97c25b3879da06a9737656ff335af48bd4ba0c,stream snipers 
741.0,808d241c6d4677c1011086edae7c12a58b95ea81,lemme see that beautiful bird 
813.0,808d241c6d4677c1011086edae7c12a58b95ea81,i'm doing good bro just kicking back 
832.0,808d241c6d4677c1011086edae7c12a58b95ea81,yessss she so cute or he lol 
833.0,fecb2a3c3cd0dae513345eb694d742fd82d0286a,gwizmayneluv gwizmayneluv gwizmayneluv gwizmayneluv gwizmayneluv gwizmayneluv 
844.0,808d241c6d4677c1011086edae7c12a58b95ea81,gwizmayneluv gwizmayneluv gwizmayneluv gwizmayneluv gwizmayneluv gwizmayneluv gwizmayneluv 
845.0,4cc991695f36913709803eba4438ee377965ba81,hey cutie 30ab7e11fb4587420af7568b5399e733dfe28856 
852.0,3bd80b5cd4325ecd3a17b30eb8a29f90e100698a,gwizmayneluv gwizmayneluv gwizmayneluv gwizmayneluv gwizmayneluv 
864.0,72e1e15a6645480f5a04391a0e57d96c42813683,gwizmayneluv gwizmayneluv gwizmayneluv gwizmayneluv gwizmayneluv gwizmayneluv 
883.0,808d241c6d4677c1011086edae7c12a58b95ea81,has your bird ever but you brotha 
890.0,808d241c6d4677c1011086edae7c12a58b95ea81,bit* 
897.0,9c5a6cdeeeed760050c5a25dd83b8c87a28434ea,30ab7e11fb4587420af7568b5399e733dfe28856 fine double or nothing 
932.0,4cc991695f36913709803eba4438ee377965ba81,i killed ashleymfsandlers lol she called me a freak after i killed her aha 
941.0,808d241c6d4677c1011086edae7c12a58b95ea81,sorta a love hate relationship 
976.0,c8994f9243ea0896f7e642e1d14e04a395fef5e0,daaang ashleymfsanders she's really loud right 
983.0,3bd80b5cd4325ecd3a17b30eb8a29f90e100698a,lol 
988.0,4cc991695f36913709803eba4438ee377965ba81,lmfao 
1001.0,fecb2a3c3cd0dae513345eb694d742fd82d0286a,haha 
1011.0,808d241c6d4677c1011086edae7c12a58b95ea81,jesus bro :face_with_tears_of_joy: :face_with_tears_of_joy: 
