Time,User,Message
0.0,eb3c5dbddba539f667024a039530a39154f5af97,roodevil did u steal the banner when they said o 
5.0,eb3c5dbddba539f667024a039530a39154f5af97,o* 
7.0,eb3c5dbddba539f667024a039530a39154f5af97,no* 
38.0,c18eccc856292ca0c0e1d613971f290646f1cd36,any idea if the slow zone stacks with time warp 
48.0,4e50ea022426dbb47e53bc7d84c36fda003e9bed,nugget looks max comfy zgblove 
50.0,999ed705dde153c122be7066f710d18e666e8320,im hoping building skins become available soon 
83.0,eb3c5dbddba539f667024a039530a39154f5af97,roohappy you too home zest 
85.0,c18eccc856292ca0c0e1d613971f290646f1cd36,oh that is hideous 
91.0,eb3c5dbddba539f667024a039530a39154f5af97,took home* 
99.0,807cf2a4adbe6c0ef8b09f35de6dcb5923e7e2f4,i'm only playing sc for a couple of weeks now what can i do against storm in zvp 
100.0,c18eccc856292ca0c0e1d613971f290646f1cd36,it might make me actually build mama again 
108.0,bdcc69601682f0a9766385c829e69bfde4c9ebb5,cat 
109.0,1009ed24e81d12ac22a87cfa82c9b4db3f45cd79,turn his banner into a husbando pillow zgbderp 
115.0,51ee2f6a06a9971e91ee9829b2029ec7bac6f909,i saw someone lose against uthermal where thermal just used workers to steamroll the other player xd lowko casted it 
142.0,51ee2f6a06a9971e91ee9829b2029ec7bac6f909,tbf it was that player's first ever human opponent 
150.0,51ee2f6a06a9971e91ee9829b2029ec7bac6f909,but he was terribad 
164.0,b4c56d2337046ac8fe364ca201e1b2d581ca228c,that was a fun series of matches 51ee2f6a06a9971e91ee9829b2029ec7bac6f909 
170.0,999ed705dde153c122be7066f710d18e666e8320,807cf2a4adbe6c0ef8b09f35de6dcb5923e7e2f4 roach max out build you can max out with roaches by 7:30 8 minutes and hit before storm winter has a guide on it on youtube 
184.0,b4c56d2337046ac8fe364ca201e1b2d581ca228c,uthermal's opponents got to name what handicap he would play with 
193.0,51ee2f6a06a9971e91ee9829b2029ec7bac6f909,b4c56d2337046ac8fe364ca201e1b2d581ca228c yeah 
193.0,c18eccc856292ca0c0e1d613971f290646f1cd36,51ee2f6a06a9971e91ee9829b2029ec7bac6f909 florencio is somewhere between m2 and gm and he worker rushes like 1/3 of pvp 
212.0,eb3c5dbddba539f667024a039530a39154f5af97,b4c56d2337046ac8fe364ca201e1b2d581ca228c should have said he couldta move roodevil 
221.0,807cf2a4adbe6c0ef8b09f35de6dcb5923e7e2f4,oh okay thank you :) i was too late for that i had roach hydra vs stalker immortal and archons 
244.0,999ed705dde153c122be7066f710d18e666e8320,807cf2a4adbe6c0ef8b09f35de6dcb5923e7e2f4 what league are you 
250.0,807cf2a4adbe6c0ef8b09f35de6dcb5923e7e2f4,silver 
256.0,b4c56d2337046ac8fe364ca201e1b2d581ca228c,lol eb3c5dbddba539f667024a039530a39154f5af97 he had one where he couldn't attack unless attacked but i guess that's diff than not moving lul 
257.0,51ee2f6a06a9971e91ee9829b2029ec7bac6f909,that player got lost in microing his harrass produced next to zero troops made a mistake with the wall seemed pretty decent with producing his own scvs and once forced to respone he did decent 
268.0,c18eccc856292ca0c0e1d613971f290646f1cd36,hell probius is my preferred pvp strat in d2 
277.0,51ee2f6a06a9971e91ee9829b2029ec7bac6f909,but yeah xd not an easy start to go up against uthermal willingly even 
278.0,a6ce60958e2830f8f8594fe85ecbfe390b12a6e8,good move 
282.0,eb3c5dbddba539f667024a039530a39154f5af97,b4c56d2337046ac8fe364ca201e1b2d581ca228c rookek 
299.0,999ed705dde153c122be7066f710d18e666e8320,807cf2a4adbe6c0ef8b09f35de6dcb5923e7e2f4 im a diamond terran main but i just got to gold with zerg by roach max out builds 
319.0,eb3c5dbddba539f667024a039530a39154f5af97,keyboard only handicap roodevil 
320.0,48d129899ae49b256b4f83adf6329d47640a11a5,i'd get viking at some point 
354.0,807cf2a4adbe6c0ef8b09f35de6dcb5923e7e2f4,i tried to get brootlord but was 1 minute too late 
367.0,b4c56d2337046ac8fe364ca201e1b2d581ca228c,uthermal wanted a game where lowko did keyboard and uthermal did mouse for the same units or vice versa forget if they did it 
378.0,807cf2a4adbe6c0ef8b09f35de6dcb5923e7e2f4,cause he had 0 sky and only stalkers as anti air 
417.0,a6ce60958e2830f8f8594fe85ecbfe390b12a6e8,about even trade i think 
432.0,999ed705dde153c122be7066f710d18e666e8320,807cf2a4adbe6c0ef8b09f35de6dcb5923e7e2f4 yeah trying looking up the build 
441.0,b9113719dfe35de719f3b1a632785fa56e6bbf97,sick track 
450.0,7e1281d430dc7286cd179862aac4d2a8b6d35e12,the scoutclone lol 
454.0,b4c56d2337046ac8fe364ca201e1b2d581ca228c,anyways going to trivia night at a local bar y'all have fun 
466.0,807cf2a4adbe6c0ef8b09f35de6dcb5923e7e2f4,oh im a sub to winter on youtube ill find it thanks for the advice^^ 
485.0,1009ed24e81d12ac22a87cfa82c9b4db3f45cd79,youtube 
489.0,1009ed24e81d12ac22a87cfa82c9b4db3f45cd79,she's got some builds too 
490.0,7e1281d430dc7286cd179862aac4d2a8b6d35e12,well hello there don't mind me lol 
490.0,807cf2a4adbe6c0ef8b09f35de6dcb5923e7e2f4,as i said barely started playing this game prbbly under 30 hours 
496.0,7e1281d430dc7286cd179862aac4d2a8b6d35e12,just passing through fairlul 
503.0,999ed705dde153c122be7066f710d18e666e8320,how does he have so much 
504.0,7e1281d430dc7286cd179862aac4d2a8b6d35e12,fairlul 
525.0,807cf2a4adbe6c0ef8b09f35de6dcb5923e7e2f4,thanks for the advice 1009ed24e81d12ac22a87cfa82c9b4db3f45cd79 last time ive checked i only saw old videos a couple of years old 
541.0,1009ed24e81d12ac22a87cfa82c9b4db3f45cd79,zgbthumbs 
546.0,a6ce60958e2830f8f8594fe85ecbfe390b12a6e8,3 bases 
577.0,a6ce60958e2830f8f8594fe85ecbfe390b12a6e8,with no harass 
607.0,c99d0ea74291b91f122fbbf087f9091e82364fbc,may the force be with zombiegrub may she torpedo that toss butt zgbthumbs 
619.0,1009ed24e81d12ac22a87cfa82c9b4db3f45cd79,imagine marines getting stormtrooper skins 
624.0,1009ed24e81d12ac22a87cfa82c9b4db3f45cd79,and missing most of their shots 
633.0,c99d0ea74291b91f122fbbf087f9091e82364fbc,we need at-ats 
645.0,1009ed24e81d12ac22a87cfa82c9b4db3f45cd79,starwars skins would be so damn sick 
648.0,c99d0ea74291b91f122fbbf087f9091e82364fbc,beaten by eoks lul 
669.0,1009ed24e81d12ac22a87cfa82c9b4db3f45cd79,has anyone made a starwars rts 
677.0,b9113719dfe35de719f3b1a632785fa56e6bbf97,eb3c5dbddba539f667024a039530a39154f5af97 simwave 
681.0,c99d0ea74291b91f122fbbf087f9091e82364fbc,battlecruisers could be star destroyers and the current viking skin already looks like a x-wing 
710.0,1009ed24e81d12ac22a87cfa82c9b4db3f45cd79,looks like they released one in 2001 
756.0,66c45ce1e288438918e6d82a3496d749708b9bb9,<3 
759.0,1009ed24e81d12ac22a87cfa82c9b4db3f45cd79,zgblove 
760.0,771bf21773ed34d05f14fe328b28ae196f4b18de,chargelot archon seems to be so good 
761.0,999ed705dde153c122be7066f710d18e666e8320,ghosts dying is the worst sound ever 
775.0,af5852a3713a52c3bc2f74fd1f8548534265eeb8,just lost _the game_ :( 
781.0,aa23c2f4b6d0015280e510aba8049cda363011ba,mucha ropaa 
789.0,c99d0ea74291b91f122fbbf087f9091e82364fbc,carriers could look like the deathstar deploying small tiefighters 
814.0,999ed705dde153c122be7066f710d18e666e8320,771bf21773ed34d05f14fe328b28ae196f4b18de its a strong army but with ghosts and mines its winnable 
899.0,49b04df10edc2f7e00e7e9437e7e78ddba8d8446,hi pro player 
932.0,d5dceea75c090a196e2121b3433eb1f2a72e68ca,storm is completely balanced 
