Time,User,Message
0.0,bc9cdb34cdd46a44a818e0a9dcfec93efd97e9c8,how was eu elections 32ff4616ed25125b4979c399a625c851bbedaa6e 
1.0,a89559c31af3aa5b9026dddd4e98b8fe30885fae,planetary rush 
4.0,e03e68bafc90f7ba6fa4436e3687f9c449687c0b,32ff4616ed25125b4979c399a625c851bbedaa6e no scan or mule 
5.0,15b0f664f9228c6549ac135cbb1183ccc23d525e,32ff4616ed25125b4979c399a625c851bbedaa6e no scouting 
7.0,ceaf29f8a35c7cb61907195c43d8aef26f70dd35,coffee 
8.0,99ae2b5a442d9df328e6a926cb11eade26bb25ca,dodger coffee co makes responsibly ethically sustainably sourced specialty grade coffee and teas they also created this event that supports the channel and player viewers can order to support the event and take 10% off by using code proam here: https://goo gl/tcqw7h 
9.0,07bc0811e453adf8cc0d192f30664f843ea9b700,no a move 
9.0,0c8801007ed9115552603efea84fd74c052ffdc4,as i said fuck me up fam kappa 
12.0,41e93ddf6226c7c1405af10b3ab2ccdc6fb8facd,32ff4616ed25125b4979c399a625c851bbedaa6e no mule lowlul 
14.0,fb64941678b8cfe464a48c835615b9dcb03970d5,heyo urm what kind of event is going on ^^ 
15.0,b35a4db0158eeb4aa05b4e8d488dbfce87dc1d41,no flying buildings 
15.0,78bea1c0ca5e3d058130aa0b9b45c1915efd4252,no energy 
16.0,b33f244c19dd1512f6c7da518bc851acbfd506ca,32ff4616ed25125b4979c399a625c851bbedaa6e what is the purpose of the 1st 2 questions if i have not ordered any coffee yes i know shame on me but i haven't ordered since i don't drink coffee 
22.0,8975db3563406510b29a702d46d8e18e5a7048dd,32ff4616ed25125b4979c399a625c851bbedaa6e cheese the base only 
22.0,3a9d0c985598d49ceb34e0634823b5204e7ff18b,mouse only 
24.0,7028a3e5841fb188e4d7782c6fe339cb80ab5881,no addons 
30.0,78bea1c0ca5e3d058130aa0b9b45c1915efd4252,also physically dance 
31.0,0316fe26e713d80d96c11483fa05853374ebf656,10 sek 
32.0,550269a2e87fc88474d6d2a4d50c93277e8e6f6e,every minute 
32.0,063f13830709db6fc2e5bb019aacfc43fdc5d254,every 5s 
32.0,3a075c0b5fef29fa625cfc3a17df561645975640,3min 
33.0,063f13830709db6fc2e5bb019aacfc43fdc5d254,kappa 
37.0,bc7babde063e43f6ba48e3be7fd32bdffd05b64a,no chair 
38.0,dc7d675621dd52350002278cf2d129fb85b46d9f,2 min 
41.0,e392873fb28e753dd8cfdd666e31dedc626e8c2a,can only have 5 units of each type 
43.0,fb64941678b8cfe464a48c835615b9dcb03970d5,coffee 
44.0,99ae2b5a442d9df328e6a926cb11eade26bb25ca,dodger coffee co makes responsibly ethically sustainably sourced specialty grade coffee and teas they also created this event that supports the channel and player viewers can order to support the event and take 10% off by using code proam here: https://goo gl/tcqw7h 
