Time,User,Message
0.0,9fc6e6060c0e9da7fab56979ddeb2a16d7111194,lul 
6.0,0106f56b7cf485c838d170b176600f66159a5df4,they do have empty bottles though 
6.0,bf3d3b6bc963555f43de88d347d7176550bc3560,i like the robot eyes for one 4612cf31aeca8d5c85c8a79af9a4dd79352d4d68 
10.0,e3908d7268249fbb6c698485fad090f18ac8dd02,what a gentleman 44f993f6e3a5935c24a7e72f0c37c5037faaaee5 
10.0,0106f56b7cf485c838d170b176600f66159a5df4,and boxes 
12.0,89f5d0b932ac37e3efbbbe9af8c3d9e243b4718b,flying stars hello 
15.0,4612cf31aeca8d5c85c8a79af9a4dd79352d4d68,there are only few house 
16.0,dd8357511f067219aed01fb69031884621a59c46,lmiwave lmiwave lmiwave 
18.0,2ce85ddb6b5299954557443794719eee06706f11,63 alive lul 
18.0,782774b92b22719dc53eccd051bea6cd20263255,lmixd 
20.0,bf3d3b6bc963555f43de88d347d7176550bc3560,:p 
29.0,4612cf31aeca8d5c85c8a79af9a4dd79352d4d68,no loot 
33.0,e8a218e537bea22bf88e456f163580a28667c5c4,i wonder if moths stay on the star 
33.0,0106f56b7cf485c838d170b176600f66159a5df4,walmart is depressing 
42.0,7eb91ff0a00e8e10992880e053d28487f023f4a5,soggysully 
42.0,f232a02a08c8db11819a55f5d83c9d0c3f1b1f84,chocothello 
42.0,dd8357511f067219aed01fb69031884621a59c46,lmilurk lmilurk lmilurk 
46.0,89f5d0b932ac37e3efbbbe9af8c3d9e243b4718b,feels dirty man 
48.0,e3908d7268249fbb6c698485fad090f18ac8dd02,maybe deadmau5 will make it to top ten now kappa 
51.0,0106f56b7cf485c838d170b176600f66159a5df4,you come out a different person from walmart 
52.0,f232a02a08c8db11819a55f5d83c9d0c3f1b1f84,chocotdab1 
58.0,9fc6e6060c0e9da7fab56979ddeb2a16d7111194,actually went to walmart pog 
60.0,7eb91ff0a00e8e10992880e053d28487f023f4a5,soggytom 
71.0,0ff6312d9e7229124871ff884fc94015ef23e67b,well done peepos 
82.0,89f5d0b932ac37e3efbbbe9af8c3d9e243b4718b,blue rare 
86.0,7eb91ff0a00e8e10992880e053d28487f023f4a5,i get groceries delivered to my house i actually don't leave my home 
95.0,0106f56b7cf485c838d170b176600f66159a5df4,winnie pog 
104.0,4612cf31aeca8d5c85c8a79af9a4dd79352d4d68,i like well done 
123.0,e3908d7268249fbb6c698485fad090f18ac8dd02,god buldings are now dog buildings kappa 
125.0,e3908d7268249fbb6c698485fad090f18ac8dd02,dog poop 
149.0,e3908d7268249fbb6c698485fad090f18ac8dd02,classic miramar 
156.0,7eb91ff0a00e8e10992880e053d28487f023f4a5,lumi is reminiscing 
156.0,89f5d0b932ac37e3efbbbe9af8c3d9e243b4718b,it is a jumkyard 
188.0,e3908d7268249fbb6c698485fad090f18ac8dd02,i swear youll find more loot on day 
