Time,User,Message
0.0,515c86b5336fe37a6043813f2dbbd17ad997c907,r 
1.0,a931c6b3eec62cdf3f0c8e53694b544e1987a910,r 
1.0,ae5a37109fc70422fff88710a62f5c0292e9fbbc,r 
1.0,b17c4a0e340a6b04fb2a88309fb3b4e777946f94,rrrrrrr 
1.0,100731f537a3f34a3a04a09d8a87d0c36fd57191,youtube 
1.0,e91a711f6a97d70194ba854f5012ca1619c9a191,r 
2.0,27cf52d1bccf2a630e43c79051970223f687c3f2,r 
2.0,5ded34bffee9d6c3a74244373723b2debf972fdc,r 
2.0,b97c9626db81ed2e2d18f065f65d2aaa6a526b4e,who hosted 
3.0,352a6db4eda3d50eaebca8057d3f2fb4f1eaf4a7,leaderboard 
3.0,844db515e2dbaaaee7dd1ff05735f2717dd99aa2,25k pog 
4.0,5c855e76f46be433e751089b7b0de0a74e961401,wow 
4.0,27cf52d1bccf2a630e43c79051970223f687c3f2,rr 
4.0,dbc85e28bf6d4a016ccd0a99cf102867a62e5626,rrrrrrrrr 
4.0,6d6217be7e800caeb57f58dc0bba8e0f87a28b98,edwin tfue host lets get it 
4.0,1275200a76e404c0d672aeadb9fe398ba5a36620,tr 
5.0,b17c4a0e340a6b04fb2a88309fb3b4e777946f94,r 
6.0,1275200a76e404c0d672aeadb9fe398ba5a36620,r 
7.0,352a6db4eda3d50eaebca8057d3f2fb4f1eaf4a7,prize 
7.0,af58fd7aec4c9a65f63342688654581585ff950c,bro plz show shop 
8.0,0b648a3bcd57dbe0398e9045614a7efd9f395c3f,r 
8.0,27cf52d1bccf2a630e43c79051970223f687c3f2,re 
8.0,5ded34bffee9d6c3a74244373723b2debf972fdc,r 
9.0,46252ee57a28ee1882323d35c6badeeedce34867,r 
9.0,5f56560c51bb736f256ee26d8a6e89c4f663de4e,nr 
9.0,6d55e37b5b6874bc1169ba09dcef09983dfa8366,leaderboard 
10.0,461dc097e0b90ec97ffad32464c226959b61ded3,leaderboard 
10.0,4b1e6a2762ccb58f08f7d591139161d5e064265d,tfue 
10.0,27cf52d1bccf2a630e43c79051970223f687c3f2,r 
11.0,8ad6caac2f77f0501bba171046aed56081f96534,is it all caps 
11.0,0fcd3e413d643e08d18463f0cf5d9d02cac5af86,r 
11.0,b3fcb3dec71e779a32e2f5986f59058438ac02ca,discord 
12.0,a78b59023c2421da98b1c109058b5453c0c5fb70,352a6db4eda3d50eaebca8057d3f2fb4f1eaf4a7 zone rules 
12.0,b4f8da76e48b6d530c104e7441036751f178e572,rr 
15.0,6853dde1b588dd49ced5b046f3ca3f0730fd231f,leaderboard 
