Time,User,Message
0.0,a2a309fce596aa628b6aca17011fd707f8a794e4,discord 
5.0,1da2d6232467f1d54c3516aad429868286007d4d,kittysayskaboom thank you for the follow 
8.0,a0d621bc419949fba20a4295899599ad1c98b046,i like the vertical height variation 
9.0,4c5426ef1b536dac006550f75c8daba1d44555da,that is amazing 
10.0,02c113b69e92dae7a26fa9e9c2e259efd989e8b2,boring bye ; 
10.0,1da2d6232467f1d54c3516aad429868286007d4d,superbrendo thank you for the follow 
11.0,df032cda2697193a238b656b6d70ce38829d7a0d,is this on the new update with the new textures 
18.0,2b02788598c4e9900fe4a3098d5df742138303b1,show us the first building 
24.0,57ef0b7bdbca4c70bc07e84b435950fc27b01b83,mind blown 
25.0,b8f2f508c19a996993e147894069039a63942c3c,oh wow 
26.0,d3c1898465ca072fd5a78558822db1db897fc123,omgggggggg amazinggggg 
27.0,7126c15725418bd6d71eaa1848c7cbaf34975933,beautiful 
29.0,bb488549a968edf0e5a42ac8cc31cf956629b303,very impressive 
35.0,d8268d6dbefe13df2af0617fa8ef9df942b689a7,wow 
45.0,df032cda2697193a238b656b6d70ce38829d7a0d,niceee 
47.0,6ff7098b3707c07b1f0cc41cb6288f1d3a2428f9,i cant even type its great 
50.0,b8f2f508c19a996993e147894069039a63942c3c,the oldest one then :p 
51.0,24e367b4ec248d32e9979513744a1897024f88b8,joe: can i build one more house mom: okay then [spends 3 months building a 500x500 mansion] 
62.0,e2ec9bde758cd89eccf9740808ddce6ed5519e14,that is a beatiful city 35df1f2ac369101d5b1b718c8af1b2d2ad522e04 
65.0,1da2d6232467f1d54c3516aad429868286007d4d,nicklash3 thank you for the follow 
70.0,1da2d6232467f1d54c3516aad429868286007d4d,micheal_mell_bemorechill thank you for the follow 
75.0,1da2d6232467f1d54c3516aad429868286007d4d,jdpow thank you for the follow 
77.0,aa0bf273366ed4ca43ca389411e76669bc3cea4d,there are so mant talented peeps in this community 
80.0,1da2d6232467f1d54c3516aad429868286007d4d,streettrendt thank you for the follow 
85.0,1da2d6232467f1d54c3516aad429868286007d4d,lanlong1 thank you for the follow 
86.0,aa0bf273366ed4ca43ca389411e76669bc3cea4d,whinnytford 
90.0,cc74f9c24fe78d33069672659c4a5a0e7e5cc759,i sadly need to go now 
90.0,1da2d6232467f1d54c3516aad429868286007d4d,zodiacsiren thank you for the follow 
94.0,cc74f9c24fe78d33069672659c4a5a0e7e5cc759,might come back later 
97.0,d3c1898465ca072fd5a78558822db1db897fc123,aw cya later 
104.0,e9ecb9a3611e2a05e132da762dbaca03a76f1ba5,what is the music i love it 
104.0,d3c1898465ca072fd5a78558822db1db897fc123,have a good timee 
107.0,33f405c56cb0ea04868fbfbc0971716acaf9b373,have you built anything underground/underwater 
110.0,cc74f9c24fe78d33069672659c4a5a0e7e5cc759,i am going to build something like this on my superflat 
111.0,24e367b4ec248d32e9979513744a1897024f88b8,when he types /: please summon wither please summon wither please summon wither 
111.0,d869f0e96e3761318085cf65b801ea203c4fa4fc,this whole world is goals man lol wow 
119.0,d3c1898465ca072fd5a78558822db1db897fc123,good idea 
125.0,1da2d6232467f1d54c3516aad429868286007d4d,d0gew1zz thank you for the follow 
129.0,4c5426ef1b536dac006550f75c8daba1d44555da,your buildings look very three-dimensional it's absolutely gobstopping 
130.0,1da2d6232467f1d54c3516aad429868286007d4d,jumboplayz thank you for the follow 
133.0,d33d4c395a2dd494976bb97d6d5f21b7b2c3ab17,how do you know watchtime 
134.0,a2a309fce596aa628b6aca17011fd707f8a794e4,discord 
135.0,1da2d6232467f1d54c3516aad429868286007d4d,mankuuse thank you for the follow 
138.0,d3c1898465ca072fd5a78558822db1db897fc123,if i get enough money 
140.0,1da2d6232467f1d54c3516aad429868286007d4d,ace3473 thank you for the follow 
140.0,d3c1898465ca072fd5a78558822db1db897fc123,maybe i can sub 
145.0,1da2d6232467f1d54c3516aad429868286007d4d,cantbechangedlater459 thank you for the follow 
150.0,1da2d6232467f1d54c3516aad429868286007d4d,susimusta thank you for the follow 
151.0,d3c1898465ca072fd5a78558822db1db897fc123,i have no money though 
155.0,1da2d6232467f1d54c3516aad429868286007d4d,nikita233421 thank you for the follow 
155.0,80909f8a7ce70fca76488018891c347c690cf9f2,did you ever build kings landing 
159.0,aa0bf273366ed4ca43ca389411e76669bc3cea4d,do you ever play java 
160.0,1da2d6232467f1d54c3516aad429868286007d4d,truerex101 thank you for the follow 
166.0,6ff7098b3707c07b1f0cc41cb6288f1d3a2428f9,can any random person req 
167.0,bfc42c32c9b8dc09c8527a02f9fe33d3a0e87347,wow thats amazing 
173.0,24e367b4ec248d32e9979513744a1897024f88b8,your builds nearly bring my dirt house to shame 
176.0,6f76d5d9650fc254c315487527699ffed74b8896,are there interiors as well or just shells 
185.0,3be1c99bd1f8fc23047d2a33d4743585e1193d73,how much is it for a building 
186.0,d3c1898465ca072fd5a78558822db1db897fc123,i don't have a single penny but i'll try to sub to u one day 
187.0,3be1c99bd1f8fc23047d2a33d4743585e1193d73,cloakstare 
187.0,6097a0207b99386e9951c8aa1c91ad89874f9f9a,show them the requested dirt house :p 
206.0,57ef0b7bdbca4c70bc07e84b435950fc27b01b83,genius 
216.0,1da2d6232467f1d54c3516aad429868286007d4d,killbob161 thank you for the follow 
218.0,1da2d6232467f1d54c3516aad429868286007d4d,randon9777 thank you for the follow 
221.0,1da2d6232467f1d54c3516aad429868286007d4d,milkbagjones thank you for the follow 
226.0,1da2d6232467f1d54c3516aad429868286007d4d,upgrad3_ thank you for the follow 
229.0,d3c1898465ca072fd5a78558822db1db897fc123,yay sure i'll stay for 50 hours no problem 
231.0,1da2d6232467f1d54c3516aad429868286007d4d,anbal thank you for the follow 
233.0,e9ecb9a3611e2a05e132da762dbaca03a76f1ba5,that is beautiful 
235.0,d3c1898465ca072fd5a78558822db1db897fc123,omg thats lit 
236.0,1da2d6232467f1d54c3516aad429868286007d4d,backyardferns thank you for the follow 
239.0,aa0bf273366ed4ca43ca389411e76669bc3cea4d,wow 
240.0,d869f0e96e3761318085cf65b801ea203c4fa4fc,that's super pretty 
243.0,6ff7098b3707c07b1f0cc41cb6288f1d3a2428f9,joe why do you set it to midnight 
243.0,06cec3d9950cb9ba752ddc0dcfea139a980a5fc3,i've followed so i'll be back but i have to try and sleep xd 
244.0,6ae472dc79d7cf975ccdddf78104ff55e15e7330,holy moly 
248.0,605067757ff3d0154d995d9a2b5649fc944243b4,ok thats just amazing 
251.0,b8f2f508c19a996993e147894069039a63942c3c,can the 50h users visit your world 
257.0,6f76d5d9650fc254c315487527699ffed74b8896,that is amazing 
265.0,1da2d6232467f1d54c3516aad429868286007d4d,thedroidyouarelookingfor thank you for the follow 
266.0,e3ae30c36df0035157f2bc38217071efae30d00b,i got a park bench for my 50 hour build 
267.0,a8b2db131592341105b24067043ebffb01910603,do you have a earth globe in this map 
270.0,1da2d6232467f1d54c3516aad429868286007d4d,xangryplay thank you for the follow 
275.0,1da2d6232467f1d54c3516aad429868286007d4d,marius855 thank you for the follow 
280.0,1da2d6232467f1d54c3516aad429868286007d4d,paltzisnorth thank you for the follow 
285.0,1da2d6232467f1d54c3516aad429868286007d4d,rg765yt thank you for the follow 
288.0,e906d17ec976805ec04d9862a9d6676fb8ee1f0a,you are an amazing builder danm 
290.0,1da2d6232467f1d54c3516aad429868286007d4d,ttv_lxix thank you for the follow 
290.0,d3c1898465ca072fd5a78558822db1db897fc123,i wish i could join but i only have java edition and i wouldn't be allwoed to join anyway 
292.0,59ee66402f6609cfcc6923cc72a9db33feff1b39,big big city 
295.0,6f8ed8f1850aaa618537807a2ffdce8d61edbb55,wow i think the eremitage would fit in very well 
323.0,aa0bf273366ed4ca43ca389411e76669bc3cea4d,nice 
325.0,1da2d6232467f1d54c3516aad429868286007d4d,youreverydayjaytwitch thank you for the follow 
341.0,672de9124c7ab59bfb5b2ea41a0c95e08e7244c2,wat was youre first house 
351.0,d3c1898465ca072fd5a78558822db1db897fc123,yeah what was ur first house 
355.0,de7347f0bb8fcd0da1a7b8a46a8de88feb2e1d0e,the building on the far left 
362.0,de7347f0bb8fcd0da1a7b8a46a8de88feb2e1d0e,seems very big 
367.0,d3c1898465ca072fd5a78558822db1db897fc123,aw 
375.0,24e367b4ec248d32e9979513744a1897024f88b8,mojang should frantically be taking notes 
386.0,e9ecb9a3611e2a05e132da762dbaca03a76f1ba5,has this world always been streamed 
386.0,57ef0b7bdbca4c70bc07e84b435950fc27b01b83,your city is just incredible 
393.0,d8268d6dbefe13df2af0617fa8ef9df942b689a7,how many hours have you played on the world 
398.0,d2216d97105e4d6b76f11c93a3c86de437ca7678,what did you replace your first building with 
405.0,e0ee6604ed51602a7d80a17733aae97b81eb9c7d,will it ever be finished 
405.0,1da2d6232467f1d54c3516aad429868286007d4d,thecurrywolf thank you for the follow 
411.0,1da2d6232467f1d54c3516aad429868286007d4d,legacyxcept thank you for the follow 
415.0,1da2d6232467f1d54c3516aad429868286007d4d,ezsquirt thank you for the follow 
427.0,24e367b4ec248d32e9979513744a1897024f88b8,your city is a visual representation of dedication 
431.0,b8f2f508c19a996993e147894069039a63942c3c,do you do redstone 
435.0,57ef0b7bdbca4c70bc07e84b435950fc27b01b83,holy so much more 
440.0,6ff7098b3707c07b1f0cc41cb6288f1d3a2428f9,mojang wants to know your location 
463.0,022e28fa1365b4642e619da95aefd91bac02bc3b,built in creative or survival 
464.0,2b02788598c4e9900fe4a3098d5df742138303b1,wow this one is awesome 
465.0,1da2d6232467f1d54c3516aad429868286007d4d,cmriss thank you for the follow 
