Time,User,Message
0.0,e09fb4ca81aa9a5ab9721e803719909489e18a7b,dab got caught and plead guilty 
2.0,5324883fd2669d046f061d98c955f6f3366528fa,cf0489453931b653c7a5a4c59cae4cdb29ef7ea8 enjoy that new badge welcome back ziggyjlove ziggyjhype ziggyjlove ziggyjhype ziggyjlove ziggyjhype ziggyjlove ziggyjhype ziggyjlove ziggyjhype ziggyjlove ziggyjhype ziggyjlove ziggyjhype ziggyjlove ziggyjhype ziggyjlove ziggyjhype ziggyjlove ziggyjhype ziggyjlove ziggyjhype 
4.0,a5196edbdf3ba0944096e77fb428819900962114,where is the truck ziggy 
6.0,cd154d005b19f7db7f575fe4726b050941e95bbf,wheres the truck 
7.0,4d834a040b70a1d64795179d5d6151c73a613912,eva xevilaaww 
7.0,6902b3c7aac9ad62b5181a24481604488ba6bf52,dab admintted to blowing up a bus terrororism 
8.0,cf0489453931b653c7a5a4c59cae4cdb29ef7ea8,ziggyjthicc ziggyjuwu 
17.0,cf0489453931b653c7a5a4c59cae4cdb29ef7ea8,celesia ziggyjuwu 
19.0,a201dde2c2249b74c391c094d8e9b1b6a4ec91d7,heloo 
21.0,cf0489453931b653c7a5a4c59cae4cdb29ef7ea8,regan104 ziggyjuwu 
26.0,5324883fd2669d046f061d98c955f6f3366528fa,uptime 
30.0,5324883fd2669d046f061d98c955f6f3366528fa,getting sleep ziggyjnap 
31.0,a201dde2c2249b74c391c094d8e9b1b6a4ec91d7,lm amir 
36.0,5324883fd2669d046f061d98c955f6f3366528fa,sleepy* ziggyjhands 
36.0,c75c9b8a5d35a5c7b5dec312e1baecbab786d714,cf0489453931b653c7a5a4c59cae4cdb29ef7ea8 lewolflewd 
37.0,1dddd06e83f315f324961e525848058c85299e58,would have been nice if jenny would have seen dab off 
38.0,ef958f2cb333cb02326a26a28eff45ca862a3c34,495c5f50e9eb09419b24ba59217311860256048a what if hilda would die ziggy would never 
40.0,8e6ad2956ac653e4bc1f703a6e126c2ec3e1df4a,murder terrorism big time gun trafficking and big time drug trafficking should be exempt of the 30 day rule and be extended to atleast 60 days but anything over 90 seems a bit rough 
40.0,d2eabd52fc0c22ad007e8f854b3ce371ce01a560,my issue with cid is that it seems some of them log on once a week to fuck people over for a day or 2 and then dont log back in for a week *shrug* 
42.0,6f51ef187da7d0d2cfa2d16596475e95846afa54,“don't drive the truck it's shit!” “where's the truck?” shotzsbs 
45.0,150564d75a000df2f562cef55beefe40cbce3ab3,cf0489453931b653c7a5a4c59cae4cdb29ef7ea8 3 months green gem ziggyjv ziggyjv ziggyjv 
47.0,fe87e18bb80b48ca623776557f47a1e62e7ccccd,ziggyjz ziggyjz ziggyjz ziggyjz ziggyjz 
48.0,287a8b547a4c24c8a80fce7d2e7b4c52ed9cb2b5,why are cops always rolling 2 deep now 
49.0,d49c72af81e6b6cdd6b32d391f3f6f550d7d04d9,is this convo around dab situation i showed up late 
51.0,1c6fe278d1192ec2f5fbf606307e342b46e045a1,whats the difference between pd the sheriffs department and cid 
53.0,a201dde2c2249b74c391c094d8e9b1b6a4ec91d7,may ferom lran 
53.0,e2d24fb2fe49e47f2624df18b3f358c9c61ceff5,5324883fd2669d046f061d98c955f6f3366528fa goodnight o7 
57.0,2a1beebecdde0119b395fcdfb37a68b777bdf53f,hi 
57.0,c7f3713009ee5ac3cd724817916cf1b8d2181564,hilda is out of prison 
65.0,4760121cefa391df51638a9b2d1752cddf3c8f20,d49c72af81e6b6cdd6b32d391f3f6f550d7d04d9 no 
67.0,cf0489453931b653c7a5a4c59cae4cdb29ef7ea8,archamedes ya ziggyjaya 
68.0,5324883fd2669d046f061d98c955f6f3366528fa,287a8b547a4c24c8a80fce7d2e7b4c52ed9cb2b5 dias is a cadet so he needs an fto 
75.0,5324883fd2669d046f061d98c955f6f3366528fa,"e2d24fb2fe49e47f2624df18b3f358c9c61ceff5 i""m not going to bed yet close to it though geefaww "
78.0,1a34210e4901c3fcf6c390346f48c88dffcf4e0b,turn the music off 
82.0,27a3606886866823ad7e0343f2232bd1543480cd,no more dab ziggyjhands ziggyjhands 
84.0,b239024740f8b414757ecb96e3c3e998b48469f6,6head 
87.0,ba5156af718c949bef8869685540465cc05b8099,go get hilda you turd 
89.0,e2d24fb2fe49e47f2624df18b3f358c9c61ceff5,ahh ok 
89.0,b239024740f8b414757ecb96e3c3e998b48469f6,5head 
89.0,d49c72af81e6b6cdd6b32d391f3f6f550d7d04d9,4760121cefa391df51638a9b2d1752cddf3c8f20 ok thanks everyone kept bringing up dab lol 
90.0,a6b16343bac8016ea60929fe3f00309232b0df9c,music 
93.0,ef958f2cb333cb02326a26a28eff45ca862a3c34,turn music up :d 
93.0,6fd3e99d5bab9b45e8f17c2db4cc55c8f6d8f7bb,ziggy u cant get a sport car for police car 
95.0,f42c3cfec5b7573d6ef2db561fa5fac3c62d41f1,perhaps the 30 day limit shouldent count for certain types if evidence such as statements or if peoples lives are at risk it overrides the limitation 
96.0,57d69c9cfd7e41ae3ec17a30dcfe09868ed9fc2a,d2eabd52fc0c22ad007e8f854b3ce371ce01a560 who does that 
96.0,ef61d13ec7d29a0a6f497911f7e6bf9f36c8697d,peppers pog 
98.0,c96aaa5fca7e60d050731896c8c124a3214b8ec1,how is diaz still a cadet 
98.0,e2d24fb2fe49e47f2624df18b3f358c9c61ceff5,5324883fd2669d046f061d98c955f6f3366528fa whats an fto btw 
99.0,5324883fd2669d046f061d98c955f6f3366528fa,omg 
100.0,c96aaa5fca7e60d050731896c8c124a3214b8ec1,he is so good 
104.0,686ab4ee7d67bde28cf5dd7fad5ef478cb8a5c67,good song ziggyjlove ziggyjlove ziggyjlove ziggyjlove 
107.0,5324883fd2669d046f061d98c955f6f3366528fa,e2d24fb2fe49e47f2624df18b3f358c9c61ceff5 field training officer 
109.0,cf0489453931b653c7a5a4c59cae4cdb29ef7ea8,don't even ziggyjsalt 
110.0,f60ba05755283c6ba6f8a8559d728be77612f358,brownbackseat 
110.0,7c40e84300e96c29fb7c739f3d94080cd8ae6ca7,yes 
112.0,ea75e5f4455f3f59b98c139861ffe80eadcfeeff,ziggyjpalm ziggyjpalm ziggyjpalm ziggyjpalm ziggyjpalm 
113.0,08af9295164c69d4df3c945fe64b114b6bec2852,ziggyjdab 
116.0,dc755a9bb231fcc0e7380f6c921b4ee1d1ce8bd0,ys 
116.0,5d9d995caa32c63cbf8a2112ca887be877f3097e,yes my mom 
116.0,f1116e6749f43e10a40e8499aa10059f1d902675,i wanna frontseat gaming where to sign up moon2n 
116.0,578d77534643843556e9e52eefd922a650edf986,366c623d9f2ea2ab8471b7bf06a66ef0b3ec467a what you gonna spank me for backseat gaming zaddy 
116.0,686ab4ee7d67bde28cf5dd7fad5ef478cb8a5c67,lul 
117.0,ef958f2cb333cb02326a26a28eff45ca862a3c34,hell yeah 
118.0,d0b19129531b05e4efa2e4ad11004409dcf7e15c,i do that :) 
118.0,727d30c7a42ed3a3de70731a5334e72a84b596b3,mm 
119.0,30f2b025432bdeea9581b7aab54fa16f3cf4e0d3,yay 
119.0,5324883fd2669d046f061d98c955f6f3366528fa,just enjoy the rp 
120.0,ed772ad878a9711e5a7a8d55b26623a8451b0db8,y'all kkona 
120.0,7701aa7ca6f8e98640943d5897531a8971f28d07,yea driving school lulw kappa 
121.0,ba7879ead9acb9cbe8d0dc768b724b4e80a9e9ff,oh you love us 
122.0,552a432434f397e8a7aea8e8a723e885e661bb55,chat quit it ziggyjno chat quit it ziggyjno chat quit it ziggyjno chat quit it ziggyjno chat quit it ziggyjno 
124.0,4760121cefa391df51638a9b2d1752cddf3c8f20,d49c72af81e6b6cdd6b32d391f3f6f550d7d04d9 ye i know it was kind of a big thing tho so i understand why 
124.0,38f88af28bd4ff46e3897232a30f37085ad6fff3,tha's y'all tippyw 
125.0,7f6fc37daef5013a9cd6122541dadbe4beaa2c4d,lul 
126.0,70c3351a8412a3966969554d9f5aad36a78ac45b,stimmer do what i want babyrage 
126.0,db06e04b1272b549f658792096dc1fb155b20530,it's really interesting to see how the american police handle situations i play as a danish police officer on a danish server so many things we just can't do due to our law here :d 
126.0,35ed7ac46242c2878800dcd2968606394269d52a,d: 
127.0,ba5156af718c949bef8869685540465cc05b8099,come at me bro pg91puke 
127.0,7a7a627e69d7eb4032d7b0f1003cdb79f8f338b3,go left and then right ziggy lul kappa 
