Time,User,Message
0.0,1963e815aaf74ccdd24fee60759b54d964c3665d,he can't even grapple 
0.0,bc2a3ea929a07d03d1edaa5e4ead1f32ee591780,sup 37b00532a96c9cd393c958411acbb15b588c6a77 thanks for being a positive influence you are easy motivation for the gym each day especially gfueled out of my mind 
0.0,46e552e4ea27f581d4a333bc9cf87e45572cfece,9d623d2925ab45490a5d279c61ca72487b4d16cc lul 
4.0,3525dfeb3ba45590af3bfaeaef700720017219d2,lol 
5.0,cab5f122cccdcb93f39a88f0923e35b0cac2a151,i understand that reference 9d623d2925ab45490a5d279c61ca72487b4d16cc 
10.0,9d623d2925ab45490a5d279c61ca72487b4d16cc,cab5f122cccdcb93f39a88f0923e35b0cac2a151 :d 
15.0,a6d0b054f7fd4db083d0d0eecae0e40038be5115,uh yea e7db81ceed68cfb3cd591fc6a42df90978ff8476 for sure vissliti 
16.0,192d054fb6ba5358c2e541f2b209b3bb8bacc3f2,he just toggled it off 
17.0,51d28ca7bde33a3864d26431216afbff19d53d16,dont hate viss he got that better gaming chair that's all 
17.0,3687c4eb6d5406bc5c10ba6fe69eea0c74764c5a,lol fucking hate cheaters 
22.0,0abdba598b365bdae126f1467f0f97ba62b153d0,people like this ruin games 
28.0,67684b382f2f1157333d4ea37c8b7258a166c908,stay golden pack i gota go get some games in as well vissh vissh 
28.0,406cef549a3aaca2e97ad7c8b313ce0fa7a325c2,what's the point in cheating seriously 
31.0,58622a847ce8cbedd6cd19eafffa9450e078a306,i need try gfuel 
33.0,6c0d64667188465ed96405969c02589651aaefe2,37b00532a96c9cd393c958411acbb15b588c6a77 i dont understand why people do that it doesnt prove anything ever 
35.0,6a2fe9402f7723139cc93a62a48dbea7daa60a63,but he only hits all his shots and has 12 kills tho kappa 
37.0,7b72d949ba4f5d80c9aa5f746d6ccbb3d7ac1687,i aim through walls when i'm g fueled out of my mind 
38.0,38ac0300548b2c996eae75eacb45d2a2c164d10e,cheaters still pretty big problem seen a few the last couple days 
38.0,84f8a2d91684549ea201268bbed85d62218c013b,46e552e4ea27f581d4a333bc9cf87e45572cfece vissderp woops 
39.0,56b2e09bb0dde2feda4ae0d949803fb076e73f8e,whats the point of cheating lul 
44.0,9469ac5f6d17da903694dfc99c81a6a24a9e6ebf,how is this fun for him 
44.0,46e552e4ea27f581d4a333bc9cf87e45572cfece,84f8a2d91684549ea201268bbed85d62218c013b cmonbruh 
46.0,deca02efa346d6d314acd25cb1761050f96647d9,hello all vissh 
47.0,9ea520129858fead0226de4db143c52d5cc93c29,37b00532a96c9cd393c958411acbb15b588c6a77 you gonna play death stranding when it comes out 
52.0,9d623d2925ab45490a5d279c61ca72487b4d16cc,deca02efa346d6d314acd25cb1761050f96647d9 hey man 
52.0,46e552e4ea27f581d4a333bc9cf87e45572cfece,84f8a2d91684549ea201268bbed85d62218c013b tannerf 
58.0,777d37285daee9466fe569704c57d07649558567,cheaters cheat cause they suck and can't be any good with out hacks 
60.0,cab5f122cccdcb93f39a88f0923e35b0cac2a151,best gaming chair 2019 lul 
62.0,63bf9a47b256f7628807a1c71b3fe57462674b25,i love when they toggle off once people are watching and then get killed lol 
63.0,1cbcc6be1665fd2a1efaf169a027ebc86f0025d5,548a84c63cf401149ccfa110a045dbef78d7f1dc yo brother just finished a game and got lasered by hacker douyoutv hacker feelsbadman 
