Time,User,Message
0.0,a32ff16e6e28f37096c24215702052a67fcaf230,what up chat just got a contract on my house 
3.0,99fb0ebbd09253bd5ad4f0386c55f96f20aa4821,anyone else getting lag 
3.0,a32ff16e6e28f37096c24215702052a67fcaf230,visshype 
6.0,88f7e5864cd9998c54ae49e9f9175f641dbff024,i've noticed we have doc's peeps in here waiting on the 2 time to doctorwakeup doctorwakeup doctorwakeup doctorwakeup doctorwakeup 
14.0,53f5ed20dfff83e56a84a0a191f3cfe5b4cf9112,g7+double tap 
16.0,1e25d279036dc720fda595d943fd78db5fbb68df,3ce159540378486a8d1bf245db6827ff800aaa55 if it turns red it'll drop the key now if it turns red is where rng is 
20.0,cd7cd5b98fa1ccf873e49f57ea33999b7008098d,a32ff16e6e28f37096c24215702052a67fcaf230 visshi visshype visshap 
21.0,6d876f390a95373a91cbda51623a6fd71f87f398,lmao that guy was like opps 
28.0,04f33f76ce27b79dfb80c7cb6d9355079be3e181,a32ff16e6e28f37096c24215702052a67fcaf230 congratulations woot woot vissh 
31.0,c1039cb748242a163bb26c9a99a751bb92d43f43,who plays rank kappa 
40.0,177faf165402787912c99bea2177329d4ef6cd14,viss4 
45.0,94679fa09c5d50f837e25d914a6b5748b3dd80d0,*raises hand* 
46.0,585328673274508ec76c9fb81a860ed2ce4f7234,37b00532a96c9cd393c958411acbb15b588c6a77 peacekeeper main again 
49.0,3ce159540378486a8d1bf245db6827ff800aaa55,1e25d279036dc720fda595d943fd78db5fbb68df gotcha thanks for the info 
52.0,6d8fb3b3368c9e521befaa098601b77609ff0363,playing against bots lol 
53.0,a32ff16e6e28f37096c24215702052a67fcaf230,cd7cd5b98fa1ccf873e49f57ea33999b7008098d 04f33f76ce27b79dfb80c7cb6d9355079be3e181 thanks so hype 
56.0,25f500dba0de1c021742665902ba56c4585d0915,88f7e5864cd9998c54ae49e9f9175f641dbff024 yayaya 
56.0,e374042fd25a918c1c35ee9327f31c6edaa03966,savage 
57.0,63ec8f6a37b44b99accd2b581789600314e2800b,anvil receiver sucks 
63.0,cd7cd5b98fa1ccf873e49f57ea33999b7008098d,88f7e5864cd9998c54ae49e9f9175f641dbff024 viss and doc vissrespect vissrespect visshype 
64.0,a8e1e55beefaa0df359a6119342ca82a43539d7d,shit is broken in ranked 
68.0,964ff04d7364da4116b69e21cfdd3e370f86fd0d,literally nicewigglasers nicewigglasers nicewigglasers nicewigglasers 
69.0,c1039cb748242a163bb26c9a99a751bb92d43f43,the rewards are not rewards lul 
70.0,9532026a3fc05a566486c67812da86e3f80ff6ff,after the rewards for previous season ranked play ill never play ranked again 
