Time,User,Message
0.0,d1af5439420fd4462f5836d557db1c10114cb4dd,brine moments 
0.0,888d53418842fe5bf0da433a5c0217ed2ace993a,hey i'm back what's up 
8.0,f69551090a8bd3b77c88e26b9c9a042dc9ce912c,play some sick mega bass dubsteps 
15.0,7133587a4620123b1fd8453415d004c48bfdf01b,herobrine tickles your neck 
21.0,aa3e84d876c2367ed0f630cbcb4aff8afe28ab81,dude behind u a wild raccoon 
33.0,2350caf83f094363a8044da440c3754ba8f492d0,this my first stream and i love you no homo tho 
38.0,5fa6250eec79e48ce9e8423d094c45ac86236aa3,generic clothing store music 
42.0,eca442b8897231a5e43a4c35ec73af1d3e5e2ae0,l 
43.0,6eb913d024de7fc9b6963ad87988ad588fb9f835,37c5a29763abbcaf0d27d43b389758e5bb8f6882 a good way to find diamonds it to mine around redstone in all directions 
52.0,5aa0f9f40766ed5653df8054057265ad04a06112,squid1 squid2 pogchamp squid2 squid4 
60.0,e11df7ad52015f2a0b36e081fc35bdfb5eced4d6,youre making my stomach feel better what the heck 
60.0,ebb78bbd85521efd225b6d3e442fc42322abb151,sup jc love ur streams 
62.0,7133587a4620123b1fd8453415d004c48bfdf01b,hello jc the caster 
64.0,81fe36196bbc4175c96bc5d06091610805af66cb,play bonfire by childish gambino 
66.0,4fdd759c7a9c4244738495851ee798a0f8fb8f7e,what's the obj i just got here poggggg 
68.0,46f970a8e89db2912a0bde925dfc42f7cc6e3d22,hey jc how do you put the torches down if they're in your off hand 
70.0,cd21b26e9882bd119182b1d9540b5d91f8d1cf3c,play something calm and soothing like slipknot 
70.0,f12c57d9f1d237becd49e79780343818be508bb4,hello there 
76.0,aa3e84d876c2367ed0f630cbcb4aff8afe28ab81,when's the face reveal jc 
77.0,dee1baf7c9a87561d58e3a4f0d9376bf2efa726d,ssssss awww man 
99.0,3225b2b2dcfd771d2d8c71b162127def6bbcc9a8,what's the meaning of your username are you a shoutcaster or is it like a mage caster type thing 
99.0,a87a9c35f69694154497b8c7242417f2697ca920,:bruh: 
101.0,faa508c882a37f334384975147da7173ff681fb2,37c5a29763abbcaf0d27d43b389758e5bb8f6882 what are your plans for your new base 
101.0,0cac72dae1e9c3a8706caa1bb62761c3655f3f95,37c5a29763abbcaf0d27d43b389758e5bb8f6882 u have inspired me to play some minecraft whilst watching u play minecraft 
106.0,6eb913d024de7fc9b6963ad87988ad588fb9f835,yeah like that and you might find some diamonds 
108.0,257c7f88ccd47cebb535a5dee508f00bbe9ab918,wear a creeper helmet to twitchcon 
110.0,b575c2da16a48fa39a234f30e4b6fe496f795d47,when's twitchcon 
114.0,f69551090a8bd3b77c88e26b9c9a042dc9ce912c,you are probably ugly and scared 
114.0,a0ffc004418e32eac5122eaa543c583e5e5aecf5,trust me jc the hype is here 
114.0,8c56d6faaa99374d9843ca0e3d266cf364f66b66,your voice is so soothing my guy 
120.0,fc8539c33a6063552dd7be7964f288ac7c1b0f35,y dont you mine in a 1x1 
121.0,d1af5439420fd4462f5836d557db1c10114cb4dd,so much intense music combined with the chill music 
123.0,894a0cebddc0b75c0d6df02051473182a64baef1,why my naku hard imnakulewd imnakulove why my naku hard imnakulewd imnakulove why my naku hard imnakulewd imnakulove why my naku hard imnakulewd imnakulove why my naku hard imnakulewd imnakulove 
124.0,7840db9a92a19f2aacff903391bf49407f1c5993,yes 
126.0,08c0f2d01be2dfc1d9d594f9fba642da79425ea6,sure 
126.0,ae6adb55a1623d04287e916ef10d773ca9dbcbb6,stop 
128.0,ae6adb55a1623d04287e916ef10d773ca9dbcbb6,stop 
129.0,ae6adb55a1623d04287e916ef10d773ca9dbcbb6,894a0cebddc0b75c0d6df02051473182a64baef1 
131.0,0cac72dae1e9c3a8706caa1bb62761c3655f3f95,yh sure 
132.0,b2be5a5d7edf9255aa6071c8ee395f94f4e50ad0,yeah 
134.0,559faccb38d0f6f693145669adcef92175f8e28d,id like to hear it howd u get the name 
135.0,aa3e84d876c2367ed0f630cbcb4aff8afe28ab81,what does swagger look like 
136.0,d8fc98676d7c645d4a9eb3366ec96fc09829cdc9,yelets hear it 
138.0,dee1baf7c9a87561d58e3a4f0d9376bf2efa726d,ssssss awwww man 
138.0,08c0f2d01be2dfc1d9d594f9fba642da79425ea6,im listening to ur stream in the background 
139.0,957f78abac1974de9a320bc559d3b7233550f058,ye 
140.0,b89bc4fe9b6b8173779663496f1565f84a9fb6ed,tell us the story man 
141.0,eca442b8897231a5e43a4c35ec73af1d3e5e2ae0,dex 
142.0,d727121c52f267da1a218bf1bb45d4a3d9b6f21d,yes story please 
144.0,d880b63fd2d1c059c75ad35e644987bac368431b,finish the sentence jc gucamole ni- 
