Time,User,Message
0.0,545606d388baf8fc92341f447b4a27dd97d173dc,this is classic mtg 
1.0,1cbc4b98d6d1e9758f7406c75695fc5401c7fcae,reveal pog 
17.0,c7e1a8b19e7900503506792afd0aa2931b417deb,reveal nilfgaard pog 
24.0,26d1b3c740654f6ad365e30236f892ba12a12b31,when i said oko is very powerful a streamer said he is not and he is just okay i am still laughing to this day 
38.0,937491dfba9552f99bed9bc139c4c75743ac936e,it is theee most tilting animation ever 
38.0,1cbc4b98d6d1e9758f7406c75695fc5401c7fcae,he is aiming his crotch at us wutface 
41.0,98698a23166ae0a83bde5421a55db9b0c1357845,jesus i hate it 
54.0,376fc05ee3e2c9695a3ba9a4d7e9fb08e0570f7d,he can play serpent boi now monkaw 
55.0,eef245ce13801adf2020e7b7b81519c4d8f6644d,check out my flask guys 
59.0,e6e93fb58e9babc02041251dc227d9bab5533993,i'am already bored of this animation lul 
68.0,8140e069415dbf2f14864e260e898af8785ab2da,scry instead of draw monkas 
70.0,1d5d4c10af014896c16d85f889d33eceb4577f47,nutset 
80.0,ef3a71c37a431a56e6081b68fcaf03db73def378,937491dfba9552f99bed9bc139c4c75743ac936e i hope you're ready to see that shit in every flash deck 
87.0,09ec89f1cf5f0bc7335fc2a68679c77d9e92531a,you should scry with the land to set up kefnet i think 
100.0,937491dfba9552f99bed9bc139c4c75743ac936e,ef3a71c37a431a56e6081b68fcaf03db73def378 i'm prepared for a long long time of hating it 
112.0,26d1b3c740654f6ad365e30236f892ba12a12b31,okay that metagame_fr has been playing dimir and esper alll day long 
118.0,10057becdcdd1ca7b842a2b9cf5f9beabae0972d,385eb7302129b90847178f423034d28dd82ae0d4 can you allow your opponent resolve his snek i haven't seen its animation yet opieop 
124.0,75bf777cb04f8a1e752ee1604ad6b82aca05981d,blue and black are my favorite colors in magic 
131.0,20ba183e397646d92c82411e3903170c7e606ba5,no sneks allowed :) 
135.0,eef245ce13801adf2020e7b7b81519c4d8f6644d,value denied 
136.0,376fc05ee3e2c9695a3ba9a4d7e9fb08e0570f7d,10057becdcdd1ca7b842a2b9cf5f9beabae0972d there is no animation for it it's a rare 
139.0,1cbc4b98d6d1e9758f7406c75695fc5401c7fcae,kekw e tu 
146.0,960bdad75936a72b92ca02fc9e4f2e26e5546238,bounsin a god like no deal lul 
146.0,10057becdcdd1ca7b842a2b9cf5f9beabae0972d,376fc05ee3e2c9695a3ba9a4d7e9fb08e0570f7d cohhfeels 
149.0,937491dfba9552f99bed9bc139c4c75743ac936e,rider died on it's adventure kekw 
157.0,545606d388baf8fc92341f447b4a27dd97d173dc,kekw 
164.0,ac2313fb76e5c4639c0f15c4872f3ad7255b1338,monkachrist 
165.0,376fc05ee3e2c9695a3ba9a4d7e9fb08e0570f7d,kekw 
172.0,98698a23166ae0a83bde5421a55db9b0c1357845,kekw 
184.0,34196eeefe37e32d639477da6a626325ea195862,spend 100 mana do nothing snake kekw 
188.0,a6510bbd68f62a1002e2ddcb5f68106efc23a6ca,:snake: pepehands 
190.0,6cf580216534d094cae65730056db999d925b219,pure degeneracy 
191.0,937491dfba9552f99bed9bc139c4c75743ac936e,narset -2 : get another narset 
201.0,c7e1a8b19e7900503506792afd0aa2931b417deb,yeah use well 
208.0,d15dcff6b6f063175c9fc2b128a21c06e9e9a815,he gonna be so pissed 
210.0,376fc05ee3e2c9695a3ba9a4d7e9fb08e0570f7d,kekw 
210.0,09ec89f1cf5f0bc7335fc2a68679c77d9e92531a,scry 
212.0,eef245ce13801adf2020e7b7b81519c4d8f6644d,yeet 
213.0,552c975906e5a74840293fd3e97bd8cbd5f7510f,lul 
215.0,545606d388baf8fc92341f447b4a27dd97d173dc,ez 
215.0,7efdb81fd2a5dc1092a8b422327d27102242cb0b,jebaited 
218.0,1cbc4b98d6d1e9758f7406c75695fc5401c7fcae,dab on him 
218.0,98698a23166ae0a83bde5421a55db9b0c1357845,kekw 
219.0,d15dcff6b6f063175c9fc2b128a21c06e9e9a815,pepehands 
219.0,6ac853dfeaa911ab55d7c9c95d08a7b629d076ef,have you got a fox 
221.0,960bdad75936a72b92ca02fc9e4f2e26e5546238,snake haters wutface 
224.0,1d5d4c10af014896c16d85f889d33eceb4577f47,that's an oops 
228.0,805bf27f26b2f291794c0ebfe5543a2e1471a96a,#sponsored 
237.0,487174d583e88ba0a6b10f80aa8f22d6af263e1c,sideboarded lul 
244.0,dccaf8fe34cda71edaf19e69e2ef49476e460b3f,this deck seems interesting 
249.0,10057becdcdd1ca7b842a2b9cf5f9beabae0972d,boolie #sneklifematters 
