Time,User,Message
0.0,159c8799d27fa25b270f7cb0170e884c69bb6383,a830df7a2949753ddee70039d04151aab759c8d4 no it's not just that you have to actually be good or a hot girl as well 
10.0,159c8799d27fa25b270f7cb0170e884c69bb6383,it's just reality and this guy is wasting his time 
18.0,159c8799d27fa25b270f7cb0170e884c69bb6383,this is not even youtube where personality or edits can save you 
44.0,742b9b9878afdfd07319e4114692101b8f1d4ade,not everyone streams to be known or famous some just enjoy it i'm sure 
55.0,a830df7a2949753ddee70039d04151aab759c8d4,imagine its not that simple trust me that hot girl was learning photoshop software edits obs a lot of stuff u tink its that easy but its not 
55.0,159c8799d27fa25b270f7cb0170e884c69bb6383,if that's his goal good for him 
58.0,159c8799d27fa25b270f7cb0170e884c69bb6383,but i doubt it 
61.0,159c8799d27fa25b270f7cb0170e884c69bb6383,i think he's wasting his time 
85.0,159c8799d27fa25b270f7cb0170e884c69bb6383,a830df7a2949753ddee70039d04151aab759c8d4 actually i never said it was i said you have to have good editing and everything else technical and then be either good or a hot girl 
88.0,159c8799d27fa25b270f7cb0170e884c69bb6383,it's both 
167.0,159c8799d27fa25b270f7cb0170e884c69bb6383,nothing will haunt me relax magic isn't real now stop wasting your life i'm out 
192.0,a830df7a2949753ddee70039d04151aab759c8d4,ofc first if u wanna be good u need to be good and keep it that way making it for fun because for a long period u will still have an low audience if u will tinking u can do it because u want money u will end it up faild 
235.0,a830df7a2949753ddee70039d04151aab759c8d4,will not be here because we dont play fifa :d 
284.0,a830df7a2949753ddee70039d04151aab759c8d4,same :) gl mate 
374.0,159c8799d27fa25b270f7cb0170e884c69bb6383,stream dota and i'll watch it 
383.0,a830df7a2949753ddee70039d04151aab759c8d4,same 
406.0,159c8799d27fa25b270f7cb0170e884c69bb6383,i'll even teach you to play if you can't 
410.0,159c8799d27fa25b270f7cb0170e884c69bb6383,but nobody cares about fifa 
411.0,159c8799d27fa25b270f7cb0170e884c69bb6383,get real 
430.0,159c8799d27fa25b270f7cb0170e884c69bb6383,57 people are watching the fifa category right now 
433.0,159c8799d27fa25b270f7cb0170e884c69bb6383,literally nobody 
442.0,a830df7a2949753ddee70039d04151aab759c8d4,lulw 
460.0,159c8799d27fa25b270f7cb0170e884c69bb6383,see you in cancel chat a830df7a2949753ddee70039d04151aab759c8d4 
470.0,a830df7a2949753ddee70039d04151aab759c8d4,ofc :) 
484.0,159c8799d27fa25b270f7cb0170e884c69bb6383,i'm following to see if you play dota in the future 3955f0f49ca48328483672ec2d2652bcb408b45e good luck 
