Time,User,Message
0.0,4e6a0898db6da98e68b1becb3ca5336a9872a78a,275a9d14e594007fb6e010a1cb4016b2a59bf006 i feel like that's an insult to doc 
0.0,69175a5b7189dcbd08f14c238b6cd2033ce293b5,i just benched 400 lbs 3968519606564854b38d8ff52e6f82fd45d6f249 
13.0,a7e089990da1511e9dd3901ddf335c7dfd088110,69175a5b7189dcbd08f14c238b6cd2033ce293b5 ah fuck yeah 
17.0,8b270ccc0512955118506e4a98913f4eee6843c5,he could have easily taken cover and lived 
17.0,9723286d62dfa3c3181e749edef6662ea5e31746,bf641481efb7a02c90a17f58a6937a6e92254e80 offcourse u are getting clapped in first games to learn buddy 
20.0,f2fcc8fdf4d058c3db2503173056c482cf455ce0,aidenwilkin chuunwow 
24.0,f2fcc8fdf4d058c3db2503173056c482cf455ce0,wow 
26.0,c435cf1c715dbd810da93ef163f7ff086c334856,69175a5b7189dcbd08f14c238b6cd2033ce293b5 no way sickkkk lurnr 
28.0,a7e089990da1511e9dd3901ddf335c7dfd088110,gachibass 
29.0,4e6a0898db6da98e68b1becb3ca5336a9872a78a,he had 6x and just started to shoot back 
34.0,67d0fe243a2652dd79bcbacea0804abce64ff80d,pepog 
43.0,dfc15e8ec810b80cd8b943e413aad813af5e638e,courtney can actually bench 405 pounds 
46.0,ae6e8c6fcf79450cfb0d8301f16fa523e8c9ddbc,69175a5b7189dcbd08f14c238b6cd2033ce293b5 i bench 450s buts who's counting laceshrug 
46.0,2b9f3c3468a2ac230fcfad3bc2be1fe3e8ad5df3,ah ump on that range 
47.0,4e6a0898db6da98e68b1becb3ca5336a9872a78a,oh the ump 
48.0,2b9f3c3468a2ac230fcfad3bc2be1fe3e8ad5df3,lulw 
48.0,a7e089990da1511e9dd3901ddf335c7dfd088110,lulw 
57.0,69175a5b7189dcbd08f14c238b6cd2033ce293b5,thanks chat been going pretty hard core in the gym 
58.0,f2fcc8fdf4d058c3db2503173056c482cf455ce0,smasha weirdchamp 
59.0,5e119e08042dfae80b2eb282ca290d7aff8836b5,you gave him the hump 
59.0,1bc864821b7e8d7f38e5d8708c9402e0d1ebfa37,s1mple playing fortnite to forget his team 
59.0,20fb2a7cfc02fb901cd98856c47d05a1fa87bf5e,hi lurn how are you today smileyface 
59.0,ff6e06ab15d06216f256b0c14999f028b14cdea2,bf641481efb7a02c90a17f58a6937a6e92254e80 try landing in safe place till you will be good to fight on spot 
60.0,c435cf1c715dbd810da93ef163f7ff086c334856,actually 666lbs cmon man 
63.0,2b9f3c3468a2ac230fcfad3bc2be1fe3e8ad5df3,yeah idk i would just run away 
67.0,e5b21927455c1050a2bac7b9d8c803711e0a427b,monkaw 
68.0,dfc15e8ec810b80cd8b943e413aad813af5e638e,oh pardon me 
68.0,69175a5b7189dcbd08f14c238b6cd2033ce293b5,wtf ae6e8c6fcf79450cfb0d8301f16fa523e8c9ddbc 
72.0,50f7e2f961b5fc8a3ea9643ef680d547bdc778fe,monkagiga 
73.0,9723286d62dfa3c3181e749edef6662ea5e31746,monkaw 
77.0,4885de422888df229a68e44b44cdc28b8e848e74,hi lurn lurnyeg 
77.0,67d0fe243a2652dd79bcbacea0804abce64ff80d,i bench 3 maserati's 
81.0,6db78cd77561cde863d7c73f525bb89c868d6dbe,thats monka monkaw 
82.0,dfc15e8ec810b80cd8b943e413aad813af5e638e,405 pounds on a bad day courtney 
84.0,ae6e8c6fcf79450cfb0d8301f16fa523e8c9ddbc,69175a5b7189dcbd08f14c238b6cd2033ce293b5 maxed 
87.0,4e6a0898db6da98e68b1becb3ca5336a9872a78a,i bench myself 
88.0,a7e089990da1511e9dd3901ddf335c7dfd088110,lurnarmleft just9ne lurnarmright this man can do 800 ez 
88.0,4a9dd8734f69fb8d953a48024f430ddd7ad6a7c9,i can bench a book or two lurnyeg 
89.0,bf641481efb7a02c90a17f58a6937a6e92254e80,ff6e06ab15d06216f256b0c14999f028b14cdea2 i tried this and i survived for a long time but it's boring when i don't clutch against someone :d 
91.0,dfc15e8ec810b80cd8b943e413aad813af5e638e,bnansflex 
99.0,4e6a0898db6da98e68b1becb3ca5336a9872a78a,a7e089990da1511e9dd3901ddf335c7dfd088110 lmao 
100.0,175c316a3c9bd7aff09316d55acb3d98442d514b,i can throw a football over those mountains 
101.0,dfc15e8ec810b80cd8b943e413aad813af5e638e,donna cant bench anything lurnu 
101.0,50f7e2f961b5fc8a3ea9643ef680d547bdc778fe,lurn srt 8 when 
105.0,b68b4fa2fdbf74a2500cbdcd6130a754b44a02cb,whats up lurn 
107.0,c435cf1c715dbd810da93ef163f7ff086c334856,bnansflex 
111.0,dfc15e8ec810b80cd8b943e413aad813af5e638e,bnansflex 
112.0,1bc864821b7e8d7f38e5d8708c9402e0d1ebfa37,why is pubg so unique 
112.0,9723286d62dfa3c3181e749edef6662ea5e31746,i can bench 2 supply drops :zany_face: :face_with_tears_of_joy: 
114.0,4a9dd8734f69fb8d953a48024f430ddd7ad6a7c9,can bench your heavy ass martin lurnb 
117.0,f2fcc8fdf4d058c3db2503173056c482cf455ce0,boom1arml just9ne boom1armr 
117.0,4e6a0898db6da98e68b1becb3ca5336a9872a78a,i bench bootcamp 
119.0,dfc15e8ec810b80cd8b943e413aad813af5e638e,courtney you got a gift pog 
122.0,dfc15e8ec810b80cd8b943e413aad813af5e638e,bnanspog 
128.0,4885de422888df229a68e44b44cdc28b8e848e74,lurnarmleft lurne lurnarmright 
129.0,c435cf1c715dbd810da93ef163f7ff086c334856,i did 
132.0,a7e089990da1511e9dd3901ddf335c7dfd088110,i can bench a platter of food to my mouth tho 
132.0,dfc15e8ec810b80cd8b943e413aad813af5e638e,donna cant even hit me 
135.0,4a9dd8734f69fb8d953a48024f430ddd7ad6a7c9,it was for her birthday :) 
135.0,dfc15e8ec810b80cd8b943e413aad813af5e638e,lurnu 
139.0,ff6e06ab15d06216f256b0c14999f028b14cdea2,bf641481efb7a02c90a17f58a6937a6e92254e80 don't camp just loot first and then get to fight 
140.0,2b9f3c3468a2ac230fcfad3bc2be1fe3e8ad5df3,what do you want lurn 
154.0,50f7e2f961b5fc8a3ea9643ef680d547bdc778fe,nice lurnsmile 
155.0,1bc864821b7e8d7f38e5d8708c9402e0d1ebfa37,i think that's called findom 
156.0,c435cf1c715dbd810da93ef163f7ff086c334856,i'll be your glucose guardian lurn 
160.0,5a1190a402f5d5b1c12ce4639aadf28d4fb0a3d8,:face_with_tears_of_joy: 
161.0,2b9f3c3468a2ac230fcfad3bc2be1fe3e8ad5df3,nooo what do you want what 
162.0,f12fced57c3eedf6bfbca27029ac9fd51f88967e,someone tag anaphaze lurnsmile 
163.0,3d233d776cdaca7c0654dc4249dbded5f4eaf869,just9n4head just9n4head just9n4head just9n4head 
170.0,5140dde34f571a7c65964683ed76b0057411321b,pepegashake 22 left pogchamp 
172.0,9723286d62dfa3c3181e749edef6662ea5e31746,he is saying what u are asking for 
173.0,40148e28fa7b6f49547dfda992391bd1c44cd0ae,:face_with_tears_of_joy: 
174.0,0f71aed07307d9ca19051ccc088f10521bab7a50,i need one 
178.0,4e6a0898db6da98e68b1becb3ca5336a9872a78a,5140dde34f571a7c65964683ed76b0057411321b hali buddy 
179.0,ba8ceae8deab1cc8b8b517c77a0060231bb022d1,i'm not sure you know the definition of sugar daddy lol 
179.0,a7e089990da1511e9dd3901ddf335c7dfd088110,i leave back to work now peeporip 
181.0,f2fcc8fdf4d058c3db2503173056c482cf455ce0,monkacozy s 
187.0,cd77d418ab5062755c43aa3f074db30f3f30055d,no i need one alaoy9ok 
187.0,1bc864821b7e8d7f38e5d8708c9402e0d1ebfa37,r i p 
192.0,4e6a0898db6da98e68b1becb3ca5336a9872a78a,faxh 
193.0,9723286d62dfa3c3181e749edef6662ea5e31746,sugar mommy tho poggies 
197.0,2b9f3c3468a2ac230fcfad3bc2be1fe3e8ad5df3,lurn you said buy me everything i want so what do you want was my question :) 
197.0,4885de422888df229a68e44b44cdc28b8e848e74,lurn1 lurn2 lurn3 lurn4 lurnw 
210.0,4885de422888df229a68e44b44cdc28b8e848e74,feelsbirthdaychamp 
211.0,be05fbdb8b44b2aafa52e7acbc5bed23847c240d,hey whats up 
214.0,2138e64ff4a2e12d742d3d30fee8fe3cf303f7da,faxhype faxhype 
224.0,9723286d62dfa3c3181e749edef6662ea5e31746,4885de422888df229a68e44b44cdc28b8e848e74 feelsbirthdayman happy birthday 
226.0,20fb2a7cfc02fb901cd98856c47d05a1fa87bf5e,vikendi actually feels fun now pog 
227.0,dfc15e8ec810b80cd8b943e413aad813af5e638e,party buy me like a blue pen or something 
232.0,4e6a0898db6da98e68b1becb3ca5336a9872a78a,faxhype faxh faxh faxafk 
234.0,02284b17f39892be3193b7db69d0c7185d7cfb30,allo streamer lady :) 
240.0,02284b17f39892be3193b7db69d0c7185d7cfb30,allo chat :) 
245.0,9723286d62dfa3c3181e749edef6662ea5e31746,allo zulul 
247.0,1bc864821b7e8d7f38e5d8708c9402e0d1ebfa37,streamer lady 
251.0,4e6a0898db6da98e68b1becb3ca5336a9872a78a,faxa faxa faxlul 
259.0,4df0c59b268627e02da2fcc7ef2ab71ab69d4d6f,shirt 
264.0,d16c76b9cf2b7fa579f96c3de6c9598ee1a461fc,shoot him 
269.0,9723286d62dfa3c3181e749edef6662ea5e31746,4e6a0898db6da98e68b1becb3ca5336a9872a78a halt habibi 
272.0,f2fcc8fdf4d058c3db2503173056c482cf455ce0,watchtime 
280.0,6db78cd77561cde863d7c73f525bb89c868d6dbe,watchtime 
285.0,379a3537c1042de96f2188f46d4b667f18a2023a,hey everyone lurnhi 
289.0,dfc15e8ec810b80cd8b943e413aad813af5e638e,watchtime partytimevv 
290.0,6db78cd77561cde863d7c73f525bb89c868d6dbe,lurne 
290.0,f2fcc8fdf4d058c3db2503173056c482cf455ce0,alisahi freakdevil 
292.0,d16c76b9cf2b7fa579f96c3de6c9598ee1a461fc,cheer100 ez clap 
295.0,dfc15e8ec810b80cd8b943e413aad813af5e638e,bnanspog 
295.0,02284b17f39892be3193b7db69d0c7185d7cfb30,is big daddy der in here yet 
295.0,4e6a0898db6da98e68b1becb3ca5336a9872a78a,watchtime 
300.0,02284b17f39892be3193b7db69d0c7185d7cfb30,martin pogyou 
304.0,4885de422888df229a68e44b44cdc28b8e848e74,hi lurn lurnh lurny it's my birthday today 
304.0,cd77d418ab5062755c43aa3f074db30f3f30055d,the judas pog 
307.0,dfc15e8ec810b80cd8b943e413aad813af5e638e,pepelaugh 
311.0,7021574c1bd65260d31f17b13a53e20865f844e1,wow its been a long time since ive seen you play for some reason 3968519606564854b38d8ff52e6f82fd45d6f249 
315.0,50f7e2f961b5fc8a3ea9643ef680d547bdc778fe,lauren have you played splitgate yet 
318.0,379a3537c1042de96f2188f46d4b667f18a2023a,sup amil yaboiemil 
319.0,dfc15e8ec810b80cd8b943e413aad813af5e638e,hey judas bnans7 
322.0,4e6a0898db6da98e68b1becb3ca5336a9872a78a,use m16 smh 
335.0,9723286d62dfa3c3181e749edef6662ea5e31746,the fuck is this gun recoil pepega 
337.0,4e6a0898db6da98e68b1becb3ca5336a9872a78a,he's dead 
339.0,cd77d418ab5062755c43aa3f074db30f3f30055d,wtf 
340.0,f2fcc8fdf4d058c3db2503173056c482cf455ce0,monkas 
340.0,50f7e2f961b5fc8a3ea9643ef680d547bdc778fe,fucking rip 
341.0,04d7ffc7253ff6dc8a60bc56e240438d3e6353ba,lezomygg 
342.0,1bc864821b7e8d7f38e5d8708c9402e0d1ebfa37,cheer1 
342.0,2b9f3c3468a2ac230fcfad3bc2be1fe3e8ad5df3,monkaw 
343.0,379a3537c1042de96f2188f46d4b667f18a2023a,dead 
343.0,9723286d62dfa3c3181e749edef6662ea5e31746,monkaw 
343.0,4e6a0898db6da98e68b1becb3ca5336a9872a78a,oooooof 
344.0,8892eb36107356db87c259f5af81df25ee3bd323,no need i can tell just by watching she will hate splitgate 
348.0,4e6a0898db6da98e68b1becb3ca5336a9872a78a,ooooooooooooo 
348.0,2b9f3c3468a2ac230fcfad3bc2be1fe3e8ad5df3,ah 
349.0,cd77d418ab5062755c43aa3f074db30f3f30055d,monkaw 
351.0,50f7e2f961b5fc8a3ea9643ef680d547bdc778fe,nt 
351.0,e5b21927455c1050a2bac7b9d8c803711e0a427b,pepehands 
351.0,20fb2a7cfc02fb901cd98856c47d05a1fa87bf5e,not even close 
352.0,04d7ffc7253ff6dc8a60bc56e240438d3e6353ba,lezomygg lezomygg lezomygg lezomygg lezomygg lezomygg 
353.0,4e6a0898db6da98e68b1becb3ca5336a9872a78a,rip 
353.0,cd77d418ab5062755c43aa3f074db30f3f30055d,pepehands 
357.0,e5b21927455c1050a2bac7b9d8c803711e0a427b,ggs guy 
359.0,fa4954352bb98d0b80de541e86d99f26c397039a,dewitttt 
359.0,50f7e2f961b5fc8a3ea9643ef680d547bdc778fe,wtf richard 
360.0,be05fbdb8b44b2aafa52e7acbc5bed23847c240d,pepehands 
362.0,c91ab987e1a142cdaaea63c75e6608505585f32f,thinking about tinting my windows what percent u thinkin 
363.0,fa4954352bb98d0b80de541e86d99f26c397039a,ok nevermind 
365.0,4e6a0898db6da98e68b1becb3ca5336a9872a78a,faxgg chocotgg faxgg chocotgg faxgg chocotgg 
365.0,379a3537c1042de96f2188f46d4b667f18a2023a,alaoy_94 partytimevv skalove 
367.0,cd77d418ab5062755c43aa3f074db30f3f30055d,poggers 
370.0,2b9f3c3468a2ac230fcfad3bc2be1fe3e8ad5df3,so my question was lurn what do you want from that sugardaddy :) 
371.0,cd77d418ab5062755c43aa3f074db30f3f30055d,freak pog 
373.0,e5b21927455c1050a2bac7b9d8c803711e0a427b,wadug 
373.0,8892eb36107356db87c259f5af81df25ee3bd323,many streamers that play it hate it 
373.0,f2fcc8fdf4d058c3db2503173056c482cf455ce0,monkaw 
374.0,2b9f3c3468a2ac230fcfad3bc2be1fe3e8ad5df3,hey freak pog 
376.0,379a3537c1042de96f2188f46d4b667f18a2023a,i bought your shirt in game and irl kapp :) 
378.0,cd77d418ab5062755c43aa3f074db30f3f30055d,no me alaoy9ok 
384.0,bf641481efb7a02c90a17f58a6937a6e92254e80,did he hear her over the mic 
385.0,379a3537c1042de96f2188f46d4b667f18a2023a,billie pog 
388.0,fa4954352bb98d0b80de541e86d99f26c397039a,but you already ded pepewhy 
388.0,50f7e2f961b5fc8a3ea9643ef680d547bdc778fe,jeep srt 8 : 
393.0,1bc864821b7e8d7f38e5d8708c9402e0d1ebfa37,a user 
394.0,2b9f3c3468a2ac230fcfad3bc2be1fe3e8ad5df3,a jeep how kkona 
396.0,9723286d62dfa3c3181e749edef6662ea5e31746,3968519606564854b38d8ff52e6f82fd45d6f249 when is the fortnite creator code poggers 
397.0,2b9f3c3468a2ac230fcfad3bc2be1fe3e8ad5df3,kkona 
399.0,dfc15e8ec810b80cd8b943e413aad813af5e638e,paigey1b 
399.0,174830ced4e2c3a0c518c614713de7133a867f29,psa splitgate is boring to watch 
399.0,4885de422888df229a68e44b44cdc28b8e848e74,hi lurn it's my birthday can you wish me happy birthday love your stream lurnh 
402.0,04d7ffc7253ff6dc8a60bc56e240438d3e6353ba,what u drinking from the jar lul 
402.0,20fb2a7cfc02fb901cd98856c47d05a1fa87bf5e,is that a jar of liquid peanut butter 
402.0,50f7e2f961b5fc8a3ea9643ef680d547bdc778fe,jeep trackhawk poggies 
403.0,1bc864821b7e8d7f38e5d8708c9402e0d1ebfa37,a yeet 
416.0,379a3537c1042de96f2188f46d4b667f18a2023a,alaoy_94 partytimevv how are you both gentleman doing today 
416.0,fa4954352bb98d0b80de541e86d99f26c397039a,dayum give me a giant ass mason jar of cold brew wtf 
418.0,575a479a033524672c493181d6cc2d0bf87a5eed,what u drinking 
418.0,5ed62838b60729f618f9cbf564ccbbb3c11b8d70,dont use sks 
420.0,02284b17f39892be3193b7db69d0c7185d7cfb30,i have a jeep :) 
423.0,4e6a0898db6da98e68b1becb3ca5336a9872a78a,04d7ffc7253ff6dc8a60bc56e240438d3e6353ba hmmmm 
423.0,5ed62838b60729f618f9cbf564ccbbb3c11b8d70,m16 is just fine 
424.0,4e339d37e6e86c5ca267be783d7abf26978278bf,ez jeep 
424.0,02284b17f39892be3193b7db69d0c7185d7cfb30,its a nice jeep :) 
427.0,cd77d418ab5062755c43aa3f074db30f3f30055d,i am doing great freak 
428.0,fa4954352bb98d0b80de541e86d99f26c397039a,delicious 
428.0,e5b21927455c1050a2bac7b9d8c803711e0a427b,light bug poggers 
428.0,907092291506a88845eb3162fdcdaf37ed7e431e,6 4 hemi:pleading_face: 
430.0,d5cf13b2b050935995050e02a5ca847494b1ba3b,ill buy u a jeep tomorrow 
431.0,50f7e2f961b5fc8a3ea9643ef680d547bdc778fe,i feel like splitgate rivals format is way better than apex's was 
431.0,2b9f3c3468a2ac230fcfad3bc2be1fe3e8ad5df3,oh i thought for a second a jeep was like a truck lurnr 
432.0,02284b17f39892be3193b7db69d0c7185d7cfb30,beep beep who got the keys to the yeep :) 
432.0,2b9f3c3468a2ac230fcfad3bc2be1fe3e8ad5df3,nvm 
433.0,1bc864821b7e8d7f38e5d8708c9402e0d1ebfa37,m16 is not fine 
433.0,4e6a0898db6da98e68b1becb3ca5336a9872a78a,buy a uaz lol 
434.0,9723286d62dfa3c3181e749edef6662ea5e31746,iam surprised that there is a tourney for it dansgame 
434.0,04d7ffc7253ff6dc8a60bc56e240438d3e6353ba,4e6a0898db6da98e68b1becb3ca5336a9872a78a monkas 
435.0,f2fcc8fdf4d058c3db2503173056c482cf455ce0,pepejammer 
435.0,02284b17f39892be3193b7db69d0c7185d7cfb30,ali pogu 
440.0,fa4954352bb98d0b80de541e86d99f26c397039a,pepejammer 
441.0,c051f3472d5cc0ffd5bc910ecf3c26af1224d85c,smintee is bullying me on twitter 
443.0,cd77d418ab5062755c43aa3f074db30f3f30055d,how have u been lurnh freak 
443.0,fa4954352bb98d0b80de541e86d99f26c397039a,lmao 
444.0,9723286d62dfa3c3181e749edef6662ea5e31746,pepejammer 
444.0,2b9f3c3468a2ac230fcfad3bc2be1fe3e8ad5df3,what about a truck lurn 
445.0,20fb2a7cfc02fb901cd98856c47d05a1fa87bf5e,honestly cheekpad feels huge on the sks 
446.0,3797203427af2160deebe6a4084de3e29b5fd343,subs 
449.0,cd77d418ab5062755c43aa3f074db30f3f30055d,judas pogu 
451.0,e5b21927455c1050a2bac7b9d8c803711e0a427b,ah 
453.0,2b9f3c3468a2ac230fcfad3bc2be1fe3e8ad5df3,to let your inner kkona out 
456.0,fa4954352bb98d0b80de541e86d99f26c397039a,c051f3472d5cc0ffd5bc910ecf3c26af1224d85c sminteyoface 
457.0,936c45785129a5ba0b05a05729be8e0556c152c9,wins 
457.0,8892eb36107356db87c259f5af81df25ee3bd323,lurn can get a jeep with her shirt money 
458.0,1bc864821b7e8d7f38e5d8708c9402e0d1ebfa37,materialism is ruining society 
458.0,379a3537c1042de96f2188f46d4b667f18a2023a,party favor 
463.0,fa4954352bb98d0b80de541e86d99f26c397039a,c051f3472d5cc0ffd5bc910ecf3c26af1224d85c lurnh lurnh lurnh lurnh lurnh 
465.0,d5cf13b2b050935995050e02a5ca847494b1ba3b,i'll ride it from italy and give it to u 
