Time,User,Message
0.0,3d1e391cbae91664a4332dd7a8a45434e8ea5c20,yooooo 
38.0,48fd6aab0537b7f751f8afdac8c190bbbb1aa017,im gonna go out everyone enjoy the game chat goodbye and see you guys later<3 
262.0,c7b425cb4312e8ff886537b1df5b37c79906f31e,jimsmuta 
383.0,e40fc41a8eae6e8f1110845e6c57666762348694,pulling the views 
419.0,e40fc41a8eae6e8f1110845e6c57666762348694,sr paper planes 
526.0,e40fc41a8eae6e8f1110845e6c57666762348694,sr johhny mia 
541.0,1fc4c83a70997d7d8f56be80ad7e737e9c46e7ff,d: 
541.0,3afe3371cf5f1865935c80713bbfe92cdb0cd061,hupsaiya has lost the game bet next time to earn some points 
543.0,e40fc41a8eae6e8f1110845e6c57666762348694,sfx 
544.0,b35a4db0158eeb4aa05b4e8d488dbfce87dc1d41,wow 
551.0,e40fc41a8eae6e8f1110845e6c57666762348694,nooo 
562.0,ca721611094a8ebef7ed75e43a699bdafdecbf41,gg 
579.0,3fcda2f8d7b6f224b4ddb6d4133ba0c0bd4472cc,kappapride 
587.0,59e19d7adfbb199615164ff523484cd86c23eec9,bousefail 
614.0,33121e9777386dd1ac6721f06df2dfb6f34b0bd4,player: diccbutt -- game stats -- units killed: 422 sq: 90 supply blocked: 114 seconds hero unit: oracle 39 kills session stats: 2-1 67% apm: 492 http://sc2replaystats com/replay/10722501 
621.0,e40fc41a8eae6e8f1110845e6c57666762348694,can't disable stetmann 
642.0,fb27e64925e8e5238dafc94f6b3d1840ce34c067,futureman ///////////// 
680.0,1fc4c83a70997d7d8f56be80ad7e737e9c46e7ff,u suck 
691.0,e40fc41a8eae6e8f1110845e6c57666762348694,filthy zerg 
700.0,1fc4c83a70997d7d8f56be80ad7e737e9c46e7ff,u suck 
703.0,e40fc41a8eae6e8f1110845e6c57666762348694,creep nuff said 
714.0,7738c8fb50b3c25f6b7836e56b177cfe4c008ab7,lies toss is op 
723.0,7738c8fb50b3c25f6b7836e56b177cfe4c008ab7,sit back max out at attack 
748.0,44d956aa27ec95dda8eaeeaf07193e916700c8d0,protoss op^^ 
750.0,7738c8fb50b3c25f6b7836e56b177cfe4c008ab7,okay maybe not max out 
753.0,7738c8fb50b3c25f6b7836e56b177cfe4c008ab7,=d 
782.0,7738c8fb50b3c25f6b7836e56b177cfe4c008ab7,you can never tell what toss is going 
