Time,User,Message
0.0,1c9f1ff82860b5084434b55c20778c60cbb69c0c,c4ffdacf4a6ca7a4e8c46920776d27078166ce55 they move the medivac towards the units and then when over them click the upload command 
4.0,dd8a421d48c698234eb4c66901ddafc1cbc6939a,wp 
4.0,b90f27d2921a25ba65d82dc79653c7283cd1ccf0,gg 
5.0,e6a09ab3c6c2bffeac290f43b7cd3f537b82bf99,gg ^^ 
6.0,a28dba2abfe6a5852d813f6c60945c745f72d73f,partingnogg partingnogg partingnogg 
6.0,cbe1ab1090362ed2d533409aa98088ea86b48906,creighbaldguy 
7.0,066a999935dbbfe140eb52b8bd16fc4ee88d6869,gg 
8.0,44acb1ef41ebc04e5a0693f6bf5e563d259156d2,marinegg marinegg marinegg marinegg 
9.0,39521ef4048e6d4f663a4d79d53c03dbc1536583,wow wp 
10.0,64bf9ec21edd8d5b2eeafefb29c7898b0b28e6f3,gggg 
11.0,0fe44182165a95d4cd6ee2f8fd2432346f8af122,partingnogg partingnogg partingnogg 
13.0,3ed2e6f6a0aefa5c12cf07f1f0b07b5d3168612d,gg 
14.0,2678f2c2380138aa91c026f687922c5764d6160f,6 8 kreygasm 
15.0,c4ffdacf4a6ca7a4e8c46920776d27078166ce55,gg 
16.0,a667496dc3bc13d4e190da8f88dc67f0f3e0ee35,nice game 
22.0,44acb1ef41ebc04e5a0693f6bf5e563d259156d2,forsengasm marinelove heromarine marinelove forsengasm 
23.0,39521ef4048e6d4f663a4d79d53c03dbc1536583,bio seems rly good on this map 
25.0,0fe44182165a95d4cd6ee2f8fd2432346f8af122,ezclap 
42.0,e7d1cf74d080429e88dd8a853bebf83262adb7c5,3c091454292950e82b48d39668ffac0ad7022f3a ty says you should lift your main cc for your 4th / 5th if there are 4 mineral patches left he said it isnt worth it thoughts 
45.0,974a90615593d8e2b14e8ffac978218af8e39f44,bio is actually shit on this map 
49.0,05096a041437f4208f6107444919495c45f78c68,why did he surrender 
68.0,1eada759cdebb865985e744eeef2fb2ad3207cb1,game was over 
74.0,39521ef4048e6d4f663a4d79d53c03dbc1536583,hm cause the distance between both your middle bases seems quite short 
91.0,8e383d4a26d1be052927b4512c077458a02d779f,yeah would you have done if he tec switched to curuptor ultra 
102.0,8e383d4a26d1be052927b4512c077458a02d779f,this is whwat im struggling with 
107.0,8e383d4a26d1be052927b4512c077458a02d779f,ok 
113.0,1c9f1ff82860b5084434b55c20778c60cbb69c0c,3c091454292950e82b48d39668ffac0ad7022f3a can you explain how to hot pickup unit for us n00bs 
117.0,8e383d4a26d1be052927b4512c077458a02d779f,this is where im stuck :( 
120.0,cffa120bbad853ebb6173c5dcff387156b84309e,3c091454292950e82b48d39668ffac0ad7022f3a how i can get replays from you and your games 
126.0,e7d1cf74d080429e88dd8a853bebf83262adb7c5,i think he said you should always do it in a tvz commentary guide or something 3c091454292950e82b48d39668ffac0ad7022f3a 
133.0,d9033c9d2a7b02317336e7c853e7bf3c0657a83f,mmr moltensc 
143.0,309f4955814d6e13d1155a92ef04d4cfe64d129c,is your goal to prevent hive tech all together 
158.0,b90f27d2921a25ba65d82dc79653c7283cd1ccf0,play ads 
160.0,8e383d4a26d1be052927b4512c077458a02d779f,my friend tells me i need to stop playing like a dimond player and macro more but then when i watch you play lol 
161.0,1eada759cdebb865985e744eeef2fb2ad3207cb1,8e383d4a26d1be052927b4512c077458a02d779f you have to go into ghost lib in late game tvz as bio 
173.0,8e383d4a26d1be052927b4512c077458a02d779f,np 
192.0,cbe1ab1090362ed2d533409aa98088ea86b48906,schcrappie 
215.0,8e383d4a26d1be052927b4512c077458a02d779f,ok pal struggling with the d2 playrs atm keep getting knocked down :( and vide is boring lol 
247.0,8e383d4a26d1be052927b4512c077458a02d779f,9 years played and still no masters :) 
264.0,8e383d4a26d1be052927b4512c077458a02d779f,d1 as far as i ever got a few years ago 
286.0,cdf56a4c8fbf73b33fc477cee3749e9df3fbdd00,na master jebaited 
299.0,8e383d4a26d1be052927b4512c077458a02d779f,do you think lol 
301.0,e068c8472a5549e175115ca506b5fea7f22fb013,is this how streamers get the hours in their contracts 
305.0,e068c8472a5549e175115ca506b5fea7f22fb013,xd 
308.0,8e383d4a26d1be052927b4512c077458a02d779f,im so desperate :( 
356.0,8e383d4a26d1be052927b4512c077458a02d779f,it's ok hero go silent you pay better ill watch these :) 
361.0,851667a0ebeed37ebf8bd9c28b1659d150026045,3c091454292950e82b48d39668ffac0ad7022f3a do you practice customs games after stream or your ladder games are practise enough 
413.0,5c95e851732cca9d20b19c4642c0fe6a60e030ac,failfish i clicked away did we win 
424.0,56c984959ce3a0d582cfb5eb4baf536f630f5fb9,yes 
434.0,5c95e851732cca9d20b19c4642c0fe6a60e030ac,thx nardenoice 
444.0,56c984959ce3a0d582cfb5eb4baf536f630f5fb9,mcanfive 
448.0,28ca7c4c6e1ab27a7ac420095dc7fd9499327d95,no commantery for now 
