Time,User,Message
0.0,47d5d80034e04c9e5493e5b343da4fc9201fbacb,kekw 
5.0,0211278b8179529969eb51e3c41b63ed7e078cc0,im dun bruh 
6.0,39faad64ffcee15a61eee50c8a16c2dd3700fdbd,fov 
9.0,39faad64ffcee15a61eee50c8a16c2dd3700fdbd,res 
9.0,3e88bf03e4a5d8165d0642af9e2cca928162c0bf,il play thermite he says 
11.0,8c03f6bb3f3d22bbf0ffcd2597ce6cff3b645aa4,spades has the most contagious laugh lmfao 
12.0,1bb559ef68163d3753cb59e5d4f9b7e2e01bc11d,0211278b8179529969eb51e3c41b63ed7e078cc0 it never gets old lul 
12.0,d8d60e25027e4e201c5663d89cc9e933a4334a17,lul lul lul 
18.0,39faad64ffcee15a61eee50c8a16c2dd3700fdbd,sens 
22.0,3e88bf03e4a5d8165d0642af9e2cca928162c0bf,get bapz outta the stack 
24.0,1bb559ef68163d3753cb59e5d4f9b7e2e01bc11d,lulw 
25.0,0211278b8179529969eb51e3c41b63ed7e078cc0,cracks me up lul lul lul lul 
25.0,1bb559ef68163d3753cb59e5d4f9b7e2e01bc11d,lulw 
29.0,1bb559ef68163d3753cb59e5d4f9b7e2e01bc11d,lulw 
34.0,ef604cbaa5f91e009f26e733e7d11d0e2ce03180,pick up mack after lmao 
44.0,25743e85bb3e53c095394785647ca28ef2f8759a,put mack back in the role 
51.0,0211278b8179529969eb51e3c41b63ed7e078cc0,reads not triggered today pogchamp 
80.0,25743e85bb3e53c095394785647ca28ef2f8759a,this man is dying hes mad sleepy :face_with_tears_of_joy: :face_with_tears_of_joy: 
104.0,0211278b8179529969eb51e3c41b63ed7e078cc0,anyways dude have a great stream i might pop by later if youre still one cya boss stigsr69 stigsr6head stigsr6head 
114.0,3e88bf03e4a5d8165d0642af9e2cca928162c0bf,gn 0211278b8179529969eb51e3c41b63ed7e078cc0 
114.0,0211278b8179529969eb51e3c41b63ed7e078cc0,later chat stigsr69 
118.0,0211278b8179529969eb51e3c41b63ed7e078cc0,gn^ 
123.0,08193adb3eb6a1b88c3b6c5f5210dbd429c92aea,gn 
125.0,1bb559ef68163d3753cb59e5d4f9b7e2e01bc11d,0211278b8179529969eb51e3c41b63ed7e078cc0 gn dude 
128.0,9435496c576f5e40d9a1f15c475e7208d1c7c207,room for me geo and callout 
135.0,ef604cbaa5f91e009f26e733e7d11d0e2ce03180,0211278b8179529969eb51e3c41b63ed7e078cc0 gn man 
157.0,3e88bf03e4a5d8165d0642af9e2cca928162c0bf,kekw mo 
