Time,User,Message
0.0,eaed986ce0a5eac12d32d13944ada7dee2aaa595,nice goal meejo very good 
87.0,12d7647ed9b4971917847a221524d63c503b6644,rlcswow rlcsgg 
96.0,1580f939c8eedb75efbd05269778c151eb76da3b,lion is insane 
185.0,c8dc971589268be06464aaaedaaa2e98ef48d573,what level are you 
190.0,5ef39c4e85cc10f8931909256d37783bf4c24735,level 
235.0,c8dc971589268be06464aaaedaaa2e98ef48d573,level in bottom left corner 
244.0,e09505b187940bd8e92450bf7f019576e18e041c,deadzone 
280.0,cae734693f8e3590737f3e04fbf4b341cf1bd0ab,30df13c48eca124b450ae1c0d9de6f0a6acda282 i'd rather be a sub with the raptors than on the knicks main roster right now probably similar 
299.0,87a7296fccc762e2213f793b7bc91acb656a3c53,rate fluump from 1-100 
303.0,962608223a77a86f5818f75edee55223e825dc60,can u maybe give some tips for getting out of high plat-lower diamond 
347.0,cdc80e301747bee1680e200748c431795dc38d97,87a7296fccc762e2213f793b7bc91acb656a3c53 lmao what kind of question is that 
358.0,d6a561a1f47bd607dbf9d8e2c32460ed052c1759,gm chat 
367.0,cdc80e301747bee1680e200748c431795dc38d97,gm 
373.0,87a7296fccc762e2213f793b7bc91acb656a3c53,cdc80e301747bee1680e200748c431795dc38d97 lol idk 
390.0,cdc80e301747bee1680e200748c431795dc38d97,but its good 
396.0,cdc80e301747bee1680e200748c431795dc38d97,id say 90 
400.0,5ef39c4e85cc10f8931909256d37783bf4c24735,yo what's guud 4000ff7de64335ee6f0d362e622767046ced7e30 
403.0,87a7296fccc762e2213f793b7bc91acb656a3c53,yeh 
403.0,cdc80e301747bee1680e200748c431795dc38d97,or 85 
405.0,01ff86a161c367078217dc43caa3c86f6b17ad88,do you get rlcs titles being a sub 
438.0,9f6ab7ba3f64f7297d9a014b0a41ae305f9d4bb9,962608223a77a86f5818f75edee55223e825dc60 make sure you do training and free play 1v1s is also good for mechanic improvement at that level it kinda just comes down to play time with getting better game sense and mechanics 
445.0,b0776a49959a5e69949e31873ac5f4f4b472379f,the next 5 subs get a free kiss 
475.0,bb632438d4be24a8f86b50c5f03831dd7ba2bb76,k3llyhi k3llyhi heyho mijo and everybutty else k3llyhi k3llyhi k3llyhi 
487.0,962608223a77a86f5818f75edee55223e825dc60,i have pretty good mechanics but not as good game sense 9f6ab7ba3f64f7297d9a014b0a41ae305f9d4bb9 
508.0,962608223a77a86f5818f75edee55223e825dc60,thank you as well 
548.0,bb632438d4be24a8f86b50c5f03831dd7ba2bb76,doing good about to go out for a picnic with a friend but thought i'd stop by to say hello and have a wonderful day k3llyhug k3llyhug k3llyhug 
569.0,9f6ab7ba3f64f7297d9a014b0a41ae305f9d4bb9,abefa1212f6584d33cac8bff53a33bd86f3d8659 1v1s and 2s really helps improve your game sense helps learn when to shadow defense and when to challenge also gives you time to try and dribble make an off the wall etc i noticed 3s can get crazy and a lot of ball chasers 
577.0,9f6ab7ba3f64f7297d9a014b0a41ae305f9d4bb9,962608223a77a86f5818f75edee55223e825dc60 
582.0,7115f3bd59d986be5be30ba5dc6e76cbe49f220b,g2 would win dreamhack dallas if they sub mijo for jknaps 
607.0,bb632438d4be24a8f86b50c5f03831dd7ba2bb76,k3llyhug k3llyhug k3llyhug 
627.0,f98c16bad88c3b41de2bc1c84a1e83f563a7e252,camera 
654.0,962608223a77a86f5818f75edee55223e825dc60,9f6ab7ba3f64f7297d9a014b0a41ae305f9d4bb9 what rank are you too 
667.0,9f6ab7ba3f64f7297d9a014b0a41ae305f9d4bb9,currently d1 
679.0,48d3e351f625404382eb6778eadd33677c5ff0f3,tell sypical hes a bot 
684.0,48d3e351f625404382eb6778eadd33677c5ff0f3,please and ty 
706.0,962608223a77a86f5818f75edee55223e825dc60,nice 
709.0,9f6ab7ba3f64f7297d9a014b0a41ae305f9d4bb9,i need more play time to get to champ level 
736.0,ff1f097413c73a8752d93dda60c716df18756e8b,anyone own to play i'm trying to get c3 almost there 
767.0,347e42449953aa16f9defc2e71edef87f6b7796c,oh you streamin streamin 
816.0,347e42449953aa16f9defc2e71edef87f6b7796c,i woke up super tired i think im dying 
817.0,039b3c0841bd74e3148749218b1a8c99e1bf7e9a,yo 
822.0,302bbedbc77d4de919912e2fb76c73dbff9cf90e,video 
837.0,94018ef58ca2ea8a1570e6f81c6d1a2da8cbca27,how 
855.0,347e42449953aa16f9defc2e71edef87f6b7796c,12 
896.0,1eaf0a725b13b3ad718efc93aec0cce073316de5,rip 
896.0,347e42449953aa16f9defc2e71edef87f6b7796c,sleep schedule got fucked ever since i realized i get better ping when im not streaming lmfao 
906.0,3a5735026e0c8bbbaa131fef996d25acd04e3654,camera 
919.0,1ce2b8684c533fec41fdc777a9469b2d80e52b8a,im going to explode so much pizza 
928.0,f3d44753f897ed428878b7d7b98d6f484ebc510a,0g 
929.0,291981e272bf6764c3062100f24143cfa30366e8,yuhhh 
932.0,b0776a49959a5e69949e31873ac5f4f4b472379f,when's your birthday if you don't mind me asking 
943.0,3a5735026e0c8bbbaa131fef996d25acd04e3654,your camera settings were the exact same has mine but with a 4 00 angle 
948.0,1ce2b8684c533fec41fdc777a9469b2d80e52b8a,im actually sweating 
951.0,347e42449953aa16f9defc2e71edef87f6b7796c,id assume so i get low ping when im not live when im live i get like 50 
960.0,f3d44753f897ed428878b7d7b98d6f484ebc510a,whatchua up to now mijoo 
978.0,1ce2b8684c533fec41fdc777a9469b2d80e52b8a,you order yours bro 
982.0,347e42449953aa16f9defc2e71edef87f6b7796c,like always 
988.0,f3d44753f897ed428878b7d7b98d6f484ebc510a,we got a new ownership so there's hope 
1021.0,f3d44753f897ed428878b7d7b98d6f484ebc510a,how much better are mexico tacos than chiptole tacos 
1023.0,345b53f093847fce17756c8d27c9f079accc6569,how tf u pressing square for air roll and boosting with circle at same time? 
1031.0,345b53f093847fce17756c8d27c9f079accc6569,mad man 
1039.0,81a5f299e98a0e602bb4fdb825c27e130e3f625f,holy shit its an rl streamer that doesnt say pog every 5 seconds 
1042.0,bf58c12b92c5aa7d4b5f9e63fa4b3becf21dce4b,monkas 
1042.0,b0776a49959a5e69949e31873ac5f4f4b472379f,the art of claw 
1060.0,44148586b20f8fdeb185741999573684539cb150,imagine how different twitch would be if the subs we're free 
1069.0,1ce2b8684c533fec41fdc777a9469b2d80e52b8a,theres half a slice left but i think i might die 
1079.0,bf58c12b92c5aa7d4b5f9e63fa4b3becf21dce4b,just do it 
1090.0,1ce2b8684c533fec41fdc777a9469b2d80e52b8a,eye captain 
1099.0,57ddb0ffc72df7ce73a6fb04fd3c1f91adeb5c4c,why do you have that trash boost overlay 
1108.0,e9376393480e3ecdf76bbeb93c4d06ac30555141,how u actually cancel the flip 
1120.0,e9376393480e3ecdf76bbeb93c4d06ac30555141,that u just do just a half flip 
1135.0,44148586b20f8fdeb185741999573684539cb150,just go the opposite way your flipping 
1177.0,44148586b20f8fdeb185741999573684539cb150,with the controller stick 
1205.0,5d31f400a5f798fedbc3649f7e067a1979f29d85,hi 
1206.0,e9376393480e3ecdf76bbeb93c4d06ac30555141,that will cancel it i immediatly 
1222.0,5d31f400a5f798fedbc3649f7e067a1979f29d85,anyone playing on ps4 
1236.0,347e42449953aa16f9defc2e71edef87f6b7796c,im a switch player 
1239.0,1ce2b8684c533fec41fdc777a9469b2d80e52b8a,xbox coz its the best 
1248.0,5d31f400a5f798fedbc3649f7e067a1979f29d85,hi mijo 
1262.0,44148586b20f8fdeb185741999573684539cb150,not immediately 
1275.0,ff1f097413c73a8752d93dda60c716df18756e8b,lol imagine thinking xbox is good to play rl on 
1283.0,44148586b20f8fdeb185741999573684539cb150,mijo's playing on ps4 
1288.0,44148586b20f8fdeb185741999573684539cb150,lol 
1289.0,ff1f097413c73a8752d93dda60c716df18756e8b,wrong 
1297.0,ff1f097413c73a8752d93dda60c716df18756e8b,he's playing on pc 
1299.0,347e42449953aa16f9defc2e71edef87f6b7796c,hes on pc 
1301.0,32ba3c18f9266b6e87c2fd28adfdf051dcc62ef0,mijorlsb 
1302.0,5d31f400a5f798fedbc3649f7e067a1979f29d85,xbox is bad 4 ur brain 
1304.0,347e42449953aa16f9defc2e71edef87f6b7796c,with a ps4 controller 
1304.0,ff1f097413c73a8752d93dda60c716df18756e8b,with ps4 remote 
1322.0,44148586b20f8fdeb185741999573684539cb150,u know what i mean 
1326.0,347e42449953aa16f9defc2e71edef87f6b7796c,wow we are in sync lul ff1f097413c73a8752d93dda60c716df18756e8b 
