Time,User,Message
0.0,400627c7fe1be25937d7555394a8f2f3600f9f0b,you mean death breaths 
1163.0,d2fdf5bbc8ae14bc55d2a5f0e3720b935c27927e,profile 
1600.0,cea32b4ffa86e1272aaaf91f98dc62e80047e104,wtf 
1607.0,cea32b4ffa86e1272aaaf91f98dc62e80047e104,shadow :d 
1640.0,cea32b4ffa86e1272aaaf91f98dc62e80047e104,lethas here lol :p 
2704.0,25c1830b71de9349b2260da0ee0d051a00df4c96,hello 
2722.0,25c1830b71de9349b2260da0ee0d051a00df4c96,this doesn't look like diablo 
2940.0,e40e82ef02a6c1626ee5b6791cb551c9702be958,it's more like pacman 
5800.0,a512da3693443b5840bb3bab80f76140943be952,nice macro 
6029.0,400627c7fe1be25937d7555394a8f2f3600f9f0b,:) 
6033.0,400627c7fe1be25937d7555394a8f2f3600f9f0b,thank you 
7325.0,c5b371310648a60eb78d714aec828bbf204232f5,hey 
7462.0,400627c7fe1be25937d7555394a8f2f3600f9f0b,hi 
14163.0,07c6980c91620365d02edc2d102fe79b7b0d40ce,oi 
14474.0,07c6980c91620365d02edc2d102fe79b7b0d40ce,i'm dog friendly 
15291.0,aef62d93a07be7938624a545a9bdca985b0ac7df,is there some solo speed vyr build 
21066.0,fe0038913ec988997a56f5092aa19a7b1b1e270c,no sound is that on purpose 
21614.0,da41bc60b466a32fd7795c875af93e9eb5114091,did u not use power 
23505.0,400627c7fe1be25937d7555394a8f2f3600f9f0b,now sound better 
24171.0,ae44b62bfa5c93eab72839023c1351ef53942673,why keep all the bounty cache things in inv 
