Time,User,Message
0.0,2733fb81ac8f309d2e1bb7d4068188071b5de21d,na lul 
1.0,6cc1a6a8318c11ac3a878a021721a85222ce91d1,d: 
1.0,495c3562623e56e4b0b5114aeccf8f5712ce3f70,kappa 
2.0,8605ffc0b690ae1660743d083e25ede6109c81f0,no dansgame 
2.0,d3bb34c76dddf070e2f6d022d9bb5b57dfced069,lul 
2.0,ab5764ff5a8c5009de27d95131d47326f754d678,na lul na lul na lul na lul na lul na lul na lul na lul 
2.0,6764ae368e978afcf9cab8791c790cf5dfeba8b0,snillo~ 
2.0,6c013d0df5fbf32f2b0320a615ae54da27970c45,kappa 
3.0,6bcf6cdbaf674f3717a17b80b8c3e465be0d8f63,na > eu kappa 
3.0,60e36d9d90b0163bc9e92df6475f45e14194c543,lies 
4.0,52d9039ecca014295946c746030587a371fbcf98,kappa 
4.0,2dbef4952b09146996bb32e8921f9cd76f6a0062,kappa 
4.0,5ef54002f59c566358fcf42286fc6b4376375ac8,avastsmooth 
4.0,1e0e750cca5a098745873b3d4903c7439b90629f,na > eu 
4.0,495c3562623e56e4b0b5114aeccf8f5712ce3f70,na lul 
5.0,94ca43ef83167e481c816bf56daf6db8ba062d0a,sure kapp 
5.0,6764ae368e978afcf9cab8791c790cf5dfeba8b0,<3 
6.0,6695cbb726fe695e04d696c8489641cab4448c17,급 정 색 
7.0,a384ad60a74e75c2fc47a9df8770557b45af8d35,na lul 
7.0,1a96dd6162223d63a81cd2b71f4bc2c21a669014,legit that copypasta is gold 
7.0,8bdbf669548c510c6e81d5ffa3da2526f623200f,snillo is overrated 
8.0,0d465068d276aa945bc619a5a2e7349bf9d52add,lul 
8.0,33eae9cdd8e1b69261f40c7fcb809721b31cdc09,owl all-access pass 2018sluow: have you heard the tragedy of darth astro the wise i thought not it's not a story the casters would tell you it's a sith legend darth astro was a dark lord of the sith so powerful and so wise he could play lucio as a dps he had such a knowledge of lucio that he could even keep his teammates from dying the dark side of the force is a pathway to many abilities some consider to be unnatural 
