Time,User,Message
0.0,51c0bb34e20360c3fbaafe6014d5c03b602ad83a,420c7bf6b1d21f348ccda5c42d3703ebc2ead8f5 ppl tought im trashtalking him but it was meant as a joke 
1.0,15c64d1fc55f50814aa8756f3d07270b51977894,maybe stop doing pogchamp plays to impress us and burden ur team play normal dota we dont mind anyway pogchamp play comes when it comes not when u try so hard to show us pogchamp plays 
2.0,42c124b4aa9f1f0d0bb273abff4790fd600964d4,41561f5403dad35402204f40a580e1ed9bf4fa07 maybe stop doing pogchamp plays to impress us and burden ur team play normal dota we dont mind anyway pogchamp play comes when it comes not when u try so hard to show us pogchamp plays 
4.0,51c0bb34e20360c3fbaafe6014d5c03b602ad83a,41561f5403dad35402204f40a580e1ed9bf4fa07 maybe stop doing pogchamp plays to impress us and burden ur team play normal dota we dont mind anyway pogchamp play comes when it comes not when u try so hard to show us pogchamp plays 
8.0,674656645d879d9bfcaceede783a1954695ae219,pudge carried hard 
9.0,420c7bf6b1d21f348ccda5c42d3703ebc2ead8f5,ddae2a802026a47df3a53200490d415e9942cb73 it doesnt pierce bkb 
9.0,4994da1f8e0d5934db2d90c78ca4f92cb28dc8b9,monkax 
10.0,159c8799d27fa25b270f7cb0170e884c69bb6383,he's not trying to impress chat he's just having one of those moments 
11.0,51c0bb34e20360c3fbaafe6014d5c03b602ad83a,41561f5403dad35402204f40a580e1ed9bf4fa07 maybe stop doing pogchamp plays to impress us and burden ur team play normal dota we dont mind anyway pogchamp play comes when it comes not when u try so hard to show us pogchamp plays 
14.0,4bb1d21e50a191520e2bd6c3e06c6fa14d71dd2b,maybe stop doing pogchamp plays to impress us and burden ur team play normal dota we dont mind anyway pogchamp play comes when it comes not when u try so hard to show us pogchamp plays 
20.0,1854e047d1031f512fe0fdc8db4d1203da4cc856,team pogu 
21.0,15c64d1fc55f50814aa8756f3d07270b51977894,41561f5403dad35402204f40a580e1ed9bf4fa07 maybe stop doing pogchamp plays to impress us and burden ur team play normal dota we dont mind anyway pogchamp play comes when it comes not when u try so hard to show us pogchamp plays 
22.0,ddae2a802026a47df3a53200490d415e9942cb73,ah okay 420c7bf6b1d21f348ccda5c42d3703ebc2ead8f5 
23.0,bc56bc80bde00f29f95eba9571f78bc99b48baee,yea 
25.0,159c8799d27fa25b270f7cb0170e884c69bb6383,he's not trying to impress chat he's just having one of those momentshe's not trying to impress chat he's just having one of those momentshe's not trying to impress chat he's just having one of those momentshe's not trying to impress chat he's just having one of those moments 
28.0,0d50088deb78e68271c8d9289c1b4b776147ed56,pew pew pew pew 
28.0,f7a4c39d8c949067d1e65558523cc54926e00e0f,kappa 
29.0,2f9bd2a4a7f07b0e20b8f5e579abcc21b10545f9,kappa 
29.0,bc56bc80bde00f29f95eba9571f78bc99b48baee,god of flies 
32.0,420c7bf6b1d21f348ccda5c42d3703ebc2ead8f5,ddae2a802026a47df3a53200490d415e9942cb73 becuase of the blind 
34.0,fca4d5c3ce3d62b039e3b12d10561941103d5787,carried 
36.0,1854e047d1031f512fe0fdc8db4d1203da4cc856,kappa 
38.0,279b8cfcf5b34553fc1ac049c402fbb7fcabd580,krappa 
38.0,090f56d3edfd8b8011ef1f816c2995b38f0ae745,krappa 
41.0,1854e047d1031f512fe0fdc8db4d1203da4cc856,omegalul 
42.0,327db18372126d85b40554f059b687832c9fd13d,lul 
43.0,defbd8e66eb824475ac06dfe0ef10989e76243f8,kapp 
43.0,9a7d700f53948cac300ec753e2c3ceff80e5ef22,yeah imagine 
44.0,8f6217253a8ceb80dda334372e015506cd17c6f6,kekw 
44.0,d6596f9b47be61c124c252513fc3b9fd10b14d2f,kekw clap 
45.0,a3897b4b75f95b1532dcd57ba36f12b0a9dbce9c,kekw 
47.0,51c0bb34e20360c3fbaafe6014d5c03b602ad83a,41561f5403dad35402204f40a580e1ed9bf4fa07 maybe stop doing pogchamp plays to impress us and burden ur team play normal dota we dont mind anyway pogchamp play comes when it comes not when u try so hard to show us pogchamp plays 
48.0,e43e9d88c52f1d48631131185a7420683d6e8c04,kekw 
49.0,f7a4c39d8c949067d1e65558523cc54926e00e0f,kekw 
49.0,674656645d879d9bfcaceede783a1954695ae219,kekw 
50.0,cda0bb3b195a54721f5d0e416fa4de46da8c3c0f,god of gay lul 
50.0,ddae2a802026a47df3a53200490d415e9942cb73,i mean damage can still go through just not the blind 420c7bf6b1d21f348ccda5c42d3703ebc2ead8f5 
52.0,6b26344775ce2bd719267a246c68ace8b07a5c89,getting carried lul 
52.0,559afdc26db5366387bb5ec6bb8e9c93541804bb,carried by pudge lul 
53.0,239894d2ac650ae0a420b5daed79095824bd66c2,41561f5403dad35402204f40a580e1ed9bf4fa07 can you show pudge items bro 
54.0,1854e047d1031f512fe0fdc8db4d1203da4cc856,kapp 
55.0,15c64d1fc55f50814aa8756f3d07270b51977894,41561f5403dad35402204f40a580e1ed9bf4fa07 maybe stop doing pogchamp plays to impress us and burden ur team play normal dota we dont mind anyway pogchamp play comes when it comes not when u try so hard to show us pogchamp plays 
