Time,User,Message
0.0,488af2cdd4de5b020e224525a33424747ac3040b,uptime 
4.0,04506f9ab60064fb86df66b11be8ae001fcb8fcb,blizzard too 
6.0,631763c6b28186a3066e28093a677e22b03eb5b7,a shame we dropped explosive trap 
9.0,4e78a22b9e0b18b5ce5c2c5b2fea4ca33c3c48e0,why no deal two dmg to all secret 
11.0,b197641b7ea54d788b2aa4b3f20286157d182cd6,kill leok with unleash 
17.0,6035cfcd555299a80dcf41682d46d1269fee463e,followage 
18.0,68ac8747854f72c6eaaeb772eb9fcadc4bb24817,just take out zul'jin for multishot :) 
19.0,584702fc7b7cc82148d7d81eb6227a5af28ed638,value tradin no fear 
35.0,7eb1f4f632730122d04fd9a670f2c057bd301970,lul 
41.0,430031f2e0dea1f92d13b5e269e3050c0647fe46,was about to lul when he trades 
54.0,b4f26536f7885942b1140ed241569cb1f3dbc99a,i think firebat should get a slight advantage in hearthstone as the world champ something like the hero power costing 1 less mana or always going first i dunno 
72.0,d62c3f20d5437c8e49ebac05458d89b4de1b807c,always start game with a fiery bat in play on turn 1 
77.0,92143bd0f18d766e9734fd926c4a2f70437beced,throw in secret keeper anyway lol 
88.0,b4f26536f7885942b1140ed241569cb1f3dbc99a,d62c3f20d5437c8e49ebac05458d89b4de1b807c right on 
95.0,f335e4fea94396ab4e5b60dca6cc347f134ebcb1,you've got it good - i'm looking at 6 bombs in my deck 
97.0,631763c6b28186a3066e28093a677e22b03eb5b7,b4f26536f7885942b1140ed241569cb1f3dbc99a i think going second is generally preferred 
112.0,718abdab57d76150e0c3ed0bcc1a51c8e991c5c3,631763c6b28186a3066e28093a677e22b03eb5b7 wrong 
121.0,56fa939e9f4020f49ba07bf4cb187a5956c4c386,uptime 
124.0,311d6b030b1031253dcb129c48ad79fc447c00bb,631763c6b28186a3066e28093a677e22b03eb5b7 not at all lol 
127.0,3a6543bf88bf708adfd3532a8ffd93127b3f704f,its not going second is lower win rate for almost all decks 
129.0,7eb1f4f632730122d04fd9a670f2c057bd301970,smorc clap 
129.0,268eb54c4b615b5fd8cdc1bd10159a2fc2e12578,if youre playing giant mage second is way better 
134.0,7a18263021722332083aad359c59837cb04647b8,hes prepping zuljin 
145.0,6a0bf3f935572638e28169b6b3792a5ea9af73b1,createdby clap 
150.0,584702fc7b7cc82148d7d81eb6227a5af28ed638,rip lulw 
152.0,718abdab57d76150e0c3ed0bcc1a51c8e991c5c3,lul 
152.0,04506f9ab60064fb86df66b11be8ae001fcb8fcb,order 
152.0,7eb1f4f632730122d04fd9a670f2c057bd301970,lul 
153.0,631763c6b28186a3066e28093a677e22b03eb5b7,was that only the case for rogue then 
154.0,d95c701ca66d55612ffadc5dd7dd6ad35d80a4f5,looooooool 
158.0,7eb1f4f632730122d04fd9a670f2c057bd301970,order lul 
160.0,1497c34eaf69ac2ef10cb88848a87a53cc917980,gm btw lul 
161.0,d626cefff009a645a28ed908ee0af43ec5b51e59,omegalul 
162.0,da66d0ce239fdf00327a1e9e03493edb9ee3184b,lul 
165.0,dccdc824948c3a3f3b2c33dffb2be5ab06de541d,order elegiggle 
166.0,a72185266a37f8c0ae2b853be5de6c8d23101ca3,na order lul 
167.0,7f912f49df6b774d8fb9fa09b9990ecaa5626888,order lulw 
168.0,465f9abc6fa28ab43a0b94386c872544c55ea5eb,order 
168.0,d95c701ca66d55612ffadc5dd7dd6ad35d80a4f5,fuck tahts rough 
172.0,631763c6b28186a3066e28093a677e22b03eb5b7,what about mage i thought coin was super important in those 
175.0,f335e4fea94396ab4e5b60dca6cc347f134ebcb1,make that 8 
176.0,465f9abc6fa28ab43a0b94386c872544c55ea5eb,grandmaster order 
180.0,8458ae9024f7a222f344f2cbfadace672982cefd,order lul 
183.0,68ac8747854f72c6eaaeb772eb9fcadc4bb24817,that's the big o o f 
186.0,c0523e977da43214b88f08027b9476bc4b6d21c7,world champ btw lul 
188.0,718abdab57d76150e0c3ed0bcc1a51c8e991c5c3,keeping a 5 mana 4/4 in mulligan seems wrong 
193.0,92143bd0f18d766e9734fd926c4a2f70437beced,would have save you 2 or 5 hp 
198.0,7eb1f4f632730122d04fd9a670f2c057bd301970,all you had to do was not get snowballed lul 
207.0,00a757511870553c01c61e7e0dc6f8e8d265132b,life drinker into kc was the safest play 
212.0,68ac8747854f72c6eaaeb772eb9fcadc4bb24817,not hunter feelsgoodman 
213.0,6a0bf3f935572638e28169b6b3792a5ea9af73b1,now show us how to smorc 
215.0,e1bcffda31060e5e7976e3bae51d62f125e28d24,oof 
217.0,737d1f1aa621b5b7444f45b144a08dfe1d24c44e,bye rank 
225.0,f425050aebffb47854438374f8509477c46b8156,just draw well 4head 
228.0,310401ea9180557c74fa5918c6f8be7d195c07c6,42831a935426bfba97f681d314fa71969fbef538 have you tried mech secret paladin 
228.0,92143bd0f18d766e9734fd926c4a2f70437beced,now we smorc 
239.0,ee553a8d4479ecdb854a4f96a8cb3075c8c468c7,42831a935426bfba97f681d314fa71969fbef538 secret hunter seems too reliant on a good mulligan what you think 
240.0,03bf1875fcc503ac1e9261644ce6533ab5f9137c,does this deck do well generally 
250.0,465f9abc6fa28ab43a0b94386c872544c55ea5eb,how does this deck beat warrior 42831a935426bfba97f681d314fa71969fbef538 i 
251.0,7eb1f4f632730122d04fd9a670f2c057bd301970,kill the warrior smorc 
268.0,04506f9ab60064fb86df66b11be8ae001fcb8fcb,depends of i play secret keeper before drawing 5 secrets 
281.0,7eb1f4f632730122d04fd9a670f2c057bd301970,what a curve 
282.0,b5e8b106795f4cb584a709629897f34dddfb3db8,42831a935426bfba97f681d314fa71969fbef538 i think rogue is still number 1 tbh 
284.0,822343855f02c872401dda9c7abbab94d73aa17a,we can get that winrate down to where it belongs firebat 
293.0,268eb54c4b615b5fd8cdc1bd10159a2fc2e12578,42831a935426bfba97f681d314fa71969fbef538 can you come turn off my light im laying down comfortably :) 
301.0,f425050aebffb47854438374f8509477c46b8156,wont be top after you've finished with it kappa 
301.0,f36f841de114317537f819b426c4384325157c92,thats cause the average player doesn't play around secrets well and cant manage giant/handsize math 
320.0,02ff44aa583074eda20790de320338a74e010769,just curve out more 4head 
321.0,68ac8747854f72c6eaaeb772eb9fcadc4bb24817,firebat benefiting the community so kind 
328.0,f335e4fea94396ab4e5b60dca6cc347f134ebcb1,arithmetic is hard 
330.0,3ac610bb2c060e72eb918ed27c00662a1e53ffca,me am smart smorc 
330.0,7eb1f4f632730122d04fd9a670f2c057bd301970,just curve every turn 4head 
332.0,eff55714216e8a5ad15ffe5acbdc5e1825dd3b6f,curve stone pogchamp 
350.0,7188c764cdfaddd6798289a667877c81026c2245,and there are also the ghosters when you're streaming 
350.0,718abdab57d76150e0c3ed0bcc1a51c8e991c5c3,can confirm i play secret paladin in wild and its not very good when the opponent actually plays around stuff 
364.0,53cea51d4915c7cd71283f4901456bd952690c10,old secret paladin lul 
369.0,a72185266a37f8c0ae2b853be5de6c8d23101ca3,42831a935426bfba97f681d314fa71969fbef538 but if you sort the data for legend players shouldn't be that bad at that point 
371.0,d95c701ca66d55612ffadc5dd7dd6ad35d80a4f5,but cant you examine the stats within legend ladder > 
377.0,92143bd0f18d766e9734fd926c4a2f70437beced,playing around stuff in 2019 lul just dont float mana 4head 
378.0,93e7520bbca987542aa4870de28f51ec6b46a33d,but mad scientist was op forever lets be real 
380.0,cea3b3c3d763c59cf4935e6caac563e39266529f,i crafted this deck feelsbadman 
385.0,68ac8747854f72c6eaaeb772eb9fcadc4bb24817,new secret paladin omegalul 
385.0,dc67567e6c93405afd8975500f5f89fdc78af107,if you get hsreplay premium cant you see top 1000 stats 
387.0,9d8149347224e705a1f757cfe422c42dd74a0511,a72185266a37f8c0ae2b853be5de6c8d23101ca3 as a low legend player i can confidently say low legend is trash 
392.0,27d3cced61565e2e4df6e931d5badd1210dc58e7,when would u start playin league of legends 42831a935426bfba97f681d314fa71969fbef538 
397.0,d62c3f20d5437c8e49ebac05458d89b4de1b807c,old secret paladin in wild was so strong for so long it took a bunch of sets for it to lose relative power 
404.0,f36f841de114317537f819b426c4384325157c92,rat trap was wayy better when everyone was just playing rogue too 
422.0,d95c701ca66d55612ffadc5dd7dd6ad35d80a4f5,over 12k games in legend ladder secret hunter has 53 41% winrate 
429.0,56c1949976049599c17f36d52855d0c6454c72ce,f36f841de114317537f819b426c4384325157c92 its still ok vs mage 
430.0,a72185266a37f8c0ae2b853be5de6c8d23101ca3,9d8149347224e705a1f757cfe422c42dd74a0511 yea but not as trash as rank 20 still if a deck wins often on ladder then it's useful for a climb 
467.0,fc54b3bba9a74d361b777c139bb1363dc202fc2a,this deck is disgusting 
471.0,80453f23a06f59c6bf6fe9cc0925ea2bd9044682,how is tracking good against warrior if the plan is to make him use his resources 
476.0,04506f9ab60064fb86df66b11be8ae001fcb8fcb,shouldnt u use tracking when u have like 4 bombs in ur deck 
478.0,ee553a8d4479ecdb854a4f96a8cb3075c8c468c7,42831a935426bfba97f681d314fa71969fbef538 do you think this deck is too reliant on a good mulligan or curve 
482.0,9d8149347224e705a1f757cfe422c42dd74a0511,a72185266a37f8c0ae2b853be5de6c8d23101ca3 plenty of decks are easily able to climb in low rank and plenty of others in low legend sorting by top of legend would be a different metagame and winrate altogether 
490.0,fc54b3bba9a74d361b777c139bb1363dc202fc2a,you win on zuljin 80453f23a06f59c6bf6fe9cc0925ea2bd9044682 
499.0,92143bd0f18d766e9734fd926c4a2f70437beced,leokk pepehands 
502.0,d729fabd7d0c124d0683c5e2db32358605ea00cf,42831a935426bfba97f681d314fa71969fbef538 you still driving the camaro 
512.0,718abdab57d76150e0c3ed0bcc1a51c8e991c5c3,hes suiting up monkas 
527.0,80453f23a06f59c6bf6fe9cc0925ea2bd9044682,6a73949e431ba3f328f622982be3e5f76cb5c755 wont he just brawl or omega your board 
529.0,1e6a3dac1efd9a989837fc4e0e51be8e850402e1,that's bogus 
531.0,f335e4fea94396ab4e5b60dca6cc347f134ebcb1,awesome 
534.0,f335e4fea94396ab4e5b60dca6cc347f134ebcb1,that rocks 
540.0,86aae17803f6bc49563ab3a64c5ee889d8b89234,sweet man 
541.0,978f995307546ac7a4e713158c323b2e50d1be20,thats cute 
541.0,b63752f616edf4cbe74865140ea84945884bf483,lul 
