Time,User,Message
0.0,8deb246c078cf92839f7d45bc7120c9951659b0c,itime 
3.0,810826aaa84b4315b86fdfc511dea21225909a0e,how does dearly get his name like that 
8.0,8deb246c078cf92839f7d45bc7120c9951659b0c,localtime 
8.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,pengu's current localtime is: $21:45 +1 hour because it's bugged 
10.0,5ee03e808d1d7e97d75ff54ea48492f2da8856b3,4318c7480e28550aa4ff39c9dec20b15da46cdcd why did you run in with defuser 
10.0,bd879371bc805f7aa356a9c747743806c3ea10c1,juvent1love 
23.0,ca2496171cb7a413cce588cd053facdaf7aa9119,5ee03e808d1d7e97d75ff54ea48492f2da8856b3 because he wanted to plant lul 
23.0,810826aaa84b4315b86fdfc511dea21225909a0e,5ee03e808d1d7e97d75ff54ea48492f2da8856b3 he was gonna play 4head 
26.0,a38fc65795f27142bff6b487f26e00893a49dfcd,5ee03e808d1d7e97d75ff54ea48492f2da8856b3 cause the call was it's clear and we have rotations 
26.0,8a3ffa1df9f27a6ba88db96b520b1d36495b329d,a7893245979972ffe82afa7c557bef451b42b98d what do you mean 
26.0,8deb246c078cf92839f7d45bc7120c9951659b0c,he wanted to plant 
39.0,0afa6dd06303b5d0784d960d8dc04b40e705ff0a,whats a plant 
44.0,48a8fd1b803981b107b2d8a7f93621bc0c5188b3,some green thing 
55.0,b6de48a2c25e7f92a0fd9e9514b6b47524dc3891,4318c7480e28550aa4ff39c9dec20b15da46cdcd what meta do you prefer for ranked eu or na 
63.0,a38fc65795f27142bff6b487f26e00893a49dfcd,monkaw 
66.0,48a8fd1b803981b107b2d8a7f93621bc0c5188b3,how is dearly's namee like that 
67.0,a7893245979972ffe82afa7c557bef451b42b98d,he stretch the resolution horizontally 
68.0,2e7c51f30b4f052e745abbd44222783e69482ff8,sup pengu 
71.0,2e7c51f30b4f052e745abbd44222783e69482ff8,sens 
71.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,800 dpi 6-6 ads: 60 multiplier: default 
75.0,c6c8d69752feca425064a8f3edd599f6051dd152,i keep pressing y but i cant put a claymore down 
77.0,a38fc65795f27142bff6b487f26e00893a49dfcd,na b6de48a2c25e7f92a0fd9e9514b6b47524dc3891 easier 
82.0,2ff026547280701a8d832c4dba05bb4dea900b28,his local time is 21 dollars wut 
87.0,a38fc65795f27142bff6b487f26e00893a49dfcd,48a8fd1b803981b107b2d8a7f93621bc0c5188b3 he streams daily go ask him lul not live atm 
94.0,a38fc65795f27142bff6b487f26e00893a49dfcd,2ff026547280701a8d832c4dba05bb4dea900b28 yea idk don't worry about it 
97.0,48a8fd1b803981b107b2d8a7f93621bc0c5188b3,a38fc65795f27142bff6b487f26e00893a49dfcd ok 
110.0,b44c52c47884565645c69cc66dd13ca638709605,c6c8d69752feca425064a8f3edd599f6051dd152 theres a button on the xbox that looks like an x that should work 
114.0,96ba7aedee4419c086c1cfca59c97142c8eee1d3,48a8fd1b803981b107b2d8a7f93621bc0c5188b3 its a character the text font doesnt support i have the same thin on steam but for the game i played it shows a skull 
115.0,b44c52c47884565645c69cc66dd13ca638709605,c6c8d69752feca425064a8f3edd599f6051dd152 jk mahh 
119.0,b44c52c47884565645c69cc66dd13ca638709605,mahh 
130.0,c6c8d69752feca425064a8f3edd599f6051dd152,reported 
130.0,104d58460805f066c5d667a48b0b51c303120b27,time 
130.0,48a8fd1b803981b107b2d8a7f93621bc0c5188b3,96ba7aedee4419c086c1cfca59c97142c8eee1d3 what character is it 
130.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,pengu's current localtime is: 21:47 +1 hour because it's bugged 
136.0,86d20d89733dae86360b4cfec49d95b97e1e7d09,action join the noot nooters pengunoot pengunoot be a part of this growing community gain access to 38 custom emotes sub badges discord sub role and no ads twitch tv/subs/pengu pengunoot pengunoot 
142.0,2ff026547280701a8d832c4dba05bb4dea900b28,a38fc65795f27142bff6b487f26e00893a49dfcd your mistake is forgiven kappa 
152.0,96ba7aedee4419c086c1cfca59c97142c8eee1d3,48a8fd1b803981b107b2d8a7f93621bc0c5188b3 that idk it may be a weeb character or something like that 
152.0,a38fc65795f27142bff6b487f26e00893a49dfcd,2ff026547280701a8d832c4dba05bb4dea900b28 there i fixed it you happy lulw 
153.0,ca2496171cb7a413cce588cd053facdaf7aa9119,pogu 
154.0,f45e6cd4e8916e536632fda0dfaa35250d722dcf,nice cam 
157.0,07463a36048dcd70a5505c53e3922d0183297918,cam got flashbanged 
157.0,ca2496171cb7a413cce588cd053facdaf7aa9119,4318c7480e28550aa4ff39c9dec20b15da46cdcd meeting time 
157.0,565ec049343e767ab13a8844f70cec0e52b8af91,cam 
158.0,cc38177e2c31b8e981a3f9b1a7297fc7e209696b,nice 
159.0,a38fc65795f27142bff6b487f26e00893a49dfcd,cam 
159.0,f45e6cd4e8916e536632fda0dfaa35250d722dcf,pog 
159.0,5825fc91b5bb90d9b2f02ef047eb635b0dc661cf,monkaspeed 
160.0,c37b76dcfc94d8d4f32f11edc256f8100dc5606e,cam 
161.0,9c67f3fd5caa61a42854a4ab3f713c0ba08c3c5f,cam 
162.0,48a8fd1b803981b107b2d8a7f93621bc0c5188b3,96ba7aedee4419c086c1cfca59c97142c8eee1d3 xd ill try to find it 
163.0,d7aa1aa7d9fa84458e140ecb4694f884095596e8,4318c7480e28550aa4ff39c9dec20b15da46cdcd cam isnt focusing 
164.0,7580846082dec6f673b3fb86a9af834e87e1959d,xqcfast 
165.0,54634851c7c29c8cfe64c42590aa14b91c754620,cam] 
166.0,a38fc65795f27142bff6b487f26e00893a49dfcd,4318c7480e28550aa4ff39c9dec20b15da46cdcd yea last game btw you got a meeting 
167.0,267942bc9d6e213cc5f35d1ab131b0489e951898,cam 
167.0,4dfaa20d58b9022fb6f21c660e1dd0b202d060e8,nice cam 
169.0,d2e46a0bc070d8f927cf21631c77dcfc689d4d83,sweat so sweaty he broke the cam 
169.0,f45e6cd4e8916e536632fda0dfaa35250d722dcf,cam 
171.0,bf57a7b7dff5931b3d3a830a5e549b7c3bb8c844,just did the acer predator challenge and i'm a little upset that the charm doesn't glow like it shows on the main screen first world problem lol 
171.0,7b95112ece7250873d6971b0c355b85e3c8f8b14,your webcam 
171.0,8af1c18b2331938b2437c58cb20149b384410b34,is that all the promos 
172.0,77f26563f57da6f14a0d5f96db1faaf578e818ba,f 
172.0,8a3ffa1df9f27a6ba88db96b520b1d36495b329d,4318c7480e28550aa4ff39c9dec20b15da46cdcd u have auto focus on ur cam 
173.0,5825fc91b5bb90d9b2f02ef047eb635b0dc661cf,monkaspeed monkaspeed monkaspeed 
175.0,c4dafd37aeaec1014b6ea3d07782502cbc26268a,rip cam 
176.0,267942bc9d6e213cc5f35d1ab131b0489e951898,focus cam 
176.0,cf40f059f8cc74cba56c965a2002193600ee1928,oof 
177.0,9e304ebeb49554542150425044b6edb4192c916a,plat 1 im guessing 
177.0,cdcc275dae78090a1942f41e1b29a21e154467ad,cam 
178.0,7b95112ece7250873d6971b0c355b85e3c8f8b14,its gone 
179.0,a38fc65795f27142bff6b487f26e00893a49dfcd,8a3ffa1df9f27a6ba88db96b520b1d36495b329d yes pepelaugh 
179.0,86fbf83e9c4625dac7697f9b94fa89071e94aaeb,cammmm 
180.0,fa312f8dbce50662aed696945930dbd02977a316,f 
